form_name,field_name,page
"QSC302573, 02 - Group Info/Study ICF Draft",Does the participant have a valid photo ID?,1
"QSC302573, 02 - Group Info/Study ICF Draft",Did participant complete group information or remote information session?,1
"QSC302573, 02 - Group Info/Study ICF Draft",Record who held Group Information Session (full name),1
"QSC302573, 02 - Group Info/Study ICF Draft",Does the Anju study number match the study number in the participants' paper PIS/ICF?,1
"QSC302573, 02 - Group Info/Study ICF Draft",Study ICF Signed and Dated by the participant?,1
"QSC302573, 02 - Group Info/Study ICF Draft",Date Study ICF was signed by participant,2
"QSC302573, 02 - Group Info/Study ICF Draft",Time Study ICF was signed by participant,2
"QSC302573, 02 - Group Info/Study ICF Draft",Study ICF Part Number,2
"QSC302573, 02 - Group Info/Study ICF Draft",Study ICF Version Number (Version must be checked against ICF present in the RSF – escalate any discrepancies),2
"QSC302573, 02 - Group Info/Study ICF Draft",Study ICF signed and dated by the physician/nurse?,3
"QSC302573, 02 - Group Info/Study ICF Draft",Was a copy of the Study ICF given to the participant?,3
"QSC302573, 02 - Group Info/Study ICF Draft","Has the participant read, understood and signed the consent for the Future Use Sub Study, where a DNA sample will be taken and other data collected may be used for potential future research?",3
"QSC302573, 02 - Group Info/Study ICF Draft",Additional ICF Signed and Dated by the Participant?,3
"QSC302573, 02 - Group Info/Study ICF Draft",Date Additional ICF was signed by participant,3
"QSC302573, 02 - Group Info/Study ICF Draft",Time Additional ICF was signed by participant,4
"QSC302573, 02 - Group Info/Study ICF Draft",Additional ICF signed and dated by the physician/nurse?,4
"QSC302573, 02 - Group Info/Study ICF Draft",What is the status of the subject?,4
"QSC302573, 03 - Screening Draft v0.1",Sponsor Specific Participation Number (given sequentially from S00001),5
"QSC302573, 03 - Screening Draft v0.1",Has the participant consumed any alcohol within 24 hours prior to Screening visit?,5
"QSC302573, 03 - Screening Draft v0.1",Has the participant consumed any food containing poppy seeds within 48 hours prior to Screening visit?,5
"QSC302573, 03 - Screening Draft v0.1",Has the participant taken part in any unaccustomed strenuous exercise within 72 hours prior to Screening visit?,5
"QSC302573, 03 - Screening Draft v0.1",Please ensure that a Protocol Deviation is completed,5
"QSC302573, 03 - Screening Draft v0.1",Year of Birth,5
