form_name,field_name,page
Informed Consent: Photo ID #1,Staff Initials,1
Informed Consent: Photo ID #1,Does the participant have a valid photo ID?,1
Informed Consent: Photo ID #1,Comment,1
Group Information: Group Info Session #1,Staff Initials,1
Group Information: Group Info Session #1,Did participant complete group information or remote information session?,1
Group Information: Group Info Session #1,Comment,1
Group Information: Group info held by #1,Staff Initials,1
Group Information: Group info held by #1,Record who held Group Information Session (full name),1
Group Information: Group info held by #1,Comment,1
Informed Consent: Study ICF Database Check #1,Staff Initials,1
Informed Consent: Study ICF Database Check #1,Does the Anju study number match the study number in the participants' paper PIS/ICF?,1
Informed Consent: Study ICF Database Check #1,Comment,1
Informed Consent: Study ICF Participant #1,Staff Initials,1
Informed Consent: Study ICF Participant #1,Study ICF Signed and Dated by the participant?,1
Informed Consent: Study ICF Participant #1,Comment,1
Informed Consent: Study ICF Date #1,Staff Initials,2
Informed Consent: Study ICF Date #1,Date Study ICF was signed by participant,2
Informed Consent: Study ICF Date #1,Comment,2
Informed Consent: Study ICF Time #1,Staff Initials,2
Informed Consent: Study ICF Time #1,Time Study ICF was signed by participant,2
Informed Consent: Study ICF Time #1,Comment,2
Informed Consent: Study ICF Part #1,Staff Initials,2
Informed Consent: Study ICF Part #1,Study ICF Part Number,2
Informed Consent: Study ICF Part #1,Comment,2
Informed Consent: Study ICF Version #1,Staff Initials,2
Informed Consent: Study ICF Version #1,Study ICF Version Number (Version must be checked against ICF present in the RSF – escalate any discrepancies),2
Informed Consent: Study ICF Version #1,Comment,2
Informed Consent: Study ICF Signed by Physician/Nurse #1,Staff Initials,3
Informed Consent: Study ICF Signed by Physician/Nurse #1,Study ICF signed and dated by the physician/nurse?,3
Informed Consent: Study ICF Signed by Physician/Nurse #1,Comment,3
Informed Consent: Study ICF copy #1,Staff Initials,3
Informed Consent: Study ICF copy #1,Was a copy of the Study ICF given to the participant?,3
Informed Consent: Study ICF copy #1,Comment,3
Informed Consent Addition: Consented to Additional ICF #1,Staff Initials,3
Informed Consent Addition: Consented to Additional ICF #1,"Has the participant read, understood and signed the consent for the Future Use Sub Study, where a DNA sample will be taken and other data collected may be used for potential future research?",3
Informed Consent Addition: Consented to Additional ICF #1,Comment,3
Informed Consent Addition: Add ICF Participant #1,Staff Initials,3
Informed Consent Addition: Add ICF Participant #1,Additional ICF Signed and Dated by the Participant?,3
Informed Consent Addition: Add ICF Participant #1,Comment,3
Informed Consent Addition: Add ICF Date #1,Staff Initials,3
Informed Consent Addition: Add ICF Date #1,Date Additional ICF was signed by participant,3
Informed Consent Addition: Add ICF Date #1,Comment,3
Informed Consent Addition: Add ICF Time #1,Staff Initials,4
Informed Consent Addition: Add ICF Time #1,Time Additional ICF was signed by participant,4
Informed Consent Addition: Add ICF Time #1,Comment,4
Informed Consent Addition: Add ICF Signed by Physician/Nurse #1,Staff Initials,4
Informed Consent Addition: Add ICF Signed by Physician/Nurse #1,Additional ICF signed and dated by the physician/nurse?,4
Informed Consent Addition: Add ICF Signed by Physician/Nurse #1,Comment,4
System: Available #1,Staff Initials,4
System: Available #1,What is the status of the subject?,4
System: Available #1,Comment,4
On Study Demographics x: Sponsor Specific Participation Number #1,Staff Initials,5
On Study Demographics x: Sponsor Specific Participation Number #1,Sponsor Specific Participation Number (given sequentially from S00001),5
On Study Demographics x: Sponsor Specific Participation Number #1,Comment,5
Screening Restrictions: Alcohol #1,Staff Initials,5
Screening Restrictions: Alcohol #1,Has the participant consumed any alcohol within 24 hours prior to Screening visit?,5
Screening Restrictions: Alcohol #1,Comment,5
Screening Restrictions: Poppy seeds #1,Staff Initials,5
Screening Restrictions: Poppy seeds #1,Has the participant consumed any food containing poppy seeds within 48 hours prior to Screening visit?,5
Screening Restrictions: Poppy seeds #1,Comment,5
Screening Restrictions: Exercise #1,Staff Initials,5
Screening Restrictions: Exercise #1,Has the participant taken part in any unaccustomed strenuous exercise within 72 hours prior to Screening visit?,5
Screening Restrictions: Exercise #1,Comment,5
Prompts: PD Prompt #1,Staff Initials,5
Prompts: PD Prompt #1,Please ensure that a Protocol Deviation is completed,5
Prompts: PD Prompt #1,Comment,5
On Study Demographics: Year of Birth #1,Year of Birth,5
On Study Demographics: Year of Birth #1,Staff Initials,6
On Study Demographics: Year of Birth #1,Comment,6
On Study Demographics: Age #1,Staff Initials,6
On Study Demographics: Age #1,Age 18 to 55 years inclusive at time of signing informed consent,6
On Study Demographics: Age #1,Comment,6
On Study Demographics: Ethnicity #1,Staff Initials,6
On Study Demographics: Ethnicity #1,What is the ethnicity of the participant?,6
On Study Demographics: Ethnicity #1,Comment,6
On Study Demographics: Race #1,Staff Initials,7
On Study Demographics: Race #1,What is the race of the participant?,7
On Study Demographics: Race #1,Comment,7
On Study Demographics: Sex #1,Staff Initials,7
On Study Demographics: Sex #1,What is the sex of the participant?,7
On Study Demographics: Sex #1,Comment,7
Contraception Female: Childbearing Potential #1,Staff Initials,8
Contraception Female: Childbearing Potential #1,"Is participant of childbearing potential? Female participants who are not of childbearing potential do not need to use any methods of contraception. A woman is considered of childbearing potential unless post menopausal or permanently sterile. Permanent sterilisation methods include hysterectomy, bilateral salpingectomy and bilateral oophorectomy. A post-menopausal state is defined as no menses for 12 months without an alternative medical cause and confirmed by a follicle stimulating hormone (FSH) result of ≥40 IU/L. (If 'Yes', please exclude)",8
Contraception Female: Childbearing Potential #1,Comment,8
Contraception Female: Non-Childbearing Potential #1,Staff Initials,8
Contraception Female: Non-Childbearing Potential #1,"If no, please complete reason:",8
Contraception Female: Non-Childbearing Potential #1,Comment,8
Contraception Female: MH Prompt #1,Staff Initials,8
Contraception Female: MH Prompt #1,Please ensure that an appropriate Medical History Quicklist is completed,8
Contraception Female: MH Prompt #1,Comment,8
Contraception Female: Date of LMP #1,Staff Initials,8
Contraception Female: Date of LMP #1,Provide the date of LMP,8
Contraception Female: Date of LMP #1,Comment,8
Contraception Male: Contraception Male #1,Staff Initials,9
Contraception Male: Contraception Male #1,"Select all contraception options that apply: For sexually active males and their female partners of childbearing potential, there must be a documented agreement that the participant and their partner will take measures (ie, 2 different approved methods of birth control or remain abstinent from sexual activity). External condoms must be used in addition to hormonal contraception. External condom and internal condom should not be used together.",9
Contraception Male: Contraception Male #1,Comment,9
Contraception Male: MH Prompt #1,Staff Initials,10
Contraception Male: MH Prompt #1,Please ensure that an appropriate Medical History Quicklist is completed,10
Contraception Male: MH Prompt #1,Comment,10
