form_name,field_name,page
"QSC302573, 04 - Admission/Predose Draft v0.1",Has the participant's photographic and wristband ID been verified and wristband applied to,1
"QSC302573, 04 - Admission/Predose Draft v0.1",participant's wrist?,1
"QSC302573, 04 - Admission/Predose Draft v0.1",Bag search performed?,1
"QSC302573, 04 - Admission/Predose Draft v0.1","If restricted items removed, record items here",1
"QSC302573, 04 - Admission/Predose Draft v0.1",Has the ICF version been checked?,1
"QSC302573, 04 - Admission/Predose Draft v0.1",Signed ICF Version / Date,1
"QSC302573, 04 - Admission/Predose Draft v0.1",Has it been more than 20 days since the Screening visit?,2
"QSC302573, 04 - Admission/Predose Draft v0.1",Has the participant consumed any alcohol within 48 hours (72hrs prior to dosing) prior to,2
"QSC302573, 04 - Admission/Predose Draft v0.1",Admission visit?  (If 'Yes' exclude per exclusion criteria #24),2
"QSC302573, 04 - Admission/Predose Draft v0.1","If consumed; date, time and number of units",2
"QSC302573, 04 - Admission/Predose Draft v0.1",Has the participant consumed food and beverages containing methylxanthines (caffeinated,2
"QSC302573, 04 - Admission/Predose Draft v0.1","coffee, caffeinated tea, caffeinated soda, and chocolate) within 48 hours (72hrs prior to dosing)",2
"QSC302573, 04 - Admission/Predose Draft v0.1",prior to Admission visit? (If 'Yes' exclude per exclusion criteria #24),2
"QSC302573, 04 - Admission/Predose Draft v0.1","Seville oranges, Seville orange juice, blueberry juice, or cranberry juice within 48 hours (72hrs",3
"QSC302573, 04 - Admission/Predose Draft v0.1",prior to dosing) prior to Admission visit? (If 'Yes' exclude per exclusion criteria #24),3
"QSC302573, 04 - Admission/Predose Draft v0.1",Has the participant consumed any food containing poppy seeds within 48 hours prior to,3
"QSC302573, 04 - Admission/Predose Draft v0.1",Admission visit?,3
"QSC302573, 04 - Admission/Predose Draft v0.1",Has the participant had strenuous activity (e.g. weightlifting) within 72 hours prior to Admission,3
"QSC302573, 04 - Admission/Predose Draft v0.1",visit?,3
"QSC302573, 04 - Admission/Predose Draft v0.1",Has the participant use of tobacco products or experience daily exposure to second-hand,3
"QSC302573, 04 - Admission/Predose Draft v0.1",smoke since Screening?  (If 'Yes' exclude per exclusion criteria #14),3
"QSC302573, 04 - Admission/Predose Draft v0.1",Has the participant been unwell or have they had any accidents or injuries since Screening?,4
"QSC302573, 04 - Admission/Predose Draft v0.1",Has the participant taken any new medication since the screening visit?,4
"QSC302573, 04 - Admission/Predose Draft v0.1",read results),4
