form_name,field_name,page
Admission Restrictions,Staff Initials:,1
Admission Restrictions,Comment:,1
Admission Restrictions,Has the participant's photographic and wristband ID been verified and wristband applied to,1
Admission Restrictions,Bag search performed?,1
Admission Restrictions,Answer(s):,1
Admission Restrictions,"If restricted items removed, record items here",1
Admission Restrictions,(9999 char. max.),1
Admission Restrictions,Has the ICF version been checked?,1
Admission Restrictions,Signed ICF Version / Date,1
Admission Restrictions,Date (dd-MMM-yyyy) Version (##.0),1
Admission Restrictions,Staff Initials:,2
Admission Restrictions,Comment:,2
Admission Restrictions,Has it been more than 20 days since the Screening visit?,2
Admission Restrictions,Has the participant consumed any alcohol within 48 hours (72hrs prior to dosing) prior to,2
Admission Restrictions,"If consumed; date, time and number of units",2
Admission Restrictions,Time (HH:mm) No of Units units (##),2
Admission Restrictions,Date (dd-MMM-yyyy) Time (HH:mm) No of Units units (##),2
Admission Restrictions,Has the participant consumed food and beverages containing methylxanthines (caffeinated,2
Admission Restrictions,Staff Initials:,3
Admission Restrictions,Comment:,3
Admission Restrictions,"Has participant consumed food or beverages containing pomelo, grapefruit, grapefruit juice,",3
Admission Restrictions,Has the participant consumed any food containing poppy seeds within 48 hours prior to,3
Admission Restrictions,Has the participant had strenuous activity (e.g. weightlifting) within 72 hours prior to Admission,3
Admission Restrictions,Has the participant use of tobacco products or experience daily exposure to second-hand,3
Prompts,Staff Initials:,3
Prompts,Comment:,3
Prompts,Staff Initials:,4
Prompts,Comment:,4
Prompts,Update Medical History where appropriate.,4
Admission Restrictions,Staff Initials:,4
Admission Restrictions,Comment:,4
Admission Restrictions,Has the participant taken any new medication since the screening visit?,4
Urinalysis,Staff Initials:,4
Urinalysis,Comment:,4
Urinalysis,"What was the bilirubin result? If any positive result, inform medic/PI. (Perform urinalysis and",4
Urinalysis,Comment:,5
Urinalysis,Staff Initials:,5
Urinalysis,"What was the urobilinogen result? If any positive result, inform medic/PI. (Perform urinalysis",5
Urinalysis,"What was the ketone result? If any positive result, inform medic/PI. (Perform urinalysis and",5
Urinalysis,Staff Initials:,6
Urinalysis,Comment:,6
Urinalysis,"What was the glucose result? If any positive result, inform medic/PI. (Perform urinalysis and",6
Urinalysis,What was the protein result?,6
Urinalysis,Staff Initials:,7
Urinalysis,Comment:,7
Urinalysis,What was the nitrite result? (Perform urinalysis and read results),7
Urinalysis,Comment:,8
Urinalysis,Staff Initials:,8
Urinalysis,Record specific gravity of sample (Perform urinalysis and read results),8
Urinalysis,Comment:,9
Urinalysis,Staff Initials:,9
Urinalysis,"Is participant female and menstruating? (If 'Yes', DO NOT send sample for Microscopy. If 'No',",9
Urinalysis,Confirm sample sent for microscopy (Complete associated paperwork),9
Urinalysis,Has urinalysis been repeated as soon as possible with a clean catch specimen?,9
Urinalysis,Staff Initials:,10
Urinalysis,Comment:,10
Urinalysis,Confirm TDL form completed:,10
Urinalysis,Has there been a medic review of the Microscopy results?,10
Urine Drug Screen,Staff Initials:,10
Urine Drug Screen,Comment:,10
Urine Drug Screen,Drugs of abuse - Amphetamines (AMP),10
Urine Drug Screen,Staff Initials:,11
Urine Drug Screen,Comment:,11
Urine Drug Screen,Drugs of abuse - Benzodiazepines (BZO),11
Urine Drug Screen,Drugs of abuse - Methadone (MTD),11
Urine Drug Screen,Drugs of abuse - Tricyclic Antidepressants (TCA),11
Urine Drug Screen,Staff Initials:,12
Urine Drug Screen,Comment:,12
Urine Drug Screen,Drugs of abuse - Morphine/Opiates (MOP),12
Urine Drug Screen,Drugs of abuse - Methamphetamine/Ecstasy (MET),12
Urine Drug Screen,Drugs of abuse - Phencyclidine (PCP),12
Urine Drug Screen,Staff Initials:,13
Urine Drug Screen,Comment:,13
Safety,Staff Initials:,13
Safety,Comment:,13
Safety,Urine Cotinine test - please ensure study specific tests are used,13
Safety,Comment:,14
Safety,Staff Initials:,14
Breath Tests,Staff Initials:,14
Breath Tests,Comment:,14
Breath Tests,Alcohol breath test (Positive result > 0.02),14
Anthropometrics,Staff Initials:,14
Anthropometrics,Comment:,14
Anthropometrics,kg (#00.0),14
ECG,Staff Initials:,15
ECG,Comment:,15
ECG,"Exclude if - QT interval corrected for heart rate using Fridericia’s formula (QTcF) >450 msec for male participants or >470 msec for female participants, QRS interval >120 msec, or PR interval >200 msec. (Supine for a minimum 3 minutes)",15
ECG,PR interval ms (##0),15
ECG,QRS Duration ms (##0),15
ECG,QT interval ms (##0),15
ECG,QRS Axis deg (###0),15
ECG,RR interval ms (###0),15
ECG,QTcF ms (##0),15
ECG,Ventricular Rate beats/min (##0),15
ECG,ECG Rhythm assessment and interpretation,15
ECG,Comment:,16
ECG,Staff Initials:,16
ECG,(500 char. max.),16
Vital Signs,Staff Initials:,17
Vital Signs,Comment:,17
Vital Signs,Vital Signs,17
Vital Signs,Diastolic mmHg (##0),17
Vital Signs,Heart Rate beats/min (##0),17
Vital Signs,Respiratory Rate breaths/mi (##0),17
Vital Signs,Oral Temperature Degrees Celsius C (##.0),17
Vital Signs,Systolic mmHg (##0),17
Vital Signs,Clinical Assessment of Vital Signs (Medic or Nurse to assess vital signs),17
Vital Signs,Open Field (200 char. max.),17
Vital Signs Standing,Staff Initials:,18
Vital Signs Standing,Comment:,18
Vital Signs Standing,Vital Signs Standing BP and HR,18
Vital Signs Standing,Diastolic mmHg (##0),18
Vital Signs Standing,Heart Rate beats/min (##0),18
Vital Signs Standing,Systolic mmHg (##0),18
Vital Signs Standing,Is there a drop in SYSTOLIC BP from supine to standing?,18
Vital Signs Standing 2,Staff Initials:,18
Vital Signs Standing 2,Comment:,18
Vital Signs Standing 2,Is there a drop in DIASTOLIC BP from supine to standing?,18
Vital Signs Difference,Staff Initials:,19
Vital Signs Difference,Comment:,19
Vital Signs Difference,Systolic Drop mmHg (####),19
