form_name,field_name,page
Admission Restrictions: Photo ID #1,Has the participant's photographic and wristband ID been verified and wristband applied to participant's wrist?,1
Admission Restrictions: Photo ID #1,Staff Initials:,1
Admission Restrictions: Photo ID #1,Comment:,1
Admission Restrictions: Bag Search #1,Bag search performed?,1
Admission Restrictions: Bag Search #1,Staff Initials:,1
Admission Restrictions: Bag Search #1,Comment:,1
Admission Restrictions: Bag Search Items Removed #1,"If restricted items removed, record items here",1
Admission Restrictions: Bag Search Items Removed #1,Staff Initials:,1
Admission Restrictions: Bag Search Items Removed #1,Comment:,1
Admission Restrictions: Bag Search Items Removed #1,(9999 char. max.),1
Admission Restrictions: ICF Check #1,Has the ICF version been checked?,1
Admission Restrictions: ICF Check #1,Staff Initials:,1
Admission Restrictions: ICF Check #1,Comment:,1
Admission Restrictions: ICF Version/Date #1,Signed ICF Version / Date (Version must be checked against ICF present in the CSF – escalate any discrepancies),1
Admission Restrictions: ICF Version/Date #1,Staff Initials:,1
Admission Restrictions: ICF Version/Date #1,Comment:,1
Admission Restrictions: ICF Version/Date #1,Version (##.0),1
Admission Restrictions: Screening #1,Has it been more than 20 days since the Screening visit?,2
Admission Restrictions: Screening #1,Staff Initials:,2
Admission Restrictions: Screening #1,Comment:,2
Admission Restrictions: Alcohol #1,Has the participant consumed any alcohol within 48 hours (72hrs prior to dosing) prior to Admission visit? (If 'Yes' exclude per exclusion criteria #24),2
Admission Restrictions: Alcohol #1,Staff Initials:,2
Admission Restrictions: Alcohol #1,Comment:,2
Admission Restrictions: Alcohol Units #1,"If consumed; date, time and number of units",2
Admission Restrictions: Alcohol Units #1,Staff Initials:,2
Admission Restrictions: Alcohol Units #1,Comment:,2
Admission Restrictions: Alcohol Units #1,Time (HH:mm),2
Admission Restrictions: Alcohol Units #1,No of Units units (##),2
Admission Restrictions: Caffeine #1,"Has the participant consumed food and beverages containing methylxanthines (caffeinated coffee, caffeinated tea, caffeinated soda, and chocolate) within 48 hours (72hrs prior to dosing) prior to Admission visit? (If 'Yes' exclude per exclusion criteria #24)",2
Admission Restrictions: Caffeine #1,Staff Initials:,2
Admission Restrictions: Caffeine #1,Comment:,2
Admission Restrictions: Grapefruit #1,"Has participant consumed food or beverages containing pomelo, grapefruit, grapefruit juice, Seville oranges, Seville orange juice, blueberry juice, or cranberry juice within 48 hours (72hrs prior to dosing) prior to Admission visit? (If 'Yes' exclude per exclusion criteria #24)",3
Admission Restrictions: Grapefruit #1,Staff Initials:,3
Admission Restrictions: Grapefruit #1,Comment:,3
Admission Restrictions: Poppy seeds #1,Has the participant consumed any food containing poppy seeds within 48 hours prior to Admission visit?,3
Admission Restrictions: Poppy seeds #1,Staff Initials:,3
Admission Restrictions: Poppy seeds #1,Comment:,3
Admission Restrictions: Activity #1,Has the participant had strenuous activity (e.g. weightlifting) within 72 hours prior to Admission visit?,3
Admission Restrictions: Activity #1,Staff Initials:,3
Admission Restrictions: Activity #1,Comment:,3
Admission Restrictions: Smoking #1,Has the participant use of tobacco products or experience daily exposure to second-hand smoke since Screening? (If 'Yes' exclude per exclusion criteria #14),3
Admission Restrictions: Smoking #1,Staff Initials:,3
Admission Restrictions: Smoking #1,Comment:,3
Prompts: PD Prompt #1,Please ensure that a Protocol Deviation is completed,3
Prompts: PD Prompt #1,Staff Initials:,3
Prompts: PD Prompt #1,Comment:,3
Prompts: AE Prompt #1,Please ensure that an Adverse Event is completed,4
Prompts: AE Prompt #1,Staff Initials:,4
Prompts: AE Prompt #1,Comment:,4
Admission Restrictions: Concomitant Meds #1,Has the participant taken any new medication since the screening visit?,4
Admission Restrictions: Concomitant Meds #1,Staff Initials:,4
Admission Restrictions: Concomitant Meds #1,Comment:,4
Prompts: CM Prompt #1,Please ensure that a Concomitant Medication is completed,4
Prompts: CM Prompt #1,Staff Initials:,4
Prompts: CM Prompt #1,Comment:,4
Urinalysis: Collection Time #1,Record time of urine sample (For all Urine Assessments) (Collect Urine Sample),4
Urinalysis: Collection Time #1,Staff Initials:,4
Urinalysis: Collection Time #1,Comment:,4
Urinalysis: Bilirubin #1,"What was the bilirubin result? If any positive result, inform medic/PI. (Perform urinalysis and read results)",4
Urinalysis: Bilirubin #1,Staff Initials:,4
Urinalysis: Urobilinogen #1,"What was the urobilinogen result? If any positive result, inform medic/PI. (Perform urinalysis and read results)",5
Urinalysis: Urobilinogen #1,Staff Initials:,5
Urinalysis: Urobilinogen #1,Comment:,5
Urinalysis: Ketones #1,"What was the ketone result? If any positive result, inform medic/PI. (Perform urinalysis and read results)",5
Urinalysis: Ketones #1,Staff Initials:,5
Urinalysis: Ketones #1,Comment:,5
Urinalysis: Glucose #1,"What was the glucose result? If any positive result, inform medic/PI. (Perform urinalysis and read results)",6
Urinalysis: Glucose #1,Staff Initials:,6
Urinalysis: Glucose #1,Comment:,6
Urinalysis: Protein #1,What was the protein result?,6
Urinalysis: Protein #1,"IF PROTEIN ≥ 30mg/dl: Repeat urinalysis as soon as possible, ensuring a clean catch specimen. If protein remains ≥ 30mg/dl on repeat, then inform PI/medic. (Perform urinalysis and read results)",6
Urinalysis: Protein #1,Staff Initials:,6
Urinalysis: Protein #1,Comment:,6
Urinalysis: Nitrite #1,What was the nitrite result? (Perform urinalysis and read results),7
Urinalysis: Nitrite #1,Staff Initials:,7
Urinalysis: Nitrite #1,Comment:,7
Urinalysis: pH #1,Record pH value (Perform urinalysis and read results),7
Urinalysis: pH #1,Staff Initials:,7
Urinalysis: Specific Gravity #1,Record specific gravity of sample (Perform urinalysis and read results),8
Urinalysis: Specific Gravity #1,Staff Initials:,8
Urinalysis: Specific Gravity #1,Comment:,8
Urinalysis: Leukocytes #1,What was the leukocyte result? (Perform urinalysis and read results),8
Urinalysis: Leukocytes #1,Staff Initials:,8
Urinalysis: Participant menstruating #1,"Is participant female and menstruating? (If 'Yes', DO NOT send sample for Microscopy. If 'No', send sample for Microscopy)",9
Urinalysis: Participant menstruating #1,Staff Initials:,9
Urinalysis: Participant menstruating #1,Comment:,9
Urinalysis: Send for microscopy #1,Confirm sample sent for microscopy (Complete associated paperwork),9
Urinalysis: Send for microscopy #1,Staff Initials:,9
Urinalysis: Send for microscopy #1,Comment:,9
Urinalysis: Repeat Urinalysis #1,Has urinalysis been repeated as soon as possible with a clean catch specimen? Ensure events are repeated to capture this data.,9
Urinalysis: Repeat Urinalysis #1,Staff Initials:,9
Urinalysis: Repeat Urinalysis #1,Comment:,9
Urinalysis: Urinalysis Microscopy #1,Urinalysis Microscopy Sample (20 mL Sterilin screw cap),10
Urinalysis: Urinalysis Microscopy #1,Staff Initials:,10
Urinalysis: Urinalysis Microscopy #1,Comment:,10
Urinalysis: TDL Form Check #1,Confirm TDL form completed:,10
Urinalysis: TDL Form Check #1,- Correct form used - Correct participant label applied - Correct slot number written - Correct sex and fasting status - Correct timepoint checked - Correct sample date and time written - Correct visit - Initials signed to confirm sample collected and form correct,10
Urinalysis: TDL Form Check #1,Staff Initials:,10
Urinalysis: TDL Form Check #1,Comment:,10
Urinalysis: Urinalysis Medic Assessment #1,Has there been a medic review of the Microscopy results?,10
Urinalysis: Urinalysis Medic Assessment #1,Staff Initials:,10
Urinalysis: Urinalysis Medic Assessment #1,Comment:,10
Urine Drug Screen: Amphetamines #1,Drugs of abuse - Amphetamines (AMP),10
Urine Drug Screen: Amphetamines #1,Staff Initials:,10
Urine Drug Screen: Amphetamines #1,Comment:,10
Urine Drug Screen: Benzodiazepines #1,Drugs of abuse - Benzodiazepines (BZO),11
Urine Drug Screen: Benzodiazepines #1,Staff Initials:,11
Urine Drug Screen: Benzodiazepines #1,Comment:,11
Urine Drug Screen: Methadone #1,Drugs of abuse - Methadone (MTD),11
Urine Drug Screen: Methadone #1,Staff Initials:,11
Urine Drug Screen: Methadone #1,Comment:,11
Urine Drug Screen: Tricyclic Antidepressants #1,Drugs of abuse - Tricyclic Antidepressants (TCA),11
Urine Drug Screen: Tricyclic Antidepressants #1,Staff Initials:,11
Urine Drug Screen: Tricyclic Antidepressants #1,Comment:,11
Urine Drug Screen: Morphine/Opiates #1,Drugs of abuse - Morphine/Opiates (MOP),12
Urine Drug Screen: Morphine/Opiates #1,Staff Initials:,12
Urine Drug Screen: Morphine/Opiates #1,Comment:,12
Urine Drug Screen: Methamphetamine/Ecstasy #1,Drugs of abuse - Methamphetamine/Ecstasy (MET),12
Urine Drug Screen: Methamphetamine/Ecstasy #1,Staff Initials:,12
Urine Drug Screen: Methamphetamine/Ecstasy #1,Comment:,12
Urine Drug Screen: Phencyclidine #1,Drugs of abuse - Phencyclidine (PCP),12
Urine Drug Screen: Phencyclidine #1,Staff Initials:,12
Urine Drug Screen: Phencyclidine #1,Comment:,12
Urine Drug Screen: Medic Prompt #1,Positive Drugs of Abuse result (Medic to exclude subject),13
Urine Drug Screen: Medic Prompt #1,Staff Initials:,13
Urine Drug Screen: Medic Prompt #1,Comment:,13
Safety: Urine Cotinine #1,Urine Cotinine test - please ensure study specific tests are used,13
Safety: Urine Cotinine #1,Staff Initials:,13
Safety: Urine Cotinine #1,Comment:,13
Safety: Prompt for Medic for Cotinine #1,Positive result for Urine Cotinine (Medic to exclude participant ),13
Safety: Prompt for Medic for Cotinine #1,Staff Initials:,13
Safety: Prompt for Medic for Cotinine #1,Comment:,13
Safety: Urine Pregnancy test #1,Urine Pregnancy test (N/A if male),13
Safety: Urine Pregnancy test #1,Staff Initials:,13
Safety: Prompt for Medic for Urine Pregnancy #1,Positive result for Urine Pregnancy (Medic to exclude participant ),14
Safety: Prompt for Medic for Urine Pregnancy #1,Staff Initials:,14
Safety: Prompt for Medic for Urine Pregnancy #1,Comment:,14
Breath Tests: Alcohol #1,Alcohol breath test (Positive result > 0.02),14
Breath Tests: Alcohol #1,Staff Initials:,14
Breath Tests: Alcohol #1,Comment:,14
Breath Tests: Prompt for Medic #1,Positive result for Alcohol Breath Test (Medic to exclude participant ),14
Breath Tests: Prompt for Medic #1,Staff Initials:,14
Breath Tests: Prompt for Medic #1,Comment:,14
Anthropometrics: Weight (kg) #1,Weight (kg),14
Anthropometrics: Weight (kg) #1,Staff Initials:,14
Anthropometrics: Weight (kg) #1,Comment:,14
ECG: ECG Rhythm Assess/Interpretation #1,ECG Rhythm assessment and interpretation,15
ECG: ECG Rhythm Assess/Interpretation #1,Staff Initials:,15
ECG: ECG Rhythm Assess/Interpretation #1,Comment:,15
ECG: ECG Significance #1,Was the ECG clinically significant? (Medic to assess),15
ECG: ECG Findings #1,ECG Findings,16
ECG: ECG Findings #1,Staff Initials:,16
ECG: ECG Findings #1,Comment:,16
ECG: ECG Findings inc Rhythm #1,"ECG Findings, including rhythm assessment",16
ECG: ECG Findings inc Rhythm #1,Staff Initials:,16
ECG: ECG Findings inc Rhythm #1,Comment:,16
Vital Signs: Vital Signs Supine Full Set #1,Vital Signs,17
Vital Signs: Vital Signs Supine Full Set #1,"Exclude if - Systolic blood pressure [SBP] >140 mmHg or diastolic blood pressure [DBP] >90 mmHg in the supine position. Supine heart rate, after resting for at least 3 minutes, outside the range of 50 to 100 beats per minute. (Supine for at least 3 minutes)",17
Vital Signs: Vital Signs Supine Full Set #1,Staff Initials:,17
Vital Signs: Vital Signs Supine Full Set #1,Comment:,17
Vital Signs: Vital Signs Supine Full Set #1,Diastolic mmHg (##0),17
Vital Signs: Vital Signs Supine Full Set #1,Heart Rate beats/min (##0),17
Vital Signs: Vital Signs Supine Full Set #1,Respiratory Rate breaths/mi (##0),17
Vital Signs: Vital Signs Supine Full Set #1,Oral Temperature - Degrees Celsius . C (##.0),17
Vital Signs: Clinical Significance #1,Clinical Assessment of Vital Signs (Medic or Nurse to assess vital signs),17
Vital Signs: Clinical Significance #1,Staff Initials:,17
Vital Signs: Clinical Significance #1,Comment:,17
Vital Signs: Vital Signs Findings #1,Vital Sign Findings,17
Vital Signs: Vital Signs Findings #1,Staff Initials:,17
Vital Signs: Vital Signs Findings #1,Comment:,17
Vital Signs Standing: Vital Signs Standing BP and HR #1,Vital Signs Standing BP and HR,18
Vital Signs Standing: Vital Signs Standing BP and HR #1,"Exclude if - Symptomatic hypotension or orthostatic hypotension, which is defined as a decrease of ≥20 mmHg in SBP and/or a decrease of ≥10 mmHg in DBP after at least 3 minutes of standing compared with the previous supine blood pressure. (Standing for at least 3 minutes)",18
Vital Signs Standing: Vital Signs Standing BP and HR #1,Staff Initials:,18
Vital Signs Standing: Vital Signs Standing BP and HR #1,Comment:,18
Vital Signs Standing: Vital Signs Standing BP and HR #1,Diastolic mmHg (##0),18
Vital Signs Standing: Vital Signs Standing BP and HR #1,Heart Rate beats/min (##0),18
Vital Signs Standing: Drop in SBP from Supine to Standing #1,Is there a drop in SYSTOLIC BP from supine to standing?,18
Vital Signs Standing: Drop in SBP from Supine to Standing #1,Staff Initials:,18
Vital Signs Standing: Drop in SBP from Supine to Standing #1,Comment:,18
Vital Signs Standing 2: Drop in DBP from Supine to Standing #1,Is there a drop in DIASTOLIC BP from supine to standing?,18
Vital Signs Standing 2: Drop in DBP from Supine to Standing #1,Staff Initials:,18
Vital Signs Standing 2: Drop in DBP from Supine to Standing #1,Comment:,18
Vital Signs Difference: Vital Signs Calculation BP and HR #1,Vital Signs Difference for SYSTOLIC Drop,19
Vital Signs Difference: Vital Signs Calculation BP and HR #1,Staff Initials:,19
Vital Signs Difference: Vital Signs Calculation BP and HR #1,Comment:,19
Vital Signs Difference: Vital Signs Calculation BP and HR 2 #1,Vital Signs Difference for DIASTOLIC Drop,19
Vital Signs Difference: Vital Signs Calculation BP and HR 2 #1,Staff Initials:,19
Vital Signs Difference: Vital Signs Calculation BP and HR 2 #1,Comment:,19
Vital Signs Standing: Clinical Significance #1,Clinical Assessment of Standing Vital Signs (Medic or Nurse to assess vital signs),19
Vital Signs Standing: Clinical Significance #1,Staff Initials:,19
Vital Signs Standing: Clinical Significance #1,Comment:,19
Vital Signs Standing: Vital Signs Findings #1,Vital Sign Findings,19
Vital Signs Standing: Vital Signs Findings #1,Staff Initials:,19
Vital Signs Standing: Vital Signs Findings #1,Comment:,19
Safety: Fasted #1,Has the participant fasted for 8 hours?,19
Safety: Fasted #1,Staff Initials:,19
Whole Blood: FBR Sample Collected #1,Has the optional Future Biospecimen Research Sample been consented to and can be collected?,20
Whole Blood: FBR Sample Collected #1,Staff Initials:,20
Whole Blood: FBR Sample Collected #1,Comment:,20
Whole Blood: FBR #1,Future Biospecimen Research Sample - Gently invert tube 8-10 times immediately after collection and protect from the light (4 mL K2EDTA),20
Whole Blood: FBR #1,Staff Initials:,20
Whole Blood: FBR #1,Comment:,20
Safety: Haematology #1,Haematology – Mix tube gently by inverting 8–10 times (2 mL K3EDTA),20
Safety: Haematology #1,Staff Initials:,20
Safety: Haematology #1,Comment:,20
Safety: Haematology Medic Assessment #1,Has there been a medic review of the Haematology blood results?,20
Safety: Haematology Medic Assessment #1,Staff Initials:,20
Safety: Haematology Medic Assessment #1,Comment:,20
Safety: Chemistry #1,Chemistry – Mix tube gently by inverting 5–6 times (5 mL SST),20
Safety: Chemistry #1,Staff Initials:,20
Safety: Chemistry #1,Comment:,20
Safety: TDL Form Check #1,Confirm TDL form completed:,21
Safety: TDL Form Check #1,- Correct form used - Correct participant label applied - Correct slot number written - Correct sex and fasting status - Correct timepoint checked - Correct sample date and time written - Correct visit - Initials signed to confirm sample collected and form correct,21
Safety: TDL Form Check #1,Staff Initials:,21
