form_name,field_name,page
Re-Screen,Re-Screen,5
Blood Collection - Screening,Blood Collection - Screening,5
Contraception - Male,Contraception - Male,5
Height / Weight / BMI,Height / Weight / BMI,5
Demographics,Demographics,5
Lifestyle History,Lifestyle History,5
Contraception - Female,Contraception - Female,5
Medical History,Medical History,5
Disposition,Disposition,5
Vital Signs - Orthostatic Screening/Admission,Vital Signs - Orthostatic Screening/Admission,5
Mapping Questions,Mapping Questions,5
C-SSRS - Baseline/Screening,C-SSRS - Baseline/Screening,5
Reminders,Reminders,5
ECG (RScribe) Screening,ECG (RScribe) Screening,5
Physical Examination - Screening,Physical Examination - Screening,5
Urine Collection - Screening,Urine Collection - Screening,5
Concomitant Medications - Screening,Concomitant Medications - Screening,5
Stipend Earned,Stipend Earned,5
Weight / BMI,Weight / BMI,6
ECG (RScribe) Admission,ECG (RScribe) Admission,6
Snack End,Snack End,6
C-SSRS - Since Last Visit,C-SSRS - Since Last Visit,6
Lunch Start,Lunch Start,6
Dinner Start,Dinner Start,6
Physical Examination - Full,Physical Examination - Full,6
Bag Check Admission,Bag Check Admission,6
Dinner End,Dinner End,6
Urine Collection - Admission,Urine Collection - Admission,6
Snack Start,Snack Start,6
Lunch End,Lunch End,6
Blood Collection - Admission Day -2,Blood Collection - Admission Day -2,6
Admission Questionnaire,Admission Questionnaire,6
Blood Collection - PD Creatinine,Blood Collection - PD Creatinine,7
Urine Collection - PK - Active Interval Collection (4-8),Urine Collection - PK - Active Interval Collection (4-8),7
Blood Collection - Baseline Day -1,Blood Collection - Baseline Day -1,7
Urine Collection - PK - Interval End (12-24) – LAB USE ONLY,Urine Collection - PK - Interval End (12-24) – LAB USE ONLY,7
ECG Triplicate (RScribe) - Baseline,ECG Triplicate (RScribe) - Baseline,7
Urine Collection - PK - Active Interval Collection (8-12),Urine Collection - PK - Active Interval Collection (8-12),7
ECG/Vital Signs Position,ECG/Vital Signs Position,7
Urine Collection - PK - Interval End (4-8) – LAB USE ONLY,Urine Collection - PK - Interval End (4-8) – LAB USE ONLY,7
Urine Collection - UA,Urine Collection - UA,7
Urine Collection - PK - Interval End (8-12) – LAB USE ONLY,Urine Collection - PK - Interval End (8-12) – LAB USE ONLY,7
AE / CM Review,AE / CM Review,7
Enrollment,Enrollment,7
Urine Collection - PK - Active Interval Collection (2-4),Urine Collection - PK - Active Interval Collection (2-4),7
Urine Collection - PK - Interval End (2-4) – LAB USE ONLY,Urine Collection - PK - Interval End (2-4) – LAB USE ONLY,7
Urine Collection - PK - Active Interval Collection (12-24),Urine Collection - PK - Active Interval Collection (12-24),7
Urine Collection - PK - Active Interval Collection (0-2),Urine Collection - PK - Active Interval Collection (0-2),7
Reference Time,Reference Time,7
Vital Signs - Orthostatic,Vital Signs - Orthostatic,7
Urine Collection - PK - Interval End (0-2) – LAB USE ONLY,Urine Collection - PK - Interval End (0-2) – LAB USE ONLY,7
Study Drug Administration - SEP-380135,Study Drug Administration - SEP-380135,8
Vital Signs Position,Vital Signs Position,8
Blood Collection - PK SEP/PD Creatine/Glucose/Insulin,Blood Collection - PK SEP/PD Creatine/Glucose/Insulin,8
ECG (RScribe),ECG (RScribe),8
Blood Collection - PK SEP,Blood Collection - PK SEP,8
Urine Collection - PK - Active Interval Collection (0-2) - Day 1,Urine Collection - PK - Active Interval Collection (0-2) - Day 1,8
Investigator Dose Approval,Investigator Dose Approval,8
Urine Collection - UA During Interval,Urine Collection - UA During Interval,8
Water Restriction Start,Water Restriction Start,8
Suite Restriction End,Suite Restriction End,8
ECG Triplicate (RScribe),ECG Triplicate (RScribe),8
ECG Position,ECG Position,8
Study Drug Transfer Log - Combined,Study Drug Transfer Log - Combined,8
Water Restriction End,Water Restriction End,8
Blood Collection - PK SEP/PD Creatinine/PGx/ Safety Day 1,Blood Collection - PK SEP/PD Creatinine/PGx/ Safety Day 1,8
Blood Collection - PK SEP/PD Creatine,Blood Collection - PK SEP/PD Creatine,8
AE / CM,Were any adverse events experienced?,21
AE / CM,Start date and time,21
AE / CM,Ongoing?,21
AE / CM,End date and time,21
AE / CM,Adverse event term,21
AE / CM,Is this a treatment emergent adverse event?,21
AE / CM,Is this an Immediately Reportable Event (IRE)?,21
AE / CM,Relationship to investigational product,22
AE / CM,Action taken with investigational product,22
AE / CM,Was a concomitant medication given?,22
AE / CM,Were any other actions taken in response to this adverse,22
AE / CM,Other action taken,22
AE / CM,Outcome,22
AE / CM,Was the serious adverse event associated with a,23
AE / CM,Did the serious adverse event result in persistent,23
AE / CM,Did the serious adverse event result in death?,23
AE / CM,Death date,23
AE / CM,Did the serious adverse event result in initial or prolonged,23
AE / CM,Is the serious adverse event life threatening?,24
AE / CM,Was the adverse event a medically important event not,24
AE / CM,Concomitant medication or therapy,24
AE / CM,Indication,24
AE / CM,Route of administration,24
AE / CM,Total dose,24
AE / CM,Dose form,25
AE / CM,Frequency,25
AE / CM,Administration start date and time,25
AE / CM,Administration ongoing?,25
Blood Collection - Admission Day -2,Were the sample(s) collected?,27
Blood Collection - Baseline Day -1,Were the sample(s) collected?,28
Blood Collection - Baseline Day -1,Creatinine collection date and time,28
Blood Collection - PD Creatinine,Was the sample collected?,29
Blood Collection - PD Creatinine,Creatinine collection date and time,29
Blood Collection - PK Quinidine,Was the sample collected?,30
Blood Collection - PK Quinidine,PK Quinidine collection date and time,30
Blood Collection - PK SEP,Was the sample collected?,31
Blood Collection - PK SEP,PK SEP collection date and time,31
