form_name,field_name,page
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Were any adverse events experienced?,21
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Ongoing?,21
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Is this a treatment emergent adverse event?,21
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Is this an Immediately Reportable Event (IRE)?,21
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Severity,22
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Relationship to investigational product,22
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Action taken with investigational product,22
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Was a concomitant medication given?,22
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Were any other actions taken in response to this adverse,22
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",event?,22
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Outcome,22
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Was the adverse event an SAE?,23
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Was the serious adverse event associated with a,23
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",congenital anomaly or birth defect?,23
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Did the serious adverse event result in persistent,23
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",significant disability or incapacity?,23
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Did the serious adverse event result in death?,23
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Did the serious adverse event result in initial or prolonged,23
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Is the serious adverse event life threatening?,24
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Was the adverse event a medically important event not,24
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",covered by other serious criteria?,24
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Concomitant medication or therapy,24
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Indication,24
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Frequency,25
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Administration start date and time,25
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Administration ongoing?,25
"____________________________________________________________________________ Lora Adriano, Study Manager or designee Dr. Vince Clinical Research",Were the sample(s) collected?,27
Blood Collection - Creatinine,Were the sample(s) collected?,28
Blood Collection - Creatinine,Creatinine collection date and time,28
Blood Collection - PD Creatinine,Was the sample collected?,29
Blood Collection - PD Creatinine,Creatinine collection date and time,29
Blood Collection - PK Quinidine,Was the sample collected?,30
Blood Collection - PK Quinidine,PK Quinidine collection date and time,30
Blood Collection - PK SEP,Was the sample collected?,31
Blood Collection - PK SEP,PK SEP collection date and time,31
Lab Sample Collected/Fasting Status - PK and Safety,Were the sample(s) collected?,32
Lab Sample Collected/Fasting Status - PK and Safety,PK SEP collection date and time,32
Blood Collection - PK SEP/PD Creatinine,Was the sample collected?,33
Blood Collection - PK SEP/PD Creatinine,PK SEP collection date and time,33
Blood Collection - PK SEP/PD Creatinine,Creatinine collection date and time,33
Blood Collection - PK SEP/PD Creatinine/Glucose/Insulin,Was the sample collected?,34
Blood Collection - PK SEP/PD Creatinine/Glucose/Insulin,PK SEP collection date and time,34
Blood Collection - PK SEP/PD Creatinine/Glucose/Insulin,Creatinine collection date and time,34
Lab Sample Collected/Fasting Status - PK and Safety,Were the sample(s) collected?,35
Lab Sample Collected/Fasting Status - PK and Safety,PK SEP collection date and time,35
Lab Sample Collected/Fasting Status - PK and Safety,Creatinine collection date and time,35
Blood Collection - PK SEP/PK Quinidine,Was the sample collected?,36
Blood Collection - PK SEP/PK Quinidine,PK SEP collection date and time,36
Blood Collection - PK SEP/PK Quinidine,PK Quinidine collection date and time,36
Lab Sample Collected/Fasting Status - PK and Safety,Were the sample(s) collected?,37
Lab Sample Collected/Fasting Status - PK and Safety,PK SEP collection date and time,37
Lab Sample Collected/Fasting Status - PK and Safety,PK Quinidine collection date and time,37
Lab Sample Collected/Fasting Status - Safety,Were the sample(s) collected?,38
Lab Sample Collected/Fasting Status - Safety,Were the sample(s) collected?,39
C-SSRS - Baseline/Screening (Phase 1),Have you wished you were dead or wished you could go to,40
C-SSRS - Baseline/Screening (Phase 1),sleep and not wake up? (Lifetime).,40
C-SSRS - Baseline/Screening (Phase 1),sleep and not wake up? (Past 12 Months).,40
C-SSRS - Baseline/Screening (Phase 1),"If yes, describe:",40
C-SSRS - Baseline/Screening (Phase 1),Have you actually had any thoughts of killing yourself?,40
C-SSRS - Baseline/Screening (Phase 1),(Lifetime).,40
3. Active Suicidal Ideation with Any Methods (Not Plan),"If yes, describe:",41
3. Active Suicidal Ideation with Any Methods (Not Plan),Have you been thinking about how you might do this?,41
3. Active Suicidal Ideation with Any Methods (Not Plan),(Lifetime).,41
3. Active Suicidal Ideation with Any Methods (Not Plan),(Past 12 Months).,41
3. Active Suicidal Ideation with Any Methods (Not Plan),Have you had these thoughts and had some intention of,41
3. Active Suicidal Ideation with Any Methods (Not Plan),acting on them? (Lifetime).,41
5. Active Suicidal Ideation with Specific Plan and Intent,"If yes, describe:",42
5. Active Suicidal Ideation with Specific Plan and Intent,Have you started to work out or worked out the details of how to kill yourself? Do you intend to carry out this plan?,42
5. Active Suicidal Ideation with Specific Plan and Intent,(Lifetime).,42
5. Active Suicidal Ideation with Specific Plan and Intent,(Past 12 Months).,42
5. Active Suicidal Ideation with Specific Plan and Intent,Most severe ideation. (Lifetime).,42
5. Active Suicidal Ideation with Specific Plan and Intent,Description of most severe ideation. (Lifetime).,42
5. Active Suicidal Ideation with Specific Plan and Intent,Most severe ideation. (Past 12 Months).,43
5. Active Suicidal Ideation with Specific Plan and Intent,Description of most severe ideation. (Past 12 Months).,43
5. Active Suicidal Ideation with Specific Plan and Intent,Frequency (Lifetime),43
5. Active Suicidal Ideation with Specific Plan and Intent,Frequency (Past 12 Months),43
5. Active Suicidal Ideation with Specific Plan and Intent,Duration (Lifetime),43
5. Active Suicidal Ideation with Specific Plan and Intent,Duration (Past 12 Months),43
5. Active Suicidal Ideation with Specific Plan and Intent,Controllability (Lifetime),43
5. Active Suicidal Ideation with Specific Plan and Intent,Controllability (Past 12 Months),43
5. Active Suicidal Ideation with Specific Plan and Intent,Deterrents (Lifetime),43
5. Active Suicidal Ideation with Specific Plan and Intent,Reasons for Ideation (Lifetime),44
5. Active Suicidal Ideation with Specific Plan and Intent,Reasons for Ideation (Past 12 Months),44
5. Active Suicidal Ideation with Specific Plan and Intent,"Actual Attempt: Have you made a suicide attempt? Have you done anything to harm yourself? Have you done anything dangerous where you could have died? What did you do? Did you ___ as a way to end your life? Did you want to die (even a little) when you ___? Were you trying to end your life when you ___? Or Did you think it was possible you could have died from ___? Or did you do it purely for other reasons / without ANY intention of killing yourself (like to relieve stress, feel better, get sympathy, or get something else to happen)? (Self-Injurious Behavior without suicidal intent)",44
5. Active Suicidal Ideation with Specific Plan and Intent,Total number of actual attempts.,44
5. Active Suicidal Ideation with Specific Plan and Intent,"If yes, describe:",44
5. Active Suicidal Ideation with Specific Plan and Intent,behavior.,45
5. Active Suicidal Ideation with Specific Plan and Intent,Interrupted Attempt: Has there been a time when you started to do something to try to end your life but someone or something stopped you before you actually did anything?,45
5. Active Suicidal Ideation with Specific Plan and Intent,Total number of interrupted attempts.,45
5. Active Suicidal Ideation with Specific Plan and Intent,"If yes, describe:",45
5. Active Suicidal Ideation with Specific Plan and Intent,Aborted Attempt: Has there been a time when you started to do something to try to end your life but you stopped yourself before you actually did anything?,45
5. Active Suicidal Ideation with Specific Plan and Intent,Total number of aborted attempts.,45
5. Active Suicidal Ideation with Specific Plan and Intent,"If yes, describe:",46
5. Active Suicidal Ideation with Specific Plan and Intent,"Preparatory Acts or Behavior: Have you taken any steps towards making a suicide attempt or preparing to kill yourself (such as collecting pills, getting a gun, giving valuables away or writing a suicide note)?",46
5. Active Suicidal Ideation with Specific Plan and Intent,Suicidal Behavior:,46
5. Active Suicidal Ideation with Specific Plan and Intent,Most Recent Attempt Date:,46
5. Active Suicidal Ideation with Specific Plan and Intent,Actual Lethality/Medical Damage:,46
5. Active Suicidal Ideation with Specific Plan and Intent,Potential Lethality: Only Answer if Actual Lethality=0,46
5. Active Suicidal Ideation with Specific Plan and Intent,Most Lethal Attempt Date:,47
5. Active Suicidal Ideation with Specific Plan and Intent,Actual Lethality/Medical Damage:,47
5. Active Suicidal Ideation with Specific Plan and Intent,Potential Lethality: Only Answer if Actual Lethality=0,47
5. Active Suicidal Ideation with Specific Plan and Intent,Initial/First attempt date,47
5. Active Suicidal Ideation with Specific Plan and Intent,Actual lethality/medical damage.,47
5. Active Suicidal Ideation with Specific Plan and Intent,Potential Lethality: Only answer if actual lethality = 0,47
1. Wish to be Dead,Have you wished you were dead or wished you could go to,48
1. Wish to be Dead,sleep and not wake up since last visit?,48
1. Wish to be Dead,"If yes, describe:",48
1. Wish to be Dead,Have you actually had any thoughts of killing yourself since,48
1. Wish to be Dead,last visit?,48
1. Wish to be Dead,Have you been thinking about how you might do this since,48
4. Active Suicidal Ideation with Some Intent to Act,"If yes, describe:",49
4. Active Suicidal Ideation with Some Intent to Act,Have you had these thoughts and had some intention of,49
4. Active Suicidal Ideation with Some Intent to Act,acting on them since last visit?,49
4. Active Suicidal Ideation with Some Intent to Act,Have you started to work out or worked out the details of how to kill yourself since your last visit? Do you intend to,49
4. Active Suicidal Ideation with Some Intent to Act,carry out this plan?,49
4. Active Suicidal Ideation with Some Intent to Act,Duration,50
4. Active Suicidal Ideation with Some Intent to Act,Controllability,50
4. Active Suicidal Ideation with Some Intent to Act,Deterrents,50
4. Active Suicidal Ideation with Some Intent to Act,"Actual Attempt: Have you made a suicide attempt? Have you done anything to harm yourself? Have you done anything dangerous where you could have died? What did you do? Did you ___ as a way to end your life? Did you want to die (even a little) when you ___? Were you trying to end your life when you ___? Or Did you think it was possible you could have died from ___? Or did you do it purely for other reasons / without ANY intention of killing yourself (like to relieve stress, feel better, get sympathy, or get something else to happen)? (Self-Injurious Behavior without suicidal intent)",50
4. Active Suicidal Ideation with Some Intent to Act,"If yes, describe:",51
4. Active Suicidal Ideation with Some Intent to Act,Has the subject engaged in non-suicidal self-injurious,51
4. Active Suicidal Ideation with Some Intent to Act,behavior?,51
4. Active Suicidal Ideation with Some Intent to Act,Interrupted Attempt: Has there been a time when you started to do something to end your life but someone or something stopped you before you actually did anything?,51
4. Active Suicidal Ideation with Some Intent to Act,Total number of interrupted attempts.,51
4. Active Suicidal Ideation with Some Intent to Act,Aborted Attempt: Has there been a time when you started to do something to try to end your life but you stopped yourself before you actually did anything?,51
4. Active Suicidal Ideation with Some Intent to Act,Total number of aborted attempts.,52
4. Active Suicidal Ideation with Some Intent to Act,If yes. describe:,52
4. Active Suicidal Ideation with Some Intent to Act,"Preparatory Acts or Behavior: Have you taken any steps towards making a suicide attempt or preparing to kill yourself (such as collecting pills, getting a gun, giving valuables away or writing a suicide note)?",52
4. Active Suicidal Ideation with Some Intent to Act,"If yes, describe:",52
4. Active Suicidal Ideation with Some Intent to Act,Suicidal Behavior:,52
4. Active Suicidal Ideation with Some Intent to Act,Suicide:,52
4. Active Suicidal Ideation with Some Intent to Act,Most Lethal Attempt Date:,52
4. Active Suicidal Ideation with Some Intent to Act,Potential Lethality: Only Answer if Actual Lethality=0,53
4. Active Suicidal Ideation with Some Intent to Act,Enter medical history the concomitant medication is being,54
4. Active Suicidal Ideation with Some Intent to Act,Concomitant medication or therapy,54
4. Active Suicidal Ideation with Some Intent to Act,Frequency,55
4. Active Suicidal Ideation with Some Intent to Act,Administration start date and time,55
4. Active Suicidal Ideation with Some Intent to Act,Administration ongoing?,55
4. Active Suicidal Ideation with Some Intent to Act,Administration end date and time,55
4. Active Suicidal Ideation with Some Intent to Act,Were any concomitant medications taken?,56
4. Active Suicidal Ideation with Some Intent to Act,Concomitant medication or therapy,56
4. Active Suicidal Ideation with Some Intent to Act,Frequency,57
4. Active Suicidal Ideation with Some Intent to Act,Administration start date and time,57
4. Active Suicidal Ideation with Some Intent to Act,Administration ongoing?,57
4. Active Suicidal Ideation with Some Intent to Act,Administration end date and time,57
4. Active Suicidal Ideation with Some Intent to Act,Age,58
4. Active Suicidal Ideation with Some Intent to Act,Sex,58
4. Active Suicidal Ideation with Some Intent to Act,Ethnicity,58
