x=  36.0 y=  11.5 sz= 9.0 black     | 384-201-00004
x= 216.8 y=  34.7 sz= 9.0 #0000ff   | Urine Collection - PK - Active Interval
x= 216.8 y=  45.1 sz= 9.0 #0000ff   | Collection (2-4)
x=  44.2 y=  47.7 sz= 9.0 black     | Day 1
x= 388.2 y=  49.4 sz= 6.8 black     | Scheduled
x= 216.8 y=  55.5 sz= 9.0 #0000ff   | Urine Collection - PK - Active Interval
x= 216.8 y=  66.0 sz= 9.0 #0000ff   | Collection (4-8)
x= 216.8 y=  76.4 sz= 9.0 #0000ff   | Urine Collection - PK - Active Interval
x= 216.8 y=  86.8 sz= 9.0 #0000ff   | Collection (8-12)
x= 216.8 y=  97.2 sz= 9.0 #0000ff   | Urine Collection - PK - Interval End (0-2)
x= 216.8 y= 107.7 sz= 9.0 #0000ff   | – LAB USE ONLY
x= 216.8 y= 118.1 sz= 9.0 #0000ff   | Urine Collection - PK - Interval End (12-
x= 216.8 y= 128.5 sz= 9.0 #0000ff   | 24) – LAB USE ONLY
x= 216.8 y= 138.9 sz= 9.0 #0000ff   | Urine Collection - PK - Interval End (2-4)
x= 216.8 y= 149.4 sz= 9.0 #0000ff   | – LAB USE ONLY
x= 216.8 y= 159.8 sz= 9.0 #0000ff   | Urine Collection - PK - Interval End (4-8)
x= 216.8 y= 170.2 sz= 9.0 #0000ff   | – LAB USE ONLY
x= 216.8 y= 180.6 sz= 9.0 #0000ff   | Urine Collection - PK - Interval End (8-
x= 216.8 y= 191.1 sz= 9.0 #0000ff   | 12) – LAB USE ONLY
x= 216.8 y= 201.5 sz= 9.0 #0000ff   | Vital Signs - Orthostatic
x= 216.8 y= 235.1 sz= 9.0 #0000ff   | Blood Collection - PK SEP
x= 216.8 y= 245.5 sz= 9.0 #0000ff   | Blood Collection - PK SEP/PD Creatine
x=  44.2 y= 255.9 sz= 9.0 black     | Day 2
x= 216.8 y= 255.9 sz= 9.0 #0000ff   | Urine Collection - PK - Interval End (12-
x= 388.2 y= 257.6 sz= 6.8 black     | Scheduled
x= 216.8 y= 266.4 sz= 9.0 #0000ff   | 24) – LAB USE ONLY
x= 216.8 y= 276.8 sz= 9.0 #0000ff   | Vital Signs - Orthostatic
x= 216.8 y= 310.4 sz= 9.0 #0000ff   | Blood Collection - PK SEP
x=  44.2 y= 315.6 sz= 9.0 black     | Day 3
x= 388.2 y= 317.3 sz= 6.8 black     | Scheduled
x= 216.8 y= 320.8 sz= 9.0 #0000ff   | Vital Signs - Orthostatic
x= 216.8 y= 354.4 sz= 9.0 #0000ff   | Blood Collection - PK SEP
x=  44.2 y= 359.6 sz= 9.0 black     | Day 4
x= 388.2 y= 361.3 sz= 6.8 black     | Scheduled
x= 216.8 y= 364.8 sz= 9.0 #0000ff   | Vital Signs - Orthostatic
x= 216.8 y= 398.4 sz= 9.0 #0000ff   | Blood Collection - PD Creatinine
x= 216.8 y= 408.9 sz= 9.0 #0000ff   | Blood Collection - PK SEP/PD Creatine
x= 216.8 y= 419.3 sz= 9.0 #0000ff   | Urine Collection - PK - Active Interval
x= 216.8 y= 429.7 sz= 9.0 #0000ff   | Collection (0-2)
x= 216.8 y= 440.1 sz= 9.0 #0000ff   | Urine Collection - PK - Active Interval
x= 216.8 y= 450.6 sz= 9.0 #0000ff   | Collection (12-24)
x= 216.8 y= 461.0 sz= 9.0 #0000ff   | Urine Collection - PK - Active Interval
x= 216.8 y= 471.4 sz= 9.0 #0000ff   | Collection (2-4)
x= 216.8 y= 481.8 sz= 9.0 #0000ff   | Urine Collection - PK - Active Interval
x= 216.8 y= 492.3 sz= 9.0 #0000ff   | Collection (4-8)
x=  44.2 y= 502.7 sz= 9.0 black     | Day 5
x= 216.8 y= 502.7 sz= 9.0 #0000ff   | Urine Collection - PK - Active Interval
x= 388.2 y= 504.4 sz= 6.8 black     | Scheduled
x= 216.8 y= 513.1 sz= 9.0 #0000ff   | Collection (8-12)
x= 216.8 y= 523.5 sz= 9.0 #0000ff   | Urine Collection - PK - Interval End (0-2)
x= 216.8 y= 534.0 sz= 9.0 #0000ff   | – LAB USE ONLY
x= 216.8 y= 544.4 sz= 9.0 #0000ff   | Urine Collection - PK - Interval End (2-4)
x= 216.8 y= 554.8 sz= 9.0 #0000ff   | – LAB USE ONLY
x= 216.8 y= 565.2 sz= 9.0 #0000ff   | Urine Collection - PK - Interval End (4-8)
x= 216.8 y= 575.7 sz= 9.0 #0000ff   | – LAB USE ONLY
x= 216.8 y= 586.1 sz= 9.0 #0000ff   | Urine Collection - PK - Interval End (8-
x= 216.8 y= 596.5 sz= 9.0 #0000ff   | 12) – LAB USE ONLY
x= 216.8 y= 606.9 sz= 9.0 #0000ff   | Vital Signs - Orthostatic
x= 216.8 y= 640.5 sz= 9.0 #0000ff   | Blood Collection - PD Creatinine
x= 216.8 y= 651.0 sz= 9.0 #0000ff   | Study Drug Administration - Quinidine
x=  44.2 y= 661.4 sz= 9.0 black     | Day 6
x= 216.8 y= 661.4 sz= 9.0 #0000ff   | Urine Collection - PK - Interval End (12-
x= 388.2 y= 663.1 sz= 6.8 black     | Scheduled
x= 216.8 y= 671.8 sz= 9.0 #0000ff   | 24) – LAB USE ONLY
x= 216.8 y= 682.2 sz= 9.0 #0000ff   | Vital Signs - Orthostatic
x= 216.8 y= 715.8 sz= 9.0 #0000ff   | Blood Collection - PK SEP
x= 216.8 y= 726.3 sz= 9.0 #0000ff   | Blood Collection - PK SEP/PK Quinidine
x= 216.8 y= 736.7 sz= 9.0 #0000ff   | Blood Collection - PK SEP/PK Quinidine
x= 216.8 y= 747.1 sz= 9.0 #0000ff   | /Safety Day 7
x=  44.2 y= 752.3 sz= 9.0 black     | Day 7
x= 388.2 y= 754.0 sz= 6.8 black     | Scheduled
x= 216.8 y= 757.5 sz= 9.0 #0000ff   | ECG (RScribe)
x= 216.8 y= 768.0 sz= 9.0 #0000ff   | ECG Triplicate (RScribe)
x= 216.8 y= 778.4 sz= 9.0 #0000ff   | Study Drug Administration - Combined
x= 216.8 y= 788.8 sz= 9.0 #0000ff   | Vital Signs - Orthostatic
x=  36.0 y= 817.4 sz= 9.0 black     | Annotated CRF
x= 278.9 y= 817.4 sz= 9.0 black     | 15 of 238
x= 445.8 y= 817.4 sz= 9.0 black     | https://drvince.clinspark.com
