form_name,field_name,page
Sponsor Name: Otsuka Pharmaceutical Development &,DM-010-F02-04,1
Sponsor Name: Otsuka Pharmaceutical Development &,Sponsor Name: Otsuka Pharmaceutical Development &,1
Sponsor Name: Otsuka Pharmaceutical Development &,"Otsuka Pharmaceutical Development & Commercialization, Inc",1
Sponsor Name: Otsuka Pharmaceutical Development &,"A Phase 1, Open-label, Single-sequence Pharmacokinetic Trial to",1
Sponsor Name: Otsuka Pharmaceutical Development &,Assess the Effect of a Single Oral Dose of SEP-380135 on the,1
Sponsor Name: Otsuka Pharmaceutical Development &,Potential for Cytochrome P450 2D6 Mediated Drug-drug,1
Sponsor Name: Otsuka Pharmaceutical Development &,Interactions in Healthy Adults,1
Sponsor Name: Otsuka Pharmaceutical Development &,Becky Sease,1
Sponsor Name: Otsuka Pharmaceutical Development &,20MAR2025,1
Sponsor Name: Otsuka Pharmaceutical Development &,20MAY2025*,1
Sponsor Name: Otsuka Pharmaceutical Development &,*Correction of date which was inadvertently recorded as MAR instead of MAY.,1
Sponsor Name: Otsuka Pharmaceutical Development &,BAS29APR2025,1
Sponsor Name: Otsuka Pharmaceutical Development &,____________________________________________________________________________,2
Sponsor Name: Otsuka Pharmaceutical Development &,"Lora Adriano, Study Manager or designee",2
Sponsor Name: Otsuka Pharmaceutical Development &,Dr. Vince Clinical Research,2
Sponsor Name: Otsuka Pharmaceutical Development &,"Becky Sease, Lead Data Manager or designee",2
Sponsor Name: Otsuka Pharmaceutical Development &,"Lorri Cefalone, Senior Data Manager",2
Sponsor Name: Otsuka Pharmaceutical Development &,Otsuka,2
Sponsor Name: Otsuka Pharmaceutical Development &,CDISC Legend,4
Sponsor Name: Otsuka Pharmaceutical Development &,Scheduled Activities Study Events Forms Item Groups Items Measurement Units Code Lists,4
Screening,Re-Screen,5
Screening,Demographics,5
Screening,Contraception - Male_V3,5
Screening,Contraception - Male_V2 (archived),5
Screening,Contraception - Male (archived),5
Screening,Contraception - Female,5
Screening,Lifestyle History,5
Screening,Concomitant Medications - Screening,5
Screening,Urine Collection - Screening,5
Screening,Height / Weight / BMI,5
Screening,ECG (RScribe) Screening,5
Screening,Vital Signs - Orthostatic Screening/Admission,5
Screening,Blood Collection - Screening,5
Screening,Medical History,5
Screening,Physical Examination - Screening,5
Screening,C-SSRS - Baseline/Screening,5
Screening,Mapping Questions,5
Screening,Reminders,5
Screening,Stipend Earned,5
Screening,Disposition,5
Admission,Blood Collection - Admission Day -2,6
Admission,Physical Examination - Full,6
Admission,C-SSRS - Since Last Visit,6
Admission,Admission Questionnaire,6
Admission,Bag Check Admission,6
Admission,Urine Collection - Admission,6
Admission,Weight / BMI,6
Admission,Lunch Start,6
Admission,Lunch End,6
Admission,ECG (RScribe) Admission,6
Admission,Vital Signs - Orthostatic Screening/Admission,6
Admission,Dinner Start,6
Admission,Dinner End,6
Admission,Snack Start,6
Admission,Snack End,6
Admission,Disposition,6
Admission,Stipend Earned,6
Study Event,Urine Collection - UA,7
Study Event,AE / CM Review,7
Study Event,Weight / BMI,7
Study Event,ECG/Vital Signs Position,7
Study Event,ECG Triplicate (RScribe) - Baseline,7
Study Event,Vital Signs - Orthostatic,7
Study Event,Physical Examination - Full,7
Study Event,C-SSRS - Since Last Visit,7
Study Event,Blood Collection - Baseline Day -1,7
Study Event,Reference Time,7
Study Event,Urine Collection - PK - Active Interval Collection (0-2),7
Study Event,Enrollment,7
Study Event,Urine Collection - PK - Active Interval Collection (2-4),7
Study Event,Urine Collection - PK - Interval End (0-2) – LAB USE ONLY,7
Study Event,Blood Collection - PD Creatinine,7
Study Event,Urine Collection - PK - Active Interval Collection (4-8),7
Study Event,Urine Collection - PK - Interval End (2-4) – LAB USE ONLY,7
Study Event,Lunch Start,7
Study Event,Lunch End,7
Study Event,Urine Collection - PK - Active Interval Collection (8-12),7
Study Event,Urine Collection - PK - Interval End (4-8) – LAB USE ONLY,7
Study Event,Dinner Start,7
Study Event,Dinner End,7
Study Event,Urine Collection - PK - Active Interval Collection (12-24),7
Study Event,Urine Collection - PK - Interval End (8-12) – LAB USE ONLY,7
Study Event,Snack Start,7
Study Event,Snack End,7
Study Event,Stipend Earned,7
Study Event,Urine Collection - PK - Interval End (12-24) – LAB USE ONLY,7
Treatment,Water Restriction Start,8
Treatment,Urine Collection - UA During Interval,8
Treatment,AE / CM Review,8
Treatment,Study Drug Transfer Log - Combined,8
Treatment,ECG/Vital Signs Position,8
Treatment,ECG Triplicate (RScribe),8
Treatment,Vital Signs - Orthostatic,8
Treatment,Blood Collection - PK SEP/PD Creatinine/PGx/ Safety Day 1,8
Treatment,Urine Collection - PK - Active Interval Collection (0-2) - Day 1,8
Treatment,Investigator Dose Approval,8
Treatment,Study Drug Administration - SEP-380135,8
Treatment,Blood Collection - PK SEP,8
Treatment,ECG Position,8
Treatment,ECG (RScribe),8
Treatment,Suite Restriction End,8
Treatment,Urine Collection - PK - Active Interval Collection (2-4),8
Treatment,Urine Collection - PK - Interval End (0-2) – LAB USE ONLY,8
Treatment,Blood Collection - PK SEP/PD Creatine,8
Treatment,Water Restriction End,8
Treatment,Vital Signs Position,8
