form_name,field_name,page
AE / CM,Were any adverse events experienced?,21
AE / CM,Start date and time,21
AE / CM,Ongoing?,21
AE / CM,End date and time,21
AE / CM,Adverse event term,21
AE / CM,Is this a treatment emergent adverse event?,21
AE / CM,Is this an Immediately Reportable Event (IRE)?,21
AE / CM,Severity,22
AE / CM,Relationship to investigational product,22
AE / CM,Action taken with investigational product,22
AE / CM,Was a concomitant medication given?,22
AE / CM,Were any other actions taken in response to this adverse,22
AE / CM,Other action taken,22
AE / CM,Outcome,22
AE / CM,Was the adverse event an SAE?,23
AE / CM,Was the serious adverse event associated with a,23
AE / CM,congenital anomaly or birth defect?,23
AE / CM,Did the serious adverse event result in persistent,23
AE / CM,significant disability or incapacity?,23
AE / CM,Did the serious adverse event result in death?,23
AE / CM,Death date,23
AE / CM,Did the serious adverse event result in initial or prolonged,23
AE / CM,hospitalization for the volunteer?,23
AE / CM,Is the serious adverse event life threatening?,24
AE / CM,Was the adverse event a medically important event not,24
AE / CM,covered by other serious criteria?,24
AE / CM,Concomitant medication or therapy,24
AE / CM,Indication,24
AE / CM,Route of administration,24
AE / CM,Total dose,24
AE / CM,Dose unit,25
AE / CM,Dose form,25
AE / CM,Frequency,25
AE / CM,Administration start date and time,25
AE / CM,Administration ongoing?,25
AE / CM,Administration end date and time,26
Blood Collection - Admission Day -2,Were the sample(s) collected?,27
Blood Collection - Baseline Day -1,Were the sample(s) collected?,28
Blood Collection - Baseline Day -1,Creatinine collection date and time,28
Blood Collection - PD Creatinine,Was the sample collected?,29
Blood Collection - PD Creatinine,Creatinine collection date and time,29
Blood Collection - PK Quinidine,Was the sample collected?,30
Blood Collection - PK Quinidine,PK Quinidine collection date and time,30
Blood Collection - PK SEP,Was the sample collected?,31
Blood Collection - PK SEP,PK SEP collection date and time,31
Blood Collection - PK SEP and Safety,Were the sample(s) collected?,32
Blood Collection - PK SEP and Safety,PK SEP collection date and time,32
Blood Collection - PK SEP/PD Creatine,Was the sample collected?,33
Blood Collection - PK SEP/PD Creatine,PK SEP collection date and time,33
Blood Collection - PK SEP/PD Creatine,Creatinine collection date and time,33
Blood Collection - PK SEP/PD Creatine/Glucose/Insulin,Was the sample collected?,34
Blood Collection - PK SEP/PD Creatine/Glucose/Insulin,PK SEP collection date and time,34
Blood Collection - PK SEP/PD Creatine/Glucose/Insulin,Creatinine collection date and time,34
Blood Collection - PK SEP/PD Creatinine/PGx/ Safety Day 1,Were the sample(s) collected?,35
Blood Collection - PK SEP/PD Creatinine/PGx/ Safety Day 1,PK SEP collection date and time,35
Blood Collection - PK SEP/PD Creatinine/PGx/ Safety Day 1,Creatinine collection date and time,35
Blood Collection - PK SEP/PD Creatinine/PGx/ Safety Day 1,PGx collection date and time,35
Blood Collection - PK SEP/PK Quinidine,Was the sample collected?,36
Blood Collection - PK SEP/PK Quinidine,PK SEP collection date and time,36
Blood Collection - PK SEP/PK Quinidine,PK Quinidine collection date and time,36
Blood Collection - PK SEP/PK Quinidine/Safety Day 7,Were the sample(s) collected?,37
Blood Collection - PK SEP/PK Quinidine/Safety Day 7,PK SEP collection date and time,37
Blood Collection - PK SEP/PK Quinidine/Safety Day 7,PK Quinidine collection date and time,37
Blood Collection - Safety,Were the sample(s) collected?,38
Blood Collection - Screening,Were the sample(s) collected?,39
Blood Collection - Screening,"If yes, describe:",41
Blood Collection - Screening,Have you been thinking about how you might do this?,41
Blood Collection - Screening,(Lifetime).,41
Blood Collection - Screening,(Past 12 Months).,41
Blood Collection - Screening,Have you had these thoughts and had some intention of,41
Blood Collection - Screening,acting on them? (Lifetime).,41
Blood Collection - Screening,Have you had these thoughts and had some intention of,42
Blood Collection - Screening,acting on them? (Past 12 Months).,42
Blood Collection - Screening,"If yes, describe:",42
Blood Collection - Screening,Have you started to work out or worked out the details of,42
Blood Collection - Screening,how to kill yourself? Do you intend to carry out this plan?,42
Blood Collection - Screening,(Lifetime).,42
Blood Collection - Screening,(Past 12 Months).,42
Blood Collection - Screening,Most severe ideation. (Lifetime).,42
Blood Collection - Screening,Description of most severe ideation. (Lifetime).,42
Blood Collection - Screening,Most severe ideation. (Past 12 Months).,43
Blood Collection - Screening,Description of most severe ideation. (Past 12 Months).,43
Blood Collection - Screening,Frequency (Lifetime),43
Blood Collection - Screening,Frequency (Past 12 Months),43
Blood Collection - Screening,Duration (Lifetime),43
Blood Collection - Screening,Duration (Past 12 Months),43
Blood Collection - Screening,Controllability (Lifetime),43
Blood Collection - Screening,Controllability (Past 12 Months),43
Blood Collection - Screening,Deterrents (Lifetime),43
Blood Collection - Screening,Deterrents (Past 12 Months),43
Blood Collection - Screening,Reasons for Ideation (Lifetime),44
Blood Collection - Screening,Reasons for Ideation (Past 12 Months),44
Blood Collection - Screening,"purely for other reasons / without ANY intention of killing yourself (like to relieve stress, feel better, get sympathy, or get something else to happen)? (Self-Injurious Behavior",44
Blood Collection - Screening,"yourself (like to relieve stress, feel better, get sympathy, or get something else to happen)? (Self-Injurious Behavior",44
Blood Collection - Screening,get something else to happen)? (Self-Injurious Behavior,44
Blood Collection - Screening,without suicidal intent),44
Blood Collection - Screening,Total number of actual attempts.,44
Blood Collection - Screening,"If yes, describe:",44
Blood Collection - Screening,Has the subject engaged in non-suicidal self-injurious,45
Blood Collection - Screening,behavior.,45
Blood Collection - Screening,Interrupted Attempt: Has there been a time when you started to do something to try to end your life but someone or something stopped you before you actually did anything?,45
Blood Collection - Screening,started to do something to try to end your life but someone or something stopped you before you actually did anything?,45
Blood Collection - Screening,or something stopped you before you actually did anything?,45
