form_name,field_name,page
AE / CM,Were any adverse events experienced?,21
AE / CM,Start date and time,21
AE / CM,Ongoing?,21
AE / CM,End date and time,21
AE / CM,Adverse event term,21
AE / CM,Is this a treatment emergent adverse event?,21
AE / CM,Is this an Immediately Reportable Event (IRE)?,21
,Severity,22
,Relationship to investigational product,22
,Action taken with investigational product,22
,Was a concomitant medication given?,22
,Were any other actions taken in response to this adverse event?,22
,Other action taken,22
,Annotated CRF,22
,Was the serious adverse event associated with a congenital anomaly or birth defect?,23
,Did the serious adverse event result in persistent significant disability or incapacity?,23
,Death date,23
,Did the serious adverse event result in initial or prolonged hospitalization for the volunteer?,23
,Is the serious adverse event life threatening?,24
,Was the adverse event a medically important event not covered by other serious criteria?,24
,Concomitant medication or therapy,24
,Indication,24
,Route of administration,24
,Total dose,24
,Dose unit,25
,Dose form,25
,Frequency,25
,Administration start date and time,25
,Administration ongoing?,25
,Annotated CRF,25
Blood Collection - Admission Day -2,Were the sample(s) collected?,27
Blood Collection - Baseline Day -1,Were the sample(s) collected?,28
Blood Collection - Baseline Day -1,Creatinine collection date and time,28
Blood Collection - PD Creatinine,Was the sample collected?,29
Blood Collection - PD Creatinine,Creatinine collection date and time,29
Blood Collection - PK Quinidine,Was the sample collected?,30
Blood Collection - PK Quinidine,PK Quinidine collection date and time,30
Blood Collection - PK SEP,Was the sample collected?,31
Blood Collection - PK SEP,PK SEP collection date and time,31
Blood Collection - PK SEP and Safety,Were the sample(s) collected?,32
Blood Collection - PK SEP and Safety,PK SEP collection date and time,32
Blood Collection - PK SEP/PD Creatine,Was the sample collected?,33
Blood Collection - PK SEP/PD Creatine,PK SEP collection date and time,33
Blood Collection - PK SEP/PD Creatine,Creatinine collection date and time,33
Blood Collection - PK SEP/PD Creatine/Glucose/Insulin,Was the sample collected?,34
Blood Collection - PK SEP/PD Creatine/Glucose/Insulin,PK SEP collection date and time,34
Blood Collection - PK SEP/PD Creatine/Glucose/Insulin,Creatinine collection date and time,34
Blood Collection - PK SEP/PD Creatinine/PGx/ Safety Day 1,Were the sample(s) collected?,35
Blood Collection - PK SEP/PD Creatinine/PGx/ Safety Day 1,PK SEP collection date and time,35
Blood Collection - PK SEP/PD Creatinine/PGx/ Safety Day 1,Creatinine collection date and time,35
Blood Collection - PK SEP/PD Creatinine/PGx/ Safety Day 1,PGx collection date and time,35
Blood Collection - PK SEP/PK Quinidine,Was the sample collected?,36
Blood Collection - PK SEP/PK Quinidine,PK SEP collection date and time,36
Blood Collection - PK SEP/PK Quinidine,PK Quinidine collection date and time,36
Blood Collection - PK SEP/PK Quinidine/Safety Day 7,Were the sample(s) collected?,37
Blood Collection - PK SEP/PK Quinidine/Safety Day 7,PK SEP collection date and time,37
Blood Collection - PK SEP/PK Quinidine/Safety Day 7,PK Quinidine collection date and time,37
Blood Collection - Safety,Were the sample(s) collected?,38
Blood Collection - Screening,Were the sample(s) collected?,39
C-SSRS - Baseline/Screening,Date and Time of Collection,40
C-SSRS - Baseline/Screening,Have you wished you were dead or wished you could go to sleep and not wake up? (Lifetime).,40
C-SSRS - Baseline/Screening,Have you wished you were dead or wished you could go to sleep and not wake up? (Past 12 Months).,40
C-SSRS - Baseline/Screening,"If yes, describe:",40
C-SSRS - Baseline/Screening,Have you actually had any thoughts of killing yourself? (Lifetime).,40
C-SSRS - Baseline/Screening,Have you actually had any thoughts of killing yourself? (Past 12 Months).,40
,"If yes, describe:",41
,Have you been thinking about how you might do this? (Lifetime).,41
,Have you been thinking about how you might do this? (Past 12 Months).,41
,Have you had these thoughts and had some intention of acting on them? (Lifetime).,41
,"If yes, describe:",42
,Have you started to work out or worked out the details of how to kill yourself? Do you intend to carry out this plan? (Lifetime).,42
,Have you started to work out or worked out the details of how to kill yourself? Do you intend to carry out this plan? (Past 12 Months).,42
,Most severe ideation. (Lifetime).,42
,Description of most severe ideation. (Lifetime).,42
,Most severe ideation. (Past 12 Months).,43
,Description of most severe ideation. (Past 12 Months).,43
,Frequency (Lifetime),43
,Frequency (Past 12 Months),43
,Duration (Lifetime),43
,Duration (Past 12 Months),43
,Controllability (Lifetime),43
,Controllability (Past 12 Months),43
,Deterrents (Lifetime),43
,Deterrents (Past 12 Months),43
,without suicidal intent),44
,Total number of actual attempts.,44
,"If yes, describe:",44
,Has the subject engaged in non-suicidal self-injurious behavior.,45
,"If yes, describe:",45
,yourself before you actually did anything?,45
,Total number of aborted attempts.,45
,Annotated CRF,45
,"yourself (such as collecting pills, getting a gun, giving valuables away or writing a suicide note)?",46
,"If yes, describe:",46
,Suicidal Behavior:,46
,Most Recent Attempt Date:,46
,Actual Lethality/Medical Damage:,46
,Potential Lethality: Only Answer if Actual Lethality=0,46
,Most Lethal Attempt Date:,47
,Actual Lethality/Medical Damage:,47
,Potential Lethality: Only Answer if Actual Lethality=0,47
,Initial/First attempt date,47
,Actual lethality/medical damage.,47
,Potential Lethality: Only answer if actual lethality = 0,47
C-SSRS - Since Last Visit,Date and Time of Collection,48
C-SSRS - Since Last Visit,Have you wished you were dead or wished you could go to sleep and not wake up since last visit?,48
C-SSRS - Since Last Visit,"If yes, describe:",48
C-SSRS - Since Last Visit,Have you actually had any thoughts of killing yourself since last visit?,48
C-SSRS - Since Last Visit,Have you been thinking about how you might do this since last visit?,48
,"If yes, describe:",49
,Have you had these thoughts and had some intention of acting on them since last visit?,49
,Have you started to work out or worked out the details of how to kill yourself since your last visit? Do you intend to carry out this plan?,49
,Most Severe Ideation,49
,Description of Ideation,49
,Frequency,50
,Duration,50
,Controllability,50
,Deterrents,50
