x=  36.0 y=  11.5 sz= 9.0 black     | 384-201-00004
x= 207.8 y=  34.7 sz= 9.0 black     | C-SSRS - Since Last Visit
x= 448.0 y=  40.1 sz= 7.2 black     | Conditionally Visible
x= 448.0 y=  48.4 sz= 7.2 black     | Form: Early Termination
x= 448.0 y=  56.7 sz= 7.2 black     | Study Event: Early
x=  44.2 y=  62.2 sz= 9.0 black     | Early Termination
x= 138.1 y=  62.2 sz= 9.0 black     | 00:35:00 (9)
x= 448.0 y=  65.0 sz= 7.2 black     | Termination
x= 448.0 y=  73.4 sz= 7.2 black     | Timepoint: -00:10:00 (9)
x= 448.0 y=  81.7 sz= 7.2 black     | Conditional Item: ETREQ
x= 448.0 y=  90.0 sz= 7.2 black     | Visible If Value: Y = Yes
x= 207.8 y= 109.1 sz= 9.0 black     | Reminders
x= 448.0 y= 117.5 sz= 7.2 black     | Conditionally Visible
x= 448.0 y= 125.8 sz= 7.2 black     | Form: Early Termination
x= 448.0 y= 134.1 sz= 7.2 black     | Study Event: Early
x=  44.2 y= 141.1 sz= 9.0 black     | Early Termination
x= 138.1 y= 141.1 sz= 9.0 black     | 00:40:00 (9)
x= 448.0 y= 142.5 sz= 7.2 black     | Termination
x= 448.0 y= 150.8 sz= 7.2 black     | Timepoint: -00:10:00 (9)
x= 448.0 y= 159.1 sz= 7.2 black     | Conditional Item: ETREQ
x= 448.0 y= 167.4 sz= 7.2 black     | Visible If Value: Y = Yes
x= 207.8 y= 186.5 sz= 9.0 black     | Bag Check Discharge
x= 448.0 y= 194.9 sz= 7.2 black     | Conditionally Visible
x= 448.0 y= 203.2 sz= 7.2 black     | Form: Early Termination
x= 448.0 y= 211.5 sz= 7.2 black     | Study Event: Early
x=  44.2 y= 218.5 sz= 9.0 black     | Early Termination
x= 138.1 y= 218.5 sz= 9.0 black     | 00:45:00 (9)
x= 448.0 y= 219.8 sz= 7.2 black     | Termination
x= 448.0 y= 228.2 sz= 7.2 black     | Timepoint: -00:10:00 (9)
x= 448.0 y= 236.5 sz= 7.2 black     | Conditional Item: ETREQ
x= 448.0 y= 244.8 sz= 7.2 black     | Visible If Value: Y = Yes
x= 207.8 y= 263.9 sz= 9.0 black     | Discharge Summary
x= 448.0 y= 272.3 sz= 7.2 black     | Conditionally Visible
x= 448.0 y= 280.6 sz= 7.2 black     | Form: Early Termination
x= 448.0 y= 288.9 sz= 7.2 black     | Study Event: Early
x=  44.2 y= 295.9 sz= 9.0 black     | Early Termination
x= 138.1 y= 295.9 sz= 9.0 black     | 00:45:00 (9)
x= 448.0 y= 297.3 sz= 7.2 black     | Termination
x= 448.0 y= 305.6 sz= 7.2 black     | Timepoint: -00:10:00 (9)
x= 448.0 y= 313.9 sz= 7.2 black     | Conditional Item: ETREQ
x= 448.0 y= 322.2 sz= 7.2 black     | Visible If Value: Y = Yes
x= 207.8 y= 341.3 sz= 9.0 black     | Disposition
x= 448.0 y= 349.7 sz= 7.2 black     | Conditionally Visible
x= 448.0 y= 358.0 sz= 7.2 black     | Form: Early Termination
x= 448.0 y= 366.3 sz= 7.2 black     | Study Event: Early
x=  44.2 y= 373.3 sz= 9.0 black     | Early Termination
x= 138.1 y= 373.3 sz= 9.0 black     | 00:50:00 (9)
x= 448.0 y= 374.7 sz= 7.2 black     | Termination
x= 448.0 y= 383.0 sz= 7.2 black     | Timepoint: -00:10:00 (9)
x= 448.0 y= 391.3 sz= 7.2 black     | Conditional Item: ETREQ
x= 448.0 y= 399.6 sz= 7.2 black     | Visible If Value: Y = Yes
x=  36.0 y= 817.4 sz= 9.0 black     | Annotated CRF
x= 278.9 y= 817.4 sz= 9.0 black     | 13 of 238
x= 445.8 y= 817.4 sz= 9.0 black     | https://drvince.clinspark.com
