x=  36.0 y=  11.5 sz= 9.0 black     | 384-201-00004
x=  46.5 y=  34.9 sz= 7.5 black     | [SAS Field Name: PEORRES]
x= 253.0 y=  35.1 sz= 6.4 #808080   | Code List: PE_RESULT
x= 453.5 y=  35.2 sz= 5.6 black     | Description: Examination result
x= 453.5 y=  41.8 sz= 5.6 black     | Mandatory?: Yes
x= 453.5 y=  48.3 sz= 5.6 black     | Disallow Future Date: Yes
x= 453.5 y=  70.5 sz= 5.6 black   B | PECLSIG
x= 453.5 y=  77.1 sz= 5.6 black     | Format: $3
x= 453.5 y=  83.6 sz= 5.6 black     | Data Type: string
x= 453.5 y=  90.2 sz= 5.6 black     | Origin: CRF
x= 453.5 y=  96.7 sz= 5.6 black     | Conditionally Visible
x= 453.5 y= 103.2 sz= 5.6 black     | Conditional Item: PEORRES
x=  46.5 y= 108.4 sz= 7.5 black     | Clinical significance
x= 453.5 y= 109.7 sz= 5.6 black     | Visible If Value: ABNORMAL =
x= 249.2 y= 111.6 sz= 7.5 black     | O CS
x= 453.5 y= 116.3 sz= 5.6 black     | Abnormal
x= 249.2 y= 120.3 sz= 7.5 black     | O NCS
x= 453.5 y= 122.8 sz= 5.6 black     | Aliases:
x=  46.5 y= 125.8 sz= 7.5 black     | [PECLSIG]
x= 456.5 y= 129.3 sz= 5.6 black     | Odm OID = I.5937
x= 253.0 y= 132.9 sz= 6.4 #808080   | Code List: PE Significance
x=  46.5 y= 134.5 sz= 7.5 black     | [SAS Field Name: PECLSIG]
x= 453.5 y= 135.8 sz= 5.6 black     | Description: Clinical significance
x= 453.5 y= 142.4 sz= 5.6 black     | Edit Checks:
x= 456.5 y= 149.0 sz= 5.6 black   B | Name: TEMPLATE_PECLSIG:
x= 456.5 y= 155.7 sz= 5.6 black   B | Value =
x= 470.9 y= 155.8 sz= 5.6 black     | NCS
x= 456.5 y= 162.3 sz= 5.6 black     | Description: Value should = NCS
x= 453.5 y= 168.8 sz= 5.6 black     | Mandatory?: Yes
x= 453.5 y= 175.4 sz= 5.6 black     | Disallow Future Date: Yes
x= 453.5 y= 197.6 sz= 5.6 black   B | PEDESC
x= 453.5 y= 204.2 sz= 5.6 black     | Format: $200
x= 453.5 y= 210.7 sz= 5.6 black     | Data Type: text
x= 453.5 y= 217.3 sz= 5.6 black     | Origin: CRF
x=  46.5 y= 222.3 sz= 7.5 black     | Abnormal findings
x= 453.5 y= 223.8 sz= 5.6 black     | Conditionally Visible
x= 453.5 y= 230.3 sz= 5.6 black     | Conditional Item: PEORRES
x= 249.2 y= 235.3 sz= 7.5 black     | [____________________]
x= 453.5 y= 236.8 sz= 5.6 black     | Visible If Value: ABNORMAL =
x=  46.5 y= 239.7 sz= 7.5 black     | [PEDESC]
x= 453.5 y= 243.4 sz= 5.6 black     | Abnormal
x=  46.5 y= 248.4 sz= 7.5 black     | [SAS Field Name: PEDESC]
x= 453.5 y= 249.9 sz= 5.6 black     | Aliases:
x= 456.5 y= 256.4 sz= 5.6 black     | Odm OID = I.6775
x= 453.5 y= 262.9 sz= 5.6 black     | Description: Abnormal Description PE
x= 453.5 y= 269.5 sz= 5.6 black     | Mandatory?: Yes
x= 453.5 y= 276.0 sz= 5.6 black     | Disallow Future Date: Yes
x=  43.5 y= 296.3 sz=10.5 #31708f   | Neck/Lymphatic
x= 315.1 y= 296.9 sz= 8.4 #31708f B | Origin: CRF; Repeating: No; Conditionally Visible; Domain: PE
x=  49.5 y= 311.5 sz= 6.8 #808080 B | Role Restriction:
x= 104.1 y= 311.5 sz= 6.8 #808080   | Investigator
x= 453.5 y= 334.3 sz= 5.6 black   B | PETEST
x= 453.5 y= 340.9 sz= 5.6 black     | Format: $
x= 453.5 y= 347.4 sz= 5.6 black     | Data Type: string
x=  46.5 y= 349.1 sz= 7.5 black     | Body system
x= 453.5 y= 353.9 sz= 5.6 black     | Origin: CRF
x= 249.2 y= 356.6 sz= 7.5 black     | O Neck/Lymphatic
x= 453.5 y= 360.4 sz= 5.6 black     | Default Item Value: NECK
x=  46.5 y= 366.5 sz= 7.5 black     | [PETEST_NECK/LYMPHATIC]
x= 453.5 y= 367.0 sz= 5.6 black     | /LYMPHATIC
x= 253.0 y= 369.3 sz= 6.4 #808080   | Code List: PE Neck/Lymphatic
x= 453.5 y= 373.5 sz= 5.6 black     | Description: Body system - NECK
x=  46.5 y= 375.2 sz= 7.5 black     | [SAS Field Name: PETEST]
x= 453.5 y= 380.0 sz= 5.6 black     | /LYMPHATIC
x= 453.5 y= 386.5 sz= 5.6 black     | Mandatory?: Yes
x= 453.5 y= 393.1 sz= 5.6 black     | Disallow Future Date: Yes
x= 453.5 y= 415.3 sz= 5.6 black   B | PEORRES
x= 453.5 y= 421.9 sz= 5.6 black     | Format: $200
x=  46.5 y= 426.9 sz= 7.5 black     | Examination result
x= 453.5 y= 428.4 sz= 5.6 black     | Data Type: string
x= 249.2 y= 430.1 sz= 7.5 black     | O Normal
x= 453.5 y= 434.9 sz= 5.6 black     | Origin: CRF
x= 249.2 y= 438.8 sz= 7.5 black     | O Abnormal
x= 453.5 y= 441.5 sz= 5.6 black     | Aliases:
x=  46.5 y= 444.3 sz= 7.5 black     | [PEORRES]
x= 456.5 y= 448.0 sz= 5.6 black     | Odm OID = I.6774
x= 253.0 y= 451.4 sz= 6.4 #808080   | Code List: PE_RESULT
x=  46.5 y= 453.0 sz= 7.5 black     | [SAS Field Name: PEORRES]
x= 453.5 y= 454.5 sz= 5.6 black     | Description: Examination result
x= 453.5 y= 461.0 sz= 5.6 black     | Mandatory?: Yes
x= 453.5 y= 467.6 sz= 5.6 black     | Disallow Future Date: Yes
x= 453.5 y= 489.8 sz= 5.6 black   B | PECLSIG
x= 453.5 y= 496.4 sz= 5.6 black     | Format: $3
x= 453.5 y= 502.9 sz= 5.6 black     | Data Type: string
x= 453.5 y= 509.5 sz= 5.6 black     | Origin: CRF
x= 453.5 y= 516.0 sz= 5.6 black     | Conditionally Visible
x= 453.5 y= 522.5 sz= 5.6 black     | Conditional Item: PEORRES
x=  46.5 y= 527.7 sz= 7.5 black     | Clinical significance
x= 453.5 y= 529.0 sz= 5.6 black     | Visible If Value: ABNORMAL =
x= 249.2 y= 530.9 sz= 7.5 black     | O CS
x= 453.5 y= 535.6 sz= 5.6 black     | Abnormal
x= 249.2 y= 539.6 sz= 7.5 black     | O NCS
x= 453.5 y= 542.1 sz= 5.6 black     | Aliases:
x=  46.5 y= 545.1 sz= 7.5 black     | [PECLSIG]
x= 456.5 y= 548.6 sz= 5.6 black     | Odm OID = I.5937
x= 253.0 y= 552.2 sz= 6.4 #808080   | Code List: PE Significance
x=  46.5 y= 553.8 sz= 7.5 black     | [SAS Field Name: PECLSIG]
x= 453.5 y= 555.1 sz= 5.6 black     | Description: Clinical significance
x= 453.5 y= 561.7 sz= 5.6 black     | Edit Checks:
x= 456.5 y= 568.3 sz= 5.6 black   B | Name: TEMPLATE_PECLSIG:
x= 456.5 y= 575.0 sz= 5.6 black   B | Value =
x= 470.9 y= 575.0 sz= 5.6 black     | NCS
x= 456.5 y= 581.6 sz= 5.6 black     | Description: Value should = NCS
x= 453.5 y= 588.1 sz= 5.6 black     | Mandatory?: Yes
x= 453.5 y= 594.7 sz= 5.6 black     | Disallow Future Date: Yes
x= 453.5 y= 616.9 sz= 5.6 black   B | PEDESC
x= 453.5 y= 623.5 sz= 5.6 black     | Format: $200
x= 453.5 y= 630.0 sz= 5.6 black     | Data Type: text
x= 453.5 y= 636.5 sz= 5.6 black     | Origin: CRF
x=  46.5 y= 641.6 sz= 7.5 black     | Abnormal findings
x= 453.5 y= 643.1 sz= 5.6 black     | Conditionally Visible
x= 453.5 y= 649.6 sz= 5.6 black     | Conditional Item: PEORRES
x= 249.2 y= 654.6 sz= 7.5 black     | [____________________]
x= 453.5 y= 656.1 sz= 5.6 black     | Visible If Value: ABNORMAL =
x=  46.5 y= 659.0 sz= 7.5 black     | [PEDESC]
x= 453.5 y= 662.6 sz= 5.6 black     | Abnormal
x=  46.5 y= 667.7 sz= 7.5 black     | [SAS Field Name: PEDESC]
x= 453.5 y= 669.2 sz= 5.6 black     | Aliases:
x= 456.5 y= 675.7 sz= 5.6 black     | Odm OID = I.5985
x= 453.5 y= 682.2 sz= 5.6 black     | Description: Abnormal Description PE
x= 453.5 y= 688.7 sz= 5.6 black     | Mandatory?: Yes
x= 453.5 y= 695.3 sz= 5.6 black     | Disallow Future Date: Yes
x=  43.5 y= 715.6 sz=10.5 #31708f   | Respiratory
x= 315.1 y= 716.2 sz= 8.4 #31708f B | Origin: CRF; Repeating: No; Conditionally Visible; Domain: PE
x=  49.5 y= 730.8 sz= 6.8 #808080 B | Aliases:
x=  75.7 y= 730.8 sz= 6.8 #808080   | Odm OID = IG.1777
x= 297.9 y= 730.8 sz= 6.8 #808080 B | Role Restriction:
x= 352.5 y= 730.8 sz= 6.8 #808080   | Investigator
x= 453.5 y= 753.6 sz= 5.6 black   B | PETEST
x= 453.5 y= 760.1 sz= 5.6 black     | Format: $11
x= 453.5 y= 766.7 sz= 5.6 black     | Data Type: string
x= 453.5 y= 773.2 sz= 5.6 black     | Origin: CRF
x=  46.5 y= 774.6 sz= 7.5 black     | Body system
x= 453.5 y= 779.7 sz= 5.6 black     | Default Item Value: RESPIRATORY
