form_name,field_name,page
AE / CM,Were any adverse events experienced?,3
AE / CM,Start date and time,3
AE / CM,Ongoing?,3
AE / CM,End date and time,3
AE / CM,Adverse event term,3
AE / CM,Is this a treatment emergent adverse event?,3
AE / CM,Is this an adverse event of special interest?,3
Blood Collection - PGx (Predose),PGx collection date and time,9
Blood Collection - PK SEP,PK SEP collection date and time,10
Blood Collection - PK SEP/PD Creatine,PK SEP collection date and time,11
Blood Collection - PK SEP/PD Creatinine/Safety Day 1,PK SEP collection date and time,12
Blood Collection - PK SEP/PK Quinidine,PK SEP collection date and time,13
Blood Collection - PK SEP/PK Quinidine/Safety Day 7,PK SEP collection date and time,14
C-SSRS - Baseline/Screening,Date and Time of Collection,15
C-SSRS - Baseline/Screening,Have you wished you were dead or wished you could go to,15
C-SSRS - Baseline/Screening,sleep and not wake up? (Lifetime).,15
C-SSRS - Baseline/Screening,sleep and not wake up? (Past 6 Months).,15
C-SSRS - Baseline/Screening,"If yes, describe:",15
C-SSRS - Baseline/Screening,Have you actually had any thoughts of killing yourself?,15
C-SSRS - Baseline/Screening,(Lifetime).,15
C-SSRS - Baseline/Screening,(Past 6 Months).,15
C-SSRS - Since Last Visit,Date and Time of Collection,23
C-SSRS - Since Last Visit,Have you wished you were dead or wished you could go to,23
C-SSRS - Since Last Visit,sleep and not wake up since last visit?,23
C-SSRS - Since Last Visit,"If yes, describe:",23
C-SSRS - Since Last Visit,Have you actually had any thoughts of killing yourself since,23
C-SSRS - Since Last Visit,last visit?,23
C-SSRS - Since Last Visit,Have you been thinking about how you might do this since,23
CM related to MH,Enter medical history the concomitant medication is being,29
CM related to MH,given for,29
CM related to MH,Concomitant medication or therapy,29
CM related to MH,Route of administration,29
CM related to MH,Total dose,29
CM related to MH,Dose form,29
Concomitant Medications - Screening,Were any concomitant medications taken?,31
Concomitant Medications - Screening,Concomitant medication or therapy,31
Concomitant Medications - Screening,Route of administration,31
Concomitant Medications - Screening,Total dose,31
Concomitant Medications - Screening,Dose form,31
Concomitant Medications - Screening,Dose unit,31
Demographics,Date of demographic collection,33
Demographics,Age,33
Demographics,Sex,33
Demographics,Ethnicity,33
Demographics,American Indian Or Alaska Native,33
Demographics,Asian,33
Demographics,Black Or African American,33
Demographics,Native Hawaiian Or Other Pacific Islander,33
Demographics,White,33
Disposition,Date of volunteer completion or discontinuation,35
Disposition,Completion/Reason for Non-Completion,35
Disposition,Date of Death,35
Disposition,Adverse Event term,35
Disposition,What randomization criteria did the volunteer not meet?,35
Disposition,What made the volunteer a lost to follow-up?,35
ECG (RScribe),QTcF,38
ECG (RScribe),QTcB,38
ECG (RScribe) Admission,QTcF,41
ECG (RScribe) Admission,QTcB,41
ECG (RScribe) Screening,QTcF,44
ECG (RScribe) Screening,QTcB,44
ECG (RScribe) Unscheduled,QTcF,47
ECG (RScribe) Unscheduled,QTcB,47
ECG Triplicate (RScribe),QTcF,50
ECG Triplicate (RScribe),QTcB,50
ECG Triplicate (RScribe) - Baseline,QTcF,57
ECG Triplicate (RScribe) - Baseline,QTcB,57
Genomic ICF,Genomic ICF Version,64
Genomic ICF,Date and Time of Genomic Informed Consent,64
Height / Weight / BMI,Date and time of collection,65
Height / Weight / BMI,Height,65
Height / Weight / BMI,Weight,65
Medical History,Does the volunteer have any medical history to report?,66
Medical History,Reported term for the medical history,66
Medical History,Start date of medical history event,66
Medical History,End date of medical history event,66
Medical History,Is condition ongoing?,66
Medical History,Clinical significance,66
Physical Examination - Full,Date and time performed,67
Physical Examination - Full,Body system,67
Physical Examination - Full,Examination result,67
Physical Examination - Full,Clinical significance,67
Physical Examination - Full,Abnormal findings,67
Physical Examination - Screening,Date and time performed,74
Physical Examination - Screening,Body system,74
Physical Examination - Screening,Examination result,74
Physical Examination - Screening,Clinical significance,74
Physical Examination - Screening,Abnormal findings,74
Physical Examination - Targeted,Date and time performed,81
Physical Examination - Targeted,Body system,81
Physical Examination - Targeted,Examination result,81
Physical Examination - Targeted,Clinical significance,81
Physical Examination - Targeted,Abnormal findings,81
Principal Investigator Approval,I acknowledge that I have reviewed and approved all data,85
Principal Investigator Approval,for this volunteer.,85
Protocol Deviations,Deviation Date,86
Protocol Deviations,Deviation visit,86
Protocol Deviations,Deviation timepoint,86
Protocol Deviations,Deviation category,86
Protocol Deviations,Deviation Category Other Specify,86
Randomization,Date and time of randomization,88
Randomization,Randomization number,88
Re-Screen,Is this volunteer re-screening?,89
Re-Screen,Original Screening Number,89
Study Drug Administration - Quinidine,Route of administration,90
Study Drug Administration - Quinidine,Date and time of administration,90
Study Drug Administration - Quinidine,Drug name given,90
Study Drug Administration - Quinidine,Total dose,90
Study Drug Administration - Quinidine,Unit,90
Study Drug Administration - Quinidine,Formulation of study drug,90
Study Drug Administration - Quinidine,Quantity administered,90
Study Drug Administration - Quinidine,Was the dose administered per protocol?,90
Study Drug Administration - SEP-380135,Route of administration,92
Study Drug Administration - SEP-380135,Date and time of administration,92
Study Drug Administration - SEP-380135,Drug name given,92
Study Drug Administration - SEP-380135,Total dose,92
Study Drug Administration - SEP-380135,Unit,92
Study Drug Administration - SEP-380135,Formulation of study drug,92
Study Drug Administration - SEP-380135,Quantity administered,92
Study Drug Administration - SEP-380135,Was the dose administered per protocol?,92
Subject Eligibility,1. Male or female participants between 18 and 55 years of,94
