form_name,field_name,page
Study Events,Subject,2
Study Events,Unscheduled,2
Study Events,AE/CM / Protocol Deviation,2
Study Events,Day -28 to Day -3 Day -2 Day -1 Day 1 Day 2 Day 3 Day 4 Day 5 Day 6 Day 7 Day 8 Day 9 Day 10 Day 11 Follow Up Day 37 Early Termination,2
AE / CM,Were any adverse events experienced?,3
AE / CM,Start date and time,3
AE / CM,Ongoing?,3
AE / CM,End date and time,3
AE / CM,Adverse event term,3
AE / CM,Is this a treatment emergent adverse event?,3
AE / CM,Is this an adverse event of special interest?,3
O MILD,Relationship to investigational product,4
O MILD,Action taken with investigational product,4
O MILD,Was a concomitant medication given?,4
O MILD,Were any other actions taken in response to this adverse event?,4
O MILD,Other action taken,4
O MILD,Outcome,4
Was the adverse event an SAE?,Was the adverse event an SAE?,5
Was the adverse event an SAE?,Was the serious adverse event associated with a congenital anomaly or birth defect?,5
Was the adverse event an SAE?,Did the serious adverse event result in persistent significant disability or incapacity?,5
Was the adverse event an SAE?,Did the serious adverse event result in death?,5
Was the adverse event an SAE?,Death date,5
Was the adverse event an SAE?,Did the serious adverse event result in initial or prolonged,5
Was the adverse event an SAE?,Is the serious adverse event life threatening?,6
Was the adverse event an SAE?,Was the adverse event a medically important event not covered by other serious criteria?,6
Was the adverse event an SAE?,Concomitant medication or therapy,6
Was the adverse event an SAE?,Route of administration,6
Was the adverse event an SAE?,Total dose,6
O oz,Dose form,7
O oz,Frequency,7
O oz,Administration start date and time,7
O oz,Administration ongoing?,7
O oz,Administration end date and time,7
O oz,Query if CM Start Date /Time is after CM End Date/Time. Mandatory?: Yes,8
Blood Collection - PGx (Predose),PGx collection date and time,9
Blood Collection - PK SEP,PK SEP collection date and time,10
Blood Collection - PK SEP/PD Creatine,PK SEP collection date and time,11
Blood Collection - PK SEP/PD Creatinine/Safety Day 1,PK SEP collection date and time,12
Blood Collection - PK SEP/PK Quinidine,PK SEP collection date and time,13
Blood Collection - PK SEP/PK Quinidine/Safety Day 7,PK SEP collection date and time,14
C-SSRS - Baseline/Screening,Date and Time of Collection,15
C-SSRS - Baseline/Screening,Have you wished you were dead or wished you could go to sleep and not wake up? (Lifetime).,15
C-SSRS - Baseline/Screening,Have you wished you were dead or wished you could go to sleep and not wake up? (Past 6 Months).,15
C-SSRS - Baseline/Screening,"If yes, describe:",15
C-SSRS - Baseline/Screening,Have you actually had any thoughts of killing yourself? (Lifetime).,15
O Yes,"If yes, describe:",16
O Yes,Have you been thinking about how you might do this? (Lifetime).,16
O Yes,Have you been thinking about how you might do this? (Past 6 Months).,16
O Yes,Have you had these thoughts and had some intention of acting on them? (Lifetime).,16
Have you had these thoughts and had some intention of,"If yes, describe:",17
Have you had these thoughts and had some intention of,Have you started to work out or worked out the details of how to kill yourself? Do you intend to carry out this plan? (Lifetime).,17
Have you had these thoughts and had some intention of,Have you started to work out or worked out the details of how to kill yourself? Do you intend to carry out this plan? (Past 6 Months).,17
Have you had these thoughts and had some intention of,Most severe ideation. (Lifetime).,17
Have you had these thoughts and had some intention of,Description of most severe ideation. (Lifetime).,17
O 1,Most severe ideation. (Past 6 Months).,18
O 1,Description of most severe ideation. (Past 6 Months).,18
O 1,Frequency (Lifetime),18
O 1,Frequency (Past 6 Months),18
O 1,Duration (Lifetime),18
O 1,Duration (Past 6 Months),18
O 1,Controllability (Lifetime),18
O 1,Controllability (Past 6 Months),18
O 1,Deterrents (Lifetime),18
O (4) Deterrents most likely did not stop you,Reasons for Ideation (Lifetime),19
O (4) Deterrents most likely did not stop you,Reasons for Ideation (Past 6 Months),19
O (4) Deterrents most likely did not stop you,"Actual Attempt: Have you made a suicide attempt? Have you done anything to harm yourself? Have you done anything dangerous where you could have died? What did you do? Did you ___ as a way to end your life? Did you want to die (even a little) when you ___? Were you trying to end your life when you ___? Or Did you think it was possible you could have died from ___? Or did you do it purely for other reasons / without ANY intention of killing yourself (like to relieve stress, feel better, get sympathy, or get something else to happen)? (Self-Injurious Behavior without suicidal intent)",19
O (4) Deterrents most likely did not stop you,Total number of actual attempts.,19
O (4) Deterrents most likely did not stop you,"If yes, describe:",19
Has the subject engaged in non-suicidal self-injurious,Interrupted Attempt: Has there been a time when you started to do something to try to end your life but someone or something stopped you before you actually did anything?,20
Has the subject engaged in non-suicidal self-injurious,Total number of interrupted attempts.,20
Has the subject engaged in non-suicidal self-injurious,"If yes, describe:",20
Has the subject engaged in non-suicidal self-injurious,Aborted Attempt: Has there been a time when you started to do something to try to end your life but you stopped yourself before you actually did anything?,20
Has the subject engaged in non-suicidal self-injurious,Total number of aborted attempts.,20
"If yes, describe:","Preparatory Acts or Behavior: Have you taken any steps towards making a suicide attempt or preparing to kill yourself (such as collecting pills, getting a gun, giving valuables away or writing a suicide note)?",21
"If yes, describe:","If yes, describe:",21
"If yes, describe:",Suicidal Behavior:,21
"If yes, describe:",Most Recent Attempt Date:,21
"If yes, describe:",Actual Lethality/Medical Damage:,21
"If yes, describe:",Potential Lethality: Only Answer if Actual Lethality=0,21
Most Lethal Attempt Date:,Most Lethal Attempt Date:,22
Most Lethal Attempt Date:,Actual Lethality/Medical Damage:,22
Most Lethal Attempt Date:,Potential Lethality: Only Answer if Actual Lethality=0,22
Most Lethal Attempt Date:,Initial/First attempt date,22
Most Lethal Attempt Date:,Actual lethality/medical damage.,22
Most Lethal Attempt Date:,Potential Lethality: Only answer if actual lethality = 0,22
C-SSRS - Since Last Visit,Date and Time of Collection,23
C-SSRS - Since Last Visit,Have you wished you were dead or wished you could go to sleep and not wake up since last visit?,23
C-SSRS - Since Last Visit,"If yes, describe:",23
C-SSRS - Since Last Visit,Have you actually had any thoughts of killing yourself since last visit?,23
C-SSRS - Since Last Visit,Have you been thinking about how you might do this since last visit?,23
"If yes, describe:","If yes, describe:",24
"If yes, describe:",Have you had these thoughts and had some intention of acting on them since last visit?,24
"If yes, describe:",Have you started to work out or worked out the details of how to kill yourself since your last visit? Do you intend to carry out this plan?,24
"If yes, describe:",Most Severe Ideation,24
"If yes, describe:",Description of Ideation,24
O (1) Less than once a week,Duration,25
O (1) Less than once a week,Controllability,25
O (1) Less than once a week,Deterrents,25
O (1) Less than once a week,Reason for Ideation,25
O (1) Less than once a week,"Actual Attempt: Have you made a suicide attempt? Have you done anything to harm yourself? Have you done anything dangerous where you could have died? What did you do? Did you ___ as a way to end your life? Did you want to die (even a little) when you ___? Were you trying to end your life when you ___? Or Did you think it was possible you could have died from ___? Or did you do it purely for other reasons / without ANY intention of killing yourself (like to relieve stress, feel better, get sympathy, or get something else to happen)? (Self-Injurious Behavior without suicidal intent)",25
O (1) Less than once a week,"If yes, describe:",26
O (1) Less than once a week,Has the subject engaged in non-suicidal self-injurious behavior?,26
O (1) Less than once a week,Interrupted Attempt: Has there been a time when you started to do something to end your life but someone or something stopped you before you actually did anything?,26
O (1) Less than once a week,Total number of interrupted attempts.,26
O (1) Less than once a week,Aborted Attempt: Has there been a time when you started to do something to try to end your life but you stopped yourself before you actually did anything?,26
Total number of aborted attempts.,Total number of aborted attempts.,27
Total number of aborted attempts.,If yes. describe:,27
Total number of aborted attempts.,"Preparatory Acts or Behavior: Have you taken any steps towards making a suicide attempt or preparing to kill yourself (such as collecting pills, getting a gun, giving valuables away or writing a suicide note)?",27
Total number of aborted attempts.,"If yes, describe:",27
Total number of aborted attempts.,Suicidal Behavior:,27
Total number of aborted attempts.,Suicide:,27
Total number of aborted attempts.,Most Lethal Attempt Date:,27
O 4. Severe physical damage; medical hospitalization with intensive,Potential Lethality: Only Answer if Actual Lethality=0,28
CM related to MH,Enter medical history the concomitant medication is being given for,29
CM related to MH,Concomitant medication or therapy,29
CM related to MH,Route of administration,29
CM related to MH,Total dose,29
CM related to MH,Dose form,29
O SYRUP,Dose unit,30
O SYRUP,Frequency,30
O SYRUP,Administration start date and time,30
O SYRUP,Administration ongoing?,30
O SYRUP,Administration end date and time,30
Concomitant Medications - Screening,Were any concomitant medications taken?,31
Concomitant Medications - Screening,Concomitant medication or therapy,31
Concomitant Medications - Screening,Route of administration,31
Concomitant Medications - Screening,Total dose,31
Concomitant Medications - Screening,Dose form,31
Concomitant Medications - Screening,Dose unit,31
O ONCE,Frequency,32
O ONCE,Administration start date and time,32
O ONCE,Administration ongoing?,32
O ONCE,Administration end date and time,32
O ONCE,Medical History Relation,32
Demographics,Date of demographic collection,33
Demographics,Age,33
Demographics,Sex,33
Demographics,Ethnicity,33
Demographics,American Indian Or Alaska Native,33
Demographics,Asian,33
Demographics,Black Or African American,33
Demographics,Native Hawaiian Or Other Pacific Islander,33
Demographics,Race - Unknown,34
Disposition,Date of volunteer completion or discontinuation,35
Disposition,Completion/Reason for Non-Completion,35
Disposition,Date of Death,35
Disposition,Adverse Event term,35
Disposition,What randomization criteria did the volunteer not meet?,35
Disposition,What made the volunteer a lost to follow-up?,35
Why was the volunteer not needed?,"Other, Specify:",36
