form_name,field_name,page
Informed Consent Form,Previous Subject Number,2
Informed Consent Form,Informed Consent Obtained,2
Informed Consent Form,Informed Consent Time,2
Informed Consent Form,Informed Consent Version,2
Informed Consent Form,Subject Previously Screened,2
Variable details,Informed Consent Obtained,3
Variable details,Informed Consent Date,3
Variable details,Informed Consent Time,3
Variable details,Informed Consent Version,3
Variable details,Subject Previously Screened,3
Variable details,Previous Subject Number,3
Visit Date,Visit Date,4
Variable details,Name,5
Variable details,Export Name,5
Variable details,Type,5
Variable details,Max length,5
Variable details,Categories,5
Demographics,Year of Birth,6
Demographics,Age at Consent (Years),6
Demographics,Sex,6
Demographics,Child-Bearing Potential,6
Demographics,Country of Residence,6
Demographics,"Country Other, Specify",6
Demographics,Ethnicity,6
Demographics,Race,6
Demographics,"Other, Please Specify",6
Variable details,Year of Birth,7
Variable details,Age at Consent (Years),7
Variable details,Sex,7
Variable details,Child-Bearing Potential,7
Variable details,Country of Residence,7
Variable details,"Country Other, Specify",7
Variable details,Ethnicity,7
Variable details,Race,7
Variable details,"Other, Please Specify",7
Inclusion / Exclusion Criteria,Date Eligibility Criteria Confirmed,8
Inclusion / Exclusion Criteria,"If Eligibility Criteria Not Met, Please Specify Which Criteria",8
Inclusion / Exclusion Criteria,Inclusion / Exclusion Criteria Inclusion / Exclusion Criteria ID,8
Variable details,All Eligibility Criteria Met,9
Variable details,Date Eligibility Criteria Confirmed,9
Variable details,Inclusion / Exclusion Criteria,9
Variable details,Inclusion / Exclusion Criteria ID,9
Medical History,Condition / Surgical Procedure,10
Medical History,Category,10
Medical History,Ongoing,10
Medical History,Stop Date,10
Medical History,Start Date,10
Medical History,Condition / Surgical Procedure Category,10
Variable details,Relevant Medical History,11
Variable details,Condition / Surgical Procedure,11
Variable details,Category,11
Variable details,Start Date,11
Variable details,Ongoing,11
Variable details,Stop Date,11
C-SSRS (Screening) - Part 1,3. Active Suicidal Ideation with Any,12
C-SSRS (Screening) - Part 1,4. Active Suicidal Ideation with Some,12
C-SSRS (Screening) - Part 1,5. Active Suicidal Ideation with,12
C-SSRS (Screening) - Part 1,SUICIDAL IDEATION,12
C-SSRS (Screening) - Part 1,Lifetime,12
C-SSRS (Screening) - Part 1,Past 60 Months,12
C-SSRS (Screening) - Part 1,Yes,12
C-SSRS (Screening) - Part 1,1. Wish to be Dead,12
C-SSRS (Screening) - Part 1,2. Non-Specific Active Suicidal Thoughts,12
C-SSRS (Screening) - Part 1,3. Active Suicidal Ideation with Any Methods (Not Plan) without Intent to Act,12
C-SSRS (Screening) - Part 1,Methods (Not Plan) without Intent to Act,12
C-SSRS (Screening) - Part 1,"4. Active Suicidal Ideation with Some Intent to Act, without Specific Plan",12
C-SSRS (Screening) - Part 1,"Intent to Act, without Specific Plan",12
C-SSRS (Screening) - Part 1,5. Active Suicidal Ideation with Specific Plan and Intent,12
C-SSRS (Screening) - Part 1,Specific Plan and Intent,12
C-SSRS (Screening) - Part 1,INTENSITY OF IDEATION,12
C-SSRS (Screening) - Part 1,Type # (1-5),12
C-SSRS (Screening) - Part 1,Past 60 Months - Most Severe Ideation,13
C-SSRS (Screening) - Part 1,Lifetime,13
C-SSRS (Screening) - Part 1,Past 60 Months,13
C-SSRS (Screening) - Part 1,Frequency,13
C-SSRS (Screening) - Part 1,Duration,13
C-SSRS (Screening) - Part 1,Controllability,13
C-SSRS (Screening) - Part 1,Deterrents,13
C-SSRS (Screening) - Part 1,Reasons for Ideation,13
C-SSRS (Screening) - Part 1,SUICIDAL BEHAVIOUR,13
C-SSRS (Screening) - Part 1,Past 5 Years,13
C-SSRS (Screening) - Part 1,Actual Attempt,13
C-SSRS (Screening) - Part 1,Total Number of Attempts,13
C-SSRS (Screening) - Part 1,Yes,13
C-SSRS (Screening) - Part 1,Has subject engaged in Non-Suicidal Self-Injurious Behaviour?,13
C-SSRS (Screening) - Part 1,Self-Injurious Behaviour?,13
C-SSRS (Screening) - Part 1,Interrupted Attempt,13
C-SSRS (Screening) - Part 1,Total Number of Interrupted,13
C-SSRS (Screening) - Part 1,Total Number of Aborted,14
C-SSRS (Screening) - Part 1,Yes,14
C-SSRS (Screening) - Part 1,Preparatory Acts or Behaviour,14
C-SSRS (Screening) - Part 1,Suicidal Behaviour,14
C-SSRS (Screening) - Part 1,Answer for Actual Attempts Only,14
C-SSRS (Screening) - Part 1,Most Recent Attempt Date,14
C-SSRS (Screening) - Part 1,Most Lethal Attempt Date,14
C-SSRS (Screening) - Part 1,Initial/First Attempt Date,14
C-SSRS (Screening) - Part 1,Attempt Date,14
C-SSRS (Screening) - Part 1,Date,14
C-SSRS (Screening) - Part 1,Enter Code,14
C-SSRS (Screening) - Part 1,Actual Lethality/Medical Damage,14
C-SSRS (Screening) - Part 1,Potential Lethality,14
Variable details,Name,15
Variable details,Export Name,15
Variable details,Type,15
Variable details,Max length,15
Variable details,Categories,15
C-SSRS (Screening) - Part 2,3. Active Suicidal Ideation with Any,18
C-SSRS (Screening) - Part 2,4. Active Suicidal Ideation with Some,18
C-SSRS (Screening) - Part 2,5. Active Suicidal Ideation with,18
C-SSRS (Screening) - Part 2,SUICIDAL IDEATION,18
C-SSRS (Screening) - Part 2,Lifetime,18
C-SSRS (Screening) - Part 2,Past 12 Months,18
C-SSRS (Screening) - Part 2,Yes,18
C-SSRS (Screening) - Part 2,1. Wish to be Dead,18
C-SSRS (Screening) - Part 2,2. Non-Specific Active Suicidal Thoughts,18
C-SSRS (Screening) - Part 2,3. Active Suicidal Ideation with Any Methods (Not Plan) without Intent to Act,18
C-SSRS (Screening) - Part 2,Methods (Not Plan) without Intent to Act,18
C-SSRS (Screening) - Part 2,"4. Active Suicidal Ideation with Some Intent to Act, without Specific Plan",18
C-SSRS (Screening) - Part 2,"Intent to Act, without Specific Plan",18
C-SSRS (Screening) - Part 2,5. Active Suicidal Ideation with Specific Plan and Intent,18
C-SSRS (Screening) - Part 2,Specific Plan and Intent,18
C-SSRS (Screening) - Part 2,INTENSITY OF IDEATION,18
C-SSRS (Screening) - Part 2,Type # (1-5),18
C-SSRS (Screening) - Part 2,Past 12 Months - Most Severe Ideation,19
C-SSRS (Screening) - Part 2,Lifetime,19
C-SSRS (Screening) - Part 2,Past 12 Months,19
C-SSRS (Screening) - Part 2,Frequency,19
C-SSRS (Screening) - Part 2,Duration,19
C-SSRS (Screening) - Part 2,Controllability,19
C-SSRS (Screening) - Part 2,Deterrents,19
C-SSRS (Screening) - Part 2,Reasons for Ideation,19
C-SSRS (Screening) - Part 2,SUICIDAL BEHAVIOUR,19
C-SSRS (Screening) - Part 2,Past 1 Year,19
C-SSRS (Screening) - Part 2,Actual Attempt,19
C-SSRS (Screening) - Part 2,Total Number of Attempts,19
C-SSRS (Screening) - Part 2,Yes,19
C-SSRS (Screening) - Part 2,Has subject engaged in Non-Suicidal Self-Injurious Behaviour?,19
C-SSRS (Screening) - Part 2,Self-Injurious Behaviour?,19
C-SSRS (Screening) - Part 2,Interrupted Attempt,19
C-SSRS (Screening) - Part 2,Total Number of Interrupted,19
C-SSRS (Screening) - Part 2,Total Number of Aborted,20
C-SSRS (Screening) - Part 2,Yes,20
C-SSRS (Screening) - Part 2,Preparatory Acts or Behaviour,20
C-SSRS (Screening) - Part 2,Suicidal Behaviour,20
C-SSRS (Screening) - Part 2,Answer for Actual Attempts Only,20
C-SSRS (Screening) - Part 2,Most Recent Attempt Date,20
C-SSRS (Screening) - Part 2,Most Lethal Attempt Date,20
C-SSRS (Screening) - Part 2,Initial/First Attempt Date,20
C-SSRS (Screening) - Part 2,Attempt Date,20
C-SSRS (Screening) - Part 2,Date,20
C-SSRS (Screening) - Part 2,Enter Code,20
C-SSRS (Screening) - Part 2,Actual Lethality/Medical Damage,20
