x=  33.3 y=  36.3 sz=11.4 black     | MAC186_X11_201_00001_eCRF_v1_10_form_tracker_v1_6_06Mar2025
x=  44.7 y=  49.6 sz= 4.8 black     | 20
x= 382.2 y=  50.8 sz= 4.8 black     | Yes
x= 478.1 y=  50.8 sz= 4.8 black     | Yes
x=  54.9 y=  53.2 sz= 4.8 black     | 2 Hours Post Dose
x= 118.4 y=  53.2 sz= 4.8 black     | Right
x= 149.0 y=  53.2 sz= 4.8 black     | 2
x= 382.2 y=  58.6 sz= 4.8 black     | No
x= 478.1 y=  58.6 sz= 4.8 black     | No
x=  44.7 y=  68.8 sz= 4.8 black     | 21
x= 382.2 y=  70.0 sz= 4.8 black     | Yes
x= 478.1 y=  70.0 sz= 4.8 black     | Yes
x=  54.9 y=  72.4 sz= 4.8 black     | 3 Hours Post Dose
x= 118.4 y=  72.4 sz= 4.8 black     | Left
x= 149.0 y=  72.4 sz= 4.8 black     | 1
x= 382.2 y=  77.8 sz= 4.8 black     | No
x= 478.1 y=  77.8 sz= 4.8 black     | No
x=  44.7 y=  88.0 sz= 4.8 black     | 22
x= 382.2 y=  89.2 sz= 4.8 black     | Yes
x= 478.1 y=  89.2 sz= 4.8 black     | Yes
x=  54.9 y=  91.6 sz= 4.8 black     | 3 Hours Post Dose
x= 118.4 y=  91.6 sz= 4.8 black     | Left
x= 149.0 y=  91.6 sz= 4.8 black     | 2
x= 382.2 y=  97.0 sz= 4.8 black     | No
x= 478.1 y=  97.0 sz= 4.8 black     | No
x=  44.7 y= 107.2 sz= 4.8 black     | 23
x= 382.2 y= 108.4 sz= 4.8 black     | Yes
x= 478.1 y= 108.4 sz= 4.8 black     | Yes
x=  54.9 y= 110.8 sz= 4.8 black     | 3 Hours Post Dose
x= 118.4 y= 110.8 sz= 4.8 black     | Right
x= 149.0 y= 110.8 sz= 4.8 black     | 1
x= 382.2 y= 116.2 sz= 4.8 black     | No
x= 478.1 y= 116.2 sz= 4.8 black     | No
x=  44.7 y= 126.3 sz= 4.8 black     | 24
x= 382.2 y= 127.5 sz= 4.8 black     | Yes
x= 478.1 y= 127.5 sz= 4.8 black     | Yes
x=  54.9 y= 129.9 sz= 4.8 black     | 3 Hours Post Dose
x= 118.4 y= 129.9 sz= 4.8 black     | Right
x= 149.0 y= 129.9 sz= 4.8 black     | 2
x= 382.2 y= 135.3 sz= 4.8 black     | No
x= 478.1 y= 135.3 sz= 4.8 black     | No
x=  44.7 y= 145.5 sz= 4.8 black     | 25
x= 382.2 y= 146.7 sz= 4.8 black     | Yes
x= 478.1 y= 146.7 sz= 4.8 black     | Yes
x=  54.9 y= 149.1 sz= 4.8 black     | 4 Hours Post Dose
x= 118.4 y= 149.1 sz= 4.8 black     | Left
x= 149.0 y= 149.1 sz= 4.8 black     | 1
x= 382.2 y= 154.5 sz= 4.8 black     | No
x= 478.1 y= 154.5 sz= 4.8 black     | No
x=  44.7 y= 164.7 sz= 4.8 black     | 26
x= 382.2 y= 165.9 sz= 4.8 black     | Yes
x= 478.1 y= 165.9 sz= 4.8 black     | Yes
x=  54.9 y= 168.3 sz= 4.8 black     | 4 Hours Post Dose
x= 118.4 y= 168.3 sz= 4.8 black     | Left
x= 149.0 y= 168.3 sz= 4.8 black     | 2
x= 382.2 y= 173.7 sz= 4.8 black     | No
x= 478.1 y= 173.7 sz= 4.8 black     | No
x=  44.7 y= 183.9 sz= 4.8 black     | 27
x= 382.2 y= 185.1 sz= 4.8 black     | Yes
x= 478.1 y= 185.1 sz= 4.8 black     | Yes
x=  54.9 y= 187.5 sz= 4.8 black     | 4 Hours Post Dose
x= 118.4 y= 187.5 sz= 4.8 black     | Right
x= 149.0 y= 187.5 sz= 4.8 black     | 1
x= 382.2 y= 192.9 sz= 4.8 black     | No
x= 478.1 y= 192.9 sz= 4.8 black     | No
x=  44.7 y= 203.1 sz= 4.8 black     | 28
