form_name,field_name,page
Informed Consent: Photo ID #1,Staff Initials:,1
Informed Consent: Photo ID #1,Comment:,1
Group Information: Group Info Session #1,Staff Initials:,1
Group Information: Group Info Session #1,Comment:,1
Group Information: Group info held by #1,Staff Initials:,1
Group Information: Group info held by #1,Comment:,1
Informed Consent: Study ICF Database Check #1,Staff Initials:,1
Informed Consent: Study ICF Database Check #1,Comment:,1
Informed Consent: Study ICF Participant #1,Staff Initials:,1
Informed Consent: Study ICF Participant #1,Comment:,1
Informed Consent: Photo ID #1,Does the participant have a valid photo ID?,1
Group Information: Group Info Session #1,Did participant complete group information or remote information session?,1
Group Information: Group info held by #1,Record who held Group Information Session (full name),1
Informed Consent: Study ICF Database Check #1,Does the Anju study number match the study number in the participants' paper PIS/ICF?,1
Informed Consent: Study ICF Participant #1,Study ICF Signed and Dated by the participant?,1
Informed Consent: Study ICF Date #1,Comment:,2
Informed Consent: Study ICF Time #1,Staff Initials:,2
Informed Consent: Study ICF Time #1,Comment:,2
Informed Consent: Study ICF Part #1,Staff Initials:,2
Informed Consent: Study ICF Part #1,Comment:,2
Informed Consent: Study ICF Version #1,Staff Initials:,2
Informed Consent: Study ICF Version #1,Comment:,2
Informed Consent: Study ICF Date #1,Date Study ICF was signed by participant,2
Informed Consent: Study ICF Time #1,Time Study ICF was signed by participant,2
Informed Consent: Study ICF Part #1,Study ICF Part Number,2
Informed Consent: Study ICF Version #1,Study ICF Version Number (Version must be checked against ICF present in the RSF – escalate any discrepancies),2
Informed Consent: Study ICF Signed by Physician/Nurse #1,Staff Initials:,3
Informed Consent: Study ICF Signed by Physician/Nurse #1,Comment:,3
Informed Consent: Study ICF copy #1,Staff Initials:,3
Informed Consent: Study ICF copy #1,Comment:,3
Informed Consent Addition: Consented to Additional ICF #1,Staff Initials:,3
Informed Consent Addition: Consented to Additional ICF #1,Comment:,3
Informed Consent Addition: Add ICF Participant #1,Staff Initials:,3
Informed Consent Addition: Add ICF Participant #1,Comment:,3
Informed Consent Addition: Add ICF Date #1,Staff Initials:,3
Informed Consent: Study ICF Signed by Physician/Nurse #1,Study ICF signed and dated by the physician/nurse?,3
Informed Consent: Study ICF copy #1,Was a copy of the Study ICF given to the participant?,3
Informed Consent Addition: Consented to Additional ICF #1,"Has the participant read, understood and signed the consent for the Future Use Sub Study, where a DNA sample will be taken and other data collected may be used for potential future research?",3
Informed Consent Addition: Add ICF Participant #1,Additional ICF Signed and Dated by the Participant?,3
Informed Consent Addition: Add ICF Date #1,Date Additional ICF was signed by participant,3
Informed Consent Addition: Add ICF Time #1,Staff Initials:,4
