x=  61.2 y= 124.0 sz=10.5 black     | Test
x= 425.4 y= 124.0 sz=10.5 black     | Result
x=  62.3 y= 149.2 sz= 9.0 #999999   | Amphetamines
x= 435.6 y= 154.0 sz=10.5 #999999   | Positive
x= 488.2 y= 154.0 sz=10.5 #999999   | Negative
x= 544.8 y= 154.0 sz=10.5 #999999   | Not Done
x= 425.8 y= 177.7 sz= 9.0 #ff0000   | [LBORRES3]
x=  61.6 y= 179.2 sz= 9.0 #ff0000   | [LBTEST3]
x= 425.8 y= 194.4 sz= 9.0 #ff0000   | [TYPE: enumeration (values: Positive, Negative, Not Done)]
x=  61.6 y= 195.9 sz= 9.0 #ff0000   | [TYPE: text]
x=  61.6 y= 212.5 sz= 9.0 #ff0000   | [Read-only field]
x=  62.3 y= 235.8 sz= 9.0 #999999   | Barbiturates
x= 435.6 y= 240.6 sz=10.5 #999999   | Positive
x= 488.2 y= 240.6 sz=10.5 #999999   | Negative
x= 544.8 y= 240.6 sz=10.5 #999999   | Not Done
x= 425.8 y= 264.3 sz= 9.0 #ff0000   | [LBORRES3]
x=  61.6 y= 265.8 sz= 9.0 #ff0000   | [LBTEST3]
x= 425.8 y= 280.9 sz= 9.0 #ff0000   | [TYPE: enumeration (values: Positive, Negative, Not Done)]
x=  61.6 y= 282.4 sz= 9.0 #ff0000   | [TYPE: text]
x=  61.6 y= 299.0 sz= 9.0 #ff0000   | [Read-only field]
x=  62.3 y= 322.4 sz= 9.0 #999999   | Benzodiazepines
x= 435.6 y= 327.1 sz=10.5 #999999   | Positive
x= 488.2 y= 327.1 sz=10.5 #999999   | Negative
x= 544.8 y= 327.1 sz=10.5 #999999   | Not Done
x= 425.8 y= 350.9 sz= 9.0 #ff0000   | [LBORRES3]
x=  61.6 y= 352.4 sz= 9.0 #ff0000   | [LBTEST3]
x= 425.8 y= 367.5 sz= 9.0 #ff0000   | [TYPE: enumeration (values: Positive, Negative, Not Done)]
x=  61.6 y= 369.0 sz= 9.0 #ff0000   | [TYPE: text]
x=  61.6 y= 385.6 sz= 9.0 #ff0000   | [Read-only field]
x=  62.3 y= 409.0 sz= 9.0 #999999   | Cannabinoids
x= 435.6 y= 413.7 sz=10.5 #999999   | Positive
x= 488.2 y= 413.7 sz=10.5 #999999   | Negative
x= 544.8 y= 413.7 sz=10.5 #999999   | Not Done
x= 425.8 y= 437.5 sz= 9.0 #ff0000   | [LBORRES3]
x=  61.6 y= 439.0 sz= 9.0 #ff0000   | [LBTEST3]
x= 425.8 y= 454.1 sz= 9.0 #ff0000   | [TYPE: enumeration (values: Positive, Negative, Not Done)]
x=  61.6 y= 455.6 sz= 9.0 #ff0000   | [TYPE: text]
x=  61.6 y= 472.2 sz= 9.0 #ff0000   | [Read-only field]
x=  62.3 y= 495.5 sz= 9.0 #999999   | Cocaine
x= 435.6 y= 500.3 sz=10.5 #999999   | Positive
x= 488.2 y= 500.3 sz=10.5 #999999   | Negative
x= 544.8 y= 500.3 sz=10.5 #999999   | Not Done
x= 373.6 y= 565.9 sz=12.0 black     | Page 103 of 1085
