x=  61.2 y= 124.0 sz=10.5 black     | Intensity of Ideation
x= 498.3 y= 124.0 sz=10.5 black     | Lifetime
x= 644.0 y= 124.0 sz=10.5 black     | Past 3 Month
x= 543.2 y= 153.2 sz=10.5 black     | (3) Equally to get
x= 688.9 y= 153.2 sz=10.5 black     | (3) Equally to get
x= 543.2 y= 168.2 sz=10.5 black     | attention/ revenge or
x= 688.9 y= 168.2 sz=10.5 black     | attention/ revenge or
x= 543.2 y= 183.2 sz=10.5 black     | a reaction from
x= 688.9 y= 183.2 sz=10.5 black     | a reaction from
x= 543.2 y= 198.2 sz=10.5 black     | others and to end/
x= 688.9 y= 198.2 sz=10.5 black     | others and to end/
x= 543.2 y= 213.2 sz=10.5 black     | stop the pain
x= 688.9 y= 213.2 sz=10.5 black     | stop the pain
x= 543.2 y= 228.2 sz=10.5 black     | (4) Mostly to end or
x= 688.9 y= 228.2 sz=10.5 black     | (4) Mostly to end or
x= 543.2 y= 243.2 sz=10.5 black     | stop the pain (you
x= 688.9 y= 243.2 sz=10.5 black     | stop the pain (you
x= 543.2 y= 258.2 sz=10.5 black     | could not go on
x= 688.9 y= 258.2 sz=10.5 black     | could not go on
x= 543.2 y= 273.2 sz=10.5 black     | living with the pain
x= 688.9 y= 273.2 sz=10.5 black     | living with the pain
x= 543.2 y= 288.2 sz=10.5 black     | or how you were
x= 688.9 y= 288.2 sz=10.5 black     | or how you were
x= 543.2 y= 303.2 sz=10.5 black     | feeling)
x= 688.9 y= 303.2 sz=10.5 black     | feeling)
x= 543.2 y= 318.2 sz=10.5 black     | (5) Completely to
x= 688.9 y= 318.2 sz=10.5 black     | (5) Completely to
x= 543.2 y= 333.2 sz=10.5 black     | end or stop the pain
x= 688.9 y= 333.2 sz=10.5 black     | end or stop the pain
x= 543.2 y= 348.2 sz=10.5 black     | (you could not go on
x= 688.9 y= 348.2 sz=10.5 black     | (you could not go on
x= 543.2 y= 363.2 sz=10.5 black     | living with the pain
x= 688.9 y= 363.2 sz=10.5 black     | living with the pain
x= 543.2 y= 378.2 sz=10.5 black     | or how you were
x= 688.9 y= 378.2 sz=10.5 black     | or how you were
x= 543.2 y= 393.2 sz=10.5 black     | feeling)
x= 688.9 y= 393.2 sz=10.5 black     | feeling)
x= 543.2 y= 408.2 sz=10.5 black     | (0) Does not apply
x= 688.9 y= 408.2 sz=10.5 black     | (0) Does not apply
x= 498.7 y= 427.5 sz= 9.0 #ff0000   | [CSS0411A]
x= 644.4 y= 427.5 sz= 9.0 #ff0000   | [CSS0411B]
x= 498.7 y= 444.1 sz= 9.0 #ff0000   | [TYPE: enumeration (values: (1)
x= 644.4 y= 444.1 sz= 9.0 #ff0000   | [TYPE: enumeration (values: (1)
x= 498.7 y= 457.0 sz= 9.0 #ff0000   | Completely to get attention/ revenge
x= 644.4 y= 457.0 sz= 9.0 #ff0000   | Completely to get attention/ revenge
x= 498.7 y= 469.8 sz= 9.0 #ff0000   | or a reaction from others, (2) Mostly
x= 644.4 y= 469.8 sz= 9.0 #ff0000   | or a reaction from others, (2) Mostly
x= 498.7 y= 482.7 sz= 9.0 #ff0000   | to get attention/ revenge or a reaction
x= 644.4 y= 482.7 sz= 9.0 #ff0000   | to get attention/ revenge or a reaction
x= 498.7 y= 495.5 sz= 9.0 #ff0000   | from others, (3) Equally to get
x= 644.4 y= 495.5 sz= 9.0 #ff0000   | from others, (3) Equally to get
x= 498.7 y= 508.4 sz= 9.0 #ff0000   | attention/ revenge or a reaction from
x= 644.4 y= 508.4 sz= 9.0 #ff0000   | attention/ revenge or a reaction from
x= 373.6 y= 565.9 sz=12.0 black     | Page 124 of 1085
