form_name,field_name,page
AE / CM,Were any adverse events experienced?,3
AE / CM,Start date and time,3
AE / CM,Ongoing?,3
AE / CM,End date and time,3
AE / CM,Adverse event term,3
AE / CM,Is this a treatment emergent adverse event?,3
AE / CM,Is this an adverse event of special interest?,3
AE / CM,Severity,4
AE / CM,Relationship to investigational product,4
AE / CM,Action taken with investigational product,4
AE / CM,Was a concomitant medication given?,4
AE / CM,Were any other actions taken in response to this adverse,4
AE / CM,event?,4
AE / CM,Other action taken,4
AE / CM,Outcome,4
AE / CM,Was the adverse event an SAE?,5
AE / CM,Was the serious adverse event associated with a,5
AE / CM,congenital anomaly or birth defect?,5
AE / CM,Did the serious adverse event result in persistent,5
AE / CM,significant disability or incapacity?,5
AE / CM,Did the serious adverse event result in death?,5
AE / CM,Death date,5
AE / CM,Did the serious adverse event result in initial or prolonged,5
AE / CM,hospitalization for the volunteer?,5
AE / CM,Is the serious adverse event life threatening?,6
AE / CM,Was the adverse event a medically important event not,6
AE / CM,covered by other serious criteria?,6
AE / CM,Concomitant medication or therapy,6
AE / CM,Route of administration,6
AE / CM,Total dose,6
AE / CM,Dose unit,6
AE / CM,Dose form,7
AE / CM,Frequency,7
AE / CM,Administration start date and time,7
AE / CM,Administration ongoing?,7
AE / CM,Administration end date and time,7
Blood Collection - PGx (Predose),PGx collection date and time,9
Blood Collection - PK SEP,PK SEP collection date and time,10
Blood Collection - PK SEP/PD Creatine,PK SEP collection date and time,11
Blood Collection - PK SEP/PD Creatinine/Safety Day 1,PK SEP collection date and time,12
Blood Collection - PK SEP/PK Quinidine,PK SEP collection date and time,13
Blood Collection - PK SEP/PK Quinidine/Safety Day 7,PK SEP collection date and time,14
C-SSRS - Baseline/Screening,Date and Time of Collection,15
C-SSRS - Baseline/Screening,Have you wished you were dead or wished you could go to,15
C-SSRS - Baseline/Screening,sleep and not wake up? (Lifetime).,15
C-SSRS - Baseline/Screening,sleep and not wake up? (Past 6 Months).,15
C-SSRS - Baseline/Screening,"If yes, describe:",15
C-SSRS - Baseline/Screening,Have you actually had any thoughts of killing yourself?,15
C-SSRS - Baseline/Screening,(Lifetime).,15
C-SSRS - Baseline/Screening,(Past 6 Months).,15
C-SSRS - Baseline/Screening,"If yes, describe:",16
C-SSRS - Baseline/Screening,Have you been thinking about how you might do this?,16
C-SSRS - Baseline/Screening,(Lifetime).,16
C-SSRS - Baseline/Screening,(Past 6 Months).,16
C-SSRS - Baseline/Screening,Have you had these thoughts and had some intention of,16
C-SSRS - Baseline/Screening,acting on them? (Lifetime).,16
C-SSRS - Baseline/Screening,Have you had these thoughts and had some intention of,17
C-SSRS - Baseline/Screening,acting on them? (Past 6 Months).,17
C-SSRS - Baseline/Screening,"If yes, describe:",17
C-SSRS - Baseline/Screening,Have you started to work out or worked out the details of,17
C-SSRS - Baseline/Screening,how to kill yourself? Do you intend to carry out this plan?,17
C-SSRS - Baseline/Screening,(Lifetime).,17
C-SSRS - Baseline/Screening,(Past 6 Months).,17
C-SSRS - Baseline/Screening,Most severe ideation. (Lifetime).,17
C-SSRS - Baseline/Screening,Most severe ideation. (Past 6 Months).,18
C-SSRS - Baseline/Screening,Frequency (Lifetime),18
C-SSRS - Baseline/Screening,Frequency (Past 6 Months),18
C-SSRS - Baseline/Screening,Duration (Lifetime),18
C-SSRS - Baseline/Screening,Duration (Past 6 Months),18
C-SSRS - Baseline/Screening,Controllability (Lifetime),18
C-SSRS - Baseline/Screening,Controllability (Past 6 Months),18
C-SSRS - Baseline/Screening,Deterrents (Lifetime),18
C-SSRS - Baseline/Screening,Deterrents (Past 6 Months),18
C-SSRS - Baseline/Screening,Reasons for Ideation (Lifetime),19
C-SSRS - Baseline/Screening,Reasons for Ideation (Past 6 Months),19
C-SSRS - Baseline/Screening,Actual Attempt: Have you made a suicide attempt? Have you done anything to harm yourself? Have you done anything dangerous where you could have died? What did,19
C-SSRS - Baseline/Screening,you do? Did you ___ as a way to end your life? Did you want to die (even a little) when you ___? Were you trying to end your life when you ___? Or Did you think it was,19
C-SSRS - Baseline/Screening,"possible you could have died from ___? Or did you do it purely for other reasons / without ANY intention of killing yourself (like to relieve stress, feel better, get sympathy, or",19
C-SSRS - Baseline/Screening,get something else to happen)? (Self-Injurious Behavior,19
C-SSRS - Baseline/Screening,without suicidal intent),19
C-SSRS - Baseline/Screening,Total number of actual attempts.,19
C-SSRS - Baseline/Screening,"If yes, describe:",19
C-SSRS - Baseline/Screening,Has the subject engaged in non-suicidal self-injurious,20
C-SSRS - Baseline/Screening,behavior.,20
C-SSRS - Baseline/Screening,Interrupted Attempt: Has there been a time when you started to do something to try to end your life but someone or something stopped you before you actually did,20
C-SSRS - Baseline/Screening,anything?,20
C-SSRS - Baseline/Screening,Total number of interrupted attempts.,20
C-SSRS - Baseline/Screening,"If yes, describe:",20
C-SSRS - Baseline/Screening,Aborted Attempt: Has there been a time when you started to do something to try to end your life but you stopped,20
C-SSRS - Baseline/Screening,yourself before you actually did anything?,20
C-SSRS - Baseline/Screening,Total number of aborted attempts.,20
C-SSRS - Baseline/Screening,"If yes, describe:",21
C-SSRS - Baseline/Screening,"Preparatory Acts or Behavior: Have you taken any steps towards making a suicide attempt or preparing to kill yourself (such as collecting pills, getting a gun, giving",21
C-SSRS - Baseline/Screening,valuables away or writing a suicide note)?,21
