form_name,field_name,page
Visit Date,Visit Date,4
Hamilton Depression Rating Scale (HAM-D),14. Genital Symptoms,25
Hamilton Depression Rating Scale (HAM-D),15. Hypochondriasis,25
Hamilton Depression Rating Scale (HAM-D),16. Loss of Weight (Rate either a OR b),25
Hamilton Depression Rating Scale (HAM-D),17. Insight,25
Hamilton Depression Rating Scale (HAM-D),Total Score,25
Massachusetts General Hospital (MGH) Antidepressant Treatment Response Questionnaire (ATRQ),Monoamine Oxidase Inhibitors (MAOIs),35
Massachusetts General Hospital (MGH) Antidepressant Treatment Response Questionnaire (ATRQ),Selective Serotonin Reuptake Inhibitors (SSRIs),35
Massachusetts General Hospital (MGH) Antidepressant Treatment Response Questionnaire (ATRQ),Serotonin-Norepinephrine Reuptake Inhibitors (SNRIs),35
Massachusetts General Hospital (MGH) Antidepressant Treatment Response Questionnaire (ATRQ),Other Antidepressants,35
Massachusetts General Hospital (MGH) Antidepressant Treatment Response Questionnaire (ATRQ),Other Antidepressants,36
Visit Date,Visit Date,81
Hamilton Depression Rating Scale (HAM-D),14. Genital Symptoms,86
Hamilton Depression Rating Scale (HAM-D),15. Hypochondriasis,86
Hamilton Depression Rating Scale (HAM-D),16. Loss of Weight (Rate either a OR b),86
Hamilton Depression Rating Scale (HAM-D),17. Insight,86
Hamilton Depression Rating Scale (HAM-D),Total Score,86
Visit Date,Visit Date,137
Randomisation,Randomised,139
Randomisation,Randomisation Date,139
Randomisation,Randomisation Time,139
Randomisation,Randomisation Number,139
Vital Signs - Part 1 Pre Dose - 1 Hour Post Dose,0.25 Hours Post Dose,142
Vital Signs - Part 1 Pre Dose - 1 Hour Post Dose,Pulse Rate (beats/min),142
Vital Signs - Part 1 Pre Dose - 1 Hour Post Dose,0.5 Hours Post Dose,142
Vital Signs - Part 1 Pre Dose - 1 Hour Post Dose,Temperature (°C),142
Vital Signs - Part 1 Pre Dose - 1 Hour Post Dose,Respiratory Rate (breaths/min),142
Vital Signs - Part 1 Pre Dose - 1 Hour Post Dose,Systolic Blood Pressure (mmHg),142
Vital Signs - Part 1 Pre Dose - 1 Hour Post Dose,Diastolic Blood Pressure (mmHg),142
Vital Signs - Part 1 Pre Dose - 1 Hour Post Dose,1 Hour Post Dose,142
Vital Signs - Part 1 2-5 Hours Post Dose,3 Hours Post Dose,145
Vital Signs - Part 1 2-5 Hours Post Dose,Pulse Rate (beats/min),145
Vital Signs - Part 1 2-5 Hours Post Dose,4 Hours Post Dose,145
Vital Signs - Part 1 2-5 Hours Post Dose,Temperature (°C),145
Vital Signs - Part 1 2-5 Hours Post Dose,Respiratory Rate (breaths/min),145
Vital Signs - Part 1 2-5 Hours Post Dose,Systolic Blood Pressure (mmHg),145
Vital Signs - Part 1 2-5 Hours Post Dose,Diastolic Blood Pressure (mmHg),145
Vital Signs - Part 1 2-5 Hours Post Dose,5 Hours Post Dose,145
Vital Signs - Part 1 6-12 Hours Post Dose,8 Hours Post Dose,148
Vital Signs - Part 1 6-12 Hours Post Dose,Pulse Rate (beats/min),148
Vital Signs - Part 1 6-12 Hours Post Dose,12 Hours Post Dose,148
Vital Signs - Part 1 6-12 Hours Post Dose,Temperature (°C),148
Vital Signs - Part 1 6-12 Hours Post Dose,Respiratory Rate (breaths/min),148
Vital Signs - Part 1 6-12 Hours Post Dose,Systolic Blood Pressure (mmHg),148
Vital Signs - Part 1 6-12 Hours Post Dose,Diastolic Blood Pressure (mmHg),148
Vital Signs - Part 2 Pre Dose - 2 Hours Post Dose,1 Hour Post Dose,151
Vital Signs - Part 2 Pre Dose - 2 Hours Post Dose,Pulse Rate (beats/min),151
Vital Signs - Part 2 Pre Dose - 2 Hours Post Dose,2 Hours Post Dose,151
Vital Signs - Part 2 Pre Dose - 2 Hours Post Dose,Temperature (°C),151
Vital Signs - Part 2 Pre Dose - 2 Hours Post Dose,Respiratory Rate (breaths/min),151
Vital Signs - Part 2 Pre Dose - 2 Hours Post Dose,Systolic Blood Pressure (mmHg),151
Vital Signs - Part 2 Pre Dose - 2 Hours Post Dose,Diastolic Blood Pressure (mmHg),151
Vital Signs - Part 2 4-12 Hours Post Dose,8 Hours Post Dose,154
Vital Signs - Part 2 4-12 Hours Post Dose,Pulse Rate (beats/min),154
Vital Signs - Part 2 4-12 Hours Post Dose,12 Hours Post Dose,154
Vital Signs - Part 2 4-12 Hours Post Dose,Temperature (°C),154
Vital Signs - Part 2 4-12 Hours Post Dose,Respiratory Rate (breaths/min),154
Vital Signs - Part 2 4-12 Hours Post Dose,Systolic Blood Pressure (mmHg),154
Vital Signs - Part 2 4-12 Hours Post Dose,Diastolic Blood Pressure (mmHg),154
Pupillometry - Multi Time Point - Part 1,2 Hours Post Dose,164
Pupillometry - Multi Time Point - Part 1,3 Hours Post Dose,164
Pupillometry - Multi Time Point - Part 1,4 Hours Post Dose,164
Pupillometry - Multi Time Point - Part 1,5 Hours Post Dose,164
Pupillometry - Multi Time Point - Part 1,6 Hours Post Dose,164
Pupillometry - Multi Time Point - Part 1,8 Hours Post Dose,164
Pupillometry - Multi Time Point - Part 1,12 Hours Post Dose,164
Subjective Drug Intensity (SDI)  - Day 1,8 Hours Post Dose,186
Subjective Drug Intensity (SDI)  - Day 1,How intense is your current drug experience right now?,186
Subjective Drug Intensity (SDI)  - Day 1,8.5 Hours Post Dose,186
Subjective Drug Intensity (SDI)  - Day 1,9 Hours Post Dose,186
Subjective Drug Intensity (SDI)  - Day 1,9.5 Hours Post Dose,186
Subjective Drug Intensity (SDI)  - Day 1,10 Hours Post Dose,186
Subjective Drug Intensity (SDI)  - Day 1,10.5 Hours Post Dose,186
Subjective Drug Intensity (SDI)  - Day 1,11 Hours Post Dose,186
Subjective Drug Intensity (SDI)  - Day 1,11.5 Hours Post Dose,186
Subjective Drug Intensity (SDI)  - Day 1,12 Hours Post Dose,186
Mystical Experience Questionnaire (MEQ30),17. Experience of ecstasy.,203
Mystical Experience Questionnaire (MEQ30),18. Experience of the insight that “all is One”.,203
Mystical Experience Questionnaire (MEQ30),19. Being in a realm with no space boundaries.,203
Mystical Experience Questionnaire (MEQ30),20. Experience of oneness in relation to an “inner world” within.,203
Mystical Experience Questionnaire (MEQ30),21. Sense of reverence.,203
Mystical Experience Questionnaire (MEQ30),22. Experience of timelessness.,203
Mystical Experience Questionnaire (MEQ30),"23. You are convinced now, as you look back on your experience, that in it you encountered ultimate reality (that you ‘knew’ and ‘saw’ what was really real).",203
Mystical Experience Questionnaire (MEQ30),24. Feeling that you experienced something profoundly sacred and holy.,203
Mystical Experience Questionnaire (MEQ30),25. Awareness of the life or living presence in all things.,203
Mystical Experience Questionnaire (MEQ30),26. Experience of the fusion of your personal self into a larger whole.,203
Mystical Experience Questionnaire (MEQ30),27. Sense of awe or awesomeness.,203
Mystical Experience Questionnaire (MEQ30),28. Experience of unity with ultimate reality.,203
Mystical Experience Questionnaire (MEQ30),29. Feeling that it would be difficult to communicate your own experience to others who have not had similar experiences.,203
Mystical Experience Questionnaire (MEQ30),30. Feelings of joy.,203
