x=  33.3 y=  36.3 sz=11.4 black     | MAC186_X11_201_00001_eCRF_v1_10_form_tracker_v1_6_06Mar2025
x=  44.7 y=  49.3 sz= 6.0 black     | 27
x=  56.1 y=  52.3 sz= 6.0 black     | 0.25 Hours Post Dose
x= 128.0 y=  52.3 sz= 6.0 black     | 2
x= 562.0 y=  52.3 sz= 6.0 black     | Pulse Rate (beats/min)
x=  44.7 y=  64.3 sz= 6.0 black     | 28
x=  56.1 y=  67.3 sz= 6.0 black     | 0.25 Hours Post Dose
x= 128.0 y=  67.3 sz= 6.0 black     | 2
x= 562.0 y=  67.3 sz= 6.0 black     | SpO2
x=  44.7 y=  79.2 sz= 6.0 black     | 29
x=  56.1 y=  82.2 sz= 6.0 black     | 0.5 Hours Post Dose
x= 128.0 y=  82.2 sz= 6.0 black     | 1
x= 174.2 y=  82.2 sz= 6.0 black     | Vital Signs Details
x=  44.7 y=  94.2 sz= 6.0 black     | 30
x=  56.1 y=  97.2 sz= 6.0 black     | 0.5 Hours Post Dose
x= 128.0 y=  97.2 sz= 6.0 black     | 1
x= 562.0 y=  97.2 sz= 6.0 black     | Temperature (°C)
x=  44.7 y= 109.2 sz= 6.0 black     | 31
x=  56.1 y= 112.2 sz= 6.0 black     | 0.5 Hours Post Dose
x= 128.0 y= 112.2 sz= 6.0 black     | 1
x= 562.0 y= 112.2 sz= 6.0 black     | Respiratory Rate (breaths/min)
x=  44.7 y= 124.2 sz= 6.0 black     | 32
x=  56.1 y= 127.2 sz= 6.0 black     | 0.5 Hours Post Dose
x= 128.0 y= 127.2 sz= 6.0 black     | 1
x= 562.0 y= 127.2 sz= 6.0 black     | Systolic Blood Pressure (mmHg)
x=  44.7 y= 139.2 sz= 6.0 black     | 33
x=  56.1 y= 142.2 sz= 6.0 black     | 0.5 Hours Post Dose
x= 128.0 y= 142.2 sz= 6.0 black     | 1
x= 562.0 y= 142.2 sz= 6.0 black     | Diastolic Blood Pressure (mmHg)
x=  44.7 y= 154.2 sz= 6.0 black     | 34
x=  56.1 y= 157.2 sz= 6.0 black     | 0.5 Hours Post Dose
x= 128.0 y= 157.2 sz= 6.0 black     | 1
