form_name,field_name,page
02 - Group Info/Study ICF Draft,Does the participant have a valid photo ID?,1
02 - Group Info/Study ICF Draft,Did participant complete group information or remote information session?,1
02 - Group Info/Study ICF Draft,Record who held Group Information Session (full name),1
02 - Group Info/Study ICF Draft,Does the Anju study number match the study number in the participants' paper PIS/ICF?,1
02 - Group Info/Study ICF Draft,Study ICF Signed and Dated by the participant?,1
02 - Group Info/Study ICF Draft,Date Study ICF was signed by participant,2
02 - Group Info/Study ICF Draft,Time Study ICF was signed by participant,2
02 - Group Info/Study ICF Draft,Study ICF Part Number,2
02 - Group Info/Study ICF Draft,Study ICF Version Number,2
02 - Group Info/Study ICF Draft,(Version must be checked against ICF present in the RSF – escalate any discrepancies),2
02 - Group Info/Study ICF Draft,Study ICF signed and dated by the physician/nurse?,3
02 - Group Info/Study ICF Draft,Was a copy of the Study ICF given to the participant?,3
02 - Group Info/Study ICF Draft,Additional ICF Signed and Dated by the Participant?,3
02 - Group Info/Study ICF Draft,Date Additional ICF was signed by participant,3
02 - Group Info/Study ICF Draft,Time Additional ICF was signed by participant,4
02 - Group Info/Study ICF Draft,Additional ICF signed and dated by the physician/nurse?,4
02 - Group Info/Study ICF Draft,What is the status of the subject?,4
03 - Screening Draft v0.1,Sponsor Specific Participation Number (given,5
03 - Screening Draft v0.1,sequentially from S00001),5
03 - Screening Draft v0.1,Has the participant consumed any alcohol within 24 hours prior to Screening visit?,5
03 - Screening Draft v0.1,Has the participant consumed any food containing poppy seeds within 48 hours prior to,5
03 - Screening Draft v0.1,Screening visit?,5
03 - Screening Draft v0.1,Has the participant taken part in any unaccustomed strenuous exercise within 72 hours prior to,5
03 - Screening Draft v0.1,Please ensure that a Protocol Deviation is completed,5
03 - Screening Draft v0.1,Year of Birth,5
03 - Screening Draft v0.1,Age 18 to 55 years inclusive at time of signing informed consent,6
03 - Screening Draft v0.1,What is the ethnicity of the participant?,6
03 - Screening Draft v0.1,What is the race of the participant?,7
03 - Screening Draft v0.1,What is the sex of the participant?,7
03 - Screening Draft v0.1,Is participant of childbearing potential?,8
03 - Screening Draft v0.1,"Female participants who are not of childbearing potential do not need to use any methods of contraception. A woman is considered of childbearing potential unless post menopausal or permanently sterile. Permanent sterilisation methods include hysterectomy, bilateral salpingectomy and bilateral oophorectomy. A post-menopausal state is defined as no menses for 12 months without an alternative medical cause and confirmed by a follicle stimulating hormone (FSH) result of ≥40 IU/L. (If 'Yes', please exclude)",8
03 - Screening Draft v0.1,"If no, please complete reason:",8
03 - Screening Draft v0.1,Please ensure that an appropriate Medical History Quicklist is completed,8
03 - Screening Draft v0.1,Provide the date of LMP,8
03 - Screening Draft v0.1,Select all contraception options that apply:,9
03 - Screening Draft v0.1,"For sexually active males and their female partners of childbearing potential, there must be a documented agreement that the participant and their partner will take measures (ie, 2 different approved methods of birth control or remain abstinent from sexual activity). External condoms must be used in addition to hormonal contraception. External condom and internal condom should not be used together.",9
03 - Screening Draft v0.1,Please ensure that an appropriate Medical History Quicklist is completed,10
