form_name,field_name,page
04 - Admission/Predose Draft v0.1,Has the participant's photographic and wristband ID been verified and wristband applied to,1
04 - Admission/Predose Draft v0.1,participant's wrist?,1
04 - Admission/Predose Draft v0.1,Bag search performed?,1
04 - Admission/Predose Draft v0.1,"If restricted items removed, record items here",1
04 - Admission/Predose Draft v0.1,Has the ICF version been checked?,1
04 - Admission/Predose Draft v0.1,Signed ICF Version / Date,1
04 - Admission/Predose Draft v0.1,Has it been more than 20 days since the Screening visit?,2
04 - Admission/Predose Draft v0.1,Has the participant consumed any alcohol within 48 hours (72hrs prior to dosing) prior to,2
04 - Admission/Predose Draft v0.1,Admission visit?  (If 'Yes' exclude per exclusion criteria #24),2
04 - Admission/Predose Draft v0.1,"If consumed; date, time and number of units",2
04 - Admission/Predose Draft v0.1,Has the participant consumed food and beverages containing methylxanthines (caffeinated,2
04 - Admission/Predose Draft v0.1,"coffee, caffeinated tea, caffeinated soda, and chocolate) within 48 hours (72hrs prior to dosing) prior to Admission visit? (If 'Yes' exclude per exclusion criteria #24)",2
04 - Admission/Predose Draft v0.1,"Has participant consumed food or beverages containing pomelo, grapefruit, grapefruit juice,",3
04 - Admission/Predose Draft v0.1,"Seville oranges, Seville orange juice, blueberry juice, or cranberry juice within 48 hours (72hrs prior to dosing) prior to Admission visit? (If 'Yes' exclude per exclusion criteria #24)",3
04 - Admission/Predose Draft v0.1,Has the participant consumed any food containing poppy seeds within 48 hours prior to,3
04 - Admission/Predose Draft v0.1,Admission visit?,3
04 - Admission/Predose Draft v0.1,Has the participant had strenuous activity (e.g. weightlifting) within 72 hours prior to Admission,3
04 - Admission/Predose Draft v0.1,visit?,3
04 - Admission/Predose Draft v0.1,Has the participant use of tobacco products or experience daily exposure to second-hand,3
04 - Admission/Predose Draft v0.1,smoke since Screening?  (If 'Yes' exclude per exclusion criteria #14),3
04 - Admission/Predose Draft v0.1,Please ensure that a Protocol Deviation is completed,3
04 - Admission/Predose Draft v0.1,Has the participant been unwell or have they had any accidents or injuries since Screening?,4
04 - Admission/Predose Draft v0.1,Update Medical History where appropriate.,4
04 - Admission/Predose Draft v0.1,Please ensure that an Adverse Event is completed,4
04 - Admission/Predose Draft v0.1,Has the participant taken any new medication since the screening visit?,4
04 - Admission/Predose Draft v0.1,Please ensure that a Concomitant Medication is completed,4
04 - Admission/Predose Draft v0.1,Record time of urine sample (For all Urine Assessments) (Collect Urine Sample),4
04 - Admission/Predose Draft v0.1,"What was the bilirubin result?  If any positive result, inform medic/PI. (Perform urinalysis and",4
04 - Admission/Predose Draft v0.1,read results),4
04 - Admission/Predose Draft v0.1,"What was the urobilinogen result?  If any positive result, inform medic/PI. (Perform urinalysis",5
04 - Admission/Predose Draft v0.1,and read results),5
04 - Admission/Predose Draft v0.1,"What was the ketone result?  If any positive result, inform medic/PI. (Perform urinalysis and",5
04 - Admission/Predose Draft v0.1,read results),5
04 - Admission/Predose Draft v0.1,"What was the glucose result?  If any positive result, inform medic/PI. (Perform urinalysis and",6
04 - Admission/Predose Draft v0.1,read results),6
04 - Admission/Predose Draft v0.1,What was the protein result?,6
04 - Admission/Predose Draft v0.1,"IF PROTEIN ≥ 30mg/dl:  Repeat urinalysis as soon as possible, ensuring a clean catch specimen. If protein remains ≥ 30mg/dl on repeat, then inform PI/medic. (Perform urinalysis and read results)",6
04 - Admission/Predose Draft v0.1,What was the blood result? (Perform urinalysis and read results),7
04 - Admission/Predose Draft v0.1,What was the nitrite result? (Perform urinalysis and read results),7
04 - Admission/Predose Draft v0.1,Record pH value (Perform urinalysis and read results),7
04 - Admission/Predose Draft v0.1,Record specific gravity of sample (Perform urinalysis and read results),8
04 - Admission/Predose Draft v0.1,What was the leukocyte result? (Perform urinalysis and read results),8
04 - Admission/Predose Draft v0.1,"Is participant female and menstruating? (If 'Yes', DO NOT send sample for Microscopy. If 'No',",9
04 - Admission/Predose Draft v0.1,send sample for Microscopy),9
04 - Admission/Predose Draft v0.1,Confirm sample sent for microscopy (Complete associated paperwork),9
04 - Admission/Predose Draft v0.1,Has urinalysis been repeated as soon as possible with a clean catch specimen?,9
04 - Admission/Predose Draft v0.1,Ensure events are repeated to capture this data.,9
