x= 235.9 y=  39.1 sz=20.0 #4682b4 B | Annotated CRF
x=  29.9 y=  71.2 sz=11.0 black   B | Study, Site:
x= 238.7 y=  71.2 sz=11.0 black   B | Group, Visit:
x= 445.2 y=  71.2 sz=11.0 black   B | Slot:
x=  29.9 y=  93.9 sz=11.0 black   B | Schedule Category & Name:
x= 167.7 y=  93.9 sz=11.0 black     | QSC302573, 04 - Admission/Predose Draft v0.1
x=  29.9 y= 116.4 sz=10.0 #4682b4 B | Timepoint
x= 167.7 y= 116.4 sz=10.0 #4682b4 B | Activity
x= 488.4 y= 116.4 sz=10.0 #4682b4 B | Line #
x=  29.9 y= 133.4 sz=10.0 black     | _ _ - _ _ _ - _ _ _ _
x= 116.7 y= 133.4 sz=10.0 black     | _ _ : _ _
x= 167.7 y= 133.4 sz=10.0 black   B | Drugs of abuse - Barbiturates (BAR)
x=  29.9 y= 145.6 sz=10.0 black     | dd - MMM - yyyy
x= 116.7 y= 145.6 sz=10.0 black     | HH:mm
x=  30.9 y= 160.8 sz=10.0 #4682b4 B | Staff Initials:
x= 167.7 y= 176.7 sz=10.0 #4682b4 B | Answer(s):
x= 238.7 y= 176.7 sz=10.0 black     | O Negative
x= 238.7 y= 193.7 sz=10.0 black     | [LBORRES] SAS:[Name=LBORRES, Length=50, DataType=Char]
x= 238.7 y= 210.7 sz=10.0 black     | O Positive (Comment Required) (Activates Line  44)
x= 238.7 y= 227.8 sz=10.0 black     | [LBORRES] SAS:[Name=LBORRES, Length=50, DataType=Char]
x=  29.9 y= 244.8 sz=10.0 #4682b4 B | Comment:
x=  29.9 y= 267.5 sz=10.0 black     | Day 0 (0), -00:00.00
x= 167.7 y= 267.5 sz=10.0 black   B | Urine Drug Screen: Benzodiazepines #1
x= 488.4 y= 267.5 sz=10.0 black     | 36.0
x=  29.9 y= 284.5 sz=10.0 black     | _ _ - _ _ _ - _ _ _ _
x= 116.7 y= 284.5 sz=10.0 black     | _ _ : _ _
x= 167.7 y= 284.5 sz=10.0 black   B | Drugs of abuse - Benzodiazepines (BZO)
x=  29.9 y= 296.6 sz=10.0 black     | dd - MMM - yyyy
x= 116.7 y= 296.6 sz=10.0 black     | HH:mm
x=  30.9 y= 311.8 sz=10.0 #4682b4 B | Staff Initials:
x= 167.7 y= 327.8 sz=10.0 #4682b4 B | Answer(s):
x= 238.7 y= 327.8 sz=10.0 black     | O Negative
x= 238.7 y= 344.8 sz=10.0 black     | [LBORRES] SAS:[Name=LBORRES, Length=50, DataType=Char]
x= 238.7 y= 361.9 sz=10.0 black     | O Positive (Comment Required) (Activates Line  44)
x= 238.7 y= 378.8 sz=10.0 black     | [LBORRES] SAS:[Name=LBORRES, Length=50, DataType=Char]
x=  29.9 y= 395.8 sz=10.0 #4682b4 B | Comment:
x=  29.9 y= 418.5 sz=10.0 black     | Day 0 (0), -00:00.00
x= 167.7 y= 418.5 sz=10.0 black   B | Urine Drug Screen: Methadone #1
x= 488.4 y= 418.5 sz=10.0 black     | 37.0
x=  29.9 y= 435.5 sz=10.0 black     | _ _ - _ _ _ - _ _ _ _
x= 116.7 y= 435.5 sz=10.0 black     | _ _ : _ _
x= 167.7 y= 435.5 sz=10.0 black   B | Drugs of abuse - Methadone (MTD)
x=  29.9 y= 447.7 sz=10.0 black     | dd - MMM - yyyy
x= 116.7 y= 447.7 sz=10.0 black     | HH:mm
x=  30.9 y= 462.9 sz=10.0 #4682b4 B | Staff Initials:
x= 167.7 y= 478.9 sz=10.0 #4682b4 B | Answer(s):
x= 238.7 y= 478.9 sz=10.0 black     | O Negative
x= 238.7 y= 495.8 sz=10.0 black     | [LBORRES] SAS:[Name=LBORRES, Length=50, DataType=Char]
