x= 542.1 y= 132.2 sz=10.5 #999999   | X
x=  64.2 y= 158.5 sz= 9.0 #ff0000   | [RPM4]
x=  64.2 y= 172.6 sz= 9.0 #ff0000   | [TYPE: enumeration (values: X)]
x=  64.2 y= 186.7 sz= 9.0 #ff0000   | [VISIBILITY: site only]
x= 542.1 y= 215.8 sz=10.5 #999999   | X
x=  93.0 y= 217.6 sz= 9.0 black     | •
x= 104.2 y= 217.6 sz= 9.0 black     | Tubal ligation
x=  64.2 y= 242.0 sz= 9.0 #ff0000   | [RPM5]
x=  64.2 y= 256.1 sz= 9.0 #ff0000   | [TYPE: enumeration (values: X)]
x=  64.2 y= 270.2 sz= 9.0 #ff0000   | [VISIBILITY: site only]
x= 542.1 y= 299.3 sz=10.5 #999999   | X
x=  93.0 y= 301.2 sz= 9.0 black     | •
x= 104.2 y= 301.2 sz= 9.0 black     | Intrauterine device
x=  64.2 y= 325.6 sz= 9.0 #ff0000   | [RPM6]
x=  64.2 y= 339.7 sz= 9.0 #ff0000   | [TYPE: enumeration (values: X)]
x=  64.2 y= 353.8 sz= 9.0 #ff0000   | [VISIBILITY: site only]
x= 542.1 y= 382.9 sz=10.5 #999999   | X
x=  93.0 y= 384.7 sz= 9.0 black     | •
x= 104.2 y= 384.7 sz= 9.0 black     | Birth control pills
x=  64.2 y= 409.1 sz= 9.0 #ff0000   | [RPM7]
x=  64.2 y= 423.2 sz= 9.0 #ff0000   | [TYPE: enumeration (values: X)]
x=  64.2 y= 437.3 sz= 9.0 #ff0000   | [VISIBILITY: site only]
x= 542.1 y= 466.4 sz=10.5 #999999   | X
x=  93.0 y= 468.3 sz= 9.0 black     | •
x= 104.2 y= 468.3 sz= 9.0 black     | Birth control implant
x=  64.2 y= 492.7 sz= 9.0 #ff0000   | [RPM8]
x=  64.2 y= 506.8 sz= 9.0 #ff0000   | [TYPE: enumeration (values: X)]
x=  64.2 y= 520.9 sz= 9.0 #ff0000   | [VISIBILITY: site only]
x= 542.1 y= 550.0 sz=10.5 #999999   | X
x=  93.0 y= 551.8 sz= 9.0 black     | •
x= 104.2 y= 551.8 sz= 9.0 black     | Birth control depot injection
x=  64.2 y= 576.2 sz= 9.0 #ff0000   | [RPM9]
x=  64.2 y= 590.3 sz= 9.0 #ff0000   | [TYPE: enumeration (values: X)]
x=  64.2 y= 604.4 sz= 9.0 #ff0000   | [VISIBILITY: site only]
x= 542.1 y= 633.5 sz=10.5 #999999   | X
x=  93.0 y= 635.4 sz= 9.0 black     | •
x= 104.2 y= 635.4 sz= 9.0 black     | Condom with spermicide
x=  64.2 y= 659.8 sz= 9.0 #ff0000   | [RPM13]
x=  64.2 y= 673.9 sz= 9.0 #ff0000   | [TYPE: enumeration (values: X)]
x=  64.2 y= 688.0 sz= 9.0 #ff0000   | [VISIBILITY: site only]
x= 542.1 y= 717.1 sz=10.5 #999999   | X
x=  93.0 y= 718.9 sz= 9.0 black     | •
x= 104.2 y= 718.9 sz= 9.0 black     | Sponge with spermicide
x= 267.8 y= 798.3 sz=12.0 black     | Page 45 of 1085
