form_name,field_name,page
Visit Date,Was visit performed?,2
Visit Date,"If No, please provide reason",2
Visit Date,Visit Date,2
Visit Date,Folder OID (auto-populated),2
Unscheduled Visit,Vital Signs,4
Unscheduled Visit,Vital Signs-Standing,4
Unscheduled Visit,Body Measurements,4
Unscheduled Visit,Physical Exam,4
Unscheduled Visit,Neurological Examination,4
Unscheduled Visit,12-Lead ECG Triplicate,4
Unscheduled Visit,Central Laboratory Sample Collection Summary,4
Unscheduled Visit,Drug Screen Test,4
Unscheduled Visit,Pregnancy Test,4
Unscheduled Visit,Central Laboratory - FSH,4
Unscheduled Visit,PK Plasma Sample,4
Unscheduled Visit,Fluid Biomarkers,4
Unscheduled Visit,Barnes Akathisia Rating Scale,4
Unscheduled Visit,Abnormal Involuntary Movement Scale (AIMS),4
Unscheduled Visit,Simpson-Angus Scale (SAS),5
Unscheduled Visit,Positive and Negative Syndrome Scale (PANSS),5
Unscheduled Visit,Clinical Global Impression - Severity of Illness,5
Unscheduled Visit,Drug Effects Questionnaire,5
Unscheduled Visit,The Clinician Administered Dissociative States Scale,5
Unscheduled Visit,Calgary Depression Scale for Schizophrenia (CDSS),5
Unscheduled Visit,Columbia-Suicide Severity Rating Scale (C-SSRS) Since,5
Telephone Follow-up,Was the Post Treatment Follow Up (Telephone call),8
Telephone Follow-up,"If No, Please provide reason",8
Telephone Follow-up,Date of scheduled follow-up phone call,8
Telephone Follow-up,Were you able to contact the participant?,8
Telephone Follow-up,Date of Contact/Attempt,8
Telephone Follow-up,Contact Attempt,8
Telephone Follow-up,Contact Method,8
Telephone Follow-up,Specify,8
Telephone Follow-up,Has the participant had any new or change in adverse,8
Telephone Follow-up,Has the participant taken any medications since the last,8
Inclusion/Exclusion Criteria Summary,Initial Informed Consent Date (auto-populated):,11
Inclusion/Exclusion Criteria Summary,Did the participant meet all eligibility criteria?,11
Inclusion/Exclusion Criteria,Criterion Type,13
Inclusion/Exclusion Criteria,Criterion Identifier,13
Demographics,Country (auto-populated),15
Demographics,Participant Status (auto-populated),15
Demographics,Date of Birth,15
Demographics,Age (xxx),15
Demographics,Sex Assigned at Birth:,15
Demographics,Participant currently identifies as:,15
Demographics,Ethnicity,15
Demographics,American Indian or Alaska Native,15
Demographics,Asian,16
Demographics,Black or African American,16
Demographics,Native Hawaiian or Other Pacific Islander,16
Demographics,White,16
Demographics,Not Reported,16
Demographics,Unknown,16
Demographics,Other Race,16
Demographics,Specify Other Race,16
Demographics,Was participant previously screened?,16
Demographics,Previous Participant Number,16
Childbearing Potential,Is participant of childbearing potential?,20
Childbearing Potential,"If No, reason",20
Childbearing Potential,"If Post-menopausal, date of last menstruation",20
Childbearing Potential,"Other, specify",20
Childbearing Potential,Does the Subject agree not to donate sperm or eggs,20
Childbearing Potential,List at minimum two birth control methods used,20
Childbearing Potential,Implantable progestogen-only hormone contraception,20
Childbearing Potential,Intrauterine device (non hormonal),20
Childbearing Potential,Intrauterine hormone-releasing system,20
Childbearing Potential,Combined (estrogen- and progestogen-containing),20
Childbearing Potential,Condom,20
Childbearing Potential,Sponge,20
Childbearing Potential,Occlusive cap (vaginal diaphragm or cervical/vault cap),21
Childbearing Potential,Progestogen-only hormone,21
Childbearing Potential,Abstinence from sexual activity with the potential for,21
Childbearing Potential,Sterile Partner,21
Childbearing Potential,Other,21
Childbearing Potential,"Other, specify",21
Childbearing Potential,Month and Year of last menstruation (auto-populated),21
Childbearing Potential,Year of last menstruation (auto-populated),21
Medical History Summary,Has the participant experienced any past and / or,25
Medical History,Medical Condition or Event,27
Medical History,Is disease/condition under control?,27
Medical History,Start Date,27
Medical History,Ongoing?,27
Medical History,End Date,27
Medical History,Start Month and Year (auto-populated),27
Medical History,Start Year (auto-populated),27
Medical History,End Month and Year (auto-populated),27
Medical History,End Year (auto-populated),27
Randomization,Was participant randomized?,29
Randomization,Randomization Date,29
Randomization,Randomization Time,29
Randomization,Randomization Assignment,29
Randomization,Randomization Number,29
Randomization,Randomization Date for Tagging (auto-populated),29
Body Measurements,Were vital signs performed?,31
