form_name,field_name,page
CM related to MH,Enter medical history the concomitant medication is being,54
CM related to MH,given for,54
CM related to MH,Concomitant medication or therapy,54
CM related to MH,Route of administration,54
CM related to MH,Total dose,54
CM related to MH,Dose form,54
Concomitant Medications - Screening,Were any concomitant medications taken?,56
Concomitant Medications - Screening,Concomitant medication or therapy,56
Concomitant Medications - Screening,Route of administration,56
Concomitant Medications - Screening,Total dose,56
Concomitant Medications - Screening,Dose form,56
Concomitant Medications - Screening,Dose unit,56
Subject Eligibility,1. Male or female participants between 18 and 55 years of,119
Subject Eligibility,age (inclusive) at time of consent.,119
Subject Eligibility,2. Body mass index from 18.0 to 32.0 kg/m2 (inclusive).,119
Subject Eligibility,3. In good health as determined by: a. Medical history b.,119
Subject Eligibility,Physical examination c. Vital signs d. Neurological,119
Subject Eligibility,"examination e. Electrocardiogram f. Serum chemistry, lipid",119
Subject Eligibility,"panel, thyroid panel, coagulation panel, urinalysis,",119
Subject Eligibility,"hematology, and serology tests (from screening visit).",119
Subject Eligibility,"4. Willing to stay in the clinic for the required period (ie, to",119
Subject Eligibility,be hospitalized) and willing to be contacted for the safety,119
Subject Eligibility,follow-up telephone call.,119
Subject Eligibility,"5. Ability to provide written, informed consent prior to",119
Subject Eligibility,"initiation of any trial-related procedures, and ability, in the",119
Subject Eligibility,"opinion of the Principal Investigator, to comply with all the",119
Subject Eligibility,requirements of the trial.,119
Subject Eligibility,1. Are breast-feeding.,119
Subject Eligibility,2. Have a positive pregnancy test prior to receiving IMP.,119
Subject Eligibility,3. Participants of reproductive potential (PORP)/,119
Subject Eligibility,participants of childbearing potential (POCBP) who do not,119
Subject Eligibility,agree to practice 2 different highly effective methods of,119
Subject Eligibility,birth control or remain fully abstinent from sexual activity,119
Subject Eligibility,"with the potential for conception, per the guidelines in",119
Subject Eligibility,Section 10.3.,119
Subject Eligibility,4. Participants who do not agree to refrain from donating,119
Subject Eligibility,sperm or eggs from trial screening through 90 days after,119
Subject Eligibility,the last dose of IMP.,119
Subject Eligibility,5. Participant has any clinically significant unstable medical,119
Subject Eligibility,"condition or any clinically significant chronic disease that in the opinion of the investigator, would limit the participant’s ability to complete and/or participate in the study, including",119
Subject Eligibility,"the opinion of the investigator, would limit the participant’s ability to complete and/or participate in the study, including",119
Subject Eligibility,"ability to complete and/or participate in the study, including",119
Subject Eligibility,any clinically significant hematological (including deep vein,119
Subject Eligibility,"thrombosis) or bleeding disorder, renal, metabolic,",119
Subject Eligibility,"endocrine, pulmonary, gastrointestinal, urological,",119
Subject Eligibility,"cardiovascular, hepatic, neurologic or allergic disease",119
Subject Eligibility,(except for untreated seasonal allergies that are,119
Subject Eligibility,asymptomatic at the time of dosing),119
