form_name,field_name,page
AE / CM,Were any adverse events experienced?,21
AE / CM,Start date and time,21
AE / CM,Ongoing?,21
AE / CM,End date and time,21
AE / CM,Adverse event term,21
AE / CM,Is this a treatment emergent adverse event?,21
AE / CM,Is this an Immediately Reportable Event (IRE)?,21
Blood Collection - Admission Day -2,Were the sample(s) collected?,27
Blood Collection - Baseline Day -1,Were the sample(s) collected?,28
Blood Collection - Baseline Day -1,Creatinine collection date and time,28
Blood Collection - PD Creatinine,Was the sample collected?,29
Blood Collection - PD Creatinine,Creatinine collection date and time,29
Blood Collection - PK Quinidine,Was the sample collected?,30
Blood Collection - PK Quinidine,PK Quinidine collection date and time,30
Blood Collection - PK SEP,Was the sample collected?,31
Blood Collection - PK SEP,PK SEP collection date and time,31
Blood Collection - PK SEP and Safety,Were the sample(s) collected?,32
Blood Collection - PK SEP and Safety,PK SEP collection date and time,32
Blood Collection - PK SEP/PD Creatine,Was the sample collected?,33
Blood Collection - PK SEP/PD Creatine,PK SEP collection date and time,33
Blood Collection - PK SEP/PD Creatine,Creatinine collection date and time,33
Blood Collection - PK SEP/PD Creatine/Glucose/Insulin,Was the sample collected?,34
Blood Collection - PK SEP/PD Creatine/Glucose/Insulin,PK SEP collection date and time,34
Blood Collection - PK SEP/PD Creatine/Glucose/Insulin,Creatinine collection date and time,34
Blood Collection - PK SEP/PD Creatinine/PGx/ Safety Day 1,Were the sample(s) collected?,35
Blood Collection - PK SEP/PD Creatinine/PGx/ Safety Day 1,PK SEP collection date and time,35
Blood Collection - PK SEP/PD Creatinine/PGx/ Safety Day 1,Creatinine collection date and time,35
Blood Collection - PK SEP/PD Creatinine/PGx/ Safety Day 1,PGx collection date and time,35
Blood Collection - PK SEP/PK Quinidine,Was the sample collected?,36
Blood Collection - PK SEP/PK Quinidine,PK SEP collection date and time,36
Blood Collection - PK SEP/PK Quinidine,PK Quinidine collection date and time,36
Blood Collection - PK SEP/PK Quinidine/Safety Day 7,Were the sample(s) collected?,37
Blood Collection - PK SEP/PK Quinidine/Safety Day 7,PK SEP collection date and time,37
Blood Collection - PK SEP/PK Quinidine/Safety Day 7,PK Quinidine collection date and time,37
Blood Collection - Safety,Were the sample(s) collected?,38
Blood Collection - Screening,Were the sample(s) collected?,39
C-SSRS - Baseline/Screening,Date and Time of Collection,40
C-SSRS - Baseline/Screening,Have you wished you were dead or wished you could go to,40
C-SSRS - Baseline/Screening,sleep and not wake up? (Lifetime).,40
C-SSRS - Baseline/Screening,sleep and not wake up? (Past 12 Months).,40
C-SSRS - Baseline/Screening,"If yes, describe:",40
C-SSRS - Baseline/Screening,Have you actually had any thoughts of killing yourself?,40
C-SSRS - Baseline/Screening,(Lifetime).,40
C-SSRS - Since Last Visit,Date and Time of Collection,48
C-SSRS - Since Last Visit,Have you wished you were dead or wished you could go to,48
C-SSRS - Since Last Visit,sleep and not wake up since last visit?,48
C-SSRS - Since Last Visit,"If yes, describe:",48
C-SSRS - Since Last Visit,Have you actually had any thoughts of killing yourself since,48
C-SSRS - Since Last Visit,last visit?,48
C-SSRS - Since Last Visit,Have you been thinking about how you might do this since,48
CM related to MH,Enter medical history the concomitant medication is being,54
CM related to MH,given for,54
CM related to MH,Concomitant medication or therapy,54
CM related to MH,Route of administration,54
CM related to MH,Total dose,54
CM related to MH,Dose form,54
Concomitant Medications - Screening,Were any concomitant medications taken?,56
Concomitant Medications - Screening,Concomitant medication or therapy,56
Concomitant Medications - Screening,Route of administration,56
Concomitant Medications - Screening,Total dose,56
Concomitant Medications - Screening,Dose form,56
Concomitant Medications - Screening,Dose unit,56
Demographics,Date of demographic collection,58
Demographics,Age,58
Demographics,Sex,58
Demographics,Ethnicity,58
Demographics,American Indian Or Alaska Native,58
Demographics,Asian,58
Demographics,Black Or African American,58
Demographics,Native Hawaiian Or Other Pacific Islander,58
Demographics,White,58
Disposition,Date of volunteer completion or discontinuation,60
Disposition,Completion/Reason for Non-Completion,60
Disposition,Date of Death,60
Disposition,Adverse Event term,60
Disposition,What enrollment criteria did the volunteer not meet?,60
Disposition,What made the volunteer a lost to follow-up?,60
ECG (RScribe),Is this collection a repeat?,63
ECG (RScribe),PR,63
ECG (RScribe),QRS,63
ECG (RScribe),QT,63
ECG (RScribe),QTcF,63
ECG (RScribe) Admission,Is this collection a repeat?,66
ECG (RScribe) Admission,PR,66
ECG (RScribe) Admission,QRS,66
ECG (RScribe) Admission,QT,66
ECG (RScribe) Admission,QTcF,66
ECG (RScribe) Screening,Is this collection a repeat?,69
ECG (RScribe) Screening,PR,69
ECG (RScribe) Screening,QRS,69
ECG (RScribe) Screening,QT,69
ECG (RScribe) Screening,QTcF,69
ECG (RScribe) Unscheduled,PR,72
ECG (RScribe) Unscheduled,QRS,72
ECG (RScribe) Unscheduled,QT,72
ECG (RScribe) Unscheduled,QTcF,72
ECG (RScribe) Unscheduled,QTcB,72
ECG (RScribe) Unscheduled,RATE,72
ECG Triplicate (RScribe),Is this collection a repeat?,75
ECG Triplicate (RScribe),PR,75
ECG Triplicate (RScribe),QRS,75
ECG Triplicate (RScribe),QT,75
ECG Triplicate (RScribe),QTcF,75
ECG Triplicate (RScribe) - Baseline,Is this collection a repeat?,82
ECG Triplicate (RScribe) - Baseline,PR,82
ECG Triplicate (RScribe) - Baseline,QRS,82
ECG Triplicate (RScribe) - Baseline,QT,82
ECG Triplicate (RScribe) - Baseline,QTcF,82
Enrollment,Date and time of enrollment,89
Enrollment,Enrollment number,89
Height / Weight / BMI,Date and time of collection,90
Height / Weight / BMI,Height,90
