x=  36.0 y=  11.5 sz= 9.0 black     | 384-201-00004
x=  42.0 y=  34.8 sz=12.0 #ffffff   | Screening
x=  44.2 y=  55.9 sz=10.5 #666677 B | Study Event
x= 155.1 y=  55.9 sz=10.5 #666677 B | Form
x=  44.2 y=  71.2 sz= 9.0 black     | Day -28 to Day -3
x= 155.1 y=  71.2 sz= 9.0 black     | Re-Screen
x=  44.2 y=  84.6 sz= 9.0 black     | Day -28 to Day -3
x= 155.1 y=  84.6 sz= 9.0 black     | Demographics
x= 155.1 y=  98.1 sz= 9.0 black     | Contraception - Male_V3
x= 447.9 y= 106.5 sz= 7.2 black     | Conditionally Visible
x= 447.9 y= 114.8 sz= 7.2 black     | Form: Demographics
x= 447.9 y= 123.1 sz= 7.2 black     | Study Event: Day -28 to Day
x=  44.2 y= 130.1 sz= 9.0 black     | Day -28 to Day -3
x= 447.9 y= 131.4 sz= 7.2 black     | -3
x= 447.9 y= 139.8 sz= 7.2 black     | Timepoint:
x= 447.9 y= 148.1 sz= 7.2 black     | Conditional Item: DM Sex
x= 447.9 y= 156.4 sz= 7.2 black     | Visible If Value: MALE = MALE
x= 155.1 y= 175.5 sz= 9.0 #ff0000   | Contraception - Male_V2 (archived)
x= 447.9 y= 183.8 sz= 7.2 black     | Conditionally Visible
x= 447.9 y= 192.2 sz= 7.2 black     | Form: Demographics
x= 447.9 y= 200.5 sz= 7.2 black     | Study Event: Day -28 to Day
x=  44.2 y= 207.5 sz= 9.0 black     | Day -28 to Day -3
x= 447.9 y= 208.8 sz= 7.2 black     | -3
x= 447.9 y= 217.1 sz= 7.2 black     | Timepoint:
x= 447.9 y= 225.5 sz= 7.2 black     | Conditional Item: DM Sex
x= 447.9 y= 233.8 sz= 7.2 black     | Visible If Value: MALE = MALE
x= 155.1 y= 252.9 sz= 9.0 #ff0000   | Contraception - Male (archived)
x= 447.9 y= 261.3 sz= 7.2 black     | Conditionally Visible
x= 447.9 y= 269.6 sz= 7.2 black     | Form: Demographics
x= 447.9 y= 277.9 sz= 7.2 black     | Study Event: Day -28 to Day
x=  44.2 y= 284.9 sz= 9.0 black     | Day -28 to Day -3
x= 447.9 y= 286.2 sz= 7.2 black     | -3
x= 447.9 y= 294.5 sz= 7.2 black     | Timepoint:
x= 447.9 y= 302.9 sz= 7.2 black     | Conditional Item: DM Sex
x= 447.9 y= 311.2 sz= 7.2 black     | Visible If Value: MALE = MALE
x= 155.1 y= 330.3 sz= 9.0 black     | Contraception - Female
x= 429.7 y= 338.7 sz= 7.2 black     | Conditionally Visible
x= 429.7 y= 347.0 sz= 7.2 black     | Form: Demographics
x= 429.7 y= 355.3 sz= 7.2 black     | Study Event: Day -28 to Day -3
x=  44.2 y= 358.1 sz= 9.0 black     | Day -28 to Day -3
x= 429.7 y= 363.6 sz= 7.2 black     | Timepoint:
x= 429.7 y= 371.9 sz= 7.2 black     | Conditional Item: DM Sex
x= 429.7 y= 380.3 sz= 7.2 black     | Visible If Value: FEMALE = FEMALE
x=  44.2 y= 399.3 sz= 9.0 black     | Day -28 to Day -3
x= 155.1 y= 399.3 sz= 9.0 black     | Lifestyle History
x=  44.2 y= 412.8 sz= 9.0 black     | Day -28 to Day -3
x= 155.1 y= 412.8 sz= 9.0 black     | Concomitant Medications - Screening
x=  44.2 y= 426.2 sz= 9.0 black     | Day -28 to Day -3
x= 155.1 y= 426.2 sz= 9.0 black     | Urine Collection - Screening
x=  44.2 y= 439.6 sz= 9.0 black     | Day -28 to Day -3
x= 155.1 y= 439.6 sz= 9.0 black     | Height / Weight / BMI
x=  44.2 y= 453.0 sz= 9.0 black     | Day -28 to Day -3
x= 155.1 y= 453.0 sz= 9.0 black     | ECG (RScribe) Screening
x=  44.2 y= 466.5 sz= 9.0 black     | Day -28 to Day -3
x= 155.1 y= 466.5 sz= 9.0 black     | Vital Signs - Orthostatic Screening/Admission
x=  44.2 y= 479.9 sz= 9.0 black     | Day -28 to Day -3
x= 155.1 y= 479.9 sz= 9.0 black     | Blood Collection - Screening
x=  44.2 y= 493.3 sz= 9.0 black     | Day -28 to Day -3
x= 155.1 y= 493.3 sz= 9.0 black     | Medical History
x=  44.2 y= 506.7 sz= 9.0 black     | Day -28 to Day -3
x= 155.1 y= 506.7 sz= 9.0 black     | Physical Examination - Screening
x=  44.2 y= 520.2 sz= 9.0 black     | Day -28 to Day -3
x= 155.1 y= 520.2 sz= 9.0 black     | C-SSRS - Baseline/Screening
x=  44.2 y= 533.6 sz= 9.0 black     | Day -28 to Day -3
x= 155.1 y= 533.6 sz= 9.0 black     | Mapping Questions
x=  44.2 y= 547.0 sz= 9.0 black     | Day -28 to Day -3
x= 155.1 y= 547.0 sz= 9.0 black     | Reminders
x=  44.2 y= 560.4 sz= 9.0 black     | Day -28 to Day -3
x= 155.1 y= 560.4 sz= 9.0 black     | Stipend Earned
x=  44.2 y= 573.9 sz= 9.0 black     | Day -28 to Day -3
x= 155.1 y= 573.9 sz= 9.0 black     | Disposition
x=  36.0 y= 817.4 sz= 9.0 black     | Annotated CRF
x= 281.4 y= 817.4 sz= 9.0 black     | 2 of 238
x= 445.8 y= 817.4 sz= 9.0 black     | https://drvince.clinspark.com
