form_name,field_name,page
Informed Consent Form,Informed Consent Date,2
Informed Consent Form,Informed Consent Time,2
Informed Consent Form,Informed Consent Version,2
Informed Consent Form,Previous Subject Number,2
Visit Date,Visit Date,4
Demographics,Year of Birth,6
Demographics,Age at Consent (Years),6
Demographics,Sex,6
Demographics,Country of Residence,6
Demographics,"Country Other, Specify",6
Demographics,Ethnicity,6
Demographics,"Other, Please Specify",6
Inclusion / Exclusion Criteria,Date Eligibility Criteria Confirmed,8
C-SSRS (Screening) - Part 1,Reason Not Performed,12
C-SSRS (Screening) - Part 1,C-SSRS Date,12
C-SSRS (Screening) - Part 1,C-SSRS Time,12
C-SSRS (Screening) - Part 1,Rater Initials,12
C-SSRS (Screening) - Part 1,3. Active Suicidal Ideation with Any,12
C-SSRS (Screening) - Part 1,4. Active Suicidal Ideation with Some,12
C-SSRS (Screening) - Part 1,5. Active Suicidal Ideation with,12
C-SSRS (Screening) - Part 1,Yes  [6],12
C-SSRS (Screening) - Part 1,Yes  [7],12
C-SSRS (Screening) - Part 1,Yes  [9],12
C-SSRS (Screening) - Part 1,Yes  [10],12
C-SSRS (Screening) - Part 1,Yes  [12],12
C-SSRS (Screening) - Part 1,Yes  [13],12
C-SSRS (Screening) - Part 1,Yes  [15],12
C-SSRS (Screening) - Part 1,Yes  [16],12
C-SSRS (Screening) - Part 1,Yes  [18],12
C-SSRS (Screening) - Part 1,Yes  [19],12
[22],Past 60 Months,13
[22],Frequency,13
[22],Duration,13
[22],Controllability,13
[22],Deterrents,13
[22],Actual Attempt,13
,Aborted Attempt,14
,Date,14
,Enter Code,14
,Actual Lethality/Medical Damage,14
,Yes  [52],14
,Yes  [53],14
C-SSRS (Screening) - Part 2,Reason Not Performed,18
C-SSRS (Screening) - Part 2,C-SSRS Date,18
C-SSRS (Screening) - Part 2,C-SSRS Time,18
C-SSRS (Screening) - Part 2,Rater Initials,18
C-SSRS (Screening) - Part 2,3. Active Suicidal Ideation with Any,18
C-SSRS (Screening) - Part 2,4. Active Suicidal Ideation with Some,18
C-SSRS (Screening) - Part 2,5. Active Suicidal Ideation with,18
