form_name,field_name,page
Massachusetts General Hospital (MGH) Antidepressant Treatment Response Questionnaire (ATRQ),MGH Assessment Performed,34
Massachusetts General Hospital (MGH) Antidepressant Treatment Response Questionnaire (ATRQ),Yes No,34
Massachusetts General Hospital (MGH) Antidepressant Treatment Response Questionnaire (ATRQ),Reason Not Performed,34
Massachusetts General Hospital (MGH) Antidepressant Treatment Response Questionnaire (ATRQ),MGH Assessment Date,34
Massachusetts General Hospital (MGH) Antidepressant Treatment Response Questionnaire (ATRQ),MGH Assessment Time,34
Massachusetts General Hospital (MGH) Antidepressant Treatment Response Questionnaire (ATRQ),Rater Initials,34
Massachusetts General Hospital (MGH) Antidepressant Treatment Response Questionnaire (ATRQ),Medication Type,34
Massachusetts General Hospital (MGH) Antidepressant Treatment Response Questionnaire (ATRQ),"Medication, Minimally adequate dose level, Minimal",34
Massachusetts General Hospital (MGH) Antidepressant Treatment Response Questionnaire (ATRQ),dose at optional level,34
Breath Alcohol Screen and Urine Cotinine,Test,46
Breath Alcohol Screen and Urine Cotinine,Performed,46
Breath Alcohol Screen and Urine Cotinine,Reason Not Performed,46
Breath Alcohol Screen and Urine Cotinine,Test Date,46
Breath Alcohol Screen and Urine Cotinine,Test Time,46
Breath Alcohol Screen and Urine Cotinine,Result,46
Breath Alcohol Screen and Urine Cotinine,Comments,46
Vital Signs - Single Time Point,Vital Signs Performed,53
Vital Signs - Single Time Point,Yes No,53
Vital Signs - Single Time Point,Reason Not Performed,53
Vital Signs - Single Time Point,Details,53
Vital Signs - Single Time Point,Location,53
Vital Signs - Single Time Point,Position,53
Vital Signs - Single Time Point,"Other, Please Specify",53
Vital Signs - Single Time Point,Vital Signs Date,53
Vital Signs - Single Time Point,Position Time,53
Vital Signs - Single Time Point,Vital Signs Time,53
12-Lead ECG - Single Time Point,12-Lead ECG - Single Time Point,55
12-Lead ECG - Single Time Point,ECG Performed,55
12-Lead ECG - Single Time Point,Yes No,55
12-Lead ECG - Single Time Point,Reason Not Performed,55
12-Lead ECG - Single Time Point,Details,55
12-Lead ECG - Single Time Point,Position,55
12-Lead ECG - Single Time Point,ECG Date,55
12-Lead ECG - Single Time Point,Position Time,55
Pupillometry - Single Time Point,Pupillometry - Single Time Point,59
Pupillometry - Single Time Point,Pupillometry Assessment Performed,59
Pupillometry - Single Time Point,Yes No,59
Pupillometry - Single Time Point,Reason Not Performed,59
Pupillometry - Single Time Point,Eye,59
Pupillometry - Single Time Point,Repeat,59
Pupillometry - Single Time Point,Not,59
Pupillometry - Single Time Point,Reason Not Done,59
Pupillometry - Single Time Point,Pupillometry,59
Pupillometry - Single Time Point,Position,59
Pupillometry - Single Time Point,Readings downloaded onto a,59
Pupillometry - Single Time Point,"Reviewed, signed",59
Pupillometry - Single Time Point,Done,59
Pupillometry - Single Time Point,Date,59
Pupillometry - Single Time Point,Rest Time,59
Pupillometry - Single Time Point,Start Time,59
Pupillometry - Single Time Point,spreadsheet via Bluetooth from the,59
Pupillometry - Single Time Point,and dated by a,59
Pupillometry - Single Time Point,pupilometer device.,59
Pupillometry - Single Time Point,physician,59
,Parameter,62
,Not Done Reason Not Done,62
,Basophils,62
,Basophils/Leukocytes,62
,Eosinophils,62
,Eosinophils/Leukocytes,62
,Ery. Mean Corpuscular HGB Concentration,62
,Ery. Mean Corpuscular Volume,62
,Erythrocyte,62
,Hematocrit,62
,Hemoglobin,62
,Leukocytes,62
,Lymphocytes,62
