x=  33.3 y=  36.3 sz=11.4 black     | MAC186_X11_201_00001_eCRF_v1_10_form_tracker_v1_6_06Mar2025
x=  46.5 y=  50.9 sz= 7.8 black     | 17
x= 293.4 y=  52.7 sz= 7.8 black     | 0
x= 308.4 y=  52.7 sz= 7.8 black     | 1
x= 323.4 y=  52.7 sz= 7.8 black     | 2
x= 338.4 y=  52.7 sz= 7.8 black     | 3
x= 353.4 y=  52.7 sz= 7.8 black     | 4
x= 368.4 y=  52.7 sz= 7.8 black     | 5
x=  64.5 y=  53.9 sz= 7.8 black     | 17. I felt my heart beating irregularly or skipping beats
x=  46.5 y=  71.2 sz= 7.8 black     | 18
x= 293.4 y=  73.0 sz= 7.8 black     | 0
x= 308.4 y=  73.0 sz= 7.8 black     | 1
x= 323.4 y=  73.0 sz= 7.8 black     | 2
x= 338.4 y=  73.0 sz= 7.8 black     | 3
x= 353.4 y=  73.0 sz= 7.8 black     | 4
x= 368.4 y=  73.0 sz= 7.8 black     | 5
x=  64.5 y=  74.2 sz= 7.8 black     | 18. Pressure or weight in my chest or abdomen
x=  46.5 y=  91.6 sz= 7.8 black     | 19
x= 293.4 y=  93.4 sz= 7.8 black     | 0
x= 308.4 y=  93.4 sz= 7.8 black     | 1
x= 323.4 y=  93.4 sz= 7.8 black     | 2
x= 338.4 y=  93.4 sz= 7.8 black     | 3
x= 353.4 y=  93.4 sz= 7.8 black     | 4
x= 368.4 y=  93.4 sz= 7.8 black     | 5
x=  64.5 y=  94.6 sz= 7.8 black     | 19. I experienced a decreased sense of sanity
x=  46.5 y= 112.0 sz= 7.8 black     | 20
x= 293.4 y= 113.8 sz= 7.8 black     | 0
x= 308.4 y= 113.8 sz= 7.8 black     | 1
x= 323.4 y= 113.8 sz= 7.8 black     | 2
x= 338.4 y= 113.8 sz= 7.8 black     | 3
x= 353.4 y= 113.8 sz= 7.8 black     | 4
x= 368.4 y= 113.8 sz= 7.8 black     | 5
x=  64.5 y= 115.0 sz= 7.8 black     | 20. I felt as if I was dead or dying
x=  46.5 y= 132.4 sz= 7.8 black     | 21
x= 293.4 y= 134.2 sz= 7.8 black     | 0
x= 308.4 y= 134.2 sz= 7.8 black     | 1
x= 323.4 y= 134.2 sz= 7.8 black     | 2
x= 338.4 y= 134.2 sz= 7.8 black     | 3
x= 353.4 y= 134.2 sz= 7.8 black     | 4
x= 368.4 y= 134.2 sz= 7.8 black     | 5
x=  64.5 y= 135.4 sz= 7.8 black     | 21. Panic
x=  46.5 y= 152.8 sz= 7.8 black     | 22
x= 293.4 y= 154.6 sz= 7.8 black     | 0
x= 308.4 y= 154.6 sz= 7.8 black     | 1
x= 323.4 y= 154.6 sz= 7.8 black     | 2
x= 338.4 y= 154.6 sz= 7.8 black     | 3
x= 353.4 y= 154.6 sz= 7.8 black     | 4
x= 368.4 y= 154.6 sz= 7.8 black     | 5
x=  64.5 y= 155.8 sz= 7.8 black     | 22. Experience of antagonism toward people around me
x=  46.5 y= 173.1 sz= 7.8 black     | 23
x= 293.4 y= 174.9 sz= 7.8 black     | 0
x= 308.4 y= 174.9 sz= 7.8 black     | 1
x= 323.4 y= 174.9 sz= 7.8 black     | 2
x= 338.4 y= 174.9 sz= 7.8 black     | 3
x= 353.4 y= 174.9 sz= 7.8 black     | 4
x= 368.4 y= 174.9 sz= 7.8 black     | 5
x=  64.5 y= 176.1 sz= 7.8 black     | 23. Despair
x=  46.5 y= 193.5 sz= 7.8 black     | 24
x= 293.4 y= 195.3 sz= 7.8 black     | 0
x= 308.4 y= 195.3 sz= 7.8 black     | 1
x= 323.4 y= 195.3 sz= 7.8 black     | 2
x= 338.4 y= 195.3 sz= 7.8 black     | 3
x= 353.4 y= 195.3 sz= 7.8 black     | 4
x= 368.4 y= 195.3 sz= 7.8 black     | 5
x=  64.5 y= 196.5 sz= 7.8 black     | 24. I felt isolated from everything and everyone
x=  46.5 y= 213.9 sz= 7.8 black     | 25
x= 293.4 y= 215.7 sz= 7.8 black     | 0
x= 308.4 y= 215.7 sz= 7.8 black     | 1
x= 323.4 y= 215.7 sz= 7.8 black     | 2
x= 338.4 y= 215.7 sz= 7.8 black     | 3
x= 353.4 y= 215.7 sz= 7.8 black     | 4
x= 368.4 y= 215.7 sz= 7.8 black     | 5
x=  64.5 y= 216.9 sz= 7.8 black     | 25. Emotional and/or physical suffering
x=  46.5 y= 234.3 sz= 7.8 black     | 26
x= 293.4 y= 236.1 sz= 7.8 black     | 0
x= 308.4 y= 236.1 sz= 7.8 black     | 1
x= 323.4 y= 236.1 sz= 7.8 black     | 2
x= 338.4 y= 236.1 sz= 7.8 black     | 3
x= 353.4 y= 236.1 sz= 7.8 black     | 4
x= 368.4 y= 236.1 sz= 7.8 black     | 5
x=  64.5 y= 237.3 sz= 7.8 black     | 26. I felt frightened
