form_name,field_name,page
Schedule of Assessments,Control Period Day 2,12
Schedule of Assessments,Control Period Day 3,12
Schedule of Assessments,Treatment Period Day 20,14
Schedule of Assessments,Treatment Period Day 21,15
Schedule of Assessments,YES,15
Schedule of Assessments,page enrols if DSAI101= Yes on Aicure Device - Distribution page,15
Schedule of Assessments,Unscheduled Visits,17
Schedule of Assessments,Visit Label,17
Schedule of Assessments,Unscheduled Pages,17
Schedule of Assessments,Repeat Pages,18
Visit Date,Visit Date,19
Informed Consent,ICF Version Date,20
Informed Consent,Protocol Version for Consent,20
Informed Consent,Consent Obtained?,20
Informed Consent,Date of Consent,20
Informed Consent,Time of Consent,20
Informed Consent,Was a signed copy of the Informed Consent given to the subject for his/her records?,20
Informed Consent,Was Informed Consent signed prior to any study procedures being performed?,20
Informed Consent,ICF Verification,21
Informed Consent,ICF was reviewed and verified and the original ICF has been filed in with subject's source documents,21
Informed Consent,Signed by,21
Informed Consent,Clinician Consent Sign Date,21
Informed Consent,Clinician Consent Sign Time,21
Informed Consent,Subject Consent Sign Date UTC,21
Informed Consent,Clinician Consent Sign Date UTC,21
FBR Consent,Future Biospecimen Research consent,22
FBR Consent,Protocol Version for Consent,22
FBR Consent,Consent Obtained?,22
FBR Consent,Date of Consent,22
FBR Consent,Time of Consent,22
FBR Consent,Was a signed copy of the FBR consent given to the subject for his/her records?,22
FBR Consent,Signed by,22
Demography,Date of Birth,24
Demography,Age (Derived),24
Demography,Address,24
Demography,What is the sex of the subject at the time of birth?,24
Demography,Subject currently identifies as,24
Demography,"If None of the above, Specify",24
Demography,Race,25
Demography,Specify other race,25
Demography,Ethnicity,25
Demography,Specify other ethnicity,25
Demography,Was the subject re-screened?,25
Demography,Prior screened number,25
Reproductive Status - Female,Date of Last Menstrual Cycle (All Females),26
Reproductive Status - Female,Years Since Last Cycle,26
Reproductive Status - Female,"Is this subject of childbearing potential? Note: Women of non-childbearing potential are defined as women who are documented as sterile (eg, have had a bilateral oophorectomy, or hysterectomy, or who have been postmenopausal for at least 12 months confirmed by FSH).",26
Reproductive Status - Female,Not of Childbearing Potential,26
