form_name,field_name,page
,Skin and Mucosae,37
,Neurological,37
,Extremities,37
,Was Blood sample Collected for Glycated Hemoglobin?,42
,Reason not done,42
,Sample,42
,Date of Collection,42
,Was Urine Drug Screen Performed?,66
,If not done reason,66
,Manufacturer,66
,Item #,66
,Lot,66
,Expiration Date,66
,Date of Sample,66
,Time of Sample,66
,Test,66
,Amphetamines,66
,Barbiturates,66
,Benzodiazepines,67
,Cannabinoids,67
,Cocaine,67
,Methadone,67
,Opiates,67
,Phencyclidine,67
,Propoxyphene,67
,Was the Questionnaire Administered?,71
,Date of completion,71
,Rater's initials,71
,Version Number 14-Jan-2009,71
,Suicidal Ideation,71
,"1. Wish to be dead Subject endorses thoughts about a wish to be dead or not alive anymore, or wish to",71
,fall asleep and not wake up.,71
,Have you wished you were dead or wished you could go to sleep and not wake,71
,up?,71
,"Row 2 If Yes, describe",71
,"2. Non-specific active suicidal thoughts General non-specific thoughts of wanting to end one's life/commit suicide (e.g. ""I've",71
,"thought about killing myself"") without thoughts of way to kill oneself/associated",71
,"methods,intent or plan during the assessment period.",71
,Suicidal Behaviour,78
,"Row 1 Select all that apply, so long as these are separate events; must ask about all types",78
,Actual attempt:,78
,"A potentially self-injurious act committed with at least some wish to die, as a result of act. Behaviour was in part thought of as method to kill oneself. Intent does not have to",78
,"be 100%. If there is any intent/desire to die associated with the act, then it can be",78
,considered an actual suicide attempt. There does not have to be any injury or,78
,"harm, just the potential for injury or harm. If a person pulls the trigger while gun is in mouth but gun is broken so no injury results, this is considered an attempt.",78
,"the head, jumping from window of a high floor/story). Also, if someone denies intent to die, but they thought that what they did could be lethal, intent may be inferred.",78
,Have you made a suicide attempt?,78
,Have you done anything to harm yourself?,78
,Have you done anything dangerous where you could have died?,78
,What did you do?,78
,Did you ______ as a way to end your life?,78
,Did you want to die (even a little) when you ____?,78
,Were trying to end your life when you ____?,78
,Or did you think it was possible you could have died from ____?,78
,Or did you do it purely for other reasons/without ANY intention of killing,78
,"yourself (like to relieve stress, feel better, get sympathy, or get something else",78
,to happen? (Self-Injurious Behavior without suicidal intent),78
,"Row 3 If Yes, Total number of attempts",78
,"Row 4 If Yes, describe",78
,Has subject engaged in Non-Suicidal self-injurious behavior?,78
,Interrupted attempt:,79
,"When the person is interrupted (by an outside circumstance) from starting the potentially self-injurious act (if not for that, actual attempt would have occurred).",79
,Overdose: Person has pills in hand but is stopped from ingesting. Once they,79
,"even if the gun fails to fire, it is an attempt. Jumping: Person is poised to jump, is grabbed and taken down from ledge. Hanging: Person has noose around neck but has not yet started to hang - is",79
,stopped from doing so,79
,Has there been a time when you started to do something to end your life but,79
,someone or something stopped you before you actually did anything?,79
,"Row 8 If Yes, Total number of interrupted attempts",79
,"Row 9 If Yes, describe",79
,Aborted attempt:,79
,"When person begins to take steps toward making a suicide attempt, but stops themselves before they actually have engaged in any self destructive behaviour.",79
,"Examples are similar to interrupted attempts, except that the individual stops",79
,"him/herself, instead of being stopped by something else.",79
,Has there been a time when you started to do something to try to end your life,79
,but you stopped yourself before you actually did anything?,79
,"Row 12 If Yes, Total number of aborted attempts",79
,"Row 13 If Yes, describe",79
,Preparatory acts or behavior:,80
,Acts or preparation towards imminently making a suicide attempt. This can include anything beyond a verbalization or thought such as assembling a specific method,80
,"(e.g., buying pills, purchasing a gun) or preparing for one's death by suicide (e.g.,",80
,"giving things away, writing a suicide note)",80
,Have you taken any step towards making a suicide attempt or preparing to kill,80
,"yourself (such as collecting pills, getting a gun, giving valuables away or",80
,writing a suicide note?),80
,"Row 16 If Yes, describe",80
,Suicidal behavior: Suicidal behaviour was present during the assessment period?,80
,Skin and Mucosae,106
,Neurological,106
,Extremities,106
,Was Urine Drug Screen Performed?,126
,If not done reason,126
,Manufacturer,126
,Item #,126
,Lot,126
,Expiration Date,126
,Date of Sample,126
,Time of Sample,126
,Test,126
,Amphetamines,126
,Barbiturates,126
,Benzodiazepines,127
,Cannabinoids,127
,Cocaine,127
,Methadone,127
,Opiates,127
,Phencyclidine,127
,Propoxyphene,127
,Was the questionnaire administered?,134
,Date of completion,134
,Rater's initials,134
,Version Number 14-Jan-2009,134
,Suicidal Ideation,134
,"1. Wish to be dead Subject endorses thoughts about a wish to be dead or not alive anymore, or wish to",134
,fall asleep and not wake up.,134
,Have you wished you were dead or wished you could go to sleep and not wake,134
,up?,134
