x= 173.9 y=  37.1 sz= 7.8 #ff0000   | Done)]
x=  46.5 y=  57.0 sz= 7.8 #454545   | Skin and Mucosae
x= 438.7 y=  61.7 sz= 9.2 #454545   | Yes
x= 470.8 y=  61.7 sz= 9.2 #454545   | No
x= 430.2 y=  81.9 sz= 7.8 #ff0000   | [PECLSIG]
x=  45.8 y=  83.2 sz= 7.8 #ff0000   | [PETEST]
x= 302.1 y=  83.2 sz= 7.8 #ff0000   | [PEDESC]
x= 173.9 y=  94.9 sz= 7.8 #ff0000   | [PERES]
x= 430.2 y=  96.2 sz= 7.8 #ff0000   | [TYPE: enumeration (values: Yes,
x= 249.1 y=  96.4 sz= 9.2 black     | Normal
x=  45.8 y=  97.5 sz= 7.8 #ff0000   | [TYPE: text]
x= 302.1 y=  97.5 sz= 7.8 #ff0000   | [TYPE: text]
x= 430.2 y= 107.3 sz= 7.8 #ff0000   | No)]
x= 173.9 y= 109.3 sz= 7.8 #ff0000   | [TYPE: enumeration
x= 249.1 y= 109.4 sz= 9.2 black     | Abnormal
x=  45.8 y= 111.9 sz= 7.8 #ff0000   | [Read-only field]
x= 173.9 y= 120.4 sz= 7.8 #ff0000   | (values: Normal,
x= 249.1 y= 122.5 sz= 9.2 black     | Not Done
x= 173.9 y= 131.5 sz= 7.8 #ff0000   | Abnormal, Not
x= 173.9 y= 142.7 sz= 7.8 #ff0000   | Done)]
x=  46.5 y= 162.9 sz= 7.8 #454545   | Neurological
x= 438.7 y= 167.6 sz= 9.2 #454545   | Yes
x= 470.8 y= 167.6 sz= 9.2 #454545   | No
x= 430.2 y= 187.8 sz= 7.8 #ff0000   | [PECLSIG]
x=  45.8 y= 189.1 sz= 7.8 #ff0000   | [PETEST]
x= 302.1 y= 189.1 sz= 7.8 #ff0000   | [PEDESC]
x= 173.9 y= 200.8 sz= 7.8 #ff0000   | [PERES]
x= 430.2 y= 202.1 sz= 7.8 #ff0000   | [TYPE: enumeration (values: Yes,
x= 249.1 y= 202.3 sz= 9.2 black     | Normal
x=  45.8 y= 203.4 sz= 7.8 #ff0000   | [TYPE: text]
x= 302.1 y= 203.4 sz= 7.8 #ff0000   | [TYPE: text]
x= 430.2 y= 213.3 sz= 7.8 #ff0000   | No)]
x= 173.9 y= 215.2 sz= 7.8 #ff0000   | [TYPE: enumeration
x= 249.1 y= 215.3 sz= 9.2 black     | Abnormal
x=  45.8 y= 217.8 sz= 7.8 #ff0000   | [Read-only field]
x= 173.9 y= 226.3 sz= 7.8 #ff0000   | (values: Normal,
x= 249.1 y= 228.4 sz= 9.2 black     | Not Done
x= 173.9 y= 237.4 sz= 7.8 #ff0000   | Abnormal, Not
x= 173.9 y= 248.6 sz= 7.8 #ff0000   | Done)]
x=  46.5 y= 268.8 sz= 7.8 #454545   | Extremities
x= 438.7 y= 273.5 sz= 9.2 #454545   | Yes
x= 470.8 y= 273.5 sz= 9.2 #454545   | No
x= 430.2 y= 293.7 sz= 7.8 #ff0000   | [PECLSIG]
x=  45.8 y= 295.0 sz= 7.8 #ff0000   | [PETEST]
x= 302.1 y= 295.0 sz= 7.8 #ff0000   | [PEDESC]
x= 173.9 y= 306.7 sz= 7.8 #ff0000   | [PERES]
x= 430.2 y= 308.0 sz= 7.8 #ff0000   | [TYPE: enumeration (values: Yes,
x= 249.1 y= 308.2 sz= 9.2 black     | Normal
x=  45.8 y= 309.4 sz= 7.8 #ff0000   | [TYPE: text]
x= 302.1 y= 309.4 sz= 7.8 #ff0000   | [TYPE: text]
x= 430.2 y= 319.2 sz= 7.8 #ff0000   | No)]
x= 173.9 y= 321.1 sz= 7.8 #ff0000   | [TYPE: enumeration
x= 249.1 y= 321.2 sz= 9.2 black     | Abnormal
x=  45.8 y= 323.7 sz= 7.8 #ff0000   | [Read-only field]
x= 173.9 y= 332.2 sz= 7.8 #ff0000   | (values: Normal,
x= 249.1 y= 334.3 sz= 9.2 black     | Not Done
x= 173.9 y= 343.4 sz= 7.8 #ff0000   | Abnormal, Not
x= 173.9 y= 354.5 sz= 7.8 #ff0000   | Done)]
