x=  47.8 y=  66.1 sz=14.4 #004c99   | Exclusion criteria
x=  45.2 y= 108.1 sz= 9.2 black     | Criteria
x= 429.6 y= 108.1 sz= 9.2 black     | Met/Not Met
x=  45.8 y= 128.9 sz= 7.8 black   B | Row 1
x=  45.8 y= 148.5 sz= 7.8 black   B | If any answers to the Exclusion Criteria are “Met”, EXCLUDE subject from the study.
x=  45.8 y= 168.1 sz= 7.8 black   B | Row 2
x=  45.8 y= 187.8 sz= 7.8 black     | \1.\Females who are breast-feeding and/or who have a positive pregnancy test result prior to receiving IMP.
x= 438.7 y= 193.1 sz= 9.2 #454545   | Met
x= 470.3 y= 193.1 sz= 9.2 #454545   | Not Met
x= 518.7 y= 193.1 sz= 9.2 #454545   | N/A
x= 430.2 y= 213.3 sz= 7.8 #ff0000   | [IEORRES1]
x= 430.2 y= 227.6 sz= 7.8 #ff0000   | [TYPE: enumeration (values: Met,
x= 430.2 y= 238.7 sz= 7.8 #ff0000   | Not Met, N/A)]
x=  45.8 y= 258.4 sz= 7.8 black   B | Row 3
x=  45.8 y= 278.0 sz= 7.8 black     | \2.\ Heterosexually active males or females of childbearing potential (FOCBP), or their partners, who do not
x= 438.7 y= 283.3 sz= 9.2 #454545   | Met
x= 470.3 y= 283.3 sz= 9.2 #454545   | Not Met
x=  45.8 y= 289.1 sz= 7.8 black     | agree to practice 2 different approved methods of birth control or remain fully abstinent (periodic abstinence
x=  45.8 y= 300.2 sz= 7.8 black     | or withdrawal are not acceptable methods of contraception) during the trial and for 30 days after the last
x= 430.2 y= 303.5 sz= 7.8 #ff0000   | [IEORRES]
x=  45.8 y= 311.3 sz= 7.8 black     | dose of IMP. If employing birth control, 2 of the following methods must be used: vasectomy, bilateral tubal
x= 430.2 y= 317.9 sz= 7.8 #ff0000   | [TYPE: enumeration (values: Met,
x=  45.8 y= 322.4 sz= 7.8 black     | ligation, nonhormonal intrauterine device, condom with spermicide, sponge with spermicide, or occlusive
x= 430.2 y= 329.0 sz= 7.8 #ff0000   | Not Met)]
x=  45.8 y= 333.5 sz= 7.8 black     | cap (vaginal diaphragm or cervical/vault cap) with spermicide.
x=  45.8 y= 353.2 sz= 7.8 black   B | Row 4
x=  45.8 y= 372.8 sz= 7.8 black     | \3.\ Male subjects who do not agree to not donate sperm from trial screening through 30 days after the last
x= 438.7 y= 378.1 sz= 9.2 #454545   | Met
x= 470.3 y= 378.1 sz= 9.2 #454545   | Not Met
x= 518.7 y= 378.1 sz= 9.2 #454545   | N/A
x=  45.8 y= 383.9 sz= 7.8 black     | dose of IMP.
x= 430.2 y= 398.3 sz= 7.8 #ff0000   | [IEORRES1]
x= 430.2 y= 412.6 sz= 7.8 #ff0000   | [TYPE: enumeration (values: Met,
x= 430.2 y= 423.8 sz= 7.8 #ff0000   | Not Met, N/A)]
x=  45.8 y= 443.4 sz= 7.8 black   B | Row 5
x=  45.8 y= 463.0 sz= 7.8 black     | \4.\ Clinically significant abnormality in past medical history, or at the screening physical examination, that in
x= 438.7 y= 468.3 sz= 9.2 #454545   | Met
x= 470.3 y= 468.3 sz= 9.2 #454545   | Not Met
x=  45.8 y= 474.1 sz= 7.8 black     | the investigator’s or sponsor’s opinion may place the subject at risk or interfere with outcome variables
x=  45.8 y= 485.2 sz= 7.8 black     | including absorption, distribution, metabolism, and excretion of the IMP. This includes, but is not limited to,
x= 430.2 y= 488.5 sz= 7.8 #ff0000   | [IEORRES]
x=  45.8 y= 496.3 sz= 7.8 black     | history of or concurrent cardiac, hepatic, renal, neurologic, endocrine, gastrointestinal, respiratory,
x= 430.2 y= 502.9 sz= 7.8 #ff0000   | [TYPE: enumeration (values: Met,
x=  45.8 y= 507.4 sz= 7.8 black     | hematologic, and immunologic disease.
x= 430.2 y= 514.0 sz= 7.8 #ff0000   | Not Met)]
x=  45.8 y= 533.6 sz= 7.8 black   B | Row 6
x=  45.8 y= 553.2 sz= 7.8 black     | \5.\ Subjects with abnormal clinical laboratory assessment results, vital signs results, or ECG findings,
x= 438.7 y= 558.6 sz= 9.2 #454545   | Met
x= 470.3 y= 558.6 sz= 9.2 #454545   | Not Met
x=  45.8 y= 564.3 sz= 7.8 black     | unless, based on the investigator’s judgment, the findings are not medically significant and would not impact
x=  45.8 y= 575.4 sz= 7.8 black     | the safety of the subject or the interpretation of the trial results. The medical monitor should be contacted to
