doc,stage,version,severity,code,detail
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,gates,1,quality,warn_text_blocklists,"The program filters by 12 hardcoded literal text strings (membership blocklists / long regex alternations of specific wordings). These fit only the pages they were copied from: unsampled pages carry the same junk classes with other wording, and real fields elsewhere can share the blocklisted words. "
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: Admission Restrictions: Photo ID #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: Admission Restrictions: Bag Search #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: Admission Restrictions: Bag Search Items Removed #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: Admission Restrictions: ICF Check #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: Admission Restrictions: ICF Version/Date #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: (Version must be checked against ICF present in the CSF – escalate any discrepancies)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p2: Admission Restrictions: Screening #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p2: Admission Restrictions: Alcohol #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p2: Admission Restrictions: Alcohol Units #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p2: Admission Restrictions: Caffeine #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p3: Admission Restrictions: Grapefruit #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p3: Admission Restrictions: Poppy seeds #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p3: Admission Restrictions: Activity #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p3: Admission Restrictions: Smoking #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p3: Prompts: PD Prompt #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p3: Admission Restrictions: Adverse Event #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p47: PRE-DOSE - Vital Signs Difference for DIASTOLIC Drop (Supine)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p47: Pre-dose Vital Signs Standing: Clinical Significance #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p47: Pre-dose Vital Signs Standing: Vital Signs Findings #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p47: Predose Targeted Physical Examination: Require Targeted PE? #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p47: Predose Targeted Physical Examination: Any clinically significant abnormal
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p47: findings? #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p125: Pre-dose Triplicate ECG 1: ECG Findings #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p125: Pre-dose Triplicate ECG 1: ECG Findings inc Rhythm #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p125: Pre-dose Triplicate ECG 2: 12 Lead Standard #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p125: ECG1)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p125: Pre-dose Triplicate ECG 2: ECG Rhythm Assess/Interpretation #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p247: Vital Signs: Vital Signs Supine Full Set #5
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p247: (Supine for at least 3 minutes)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p247: Vital Signs: Clinical Significance #5
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p366: Pre-dose Vital Signs: Clinical Significance #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p366: Pre-dose Vital Signs: Vital Signs Findings #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p366: Pre-dose Vital Signs Standing: Vital Signs Standing BP and HR #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,gates,2,quality,warn_text_blocklists,"The program filters by 16 hardcoded literal text strings (membership blocklists / long regex alternations of specific wordings). These fit only the pages they were copied from: unsampled pages carry the same junk classes with other wording, and real fields elsewhere can share the blocklisted words. "
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,2,quality,audit_false_positive,p47: PRE-DOSE - Vital Signs Difference for DIASTOLIC Drop (Supine)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,2,quality,audit_false_positive,p47: Predose Targeted Physical Examination: Any clinically significant abnormal
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,2,quality,audit_false_positive,p47: findings? #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,2,quality,audit_false_positive,p125: PRE-DOSE Triplicate ECG 2: 12 Lead Standard ECG (To be performed at least 2 minutes after
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,2,quality,audit_false_positive,p125: ECG1)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,2,quality,audit_false_positive,p247: ECG Difference Calculation - a participant will be withdrawn where there is an increase in QTcF
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,2,quality,audit_false_positive,p247: interval of >60 msec from baseline (confirmed following a repeat ECG)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,gates,3,quality,warn_text_blocklists,"The program filters by 13 hardcoded literal text strings (membership blocklists / long regex alternations of specific wordings). These fit only the pages they were copied from: unsampled pages carry the same junk classes with other wording, and real fields elsewhere can share the blocklisted words. "
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,gates,4,quality,warn_text_blocklists,"The program filters by 13 hardcoded literal text strings (membership blocklists / long regex alternations of specific wordings). These fit only the pages they were copied from: unsampled pages carry the same junk classes with other wording, and real fields elsewhere can share the blocklisted words. "
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_false_positive,p1: Date _
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_false_positive,p1: Version
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_false_positive,p2: Date _
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_false_positive,p2: Time _
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_false_positive,p2: No of Units
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_missed,p47: PRE-DOSE Triplicate ECG 3: Was the ECG clinically significant? (Medic to assess)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_missed,"p47: PRE-DOSE - Targeted Physical Examination:  Does the participant require a targeted physical examination? (If yes, please specify the reason)"
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_false_positive,p47: Diastolic
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_false_positive,"p47: examination? (If yes, please specify the reason)"
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_missed,p125: PRE-DOSE Triplicate ECG 1: ECG Findings
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_missed,"p125: PRE-DOSE Triplicate ECG 1: ECG Findings, including rhythm assessment"
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_missed,p125: PRE-DOSE Triplicate ECG 2: 12 Lead Standard ECG (To be performed at least 2 minutes after ECG1)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_missed,p125: PRE-DOSE Triplicate ECG 2: ECG Rhythm assessment and interpretation
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_false_positive,p125: ECG1)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_missed,p128: PRE-DOSE Triplicate ECG 3: Was the ECG clinically significant? (Medic to assess)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_missed,p128: PRE-DOSE Triplicate ECG 3: ECG Findings
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_missed,"p128: PRE-DOSE Triplicate ECG 3: ECG Findings, including rhythm assessment"
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_missed,p200: PRE-DOSE Triplicate ECG 3: Was the ECG clinically significant? (Medic to assess)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_missed,p200: PRE-DOSE Triplicate ECG 3: ECG Findings
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_missed,"p200: PRE-DOSE Triplicate ECG 3: ECG Findings, including rhythm assessment"
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_missed,p247: ECG Difference Calculation - a participant will be withdrawn where there is an increase in QTcF interval of >60 msec from baseline (confirmed following a repeat ECG)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_missed,p247: Vital Signs (Supine for at least 3 minutes)
