form_name,field_name,page
AE / CM,Were any adverse events experienced?,21
AE / CM,Start date and time,21
AE / CM,Ongoing?,21
AE / CM,End date and time,21
AE / CM,Adverse event term,21
AE / CM,Is this a treatment emergent adverse event?,21
AE / CM,Is this an Immediately Reportable Event (IRE)?,21
AE / CM,Relationship to investigational product,22
AE / CM,Action taken with investigational product,22
AE / CM,Was a concomitant medication given?,22
AE / CM,Were any other actions taken in response to this adverse,22
AE / CM,event?,22
AE / CM,Other action taken,22
AE / CM,Outcome,22
AE / CM,Was the serious adverse event associated with a,23
AE / CM,congenital anomaly or birth defect?,23
AE / CM,Did the serious adverse event result in persistent,23
AE / CM,significant disability or incapacity?,23
AE / CM,Did the serious adverse event result in death?,23
AE / CM,Death date,23
AE / CM,Did the serious adverse event result in initial or prolonged,23
AE / CM,hospitalization for the volunteer?,23
AE / CM,Is the serious adverse event life threatening?,24
AE / CM,Was the adverse event a medically important event not,24
AE / CM,covered by other serious criteria?,24
AE / CM,Concomitant medication or therapy,24
AE / CM,Indication,24
AE / CM,Route of administration,24
AE / CM,Total dose,24
Blood Collection - Admission Day -2,Were the sample(s) collected?,27
Blood Collection - Baseline Day -1,Were the sample(s) collected?,28
Blood Collection - Baseline Day -1,Creatinine collection date and time,28
Blood Collection - PD Creatinine,Was the sample collected?,29
Blood Collection - PD Creatinine,Creatinine collection date and time,29
Blood Collection - PK Quinidine,Was the sample collected?,30
Blood Collection - PK Quinidine,PK Quinidine collection date and time,30
Blood Collection - PK SEP,Was the sample collected?,31
Blood Collection - PK SEP,PK SEP collection date and time,31
Blood Collection - PK SEP and Safety,Were the sample(s) collected?,32
Blood Collection - PK SEP and Safety,PK SEP collection date and time,32
Blood Collection - PK SEP/PD Creatine,Was the sample collected?,33
Blood Collection - PK SEP/PD Creatine,PK SEP collection date and time,33
Blood Collection - PK SEP/PD Creatine,Creatinine collection date and time,33
Blood Collection - PK SEP/PD Creatine/Glucose/Insulin,Was the sample collected?,34
Blood Collection - PK SEP/PD Creatine/Glucose/Insulin,PK SEP collection date and time,34
Blood Collection - PK SEP/PD Creatine/Glucose/Insulin,Creatinine collection date and time,34
Blood Collection - PK SEP/PD Creatinine/PGx/ Safety Day 1,Were the sample(s) collected?,35
Blood Collection - PK SEP/PD Creatinine/PGx/ Safety Day 1,PK SEP collection date and time,35
Blood Collection - PK SEP/PD Creatinine/PGx/ Safety Day 1,Creatinine collection date and time,35
Blood Collection - PK SEP/PD Creatinine/PGx/ Safety Day 1,PGx collection date and time,35
Blood Collection - PK SEP/PK Quinidine,Was the sample collected?,36
Blood Collection - PK SEP/PK Quinidine,PK SEP collection date and time,36
Blood Collection - PK SEP/PK Quinidine,PK Quinidine collection date and time,36
Blood Collection - PK SEP/PK Quinidine/Safety Day 7,Were the sample(s) collected?,37
Blood Collection - PK SEP/PK Quinidine/Safety Day 7,PK SEP collection date and time,37
Blood Collection - PK SEP/PK Quinidine/Safety Day 7,PK Quinidine collection date and time,37
Blood Collection - Safety,Were the sample(s) collected?,38
Blood Collection - Screening,Were the sample(s) collected?,39
C-SSRS - Baseline/Screening,Date and Time of Collection,40
C-SSRS - Baseline/Screening,Have you wished you were dead or wished you could go to,40
C-SSRS - Baseline/Screening,sleep and not wake up? (Lifetime).,40
C-SSRS - Baseline/Screening,sleep and not wake up? (Past 12 Months).,40
C-SSRS - Baseline/Screening,"If yes, describe:",40
C-SSRS - Baseline/Screening,Have you actually had any thoughts of killing yourself?,40
C-SSRS - Baseline/Screening,(Lifetime).,40
C-SSRS - Baseline/Screening,(Past 12 Months).,40
C-SSRS - Baseline/Screening,"If yes, describe:",41
C-SSRS - Baseline/Screening,Have you been thinking about how you might do this?,41
C-SSRS - Baseline/Screening,(Lifetime).,41
C-SSRS - Baseline/Screening,(Past 12 Months).,41
C-SSRS - Baseline/Screening,Have you had these thoughts and had some intention of,41
C-SSRS - Baseline/Screening,acting on them? (Lifetime).,41
C-SSRS - Baseline/Screening,"If yes, describe:",42
C-SSRS - Baseline/Screening,Have you started to work out or worked out the details of,42
C-SSRS - Baseline/Screening,how to kill yourself? Do you intend to carry out this plan?,42
C-SSRS - Baseline/Screening,(Lifetime).,42
C-SSRS - Baseline/Screening,(Past 12 Months).,42
C-SSRS - Baseline/Screening,Most severe ideation. (Lifetime).,42
C-SSRS - Baseline/Screening,Description of most severe ideation. (Lifetime).,42
C-SSRS - Baseline/Screening,Description of most severe ideation. (Past 12 Months).,43
C-SSRS - Baseline/Screening,Frequency (Lifetime),43
C-SSRS - Baseline/Screening,Frequency (Past 12 Months),43
C-SSRS - Baseline/Screening,Duration (Lifetime),43
C-SSRS - Baseline/Screening,Duration (Past 12 Months),43
C-SSRS - Baseline/Screening,Controllability (Lifetime),43
C-SSRS - Baseline/Screening,Controllability (Past 12 Months),43
C-SSRS - Baseline/Screening,Deterrents (Lifetime),43
C-SSRS - Baseline/Screening,Deterrents (Past 12 Months),43
C-SSRS - Baseline/Screening,Reasons for Ideation (Lifetime),44
C-SSRS - Baseline/Screening,Reasons for Ideation (Past 12 Months),44
C-SSRS - Baseline/Screening,Actual Attempt: Have you made a suicide attempt? Have you done anything to harm yourself? Have you done anything dangerous where you could have died? What did you do? Did you ___ as a way to end your life? Did you want to die (even a little) when you ___? Were you trying to,44
C-SSRS - Baseline/Screening,you done anything to harm yourself? Have you done anything dangerous where you could have died? What did you do? Did you ___ as a way to end your life? Did you want to die (even a little) when you ___? Were you trying to end your life when you ___? Or Did you think it was,44
