doc,kind,calls,s,tokens_in,tokens_out,cost_usd,method
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,2,15.601,28115,1843,0.112,tiktoken:o200k_base
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,generate,1,26.314,8034,1949,0.0533,tiktoken:o200k_base
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,revise_audit,1,23.884,3303,2480,0.0471,tiktoken:o200k_base
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,3,15.619,35138,1833,0.1329,tiktoken:o200k_base
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,generate,1,26.334,7931,2111,0.0555,tiktoken:o200k_base
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,revise_audit,2,57.007,7981,6826,0.1263,tiktoken:o200k_base
crf_forms_331-201-00246_Annotated_CRF___v_04_Jul_2023,audit,3,5.809,14217,582,0.0514,tiktoken:o200k_base
crf_forms_331-201-00246_Annotated_CRF___v_04_Jul_2023,confirm,1,0.757,3955,4,0.0119,tiktoken:o200k_base
crf_forms_331-201-00246_Annotated_CRF___v_04_Jul_2023,generate,1,33.537,11269,2699,0.0743,tiktoken:o200k_base
crf_forms_331-201-00246_Annotated_CRF___v_04_Jul_2023,revise_audit,2,58.963,7249,7844,0.1394,tiktoken:o200k_base
crf_forms_331-201-00246_Annotated_CRF___v_04_Jul_2023,revise_gates,1,26.659,3026,2887,0.0524,tiktoken:o200k_base
crf_forms_331-201-00246_Annotated_CRF___v_26_Jul_2023,audit,2,8.475,10235,1050,0.0465,tiktoken:o200k_base
crf_forms_331-201-00246_Annotated_CRF___v_26_Jul_2023,confirm,1,0.582,4108,4,0.0124,tiktoken:o200k_base
crf_forms_331-201-00246_Annotated_CRF___v_26_Jul_2023,generate,1,37.76,11654,3039,0.0805,tiktoken:o200k_base
crf_forms_331-201-00246_Annotated_CRF___v_26_Jul_2023,revise_audit,2,71.945,8288,9412,0.166,tiktoken:o200k_base
crf_forms_384-201-00002_Annotated_Unique_CRF_04Nov2024,audit,2,4.394,11252,495,0.0412,tiktoken:o200k_base
