x=  61.2 y= 124.0 sz=10.5 black     | Test
x= 425.4 y= 124.0 sz=10.5 black     | Result
x=  61.6 y= 152.2 sz= 9.0 #ff0000   | [LBTEST3]
x= 425.8 y= 152.2 sz= 9.0 #ff0000   | [LBORRES3]
x=  61.6 y= 168.9 sz= 9.0 #ff0000   | [TYPE: text]
x= 425.8 y= 168.9 sz= 9.0 #ff0000   | [TYPE: enumeration (values: Positive, Negative, Not Done)]
x=  61.6 y= 185.5 sz= 9.0 #ff0000   | [Read-only field]
x=  62.3 y= 208.8 sz= 9.0 #999999   | Methadone
x= 435.6 y= 213.6 sz=10.5 #999999   | Positive
x= 488.2 y= 213.6 sz=10.5 #999999   | Negative
x= 544.8 y= 213.6 sz=10.5 #999999   | Not Done
x= 425.8 y= 237.3 sz= 9.0 #ff0000   | [LBORRES3]
x=  61.6 y= 238.8 sz= 9.0 #ff0000   | [LBTEST3]
x= 425.8 y= 253.9 sz= 9.0 #ff0000   | [TYPE: enumeration (values: Positive, Negative, Not Done)]
x=  61.6 y= 255.4 sz= 9.0 #ff0000   | [TYPE: text]
x=  61.6 y= 272.0 sz= 9.0 #ff0000   | [Read-only field]
x=  62.3 y= 295.4 sz= 9.0 #999999   | Opiates
x= 435.6 y= 300.1 sz=10.5 #999999   | Positive
x= 488.2 y= 300.1 sz=10.5 #999999   | Negative
x= 544.8 y= 300.1 sz=10.5 #999999   | Not Done
x= 425.8 y= 323.9 sz= 9.0 #ff0000   | [LBORRES3]
x=  61.6 y= 325.4 sz= 9.0 #ff0000   | [LBTEST3]
x= 425.8 y= 340.5 sz= 9.0 #ff0000   | [TYPE: enumeration (values: Positive, Negative, Not Done)]
x=  61.6 y= 342.0 sz= 9.0 #ff0000   | [TYPE: text]
x=  61.6 y= 358.6 sz= 9.0 #ff0000   | [Read-only field]
x=  62.3 y= 382.0 sz= 9.0 #999999   | Phencyclidine
x= 435.6 y= 386.7 sz=10.5 #999999   | Positive
x= 488.2 y= 386.7 sz=10.5 #999999   | Negative
x= 544.8 y= 386.7 sz=10.5 #999999   | Not Done
x= 425.8 y= 410.5 sz= 9.0 #ff0000   | [LBORRES3]
x=  61.6 y= 412.0 sz= 9.0 #ff0000   | [LBTEST3]
x= 425.8 y= 427.1 sz= 9.0 #ff0000   | [TYPE: enumeration (values: Positive, Negative, Not Done)]
x=  61.6 y= 428.6 sz= 9.0 #ff0000   | [TYPE: text]
x=  61.6 y= 445.2 sz= 9.0 #ff0000   | [Read-only field]
x=  62.3 y= 468.5 sz= 9.0 #999999   | Propoxyphene
x= 435.6 y= 473.3 sz=10.5 #999999   | Positive
x= 488.2 y= 473.3 sz=10.5 #999999   | Negative
x= 544.8 y= 473.3 sz=10.5 #999999   | Not Done
x= 425.8 y= 497.0 sz= 9.0 #ff0000   | [LBORRES3]
x=  61.6 y= 498.5 sz= 9.0 #ff0000   | [LBTEST3]
x= 425.8 y= 513.6 sz= 9.0 #ff0000   | [TYPE: enumeration (values: Positive, Negative, Not Done)]
x=  61.6 y= 515.1 sz= 9.0 #ff0000   | [TYPE: text]
x= 373.6 y= 565.9 sz=12.0 black     | Page 581 of 1085
