form_name,field_name,page
aCRF Approval Form,Sponsor Name,1
aCRF Approval Form,Protocol Number,1
aCRF Approval Form,Protocol Title,1
aCRF Approval Form,aCRF Version,1
aCRF Approval Form,Prepared by,1
aCRF Approval Form,Date,1
AE / CM,Were any adverse events experienced?,21
AE / CM,Start date and time,21
AE / CM,Ongoing?,21
AE / CM,End date and time,21
AE / CM,Adverse event term,21
AE / CM,Is this a treatment emergent adverse event?,21
AE / CM,Is this an Immediately Reportable Event (IRE)?,21
AE / CM,Role Restriction,21
AE / CM,Data Collector: Adverse Events,21
AE / CM,Severity,22
AE / CM,Relationship to investigational product,22
AE / CM,Action taken with investigational product,22
AE / CM,Was a concomitant medication given?,22
AE / CM,Were any other actions taken in response to this adverse event?,22
AE / CM,Other action taken,22
AE / CM,Outcome,22
AE / CM,Were any other actions taken in response to this adverse,22
AE / CM,event?,22
AE / CM,Was the adverse event an SAE?,23
AE / CM,Was the serious adverse event associated with a congenital anomaly or birth defect?,23
AE / CM,Did the serious adverse event result in persistent significant disability or incapacity?,23
AE / CM,Did the serious adverse event result in death?,23
AE / CM,Death date,23
AE / CM,Was the serious adverse event associated with a,23
AE / CM,congenital anomaly or birth defect?,23
AE / CM,Did the serious adverse event result in persistent,23
AE / CM,significant disability or incapacity?,23
AE / CM,Did the serious adverse event result in initial or prolonged,23
AE / CM,hospitalization for the volunteer?,23
AE / CM,Is the serious adverse event life threatening?,24
AE / CM,Was the adverse event a medically important event not covered by other serious criteria?,24
AE / CM,Concomitant medication or therapy,24
AE / CM,Indication,24
AE / CM,Route of administration,24
AE / CM,Total dose,24
AE / CM,Was the adverse event a medically important event not,24
AE / CM,covered by other serious criteria?,24
AE / CM,Dose unit,25
AE / CM,Dose form,25
AE / CM,Frequency,25
AE / CM,Administration start date and time,25
AE / CM,Administration ongoing?,25
AE / CM,Administration end date and time,26
Blood Collection - Admission Day -2,Were the sample(s) collected?,27
Blood Collection - Admission Day -2,Aliases,27
Blood Collection - Baseline Day -1,Were the sample(s) collected?,28
Blood Collection - Baseline Day -1,Creatinine collection date and time,28
Blood Collection - Baseline Day -1,Aliases,28
Blood Collection - PD Creatinine,Was the sample collected?,29
Blood Collection - PD Creatinine,Creatinine collection date and time,29
Blood Collection - PD Creatinine,Aliases,29
Blood Collection - PK Quinidine,Was the sample collected?,30
