form_name,field_name,page
Informed Consent Form,Informed Consent Obtained,2
Informed Consent Form,Informed Consent Date,2
Informed Consent Form,Informed Consent Time,2
Informed Consent Form,Informed Consent Version,2
Informed Consent Form,Subject Previously Screened,2
Informed Consent Form,Previous Subject Number,2
Visit Date,Visit Date,4
Demographics,Year of Birth,6
Demographics,Age at Consent (Years),6
Demographics,Sex,6
Demographics,Child-Bearing Potential,6
Demographics,Country of Residence,6
Demographics,"Country Other, Specify",6
Demographics,Ethnicity,6
Demographics,Race,6
Inclusion / Exclusion Criteria,All Eligibility Criteria Met,8
Inclusion / Exclusion Criteria,Date Eligibility Criteria Confirmed,8
Inclusion / Exclusion Criteria,"If Eligibility Criteria Not Met, Please Specify Which Criteria",8
Inclusion / Exclusion Criteria,Inclusion / Exclusion Criteria,8
Inclusion / Exclusion Criteria,Inclusion / Exclusion Criteria ID,8
Medical History,Relevant Medical History,10
Medical History,Condition / Surgical Procedure,11
Medical History,Category,11
Medical History,Start Date,11
Medical History,Ongoing,11
Medical History,Stop Date,11
C-SSRS (Screening) - Part 1,C-SSRS (Screening) - Part 1,12
C-SSRS (Screening) - Part 1,C-SSRS Performed,12
C-SSRS (Screening) - Part 1,Reason Not Performed,12
C-SSRS (Screening) - Part 1,C-SSRS Date,12
C-SSRS (Screening) - Part 1,C-SSRS Time,12
C-SSRS (Screening) - Part 1,Rater Initials,12
C-SSRS (Screening) - Part 1,"Lifetime Past 60 Months If yes, describe:",12
C-SSRS (Screening) - Part 1,1. Wish to be Dead,12
C-SSRS (Screening) - Part 1,2. Non-Specific Active Suicidal Thoughts,12
C-SSRS (Screening) - Part 1,3. Active Suicidal Ideation with Any,12
C-SSRS (Screening) - Part 1,Methods (Not Plan) without Intent to Act,12
C-SSRS (Screening) - Part 1,4. Active Suicidal Ideation with Some,12
C-SSRS (Screening) - Part 1,"Intent to Act, without Specific Plan",12
C-SSRS (Screening) - Part 1,5. Active Suicidal Ideation with,12
C-SSRS (Screening) - Part 1,Specific Plan and Intent,12
C-SSRS (Screening) - Part 1,Type # (1-5) Description of Ideation,12
C-SSRS (Screening) - Part 1,Lifetime - Most Severe Ideation,13
C-SSRS (Screening) - Part 1,Past 60 Months - Most Severe Ideation,13
C-SSRS (Screening) - Part 1,Lifetime Past 60 Months,13
C-SSRS (Screening) - Part 1,Frequency,13
C-SSRS (Screening) - Part 1,Duration,13
C-SSRS (Screening) - Part 1,Controllability,13
C-SSRS (Screening) - Part 1,Deterrents,13
C-SSRS (Screening) - Part 1,Reasons for Ideation,13
C-SSRS (Screening) - Part 1,"Lifetime Past 5 Years If yes, describe",13
C-SSRS (Screening) - Part 1,Actual Attempt,13
C-SSRS (Screening) - Part 1,Total Number of Attempts,13
C-SSRS (Screening) - Part 1,Has subject engaged in Non-Suicidal,13
C-SSRS (Screening) - Part 1,Self-Injurious Behaviour?,13
