form_name,field_name,page
Visit Date,Visit Date,19
Informed Consent,ICF Version Date,20
Informed Consent,"Amendment 7, Amendment 8, Amendment 9, Amendment 10)] Consent Obtained?",20
Informed Consent,Date of Consent,20
Informed Consent,Time of Consent,20
Informed Consent,Was a signed copy of the Informed Consent given to the subject for his/her records?,20
Informed Consent,ICF was reviewed and verified and the original ICF has been filed in with subject's source documents,21
Informed Consent,Signed by,21
Informed Consent,Clinician Consent Sign Date,21
Informed Consent,Clinician Consent Sign Time,21
Informed Consent,Subject Consent Sign Date UTC,21
Informed Consent,Clinician Consent Sign Date UTC,21
FBR Consent,"Amendment 7, Amendment 8, Amendment 9, Amendment 10)] Consent Obtained?",22
FBR Consent,Date of Consent,22
FBR Consent,Time of Consent,22
FBR Consent,Was a signed copy of the FBR consent given to the subject for his/her records?,22
FBR Consent,Signed by,22
Demography,Date of Birth,24
Demography,Age (Derived),24
Demography,Address,24
Demography,What is the sex of the subject at the time of birth?,24
Demography,"to answer)] If None of the above, Specify",24
Demography,"White, Other)] Specify other race",25
Demography,Specify other ethnicity,25
Demography,Was the subject re-screened?,25
Demography,Prior screened number,25
Reproductive Status - Female,Date of Last Menstrual Cycle (All Females),26
Reproductive Status - Female,Years Since Last Cycle,26
Reproductive Status - Female,Post Menopausal? (for at least 12 months (1 year) prior to screening),26
Reproductive Status - Female,Abstinence (must remain abstinent from the time of screening until at least 90 days after the last dose of study drug),26
Reproductive Status - Female,Sexually Active?,27
Reproductive Status - Female,If sexually active does the subject commit to utilizing 2 different approved methods of birth control during the trial and for 30 days after the last dose of IMP?- mark the selected methods below,27
Reproductive Status - Female,Vasectomy,27
Reproductive Status - Female,Tubal ligation,27
Reproductive Status - Female,Nonhormonal intrauterine device,27
Reproductive Status - Female,Condom with spermicide,27
Reproductive Status - Female,Sponge with spermicide,27
Reproductive Status - Female,Occlusive cap (vaginal diaphragm or cervical/vault cap) with spermicide,27
Reproductive Status - Female,Has any applicable reproductive status and/or medications been transcribed to the Medical History Page and/or Con Med Page?,27
Reproductive Status - Female,"If no, reason not transcribed to medical history",27
Reproductive Status - Male,Surgically Sterile(bilateral orchidectomy)? (please add to Surgeries and Medical Procedures log),29
Reproductive Status - Male,Abstinence (must remain abstinent from the time of screening until at least 180 days after the last dose of study drug),29
Reproductive Status - Male,Sexually Active?,29
Reproductive Status - Male,**If sexually active does the subject commit to utilizing 2 different approved methods of birth control during the trial and for 90 days after the last dose of IMP?- mark the selected methods below **,29
Reproductive Status - Male,Vasectomy,29
Reproductive Status - Male,Tubal ligation,29
Reproductive Status - Male,Intrauterine device,29
Reproductive Status - Male,Birth control implant,30
Reproductive Status - Male,Birth control depot injection,30
Reproductive Status - Male,Condom with spermicide,30
Reproductive Status - Male,Sponge with spermicide,30
Reproductive Status - Male,Occlusive cap (vaginal diaphragm or cervical/vault cap) with spermicide,30
Reproductive Status - Male,Does the subject agree to refrain from sperm donation from the screening visit through 30 days after the last dose of IMP?,30
Reproductive Status - Male,Has any applicable reproductive status and/or medications been transcribed to the Medical History Page and/or Con Med Page?,30
Reproductive Status - Male,"If no, reason not transcribed to medical history",30
Medical/Psychiatric History,Has the subject experienced any past and/or concomitant diseases?,31
Medical/Psychiatric History,Record,31
Medical/Psychiatric History,Medical or Psychiatric History Term,31
Medical/Psychiatric History,Category of Medical or Psychiatric History Term,31
Medical/Psychiatric History,Start Date,31
Medical/Psychiatric History,Is the Medical or Psychiatric History Disease/Condition or Event Still Ongoing?,31
Medical/Psychiatric History,End Date,31
Medical/Psychiatric History,Medication Taken?,31
Body Temperature and Respiratory Rate,Were Vital Signs Collected?,32
Body Temperature and Respiratory Rate,"If not collected, reason:",32
Body Temperature and Respiratory Rate,Collection Date,32
Body Temperature and Respiratory Rate,Respiratory Rate (breaths/min),32
Body Temperature and Respiratory Rate,Body Temperature (celsius),32
Triplicate Orthostatic BP and HR - Central,Were Vital Signs Collected?,33
Triplicate Orthostatic BP and HR - Central,"If not collected, reason:",33
Triplicate Orthostatic BP and HR - Central,Collection Date,33
Triplicate Orthostatic BP and HR - Central,Time Placed in Position,33
Standing,Time Placed in Position,34
Standing,Time of Vitals Measurement #3,34
Height and Weight,Were Body Measurements Collected?,35
Height and Weight,"If not collected, reason:",35
Height and Weight,Collection Date,35
Height and Weight,Weight,35
Height and Weight,Weight Unit,35
Height and Weight,Height,35
Height and Weight,Height Unit,35
Height and Weight,BMI Unit,35
Physical Exam,Was the physical examination performed?,36
Physical Exam,Planned Timepoint,36
Physical Exam,Examination Date,36
Physical Exam,Examination Time,36
Physical Exam,Evaluator,36
Physical Exam,Region/Body System HEENT,36
Physical Exam,Done)] Thorax,36
Physical Exam,Done)] Abdomen,36
Physical Exam,Done)] Skin and Mucosae,37
Physical Exam,Done)] Neurological,37
Physical Exam,Done)] Extremities,37
Triplicate ECG Assessments,Were ECG measurements performed?,38
Triplicate ECG Assessments,"If no, Reason not done",38
Triplicate ECG Assessments,Date of ECG,38
Triplicate ECG Assessments,Time subject became supine:,38
Triplicate ECG Assessments,Time of ECG assessment # 1:,38
Triplicate ECG Assessments,Time of ECG assessment # 2:,38
Triplicate ECG Assessments,Time of ECG assessment # 3:,38
Triplicate ECG Assessments,Abnormal Findings,39
Triplicate ECG Assessments,Was the ECG abnormality clinically significant?,39
Triplicate ECG Assessments,Are additional ECG assessments required?,39
Serology,Timepoint,40
Serology,Comments,40
Serology,[SCANNE R],40
Serology,[SCANNE R] partialtime,40
Serology,(values: Scan)],40
Glycated Hemoglobin,Reason not done,42
Glycated Hemoglobin,[SCANNE R],42
Glycated Hemoglobin,[SCANNE R] minutes)],42
Clinical Laboratory Assessments,Timepoint,43
Clinical Laboratory Assessments,Comments,43
Clinical Laboratory Assessments,[SCANNE R],43
Clinical Laboratory Assessments,[SCANNE R] partialtime,43
Clinical Laboratory Assessments,(values: Scan)],43
Laboratory results review,Laboratory collection date,45
Laboratory results review,Laboratory results review date,45
Laboratory results review,Has the investigator reviewed all laboratory results from this visit and assessed abnormal results clinical significance?,45
Laboratory results review,Were there any clinically significant abnormal results?,45
Laboratory results review,Were there any clinically significant abnormal chemistry results?,45
Laboratory results review,"Magnesium, Phosphorus, Potassium, Prolactin, Total bilirubin, Total protein, Triglycerides, Sodium, Urea nitrogen, Uric acid)] Chemistry abnormal assay # 1 Investigator comment",46
Laboratory results review,"Magnesium, Phosphorus, Potassium, Prolactin, Total bilirubin, Total protein, Triglycerides, Sodium, Urea nitrogen, Uric acid)] Chemistry abnormal assay # 2 Investigator comment",47
Laboratory results review,"Magnesium, Phosphorus, Potassium, Prolactin, Total bilirubin, Total protein, Triglycerides, Sodium, Urea nitrogen, Uric acid)] Chemistry abnormal assay # 3 Investigator comment",48
Laboratory results review,"Magnesium, Phosphorus, Potassium, Prolactin, Total bilirubin, Total protein, Triglycerides, Sodium, Urea nitrogen, Uric acid)] Chemistry abnormal assay # 4 Investigator comment",49
Laboratory results review,"Magnesium, Phosphorus, Potassium, Prolactin, Total bilirubin, Total protein, Triglycerides, Sodium, Urea nitrogen, Uric acid)] Chemistry abnormal assay # 5 Investigator comment",50
Laboratory results review,Are there any additional clinically significant abnormal chemistry results to be entered?,50
Laboratory results review,Were there any clinically significant abnormal hematology results?,51
Laboratory results review,"Red blood cell count, White blood cell count (absolute and differential), Glycated Hemoglobin)] Hematology abnormal assay # 1 Investigator comment",51
Laboratory results review,"Red blood cell count, White blood cell count (absolute and differential), Glycated Hemoglobin)] Hematology abnormal assay # 2 Investigator comment",51
Laboratory results review,"Red blood cell count, White blood cell count (absolute and differential), Glycated Hemoglobin)] Hematology abnormal assay # 3 Investigator comment",52
Laboratory results review,"Red blood cell count, White blood cell count (absolute and differential), Glycated Hemoglobin)] Hematology abnormal assay # 4 Investigator comment",52
Laboratory results review,"Red blood cell count, White blood cell count (absolute and differential), Glycated Hemoglobin)] Hematology abnormal assay # 5 Investigator comment",53
Laboratory results review,Are there any clinically significant abnormal hematology results to be entered?,53
Laboratory results review,Were there any clinically significant abnormal urinalysis results?,53
Laboratory results review,"Urobilinogen, Microscopic analysis if indicated)] Urinalysis abnormal assay # 1 Investigator comment",54
Laboratory results review,"Urobilinogen, Microscopic analysis if indicated)] Urinalysis abnormal assay # 2 Investigator comment",55
Laboratory results review,"Urobilinogen, Microscopic analysis if indicated)] Urinalysis abnormal assay # 3 Investigator comment",56
Laboratory results review,"Urobilinogen, Microscopic analysis if indicated)] Urinalysis abnormal assay # 4 Investigator comment",57
Laboratory results review,"Urobilinogen, Microscopic analysis if indicated)] Urinalysis abnormal assay # 5 Investigator comment",58
Laboratory results review,Are there additional urinalysis clinically significant abnormal results to be entered?,58
Laboratory results review,Investigator`s signature for Local Laboratory Results Review,58
FSH Blood Sample,Timepoint,59
FSH Blood Sample,Comments,59
FSH Blood Sample,[SCANNE R],59
FSH Blood Sample,[SCANNE R] partialtime,59
FSH Blood Sample,(values: Scan)],59
Pregnancy test,Was a Pregnancy Test Performed?,60
Pregnancy test,If not done reason,60
Pregnancy test,Type of pregnancy test,60
Pregnancy test,Barcode Number,60
Pregnancy test,Kit Expiration Date,60
Pregnancy test,Kit Batch Number,60
Pregnancy test,Date of Sample,60
Pregnancy test,Time of Sample,60
Pregnancy test,Result,60
Tobacco Use,Substance Use Category,61
Tobacco Use,Substance Type Cigarettes,61
Tobacco Use,"(Unknown Day, (Unknown Day, integer (allow Unknown Month)] Unknown Month)] zero)]",61
Tobacco Use,"enumeration (values: Per Day, enumeration",61
Tobacco Use,None)] Cigar,61
Tobacco Use,"Former, Never)] Cigar, Cartridge, None)]",61
Tobacco Use,Current,62
Alcohol Use,Substance Use Category,63
Alcohol Use,Substance Type,63
Alcohol Use,"(Unknown Day, (Unknown Day, (allow zero)] Unknown Month)] Unknown Month)]",63
Alcohol Use,enumeration,63
Alcohol Use,"(values: Per Day, enumeration enumeration Per Week)] (values: Current, (values: Bottle, Former, Never)] Can, Cup)]",63
Alcohol Use,"Former, Never)] Can, Cup)] Spirits",63
Alcohol Screen - Urine or Breath,Was Test Performed?,64
Alcohol Screen - Urine or Breath,"If no, Reason Not Done",64
Alcohol Screen - Urine or Breath,Date of Test,64
Alcohol Screen - Urine or Breath,Time of Test,64
Alcohol Screen - Urine or Breath,Result,64
Alcohol Screen - Urine or Breath,Was a Repeat test performed?,64
Alcohol Screen - Urine or Breath,Time of Repeat Test,64
Alcohol Screen - Urine or Breath,Result of Repeat Test,65
Urine Drug Screen,Was Urine Drug Screen Performed?,66
Urine Drug Screen,If not done reason,66
Urine Drug Screen,Manufacturer,66
Urine Drug Screen,Item #,66
Urine Drug Screen,Expiration Date,66
Urine Drug Screen,Date of Sample,66
Urine Drug Screen,Time of Sample,66
Urine Drug Screen,Amphetamines,66
Urine Drug Screen,Benzodiazepines,67
Urine Drug Screen,Cannabinoids,67
Urine Drug Screen,Cocaine,67
Urine Drug Screen,Methadone,67
Urine Drug Screen,Opiates,67
Urine Drug Screen,Phencyclidine,67
Urine Drug Screen,Propoxyphene,67
Cotinine Screen,Was Cotinine Screen Performed?,68
Cotinine Screen,If not done reason,68
Cotinine Screen,Sample Type,68
Cotinine Screen,Manufacturer,68
Cotinine Screen,Item #,68
Cotinine Screen,Expiration Date,68
Cotinine Screen,Date of Sample,68
Cotinine Screen,Time of Sample,68
C-SSRS - Screening/Baseline - Page 1,Was the Questionnaire Administered?,71
C-SSRS - Screening/Baseline - Page 1,Date of completion,71
C-SSRS - Screening/Baseline - Page 1,Rater's initials,71
C-SSRS - Screening/Baseline - Page 1,fall asleep and not wake up. Have you wished you were dead or wished you could go to sleep and not wake,71
C-SSRS - Screening/Baseline - Page 1,"If Yes, describe",71
C-SSRS - Screening/Baseline - Page 1,"General non-specific thoughts of wanting to end one's life/commit suicide (e.g. ""I've thought about killing myself"") without thoughts of way to kill oneself/associated methods,intent or plan during the assessment period.",71
C-SSRS - Screening/Baseline - Page 1,"Includes person who would say: ""I thought about taking an overdose but I never made",72
C-SSRS - Screening/Baseline - Page 1,"Active suicidal thoughts of killing oneself and subject reports having some intent to act on such thoughts, as opposed to ""I have thoughts but I definitely will not do anything about them""",72
C-SSRS - Screening/Baseline - Page 1,has some intent to carry it out. Have you started to work out or worked out the details of how to kill yourself?,72
C-SSRS - Screening/Baseline - Page 2,(values: (1) Wish to be,74
C-SSRS - Screening/Baseline - Page 2,Description of Ideation,74
C-SSRS - Screening/Baseline - Page 2,(values: (1) Less than,75
C-SSRS - Screening/Baseline - Page 2,(values: (1) Fleeting few,75
C-SSRS - Screening/Baseline - Page 2,(values: (1) Easily able to,75
C-SSRS - Screening/Baseline - Page 2,(values: (1) Deterrents,76
C-SSRS - Screening/Baseline - Page 2,(values: (1) Completely to get attention/ revenge or a,77
C-SSRS - Screening/Baseline - Page 3,"be 100%. If there is any intent/desire to die associated with the act, then it can be",78
C-SSRS - Screening/Baseline - Page 3,"If Yes, Total number of attempts",78
C-SSRS - Screening/Baseline - Page 3,"If Yes, describe",78
C-SSRS - Screening/Baseline - Page 3,"(values: Yes, No)]",79
C-SSRS - Screening/Baseline - Page 3,"When the person is interrupted (by an outside circumstance) from starting the potentially self-injurious act (if not for that, actual attempt would have occurred).",79
C-SSRS - Screening/Baseline - Page 3,"If Yes, Total number of interrupted attempts",79
C-SSRS - Screening/Baseline - Page 3,"Examples are similar to interrupted attempts, except that the individual stops",79
C-SSRS - Screening/Baseline - Page 3,"If Yes, Total number of aborted attempts",79
C-SSRS - Screening/Baseline - Page 3,"(e.g., buying pills, purchasing a gun) or preparing for one's death by suicide (e.g.,",80
C-SSRS - Screening/Baseline - Page 3,Suicidal behavior: Suicidal behaviour was present during the assessment period?,80
C-SSRS - Screening/Baseline - Page 4,Date of Attempt,81
C-SSRS - Screening/Baseline - Page 4,"(e.g. surface scratches) 1) Minor physical damage (e.g. lethargic speech, first-",81
