form_name,field_name,page
Visit Date,Visit Date,31
Informed Consent,ICF Version Date,33
Informed Consent,Consent Obtained?,33
Informed Consent,Date of Consent,33
Informed Consent,Time of Consent,34
Informed Consent,Was a signed copy of the Informed Consent given to the subject for his/her records?,34
Informed Consent,Was Informed Consent signed prior to any study procedures being performed?,34
Informed Consent,ICF was reviewed and verified and the original ICF has been filed in with subject's source documents,34
Informed Consent,Signed by,34
Informed Consent,Clinician Consent Sign Date,34
Informed Consent,Clinician Consent Sign Time,35
Informed Consent,Subject Consent Sign Date UTC,35
Informed Consent,Clinician Consent Sign Date UTC,35
FBR Consent,Consent Obtained?,36
FBR Consent,Date of Consent,36
FBR Consent,Time of Consent,37
FBR Consent,Was a signed copy of the FBR consent given to the subject for his/her records?,37
FBR Consent,Signed by,37
Demography,Date of Birth,38
Demography,Age (Derived),38
Demography,Address,38
Demography,What is the sex of the subject at the time of birth?,38
Demography,"If None of the above, Specify",39
Demography,Specify other race,39
Demography,Specify other ethnicity,40
Demography,Was the subject re-screened?,40
Demography,Prior screened number,40
Reproductive Status - Female,Date of Last Menstrual Cycle (All Females),41
Reproductive Status - Female,Years Since Last Cycle,41
Reproductive Status - Female,Is this subject of childbearing potential?,41
Reproductive Status - Female,Post Menopausal?,41
Reproductive Status - Female,Surgically Sterile? (please add to Surgeries and Medical Procedures log),41
Reproductive Status - Female,Bilateral Oophorectomy,42
Reproductive Status - Female,Bilateral Tubal Ligation,42
Reproductive Status - Female,Sexually Active?,42
Reproductive Status - Female,•,42
Reproductive Status - Female,Vasectomy,42
Reproductive Status - Female,Tubal ligation,42
Reproductive Status - Female,•,43
Reproductive Status - Female,Nonhormonal intrauterine device,43
Reproductive Status - Female,Condom with spermicide,43
Reproductive Status - Female,Sponge with spermicide,43
Reproductive Status - Female,Occlusive cap (vaginal diaphragm or cervical/vault cap) with spermicide,43
Reproductive Status - Female,Page?,43
Reproductive Status - Female,"If no, reason not transcribed to medical history",43
Reproductive Status - Male,Surgically Sterile(bilateral orchidectomy)? (please add to Surgeries and Medical Procedures log),44
Reproductive Status - Male,Sexually Active?,44
Reproductive Status - Male,90 days after the last dose of IMP?- mark the selected methods below **,44
Reproductive Status - Male,•,45
Reproductive Status - Male,Tubal ligation,45
Reproductive Status - Male,Intrauterine device,45
Reproductive Status - Male,Birth control pills,45
Reproductive Status - Male,Birth control implant,45
Reproductive Status - Male,Birth control depot injection,45
Reproductive Status - Male,Condom with spermicide,45
Reproductive Status - Male,•,46
Reproductive Status - Male,Occlusive cap (vaginal diaphragm or cervical/vault cap) with spermicide,46
Reproductive Status - Male,Does the subject agree to refrain from sperm donation from the screening visit through 30 days after the last dose of IMP?,46
Reproductive Status - Male,Page?,46
Reproductive Status - Male,"If no, reason not transcribed to medical history",46
Medical/Psychiatric History,Has the subject experienced any past and/or concomitant diseases?,47
Medical/Psychiatric History,Record,48
Medical/Psychiatric History,Term,48
Medical/Psychiatric History,Start Date,48
Medical/Psychiatric History,Ongoing?,48
Medical/Psychiatric History,End Date,48
Medical/Psychiatric History,Record,49
Medical/Psychiatric History,Medical or Psychiatric History Term,49
Medical/Psychiatric History,Category of Medical or Psychiatric History Term,49
Medical/Psychiatric History,Start Date,49
Medical/Psychiatric History,Is the Medical or Psychiatric History Disease/Condition or Event Still Ongoing?,49
