form_name,field_name,page
Visit Date,Visit Date,19
Informed Consent,ICF Version Date,20
Informed Consent,Amendment 7,20
Informed Consent,Amendment 8,20
Informed Consent,Amendment 9,20
Informed Consent,Amendment 10,20
Informed Consent,"Amendment 7, Amendment 8, Amendment 9, Amendment 10)]",20
Informed Consent,Consent Obtained?,20
Informed Consent,Date of Consent,20
Informed Consent,Time of Consent,20
Informed Consent,Was a signed copy of the Informed Consent given to the subject for his/her records?,20
Informed Consent,Was Informed Consent signed prior to any study procedures being performed?,20
Informed Consent,ICF Verification,21
Informed Consent,ICF was reviewed and verified and the original ICF has been filed in with subject's source documents,21
Informed Consent,Signed by,21
Informed Consent,Clinician Consent Sign Date,21
Informed Consent,Clinician Consent Sign Time,21
Informed Consent,Subject Consent Sign Date UTC,21
Informed Consent,Clinician Consent Sign Date UTC,21
FBR Consent,Amendment 7,22
FBR Consent,Amendment 8,22
FBR Consent,Amendment 9,22
FBR Consent,Amendment 10,22
FBR Consent,"Amendment 7, Amendment 8, Amendment 9, Amendment 10)]",22
FBR Consent,Consent Obtained?,22
FBR Consent,Date of Consent,22
FBR Consent,Time of Consent,22
FBR Consent,Was a signed copy of the FBR consent given to the subject for his/her records?,22
FBR Consent,Signed by,22
Demography,Date of Birth,24
Demography,Age (Derived),24
Demography,Address,24
Demography,Male,24
Demography,Female,24
Demography,What is the sex of the subject at the time of birth?,24
Demography,Transgender Woman,24
Demography,Gender Non-Conforming,24
Demography,None of the above,24
Demography,Prefer not to answer,24
Demography,to answer)],24
Demography,"If None of the above, Specify",24
Demography,Black or African American,25
Demography,Native Hawaiian or Other Pacific Islander,25
Demography,White,25
Demography,Other,25
Demography,"White, Other)]",25
Demography,Specify other race,25
Demography,Hispanic or Latino,25
Demography,Not Hispanic or Latino,25
Demography,Unknown,25
Demography,Specify other ethnicity,25
Demography,Was the subject re-screened?,25
Demography,Prior screened number,25
Reproductive Status - Female,Date of Last Menstrual Cycle (All Females),26
Reproductive Status - Female,Years Since Last Cycle,26
Reproductive Status - Female,"Note: Women of non-childbearing potential are defined as women who are documented as sterile (eg, have had a bilateral oophorectomy, or",26
Reproductive Status - Female,"hysterectomy, or who have been postmenopausal for at least 12 months confirmed by FSH).",26
Reproductive Status - Female,Post Menopausal?,26
Reproductive Status - Female,(for at least 12 months (1 year) prior to screening),26
Reproductive Status - Female,Surgically Sterile? (please add to Surgeries and Medical Procedures log),26
Reproductive Status - Female,Hysterectomy,26
Reproductive Status - Female,Bilateral Oophorectomy,26
Reproductive Status - Female,Bilateral Tubal Ligation,26
Reproductive Status - Female,Of Childbearing Potential,26
Reproductive Status - Female,Abstinence (must remain abstinent from the time of screening until at least 90 days after the last dose of study drug),26
Reproductive Status - Female,Sexually Active?,27
Reproductive Status - Female,If sexually active does the subject commit to utilizing 2 different approved methods of birth control during the trial and for 30 days,27
Reproductive Status - Female,after the last dose of IMP?- mark the selected methods below,27
Reproductive Status - Female,X,27
Reproductive Status - Female,Vasectomy,27
Reproductive Status - Female,Tubal ligation,27
Reproductive Status - Female,Nonhormonal intrauterine device,27
Reproductive Status - Female,Condom with spermicide,27
Reproductive Status - Female,Sponge with spermicide,27
Reproductive Status - Female,Occlusive cap (vaginal diaphragm or cervical/vault cap) with spermicide,27
Reproductive Status - Female,Has any applicable reproductive status and/or medications been transcribed to the Medical History Page and/or Con Med Page?,27
Reproductive Status - Female,"If no, reason not transcribed to medical history",27
Reproductive Status - Male,Not of Childbearing Potential,29
Reproductive Status - Male,Surgically Sterile(bilateral orchidectomy)? (please add to Surgeries and Medical Procedures log),29
Reproductive Status - Male,Of Childbearing Potential,29
Reproductive Status - Male,Abstinence (must remain abstinent from the time of screening until at least 180 days after the last dose of study drug),29
Reproductive Status - Male,Sexually Active?,29
Reproductive Status - Male,dose of IMP?- mark the selected methods below **,29
Reproductive Status - Male,X,29
Reproductive Status - Male,Vasectomy,29
Reproductive Status - Male,Tubal ligation,29
Reproductive Status - Male,Intrauterine device,29
Reproductive Status - Male,Birth control pills,29
Reproductive Status - Male,X,30
Reproductive Status - Male,Birth control implant,30
Reproductive Status - Male,Birth control depot injection,30
Reproductive Status - Male,Condom with spermicide,30
Reproductive Status - Male,Sponge with spermicide,30
Reproductive Status - Male,Occlusive cap (vaginal diaphragm or cervical/vault cap) with spermicide,30
Reproductive Status - Male,Does the subject agree to refrain from sperm donation from the screening visit through 30 days after the last dose of IMP?,30
Reproductive Status - Male,Has any applicable reproductive status and/or medications been transcribed to the Medical History Page and/or Con Med Page?,30
Reproductive Status - Male,"If no, reason not transcribed to medical history",30
Medical/Psychiatric History,Has the subject experienced any past and/or concomitant diseases?,31
Medical/Psychiatric History,Start Date,31
Medical/Psychiatric History,Ongoing?,31
Medical/Psychiatric History,End Date,31
Medical/Psychiatric History,Record,31
Medical/Psychiatric History,Medical or Psychiatric History Term,31
Medical/Psychiatric History,Medical,31
Medical/Psychiatric History,Psychiatric,31
Medical/Psychiatric History,Category of Medical or Psychiatric History Term,31
Medical/Psychiatric History,Is the Medical or Psychiatric History Disease/Condition or Event Still Ongoing?,31
Medical/Psychiatric History,Medication Taken?,31
Body Temperature and Respiratory Rate,Were Vital Signs Collected?,32
Body Temperature and Respiratory Rate,"If not collected, reason:",32
Body Temperature and Respiratory Rate,Collection Date,32
Body Temperature and Respiratory Rate,3h postdose,32
Body Temperature and Respiratory Rate,4h postdose,32
Body Temperature and Respiratory Rate,6h postdose,32
Body Temperature and Respiratory Rate,8h postdose,32
Body Temperature and Respiratory Rate,8h postdose)],32
Body Temperature and Respiratory Rate,Respiratory Rate (breaths/min),32
Body Temperature and Respiratory Rate,Body Temperature (celsius),32
Supine,Were Vital Signs Collected?,33
Supine,"If not collected, reason:",33
Supine,Collection Date,33
Supine,3h postdose,33
Supine,4h postdose,33
Supine,6h postdose,33
Supine,8h postdose,33
Supine,Collect vital signs after subject has been resting in a supine position for at least 5 minutes and again after the subject has been in a standing,33
Supine,position for 3 minutes.,33
Supine,Time Placed in Position,33
Standing,Time Placed in Position,34
Standing,Time of Vitals Measurement #3,34
Height and Weight,Were Body Measurements Collected?,35
Height and Weight,"If not collected, reason:",35
Height and Weight,Collection Date,35
Height and Weight,Weigh subject without shoes or jacket. Obtain Height without subject’s shoes.,35
Height and Weight,Weight,35
Height and Weight,kg,35
Height and Weight,Weight Unit,35
Height and Weight,lb,35
Height and Weight,Height,35
Height and Weight,cm,35
Height and Weight,Height Unit,35
Height and Weight,inches,35
Height and Weight,BMI,35
Height and Weight,BMI Unit,35
Physical Exam,Was the physical examination performed?,36
Physical Exam,Planned Timepoint,36
Physical Exam,Examination Date,36
Physical Exam,Examination Time,36
Physical Exam,Evaluator,36
Physical Exam,Result,36
Physical Exam,Clinically Significant,36
Physical Exam,HEENT,36
Physical Exam,Done)],36
Physical Exam,Thorax,36
Physical Exam,Abdomen,36
Physical Exam,Done)],37
Physical Exam,Skin and Mucosae,37
Physical Exam,Neurological,37
Physical Exam,Extremities,37
Triplicate ECG Assessments,Were ECG measurements performed?,38
Triplicate ECG Assessments,"If no, Reason not done",38
Triplicate ECG Assessments,Date of ECG,38
Triplicate ECG Assessments,N/A,38
Triplicate ECG Assessments,Predose,38
Triplicate ECG Assessments,4h Postdose,38
Triplicate ECG Assessments,Discharge,38
Triplicate ECG Assessments,Time subject became supine:,38
Triplicate ECG Assessments,Time of ECG assessment # 1:,38
Triplicate ECG Assessments,Time of ECG assessment # 2:,38
Triplicate ECG Assessments,Time of ECG assessment # 3:,38
Triplicate ECG Assessments,Overall ECG interpretation,39
Triplicate ECG Assessments,Normal,39
Triplicate ECG Assessments,Abnormal,39
Triplicate ECG Assessments,Not Evaluable,39
Triplicate ECG Assessments,Abnormal Findings,39
Triplicate ECG Assessments,Was the ECG abnormality clinically significant?,39
Triplicate ECG Assessments,Are additional ECG assessments required?,39
Serology,Timepoint,40
Serology,Comments,40
Serology,Sample,40
Serology,Status,40
Serology,Date of Collection,40
Serology,HIV,40
Serology,HBsAg,40
Serology,Anti-HCV,40
Glycated Hemoglobin,Was Blood sample Collected for Glycated Hemoglobin?,42
Glycated Hemoglobin,Yes,42
Glycated Hemoglobin,No,42
Glycated Hemoglobin,Not Applicable,42
Glycated Hemoglobin,Reason not done,42
Glycated Hemoglobin,Sample,42
Glycated Hemoglobin,Date of Collection,42
Glycated Hemoglobin,Time of Collection,42
Glycated Hemoglobin,Barcode Number,42
Glycated Hemoglobin,Glycated Hemoglobin,42
Clinical Laboratory Assessments,Timepoint,43
Clinical Laboratory Assessments,Comments,43
Clinical Laboratory Assessments,Was subject in fasting state?,43
Clinical Laboratory Assessments,Yes,43
Clinical Laboratory Assessments,No,43
Clinical Laboratory Assessments,NA,43
Clinical Laboratory Assessments,Sample,43
Clinical Laboratory Assessments,Status,43
Clinical Laboratory Assessments,Date of Collection,43
results.,Laboratory collection date,45
results.,Laboratory results review date,45
results.,Has the investigator reviewed all laboratory results from this visit and assessed abnormal results clinical significance?,45
results.,Were there any clinically significant abnormal results?,45
results.,Were there any clinically significant abnormal chemistry results?,45
results.,Triglycerides,46
results.,Sodium,46
results.,Urea nitrogen,46
results.,Uric acid,46
results.,"lipoprotein;and; high density lipoprotein), Creatine phosphokinase, Creatinine, Gamma glutamyl transferase, Glucose, Lactate dehydrogenase,",46
results.,"Magnesium, Phosphorus, Potassium, Prolactin, Total bilirubin, Total protein, Triglycerides, Sodium, Urea nitrogen, Uric acid)]",46
results.,Chemistry abnormal assay # 1 Investigator comment,46
results.,Triglycerides,47
results.,Sodium,47
results.,Urea nitrogen,47
results.,Uric acid,47
results.,"lipoprotein;and; high density lipoprotein), Creatine phosphokinase, Creatinine, Gamma glutamyl transferase, Glucose, Lactate dehydrogenase,",47
results.,"Magnesium, Phosphorus, Potassium, Prolactin, Total bilirubin, Total protein, Triglycerides, Sodium, Urea nitrogen, Uric acid)]",47
results.,Chemistry abnormal assay # 2 Investigator comment,47
results.,Triglycerides,48
results.,Sodium,48
results.,Urea nitrogen,48
results.,Uric acid,48
results.,"lipoprotein;and; high density lipoprotein), Creatine phosphokinase, Creatinine, Gamma glutamyl transferase, Glucose, Lactate dehydrogenase,",48
results.,"Magnesium, Phosphorus, Potassium, Prolactin, Total bilirubin, Total protein, Triglycerides, Sodium, Urea nitrogen, Uric acid)]",48
results.,Chemistry abnormal assay # 3 Investigator comment,48
results.,Triglycerides,49
results.,Sodium,49
results.,Urea nitrogen,49
results.,Uric acid,49
results.,"lipoprotein;and; high density lipoprotein), Creatine phosphokinase, Creatinine, Gamma glutamyl transferase, Glucose, Lactate dehydrogenase,",49
results.,"Magnesium, Phosphorus, Potassium, Prolactin, Total bilirubin, Total protein, Triglycerides, Sodium, Urea nitrogen, Uric acid)]",49
results.,Chemistry abnormal assay # 4 Investigator comment,49
results.,Triglycerides,50
results.,Sodium,50
results.,Urea nitrogen,50
results.,Uric acid,50
results.,"lipoprotein;and; high density lipoprotein), Creatine phosphokinase, Creatinine, Gamma glutamyl transferase, Glucose, Lactate dehydrogenase,",50
results.,"Magnesium, Phosphorus, Potassium, Prolactin, Total bilirubin, Total protein, Triglycerides, Sodium, Urea nitrogen, Uric acid)]",50
results.,Chemistry abnormal assay # 5 Investigator comment,50
results.,Are there any additional clinically significant abnormal chemistry results to be entered?,50
results.,Were there any clinically significant abnormal hematology results?,51
results.,Platelet count,51
results.,Red blood cell count,51
results.,White blood cell count (absolute and differential),51
results.,Glycated Hemoglobin,51
results.,"Red blood cell count, White blood cell count (absolute and differential), Glycated Hemoglobin)]",51
results.,Hematology abnormal assay # 1 Investigator comment,51
results.,Hematology abnormal assay # 2 Investigator comment,51
results.,Platelet count,52
results.,Red blood cell count,52
results.,White blood cell count (absolute and differential),52
results.,Glycated Hemoglobin,52
results.,"Red blood cell count, White blood cell count (absolute and differential), Glycated Hemoglobin)]",52
results.,Hematology abnormal assay # 3 Investigator comment,52
results.,Hematology abnormal assay # 4 Investigator comment,52
results.,Platelet count,53
results.,Red blood cell count,53
results.,White blood cell count (absolute and differential),53
results.,Glycated Hemoglobin,53
results.,"Red blood cell count, White blood cell count (absolute and differential), Glycated Hemoglobin)]",53
results.,Hematology abnormal assay # 5 Investigator comment,53
results.,Are there any clinically significant abnormal hematology results to be entered?,53
results.,Were there any clinically significant abnormal urinalysis results?,53
results.,Protein,54
results.,Specific gravity,54
results.,Urobilinogen,54
results.,Microscopic analysis if indicated,54
results.,"Urobilinogen, Microscopic analysis if indicated)]",54
results.,Urinalysis abnormal assay # 1 Investigator comment,54
results.,Protein,55
results.,Specific gravity,55
results.,Urobilinogen,55
results.,Microscopic analysis if indicated,55
results.,"Urobilinogen, Microscopic analysis if indicated)]",55
results.,Urinalysis abnormal assay # 2 Investigator comment,55
results.,Protein,56
results.,Specific gravity,56
results.,Urobilinogen,56
results.,Microscopic analysis if indicated,56
results.,"Urobilinogen, Microscopic analysis if indicated)]",56
results.,Urinalysis abnormal assay # 3 Investigator comment,56
results.,Protein,57
results.,Specific gravity,57
results.,Urobilinogen,57
results.,Microscopic analysis if indicated,57
results.,"Urobilinogen, Microscopic analysis if indicated)]",57
results.,Urinalysis abnormal assay # 4 Investigator comment,57
results.,Protein,58
results.,Specific gravity,58
results.,Urobilinogen,58
results.,Microscopic analysis if indicated,58
results.,"Urobilinogen, Microscopic analysis if indicated)]",58
results.,Urinalysis abnormal assay # 5 Investigator comment,58
results.,Are there additional urinalysis clinically significant abnormal results to be entered?,58
results.,Please go to Add-On Forms and select Additional Local Lab Results Review form to add to this visit.,58
results.,Investigator`s signature for Local Laboratory Results Review,58
FSH Blood Sample,Timepoint,59
FSH Blood Sample,Comments,59
FSH Blood Sample,Sample,59
FSH Blood Sample,Status,59
FSH Blood Sample,Date of Collection,59
FSH Blood Sample,FSH Blood Sample,59
Pregnancy test,Was a Pregnancy Test Performed?,60
Pregnancy test,If not done reason,60
