x=  47.8 y=  66.1 sz=14.4 #004c99   | C-SSRS - Screening/Baseline
x=  47.8 y= 127.7 sz=15.7 black   B | COLUMBIA-SUICIDE SEVERITY
x=  47.8 y= 159.7 sz=15.7 black   B | RATING SCALE
x=  47.8 y= 191.8 sz=15.7 black   B | (C-SSRS)
x=  47.8 y= 253.8 sz= 7.8 black   B | Baseline/Screening Version
x=  47.8 y= 304.7 sz= 6.5 black   B | Version 1/14/09
x=  47.8 y= 355.2 sz= 9.2 black   B | Posner, K.; Brent, D.; Lucas, C.; Gould, M.; Stanley, B.; Brown, G.; Fisher, P.; Zelazny, J.; Burke, A.; Oquendo, M.;
x=  47.8 y= 367.6 sz= 9.2 black   B | Mann, J.
x=  47.8 y= 417.2 sz= 7.8 black     | Disclaimer:
x=  47.8 y= 463.6 sz= 7.8 black     | This scale is intended to be used by individuals who have received training in its administration. The questions contained in the Columbia-
x=  47.8 y= 474.1 sz= 7.8 black     | Suicide Severity Rating Scale are suggested probes. Ultimately, the determination of the presence of suicidal ideation or behavior depends on
x=  47.8 y= 484.6 sz= 7.8 black     | the judgment of the individual administering the scale.
x=  47.8 y= 502.9 sz= 7.8 black   B | Definitions of behavioral suicidal events in this scale are based on those used in **The Columbia Suicide History Form**, developed by John
x=  47.8 y= 513.3 sz= 7.8 black     | Mann, MD and Maria Oquendo, MD, Conte Center for the Neuroscience of Mental Disorders (CCNMD), New York State Psychiatric Institute,
x=  47.8 y= 523.8 sz= 7.8 black     | 1051 Riverside Drive, New York, NY, 10032. (Oquendo M. A., Halberstam B. & Mann J. J., Risk factors for suicidal behavior: utility and
x=  47.8 y= 534.2 sz= 7.8 black     | limitations of research instruments. In M.B. First [Ed.] Standardized Evaluation in Clinical Practice, pp. 103 -130, 2003.)
x=  47.8 y= 552.6 sz= 7.8 black     | For reprints of the C-SSRS contact Kelly Posner, Ph.D., New York State Psychiatric Institute, 1051 Riverside Drive, New York, New York,
x=  47.8 y= 563.0 sz= 7.8 black     | 10032; inquiries and training requirements contact posnerk@nyspi.columbia.edu
x=  47.8 y= 609.4 sz= 7.8 black     | © 2008 The Research Foundation for Mental Hygiene, Inc.
