form_name,field_name,page
Visit Date,Visit Date,19
Informed Consent,ICF Version Date,20
Informed Consent,Informed Consent,20
Informed Consent,Consent Obtained?,20
Informed Consent,Date of Consent,20
Informed Consent,Time of Consent,20
Informed Consent,Was a signed copy of the Informed Consent given to the subject for his/her records?,20
Informed Consent,Was Informed Consent signed prior to any study procedures being performed?,20
Informed Consent,ICF was reviewed and verified and the original ICF has been filed in with subject's source documents,21
Informed Consent,Signed by,21
Informed Consent,Clinician Consent Sign Date,21
Informed Consent,Clinician Consent Sign Time,21
Informed Consent,Subject Consent Sign Date UTC,21
Informed Consent,Clinician Consent Sign Date UTC,21
FBR Consent,FBR Consent,22
FBR Consent,Consent Obtained?,22
FBR Consent,Date of Consent,22
FBR Consent,Time of Consent,22
FBR Consent,Was a signed copy of the FBR consent given to the subject for his/her records?,22
FBR Consent,Signed by,22
Demography,Date of Birth,24
Demography,Age (Derived),24
Demography,Address,24
Demography,What is the sex of the subject at the time of birth?,24
Demography,Demography,24
Demography,"If None of the above, Specify",24
Demography,Demography,25
Demography,Specify other race,25
Demography,Specify other ethnicity,25
Demography,Was the subject re-screened?,25
Demography,Prior screened number,25
Reproductive Status - Female,Date of Last Menstrual Cycle (All Females),26
Reproductive Status - Female,Years Since Last Cycle,26
Reproductive Status - Female,"Is this subject of childbearing potential? Note: Women of non-childbearing potential are defined as women who are documented as sterile (eg, have had a bilateral oophorectomy, or hysterectomy, or who have been postmenopausal for at least 12 months confirmed by FSH).",26
Reproductive Status - Female,Post Menopausal? (for at least 12 months (1 year) prior to screening),26
Reproductive Status - Female,Surgically Sterile? (please add to Surgeries and Medical Procedures log),26
Reproductive Status - Female,Abstinence (must remain abstinent from the time of screening until at least 90 days after the last dose of study drug),26
Reproductive Status - Female,Sexually Active?,27
Reproductive Status - Female,If sexually active does the subject commit to utilizing 2 different approved methods of birth control during the trial and for 30 days after the last dose of IMP?- mark the selected methods below,27
Reproductive Status - Female,Vasectomy,27
Reproductive Status - Female,Tubal ligation,27
Reproductive Status - Female,Nonhormonal intrauterine device,27
Reproductive Status - Female,Condom with spermicide,27
Reproductive Status - Female,Sponge with spermicide,27
Reproductive Status - Female,Occlusive cap (vaginal diaphragm or cervical/vault cap) with spermicide,27
Reproductive Status - Female,Has any applicable reproductive status and/or medications been transcribed to the Medical History Page and/or Con Med Page?,27
Reproductive Status - Female,"If no, reason not transcribed to medical history",27
Reproductive Status - Male,Surgically Sterile(bilateral orchidectomy)? (please add to Surgeries and Medical Procedures log),29
Reproductive Status - Male,Abstinence (must remain abstinent from the time of screening until at least 180 days after the last dose of study drug),29
Reproductive Status - Male,Sexually Active?,29
Reproductive Status - Male,**If sexually active does the subject commit to utilizing 2 different approved methods of birth control during the trial and for 90 days after the last dose of IMP?- mark the selected methods below **,29
Reproductive Status - Male,Vasectomy,29
Reproductive Status - Male,Tubal ligation,29
Reproductive Status - Male,Intrauterine device,29
Reproductive Status - Male,Birth control pills,29
Reproductive Status - Male,Birth control implant,30
Reproductive Status - Male,Birth control depot injection,30
Reproductive Status - Male,Condom with spermicide,30
Reproductive Status - Male,Sponge with spermicide,30
Reproductive Status - Male,Occlusive cap (vaginal diaphragm or cervical/vault cap) with spermicide,30
Reproductive Status - Male,Does the subject agree to refrain from sperm donation from the screening visit through 30 days after the last dose of IMP?,30
Reproductive Status - Male,Has any applicable reproductive status and/or medications been transcribed to the Medical History Page and/or Con Med Page?,30
Reproductive Status - Male,"If no, reason not transcribed to medical history",30
Medical/Psychiatric History,Has the subject experienced any past and/or concomitant diseases?,31
Medical/Psychiatric History,Record,31
Medical/Psychiatric History,Medical or Psychiatric History Term,31
Medical/Psychiatric History,Category of Medical or Psychiatric History Term,31
Medical/Psychiatric History,Start Date,31
Medical/Psychiatric History,Is the Medical or Psychiatric History Disease/Condition or Event Still Ongoing?,31
Medical/Psychiatric History,End Date,31
Medical/Psychiatric History,Medication Taken?,31
Body Temperature and Respiratory Rate,Were Vital Signs Collected?,32
Body Temperature and Respiratory Rate,"If not collected, reason:",32
Body Temperature and Respiratory Rate,Collection Date,32
Body Temperature and Respiratory Rate,Body Temperature and Respiratory Rate,32
Body Temperature and Respiratory Rate,Respiratory Rate (breaths/min),32
Body Temperature and Respiratory Rate,Body Temperature (celsius),32
Triplicate Orthostatic BP and HR - Central,Were Vital Signs Collected?,33
Triplicate Orthostatic BP and HR - Central,"If not collected, reason:",33
Triplicate Orthostatic BP and HR - Central,Collection Date,33
Triplicate Orthostatic BP and HR - Central,Triplicate Orthostatic BP and HR - Central,33
Triplicate Orthostatic BP and HR - Central,Time Placed in Position,33
Standing,Time Placed in Position,34
Standing,Time of Vitals Measurement #3,34
Height and Weight,Were Body Measurements Collected?,35
Height and Weight,"If not collected, reason:",35
Height and Weight,Collection Date,35
Height and Weight,Weight,35
Height and Weight,Weight Unit,35
Height and Weight,Height,35
Height and Weight,Height Unit,35
Height and Weight,BMI,35
Height and Weight,BMI Unit,35
Physical Exam,Was the physical examination performed?,36
Physical Exam,Planned Timepoint,36
Physical Exam,Examination Date,36
Physical Exam,Examination Time,36
Physical Exam,Evaluator,36
Physical Exam,Result,36
Physical Exam,Not Done,36
Triplicate ECG Assessments,Were ECG measurements performed?,38
Triplicate ECG Assessments,"If no, Reason not done",38
Triplicate ECG Assessments,Date of ECG,38
Triplicate ECG Assessments,Triplicate ECG Assessments,38
Triplicate ECG Assessments,Time subject became supine:,38
Triplicate ECG Assessments,Time of ECG assessment # 1:,38
Triplicate ECG Assessments,Time of ECG assessment # 2:,38
Triplicate ECG Assessments,Time of ECG assessment # 3:,38
Triplicate ECG Assessments,Overall ECG interpretation,39
Triplicate ECG Assessments,Abnormal Findings,39
Triplicate ECG Assessments,Was the ECG abnormality clinically significant?,39
Triplicate ECG Assessments,Are additional ECG assessments required?,39
Serology,Timepoint,40
Serology,Comments,40
Serology,done,40
Serology,Sample,40
Serology,Collection,40
Serology,Number,40
Serology,Serology,40
Clinical Laboratory Assessments,Timepoint,43
Clinical Laboratory Assessments,Comments,43
Clinical Laboratory Assessments,Was subject in fasting state?,43
Clinical Laboratory Assessments,done,43
Clinical Laboratory Assessments,Sample,43
Clinical Laboratory Assessments,Collection,43
Clinical Laboratory Assessments,Number,43
Clinical Laboratory Assessments,Clinical Laboratory Assessments,43
Laboratory results review,Laboratory collection date,45
Laboratory results review,Laboratory results review date,45
Laboratory results review,Has the investigator reviewed all laboratory results from this visit and assessed abnormal results clinical significance?,45
Laboratory results review,Were there any clinically significant abnormal results?,45
Laboratory results review,Were there any clinically significant abnormal chemistry results?,45
Chemistry clinically significant abnormal assay # 1:,Chemistry clinically significant abnormal assay # 1:,46
Chemistry clinically significant abnormal assay # 1:,Chemistry abnormal assay # 1 Investigator comment,46
Chemistry clinically significant abnormal assay # 2,Chemistry clinically significant abnormal assay # 2,47
Chemistry clinically significant abnormal assay # 2,Chemistry abnormal assay # 2 Investigator comment,47
Chemistry clinically significant abnormal assay # 3,Chemistry clinically significant abnormal assay # 3,48
Chemistry clinically significant abnormal assay # 3,Chemistry abnormal assay # 3 Investigator comment,48
Chemistry clinically significant abnormal assay # 4,Chemistry clinically significant abnormal assay # 4,49
Chemistry clinically significant abnormal assay # 4,Chemistry abnormal assay # 4 Investigator comment,49
Chemistry clinically significant abnormal assay # 5,Chemistry clinically significant abnormal assay # 5,50
Chemistry clinically significant abnormal assay # 5,Chemistry abnormal assay # 5 Investigator comment,50
Chemistry clinically significant abnormal assay # 5,Are there any additional clinically significant abnormal chemistry results to be entered?,50
Chemistry clinically significant abnormal assay # 5,Were there any clinically significant abnormal hematology results?,51
Chemistry clinically significant abnormal assay # 5,Chemistry clinically significant abnormal assay # 5,51
Chemistry clinically significant abnormal assay # 5,Hematology abnormal assay # 1 Investigator comment,51
Chemistry clinically significant abnormal assay # 5,Hematology abnormal assay # 2 Investigator comment,51
Hematology clinically significant abnormal assay # 3,Hematology clinically significant abnormal assay # 3,52
Hematology clinically significant abnormal assay # 3,Hematology abnormal assay # 3 Investigator comment,52
Hematology clinically significant abnormal assay # 3,Hematology abnormal assay # 4 Investigator comment,52
Hematology clinically significant abnormal assay # 5,Hematology clinically significant abnormal assay # 5,53
Hematology clinically significant abnormal assay # 5,Hematology abnormal assay # 5 Investigator comment,53
Hematology clinically significant abnormal assay # 5,Are there any clinically significant abnormal hematology results to be entered?,53
Hematology clinically significant abnormal assay # 5,Were there any clinically significant abnormal urinalysis results?,53
Urinalysis clinically significant abnormal assay # 1,Urinalysis clinically significant abnormal assay # 1,54
Urinalysis clinically significant abnormal assay # 1,Urinalysis abnormal assay # 1 Investigator comment,54
Urinalysis clinically significant abnormal assay # 2,Urinalysis clinically significant abnormal assay # 2,55
Urinalysis clinically significant abnormal assay # 2,Urinalysis abnormal assay # 2 Investigator comment,55
Urinalysis clinically significant abnormal assay # 3,Urinalysis clinically significant abnormal assay # 3,56
Urinalysis clinically significant abnormal assay # 3,Urinalysis abnormal assay # 3 Investigator comment,56
Urinalysis clinically significant abnormal assay # 4,Urinalysis clinically significant abnormal assay # 4,57
Urinalysis clinically significant abnormal assay # 4,Urinalysis abnormal assay # 4 Investigator comment,57
Urinalysis clinically significant abnormal assay # 5,Urinalysis clinically significant abnormal assay # 5,58
Urinalysis clinically significant abnormal assay # 5,Urinalysis abnormal assay # 5 Investigator comment,58
Urinalysis clinically significant abnormal assay # 5,Are there additional urinalysis clinically significant abnormal results to be entered?,58
Urinalysis clinically significant abnormal assay # 5,Investigator`s signature for Local Laboratory Results Review,58
FSH Blood Sample,Timepoint,59
FSH Blood Sample,Comments,59
FSH Blood Sample,done,59
Pregnancy test,Was a Pregnancy Test Performed?,60
Pregnancy test,If not done reason,60
Pregnancy test,Type of pregnancy test,60
Pregnancy test,Barcode Number,60
Pregnancy test,Kit Expiration Date,60
Pregnancy test,Kit Batch Number,60
Pregnancy test,Date of Sample,60
Pregnancy test,Time of Sample,60
Pregnancy test,Result,60
Tobacco Use,Substance Use Category,61
Tobacco Use,Usage Start Date,61
Tobacco Use,Never,61
Tobacco Use,Substance Type Usage,61
Tobacco Use,Usage Stop Date Amount,61
Tobacco Use,Per Week Cigar Cartridge None,61
Tobacco Use,Tobacco Use,61
Alcohol Use,Substance Use Category,63
Alcohol Use,Usage,63
Alcohol Use,Never,63
Alcohol Use,Usage Stop Date Amount,63
Alcohol Use,Per Week Can Cup,63
Alcohol Use,Alcohol Use,63
Alcohol Screen - Urine or Breath,Was Test Performed?,64
Alcohol Screen - Urine or Breath,Sample Type,64
Alcohol Screen - Urine or Breath,"If no, Reason Not Done",64
Alcohol Screen - Urine or Breath,Date of Test,64
Alcohol Screen - Urine or Breath,Time of Test,64
Alcohol Screen - Urine or Breath,Result,64
Alcohol Screen - Urine or Breath,Was a Repeat test performed?,64
Alcohol Screen - Urine or Breath,Time of Repeat Test,64
Alcohol Screen - Urine or Breath,Result of Repeat Test,65
Urine Drug Screen,Was Urine Drug Screen Performed?,66
Urine Drug Screen,If not done reason,66
Urine Drug Screen,Manufacturer,66
Urine Drug Screen,Item #,66
Urine Drug Screen,Lot,66
Urine Drug Screen,Expiration Date,66
Urine Drug Screen,Date of Sample,66
Urine Drug Screen,Time of Sample,66
Urine Drug Screen,Test,66
Cotinine Screen,Was Cotinine Screen Performed?,68
Cotinine Screen,If not done reason,68
Cotinine Screen,Sample Type,68
Cotinine Screen,Manufacturer,68
Cotinine Screen,Item #,68
Cotinine Screen,Lot,68
Cotinine Screen,Expiration Date,68
Cotinine Screen,Date of Sample,68
Cotinine Screen,Time of Sample,68
C-SSRS - Screening/Baseline - Page 1,Was the Questionnaire Administered?,71
C-SSRS - Screening/Baseline - Page 1,Date of completion,71
C-SSRS - Screening/Baseline - Page 1,Rater's initials,71
C-SSRS - Screening/Baseline - Page 1,"Subject endorses thoughts about a wish to be dead or not alive anymore, or wish to fall asleep and not wake up.",71
C-SSRS - Screening/Baseline - Page 1,Row 3,71
C-SSRS - Screening/Baseline - Page 1,"General non-specific thoughts of wanting to end one's life/commit suicide (e.g. ""I've thought about killing myself"") without thoughts of way to kill oneself/associated",71
C-SSRS - Screening/Baseline - Page 2,C-SSRS - Screening/Baseline - Page 2,74
C-SSRS - Screening/Baseline - Page 2,Description of Ideation,74
C-SSRS - Screening/Baseline - Page 2,continuous,75
C-SSRS - Screening/Baseline - Page 2,to control thoughts,75
C-SSRS - Screening/Baseline - Page 2,C-SSRS - Screening/Baseline - Page 2,76
C-SSRS - Screening/Baseline - Page 2,(0) Does not apply,77
C-SSRS - Screening/Baseline - Page 3,"A potentially self-injurious act committed with at least some wish to die, as a result of",78
C-SSRS - Screening/Baseline - Page 3,"If Yes, Total number of attempts",78
C-SSRS - Screening/Baseline - Page 3,Row 5,78
C-SSRS - Screening/Baseline - Page 3,Has subject engaged in Non-Suicidal self-injurious behavior?,78
C-SSRS - Screening/Baseline - Page 3,When the person is interrupted (by an outside circumstance) from starting the,79
C-SSRS - Screening/Baseline - Page 3,"If Yes, Total number of interrupted attempts",79
C-SSRS - Screening/Baseline - Page 3,Row 10,79
C-SSRS - Screening/Baseline - Page 3,"When person begins to take steps toward making a suicide attempt, but stops",79
C-SSRS - Screening/Baseline - Page 3,"If Yes, Total number of aborted attempts",79
C-SSRS - Screening/Baseline - Page 3,Row 14,79
C-SSRS - Screening/Baseline - Page 3,Acts or preparation towards imminently making a suicide attempt. This can include,80
C-SSRS - Screening/Baseline - Page 3,Row 17,80
C-SSRS - Screening/Baseline - Page 3,Suicidal behavior: Suicidal behaviour was present during the assessment period?,80
C-SSRS - Screening/Baseline - Page 4,Date of Attempt,81
C-SSRS - Screening/Baseline - Page 4,0) No physical damage or very minor physical damage (e.g. surface scratches),81
C-SSRS - Screening/Baseline - Page 4,"Likely lethality of actual attempt if no medical damage (the following examples, while having no actual medical",81
AE and CM prompt,Has the subject had any changes to their health since previous visit?,82
