form_name,field_name,page
Schedule of Assessments,Description of Dynamic,9
Schedule of Assessments,Screen Visit 1 Day -42 to -21,9
Schedule of Assessments,page enrols if SEX = Female on Demography page,9
Schedule of Assessments,page enrols if SEX = Male on Demography page,9
Schedule of Assessments,page enrols if SEX = Female on Demography page and if RPPOSMEN=,9
Schedule of Assessments,Yes on Reproductive Status - Female page,9
Schedule of Assessments,C-SSRS - Screening/Baseline - Page 3,10
Schedule of Assessments,Page 3,10
Schedule of Assessments,C-SSRS - Screening/Baseline - Page 4,10
Schedule of Assessments,Page 4,10
Schedule of Assessments,AE and CM prompt,10
Schedule of Assessments,Inclusion criteria,10
Schedule of Assessments,Exclusion criteria,10
Schedule of Assessments,Sertraline Titration,10
Schedule of Assessments,End of Screening,10
Schedule of Assessments,Visit Date,10
Schedule of Assessments,Drug dispensation- Titration period,10
Schedule of Assessments,period,10
Schedule of Assessments,Triplicate Orthostatic BP and HR - Central,10
Schedule of Assessments,Central,10
Schedule of Assessments,PK Blood Draw - Sertraline,10
Schedule of Assessments,Aicure Device - Distribution,10
Schedule of Assessments,Drug administration- Titration,10
Schedule of Assessments,IMP Administration - Sertraline,10
Schedule of Assessments,Physical Exam,10
Schedule of Assessments,Clinical Laboratory Assessments,10
Schedule of Assessments,Laboratory results review,10
Schedule of Assessments,Pregnancy test,10
Schedule of Assessments,Alcohol Screen - Urine or Breath,10
Schedule of Assessments,Urine Drug Screen,10
Schedule of Assessments,Cotinine Screen,10
Schedule of Assessments,PGx Blood Sample,10
Schedule of Assessments,FBR Blood Sample,11
Schedule of Assessments,C-SSRS - Since Last Visit,11
Schedule of Assessments,C-SSRS since last visit - Page 1,11
Schedule of Assessments,C-SSRS since last visit - Page 2,11
Schedule of Assessments,C-SSRS since last visit - Page 3,11
Schedule of Assessments,C-SSRS since last visit - Page 4,11
Schedule of Assessments,IMP Administration - Sertraline,11
Schedule of Assessments,AE and CM prompt,11
Schedule of Assessments,Inclusion criteria,11
Schedule of Assessments,Exclusion criteria,11
Schedule of Assessments,End of Screening,11
Schedule of Assessments,Visit Date,11
Schedule of Assessments,Body Temperature and Respiratory Rate - Predose,11
Schedule of Assessments,Respiratory Rate - Predose,11
Schedule of Assessments,Triplicate Orthostatic BP and HR - Predose,11
Schedule of Assessments,Predose,11
Schedule of Assessments,Triplicate ECG Assessments - Predose,11
Schedule of Assessments,PK Blood Draw - Sertraline,11
Schedule of Assessments,Triplicate Orthostatic BP and HR - 1h Postdose,11
Schedule of Assessments,1h Postdose,11
Schedule of Assessments,Triplicate Orthostatic BP and HR - 1.5h Postdose,11
Schedule of Assessments,1.5h Postdose,11
Schedule of Assessments,Triplicate Orthostatic BP and HR - 2h Postdose,11
Schedule of Assessments,2h Postdose,11
Schedule of Assessments,Triplicate Orthostatic BP and HR - 2.5h Postdose,11
Schedule of Assessments,2.5h Postdose,11
Schedule of Assessments,Triplicate Orthostatic BP and HR - 3h Postdose,11
Schedule of Assessments,3h Postdose,11
Schedule of Assessments,Triplicate Orthostatic BP and HR - 4h Postdose,11
Schedule of Assessments,4h Postdose,11
Schedule of Assessments,Triplicate Orthostatic BP and HR - 6h Postdose,11
Schedule of Assessments,6h Postdose,11
Schedule of Assessments,C-SSRS since last visit - Page 3,13
Schedule of Assessments,C-SSRS since last visit - Page 4,13
Schedule of Assessments,IMP Administration - Sertraline and Propranolol,13
Schedule of Assessments,and Propranolol,13
Schedule of Assessments,PK Blood Draw - Sertraline,13
Schedule of Assessments,PK Blood Draw - Propranolol,13
Schedule of Assessments,Triplicate Orthostatic BP and HR - 1h Postdose,13
Schedule of Assessments,1h Postdose,13
Schedule of Assessments,Triplicate Orthostatic BP and HR - 1.5h Postdose,13
Schedule of Assessments,1.5h Postdose,13
Schedule of Assessments,Triplicate Orthostatic BP and HR - 2h Postdose,13
Schedule of Assessments,2h Postdose,13
Schedule of Assessments,Triplicate Orthostatic BP and HR - 2.5h Postdose,13
Schedule of Assessments,2.5h Postdose,13
Schedule of Assessments,Triplicate Orthostatic BP and HR - 3h Postdose,13
Schedule of Assessments,3h Postdose,13
Schedule of Assessments,Triplicate Orthostatic BP and HR - 4h Postdose,13
Schedule of Assessments,4h Postdose,13
Schedule of Assessments,Triplicate Orthostatic BP and HR - 6h Postdose,13
Schedule of Assessments,6h Postdose,13
Schedule of Assessments,Triplicate Orthostatic BP and HR - 8h Postdose,13
Schedule of Assessments,8h Postdose,13
Schedule of Assessments,Visit Date,13
Schedule of Assessments,AE and CM prompt,13
Schedule of Assessments,Triplicate Orthostatic BP and HR - Predose,13
Schedule of Assessments,Predose,13
Schedule of Assessments,Physical Exam,13
Schedule of Assessments,Clinical Laboratory Assessments,13
Schedule of Assessments,Laboratory results review,13
Schedule of Assessments,Pregnancy test,13
Schedule of Assessments,Alcohol Screen - Urine or Breath,13
Schedule of Assessments,Urine Drug Screen,13
Schedule of Assessments,Cotinine Screen,13
Schedule of Assessments,IMP Administration - Sertraline and Brexpiprazole,13
Schedule of Assessments,and Brexpiprazole,13
Schedule of Assessments,PK Blood Draw - Brexpiprazole/Sertraline,13
Schedule of Assessments,Brexpiprazole/Sertraline,13
Schedule of Assessments,Body Temperature and,13
Schedule of Assessments,Treatment Period Day 21,15
Schedule of Assessments,page enrols if DSAI101= Yes on Aicure Device - Distribution page,15
Schedule of Assessments,Triplicate Orthostatic BP and HR - 3h Postdose,16
Schedule of Assessments,3h Postdose,16
Schedule of Assessments,Triplicate Orthostatic BP and HR - 4h Postdose,16
Schedule of Assessments,4h Postdose,16
Schedule of Assessments,Triplicate Orthostatic BP and HR - 6h Postdose,16
Schedule of Assessments,6h Postdose,16
Schedule of Assessments,Triplicate Orthostatic BP and HR - 8h Postdose,16
Schedule of Assessments,8h Postdose,16
Schedule of Assessments,End of Study,16
Schedule of Assessments,Visit Date,16
Schedule of Assessments,Body Temperature and Respiratory Rate,16
Schedule of Assessments,Respiratory Rate,16
Schedule of Assessments,Triplicate Orthostatic BP and HR - Predose,16
Schedule of Assessments,Predose,16
