x=  47.8 y=  66.1 sz=14.4 #004c99   | PK Blood Draw - Brexpiprazole/Sertraline
x= 494.9 y= 115.3 sz= 9.2 #454545   | Yes
x= 527.0 y= 115.3 sz= 9.2 #454545   | No
x=  47.8 y= 116.5 sz= 7.8 black     | Was PK Collection Performed?
x=  47.8 y= 138.1 sz= 7.8 #ff0000   | [LBYN8]
x=  47.8 y= 150.5 sz= 7.8 #ff0000   | [TYPE: enumeration (values: Yes, No)]
x=  47.8 y= 177.3 sz= 7.8 black     | If not performed, Reason:
x=  47.8 y= 200.2 sz= 7.8 #ff0000   | [LBREASND8]
x=  47.8 y= 212.6 sz= 7.8 #ff0000   | [TYPE: text]
x=  47.8 y= 239.4 sz= 7.8 black     | Date of Collection
x=  47.8 y= 262.3 sz= 7.8 #ff0000   | [LBDAT8]
x=  47.8 y= 274.7 sz= 7.8 #ff0000   | [TYPE: date]
x=  45.2 y= 329.1 sz= 9.2 black     | Sample
x= 185.1 y= 329.1 sz= 9.2 black     | Timepoint
x= 241.9 y= 329.1 sz= 9.2 black     | Sample
x= 298.8 y= 329.1 sz= 9.2 black     | Time of
x= 402.1 y= 329.1 sz= 9.2 black     | Barcode
x= 505.4 y= 329.1 sz= 9.2 black     | Backup
x= 241.9 y= 342.2 sz= 9.2 black     | Status
x= 298.8 y= 342.2 sz= 9.2 black     | Collection
x= 402.1 y= 342.2 sz= 9.2 black     | Number
x= 505.4 y= 342.2 sz= 9.2 black     | Barcode
x= 505.4 y= 355.2 sz= 9.2 black     | Number
x=  45.8 y= 376.1 sz= 7.8 black   B | Row 1
x= 186.4 y= 396.3 sz= 7.8 #454545   | Predose
x=  54.3 y= 401.0 sz= 9.2 #454545   | Brexpiprazole/Sertraline
x= 364.8 y= 401.0 sz= 9.2 #454545   | Scan
x= 468.1 y= 401.0 sz= 9.2 #454545   | Scan
x=  96.6 y= 414.1 sz= 9.2 #454545   | PK
x= 356.3 y= 421.1 sz= 7.8 #ff0000   | [SCANNE
x= 459.6 y= 421.1 sz= 7.8 #ff0000   | [SCANNE
x= 185.7 y= 422.5 sz= 7.8 #ff0000   | [LBTPT8]
x= 299.5 y= 422.5 sz= 7.8 #ff0000   | [LBTIM8]
x= 402.8 y= 422.5 sz= 7.8 #ff0000   | [LBREQ8]
x= 506.0 y= 422.5 sz= 7.8 #ff0000   | [LBBREQ8]
x= 356.3 y= 432.3 sz= 7.8 #ff0000   | R]
x= 459.6 y= 432.3 sz= 7.8 #ff0000   | R]
x=  64.1 y= 435.7 sz= 9.2 black     | Brexpiprazole/Sertraline PK
x= 246.5 y= 435.7 sz= 9.2 black     | Collected
x= 185.7 y= 436.9 sz= 7.8 #ff0000   | [TYPE: text]
x= 299.5 y= 436.9 sz= 7.8 #ff0000   | [TYPE:
x= 402.8 y= 436.9 sz= 7.8 #ff0000   | [TYPE: text]
x= 506.0 y= 436.9 sz= 7.8 #ff0000   | [TYPE: text]
x= 356.3 y= 446.6 sz= 7.8 #ff0000   | [TYPE:
x= 459.6 y= 446.6 sz= 7.8 #ff0000   | [TYPE:
x= 299.5 y= 448.0 sz= 7.8 #ff0000   | partialtime
x=  64.1 y= 448.7 sz= 9.2 black     | Sertraline PK
x= 246.5 y= 448.7 sz= 9.2 black     | Not
x= 185.7 y= 451.2 sz= 7.8 #ff0000   | [Read-only
x= 356.3 y= 457.8 sz= 7.8 #ff0000   | enumerati
x= 459.6 y= 457.8 sz= 7.8 #ff0000   | enumerati
x= 299.5 y= 459.1 sz= 7.8 #ff0000   | (hour,
x=  64.1 y= 461.8 sz= 9.2 black     | Propranolol PK
x= 246.5 y= 461.8 sz= 9.2 black     | Collected
x= 185.7 y= 462.3 sz= 7.8 #ff0000   | field]
x= 356.3 y= 468.9 sz= 7.8 #ff0000   | on
x= 459.6 y= 468.9 sz= 7.8 #ff0000   | on
x= 299.5 y= 470.2 sz= 7.8 #ff0000   | minutes)]
x=  64.1 y= 474.9 sz= 9.2 black     | Prazosin PK
x= 242.6 y= 478.0 sz= 7.8 #ff0000   | [LBSTAT8]
x= 356.3 y= 480.0 sz= 7.8 #ff0000   | (values:
x= 459.6 y= 480.0 sz= 7.8 #ff0000   | (values:
x=  45.8 y= 491.1 sz= 7.8 #ff0000   | [LBCAT8]
x= 356.3 y= 491.1 sz= 7.8 #ff0000   | Scan)]
x= 459.6 y= 491.1 sz= 7.8 #ff0000   | Scan)]
x= 242.6 y= 492.4 sz= 7.8 #ff0000   | [TYPE:
x= 242.6 y= 503.5 sz= 7.8 #ff0000   | enumeration
x=  45.8 y= 505.5 sz= 7.8 #ff0000   | [TYPE: enumeration (values:
x= 356.3 y= 505.5 sz= 7.8 #ff0000   | [VISIBILIT
x= 459.6 y= 505.5 sz= 7.8 #ff0000   | [VISIBILIT
x= 242.6 y= 514.6 sz= 7.8 #ff0000   | (values:
x=  45.8 y= 516.6 sz= 7.8 #ff0000   | Brexpiprazole/Sertraline PK,
x= 356.3 y= 516.6 sz= 7.8 #ff0000   | Y: site
x= 459.6 y= 516.6 sz= 7.8 #ff0000   | Y: site
x= 242.6 y= 525.8 sz= 7.8 #ff0000   | Collected,
x=  45.8 y= 527.7 sz= 7.8 #ff0000   | Sertraline PK, Propranolol PK,
x= 356.3 y= 527.7 sz= 7.8 #ff0000   | only]
x= 459.6 y= 527.7 sz= 7.8 #ff0000   | only]
x= 242.6 y= 536.9 sz= 7.8 #ff0000   | Not
x=  45.8 y= 538.8 sz= 7.8 #ff0000   | Prazosin PK)]
x= 242.6 y= 548.0 sz= 7.8 #ff0000   | Collected)]
x=  45.8 y= 553.2 sz= 7.8 #ff0000   | [Read-only field]
x=  45.8 y= 572.8 sz= 7.8 black   B | Row 2
x= 186.4 y= 593.1 sz= 7.8 #454545   | 1h Postdose
x=  54.3 y= 597.8 sz= 9.2 #454545   | Brexpiprazole/Sertraline
x= 364.8 y= 597.8 sz= 9.2 #454545   | Scan
x= 468.1 y= 597.8 sz= 9.2 #454545   | Scan
x=  96.6 y= 610.9 sz= 9.2 #454545   | PK
x= 356.3 y= 617.9 sz= 7.8 #ff0000   | [SCANNE
x= 459.6 y= 617.9 sz= 7.8 #ff0000   | [SCANNE
x= 185.7 y= 619.2 sz= 7.8 #ff0000   | [LBTPT8]
x= 299.5 y= 619.2 sz= 7.8 #ff0000   | [LBTIM8]
x= 402.8 y= 619.2 sz= 7.8 #ff0000   | [LBREQ8]
x= 506.0 y= 619.2 sz= 7.8 #ff0000   | [LBBREQ8]
x= 356.3 y= 629.1 sz= 7.8 #ff0000   | R]
x= 459.6 y= 629.1 sz= 7.8 #ff0000   | R]
x=  64.1 y= 632.4 sz= 9.2 black     | Brexpiprazole/Sertraline PK
x= 246.5 y= 632.4 sz= 9.2 black     | Collected
x= 185.7 y= 633.6 sz= 7.8 #ff0000   | [TYPE: text]
x= 299.5 y= 633.6 sz= 7.8 #ff0000   | [TYPE:
x= 402.8 y= 633.6 sz= 7.8 #ff0000   | [TYPE: text]
x= 506.0 y= 633.6 sz= 7.8 #ff0000   | [TYPE: text]
x= 356.3 y= 643.4 sz= 7.8 #ff0000   | [TYPE:
x= 459.6 y= 643.4 sz= 7.8 #ff0000   | [TYPE:
x= 299.5 y= 644.7 sz= 7.8 #ff0000   | partialtime
x=  64.1 y= 645.5 sz= 9.2 black     | Sertraline PK
x= 246.5 y= 645.5 sz= 9.2 black     | Not
x= 185.7 y= 648.0 sz= 7.8 #ff0000   | [Read-only
x= 356.3 y= 654.5 sz= 7.8 #ff0000   | enumerati
x= 459.6 y= 654.5 sz= 7.8 #ff0000   | enumerati
x= 299.5 y= 655.9 sz= 7.8 #ff0000   | (hour,
