x= 302.1 y=  41.3 sz= 7.8 #ff0000   | [LBORRES3]
x=  45.8 y=  42.6 sz= 7.8 #ff0000   | [LBTEST3]
x= 302.1 y=  55.7 sz= 7.8 #ff0000   | [TYPE: enumeration (values: Positive, Negative, Not Done)]
x=  45.8 y=  57.0 sz= 7.8 #ff0000   | [TYPE: text]
x=  45.8 y=  71.4 sz= 7.8 #ff0000   | [Read-only field]
x=  46.5 y=  91.7 sz= 7.8 #454545   | Benzodiazepines
x= 310.6 y=  96.4 sz= 9.2 #454545   | Positive
x= 359.0 y=  96.4 sz= 9.2 #454545   | Negative
x= 411.5 y=  96.4 sz= 9.2 #454545   | Not Done
x= 302.1 y= 116.5 sz= 7.8 #ff0000   | [LBORRES3]
x=  45.8 y= 117.8 sz= 7.8 #ff0000   | [LBTEST3]
x= 302.1 y= 130.9 sz= 7.8 #ff0000   | [TYPE: enumeration (values: Positive, Negative, Not Done)]
x=  45.8 y= 132.2 sz= 7.8 #ff0000   | [TYPE: text]
x=  45.8 y= 146.6 sz= 7.8 #ff0000   | [Read-only field]
x=  46.5 y= 166.8 sz= 7.8 #454545   | Cannabinoids
x= 310.6 y= 171.5 sz= 9.2 #454545   | Positive
x= 359.0 y= 171.5 sz= 9.2 #454545   | Negative
x= 411.5 y= 171.5 sz= 9.2 #454545   | Not Done
x= 302.1 y= 191.7 sz= 7.8 #ff0000   | [LBORRES3]
x=  45.8 y= 193.0 sz= 7.8 #ff0000   | [LBTEST3]
x= 302.1 y= 206.1 sz= 7.8 #ff0000   | [TYPE: enumeration (values: Positive, Negative, Not Done)]
x=  45.8 y= 207.4 sz= 7.8 #ff0000   | [TYPE: text]
x=  45.8 y= 221.8 sz= 7.8 #ff0000   | [Read-only field]
x=  46.5 y= 242.0 sz= 7.8 #454545   | Cocaine
x= 310.6 y= 246.7 sz= 9.2 #454545   | Positive
x= 359.0 y= 246.7 sz= 9.2 #454545   | Negative
x= 411.5 y= 246.7 sz= 9.2 #454545   | Not Done
x= 302.1 y= 266.9 sz= 7.8 #ff0000   | [LBORRES3]
x=  45.8 y= 268.2 sz= 7.8 #ff0000   | [LBTEST3]
x= 302.1 y= 281.2 sz= 7.8 #ff0000   | [TYPE: enumeration (values: Positive, Negative, Not Done)]
x=  45.8 y= 282.6 sz= 7.8 #ff0000   | [TYPE: text]
x=  45.8 y= 296.9 sz= 7.8 #ff0000   | [Read-only field]
x=  46.5 y= 317.2 sz= 7.8 #454545   | Methadone
x= 310.6 y= 321.9 sz= 9.2 #454545   | Positive
x= 359.0 y= 321.9 sz= 9.2 #454545   | Negative
x= 411.5 y= 321.9 sz= 9.2 #454545   | Not Done
x= 302.1 y= 342.0 sz= 7.8 #ff0000   | [LBORRES3]
x=  45.8 y= 343.4 sz= 7.8 #ff0000   | [LBTEST3]
x= 302.1 y= 356.4 sz= 7.8 #ff0000   | [TYPE: enumeration (values: Positive, Negative, Not Done)]
x=  45.8 y= 357.7 sz= 7.8 #ff0000   | [TYPE: text]
x=  45.8 y= 372.1 sz= 7.8 #ff0000   | [Read-only field]
x=  46.5 y= 392.4 sz= 7.8 #454545   | Opiates
x= 310.6 y= 397.1 sz= 9.2 #454545   | Positive
x= 359.0 y= 397.1 sz= 9.2 #454545   | Negative
x= 411.5 y= 397.1 sz= 9.2 #454545   | Not Done
x= 302.1 y= 417.2 sz= 7.8 #ff0000   | [LBORRES3]
x=  45.8 y= 418.5 sz= 7.8 #ff0000   | [LBTEST3]
x= 302.1 y= 431.6 sz= 7.8 #ff0000   | [TYPE: enumeration (values: Positive, Negative, Not Done)]
x=  45.8 y= 432.9 sz= 7.8 #ff0000   | [TYPE: text]
x=  45.8 y= 447.3 sz= 7.8 #ff0000   | [Read-only field]
x=  46.5 y= 467.6 sz= 7.8 #454545   | Phencyclidine
x= 310.6 y= 472.3 sz= 9.2 #454545   | Positive
x= 359.0 y= 472.3 sz= 9.2 #454545   | Negative
x= 411.5 y= 472.3 sz= 9.2 #454545   | Not Done
x= 302.1 y= 492.4 sz= 7.8 #ff0000   | [LBORRES3]
x=  45.8 y= 493.7 sz= 7.8 #ff0000   | [LBTEST3]
x= 302.1 y= 506.8 sz= 7.8 #ff0000   | [TYPE: enumeration (values: Positive, Negative, Not Done)]
x=  45.8 y= 508.1 sz= 7.8 #ff0000   | [TYPE: text]
x=  45.8 y= 522.5 sz= 7.8 #ff0000   | [Read-only field]
x=  46.5 y= 542.7 sz= 7.8 #454545   | Propoxyphene
x= 310.6 y= 547.4 sz= 9.2 #454545   | Positive
x= 359.0 y= 547.4 sz= 9.2 #454545   | Negative
x= 411.5 y= 547.4 sz= 9.2 #454545   | Not Done
x= 302.1 y= 567.6 sz= 7.8 #ff0000   | [LBORRES3]
x=  45.8 y= 568.9 sz= 7.8 #ff0000   | [LBTEST3]
x= 302.1 y= 582.0 sz= 7.8 #ff0000   | [TYPE: enumeration (values: Positive, Negative, Not Done)]
x=  45.8 y= 583.3 sz= 7.8 #ff0000   | [TYPE: text]
x=  45.8 y= 597.7 sz= 7.8 #ff0000   | [Read-only field]
