form_name,field_name,page
Visit Date,Visit Date,19
Informed Consent,ICF Version Date,20
Informed Consent,Protocol Version for Consent,20
Informed Consent,Original Version,20
Informed Consent,Amendment 1,20
Informed Consent,Amendment 2,20
Informed Consent,Amendment 3,20
Informed Consent,Amendment 4,20
Informed Consent,Amendment 5,20
Informed Consent,Amendment 6,20
Informed Consent,Amendment 7,20
Informed Consent,Amendment 8,20
Informed Consent,Amendment 9,20
Informed Consent,Amendment 10,20
Informed Consent,"Amendment 7, Amendment 8, Amendment 9, Amendment 10)]",20
Informed Consent,Consent Obtained?,20
Informed Consent,Date of Consent,20
Informed Consent,Time of Consent,20
Informed Consent,Was a signed copy of the Informed Consent given to the subject for his/her records?,20
Informed Consent,Was Informed Consent signed prior to any study procedures being performed?,20
Informed Consent,ICF Verification,21
Informed Consent,ICF was reviewed and verified and the original ICF has been filed in with subject's source documents,21
Informed Consent,Signed by,21
Informed Consent,Clinician Consent Sign Date,21
Informed Consent,Clinician Consent Sign Time,21
Informed Consent,Subject Consent Sign Date UTC,21
Informed Consent,Clinician Consent Sign Date UTC,21
FBR Consent,Future Biospecimen Research consent,22
FBR Consent,Protocol Version for Consent,22
FBR Consent,Original Version,22
FBR Consent,Amendment 1,22
FBR Consent,Amendment 2,22
FBR Consent,Amendment 3,22
FBR Consent,Amendment 4,22
FBR Consent,Amendment 5,22
FBR Consent,Amendment 6,22
FBR Consent,Amendment 7,22
FBR Consent,Amendment 8,22
FBR Consent,Amendment 9,22
FBR Consent,Amendment 10,22
FBR Consent,"Amendment 7, Amendment 8, Amendment 9, Amendment 10)]",22
FBR Consent,Consent Obtained?,22
FBR Consent,Date of Consent,22
FBR Consent,Time of Consent,22
FBR Consent,Was a signed copy of the FBR consent given to the subject for his/her records?,22
FBR Consent,Signed by,22
Demography,Date of Birth,24
Demography,Age (Derived),24
Demography,Address,24
Demography,What is the sex of the subject at the time of birth?,24
Demography,Subject currently identifies as,24
Demography,Transgender Man,24
Demography,Transgender Woman,24
Demography,Gender Non-Conforming,24
Demography,None of the above,24
Demography,Prefer not to answer,24
Demography,to answer)],24
Demography,"If None of the above, Specify",24
Demography,Race,25
Demography,American Indian or Alaska Native,25
Demography,Asian,25
Demography,Black or African American,25
Demography,Native Hawaiian or Other Pacific Islander,25
Demography,White,25
Demography,"White, Other)]",25
Demography,Specify other race,25
Demography,Ethnicity,25
Demography,Hispanic or Latino,25
Demography,Not Hispanic or Latino,25
Demography,Unknown,25
Demography,Specify other ethnicity,25
Demography,Was the subject re-screened?,25
Demography,Prior screened number,25
Reproductive Status - Female,Date of Last Menstrual Cycle (All Females),26
Reproductive Status - Female,Years Since Last Cycle,26
Reproductive Status - Female,Is this subject of childbearing potential?,26
Reproductive Status - Female,"hysterectomy, or who have been postmenopausal for at least 12 months confirmed by FSH).",26
Reproductive Status - Female,Not of Childbearing Potential,26
Reproductive Status - Female,Post Menopausal?,26
Reproductive Status - Female,(for at least 12 months (1 year) prior to screening),26
Reproductive Status - Female,Surgically Sterile? (please add to Surgeries and Medical Procedures log),26
Reproductive Status - Female,Hysterectomy,26
Reproductive Status - Female,Bilateral Oophorectomy,26
Reproductive Status - Female,Bilateral Tubal Ligation,26
Reproductive Status - Female,Of Childbearing Potential,26
Reproductive Status - Female,Sexually Active?,27
Reproductive Status - Female,after the last dose of IMP?- mark the selected methods below,27
Reproductive Status - Female,Vasectomy,27
Reproductive Status - Female,Tubal ligation,27
Reproductive Status - Female,Nonhormonal intrauterine device,27
Reproductive Status - Female,Condom with spermicide,27
Reproductive Status - Female,Sponge with spermicide,27
Reproductive Status - Female,Occlusive cap (vaginal diaphragm or cervical/vault cap) with spermicide,27
Reproductive Status - Female,"If no, reason not transcribed to medical history",27
Reproductive Status - Male,Not of Childbearing Potential,29
Reproductive Status - Male,Surgically Sterile(bilateral orchidectomy)? (please add to Surgeries and Medical Procedures log),29
Reproductive Status - Male,Of Childbearing Potential,29
Reproductive Status - Male,Sexually Active?,29
Reproductive Status - Male,dose of IMP?- mark the selected methods below **,29
Reproductive Status - Male,Vasectomy,29
Reproductive Status - Male,Tubal ligation,29
Reproductive Status - Male,Intrauterine device,29
Reproductive Status - Male,Birth control pills,29
Reproductive Status - Male,Birth control implant,30
Reproductive Status - Male,Birth control depot injection,30
Reproductive Status - Male,Condom with spermicide,30
Reproductive Status - Male,Sponge with spermicide,30
Reproductive Status - Male,Occlusive cap (vaginal diaphragm or cervical/vault cap) with spermicide,30
Reproductive Status - Male,"If no, reason not transcribed to medical history",30
Medical/Psychiatric History,Has the subject experienced any past and/or concomitant diseases?,31
Medical/Psychiatric History,"Please, report surgeries on the ""Surgeries and Medical procedures"" log",31
Medical/Psychiatric History,Record,31
Medical/Psychiatric History,Term,31
Medical/Psychiatric History,Start Date,31
Medical/Psychiatric History,Ongoing?,31
Medical/Psychiatric History,End Date,31
Medical/Psychiatric History,Medical or Psychiatric History Term,31
Medical/Psychiatric History,Category of Medical or Psychiatric History Term,31
Medical/Psychiatric History,Is the Medical or Psychiatric History Disease/Condition or Event Still Ongoing?,31
Medical/Psychiatric History,Medication Taken?,31
Body Temperature and Respiratory Rate,Were Vital Signs Collected?,32
Body Temperature and Respiratory Rate,"If not collected, reason:",32
Body Temperature and Respiratory Rate,Collection Date,32
Body Temperature and Respiratory Rate,Planned Timepoint,32
Body Temperature and Respiratory Rate,1h postdose,32
Body Temperature and Respiratory Rate,1.5h postdose,32
Body Temperature and Respiratory Rate,2h postdose,32
Body Temperature and Respiratory Rate,2.5h postdose,32
Body Temperature and Respiratory Rate,3h postdose,32
Body Temperature and Respiratory Rate,4h postdose,32
Body Temperature and Respiratory Rate,6h postdose,32
Body Temperature and Respiratory Rate,8h postdose,32
Body Temperature and Respiratory Rate,8h postdose)],32
Body Temperature and Respiratory Rate,Respiratory Rate (breaths/min),32
Body Temperature and Respiratory Rate,Body Temperature (celsius),32
Triplicate Orthostatic BP and HR - Central,Were Vital Signs Collected?,33
Triplicate Orthostatic BP and HR - Central,"If not collected, reason:",33
Triplicate Orthostatic BP and HR - Central,Collection Date,33
Triplicate Orthostatic BP and HR - Central,Planned Timepoint,33
Triplicate Orthostatic BP and HR - Central,1h postdose,33
Triplicate Orthostatic BP and HR - Central,1.5h postdose,33
Triplicate Orthostatic BP and HR - Central,2h postdose,33
Triplicate Orthostatic BP and HR - Central,2.5h postdose,33
Triplicate Orthostatic BP and HR - Central,3h postdose,33
Triplicate Orthostatic BP and HR - Central,4h postdose,33
Triplicate Orthostatic BP and HR - Central,6h postdose,33
Triplicate Orthostatic BP and HR - Central,8h postdose,33
Triplicate Orthostatic BP and HR - Central,8h postdose)],33
Triplicate Orthostatic BP and HR - Central,position for 3 minutes.,33
Triplicate Orthostatic BP and HR - Central,Time Placed in Position,33
Standing,Time Placed in Position,34
Standing,Time of Vitals Measurement #3,34
Height and Weight,Were Body Measurements Collected?,35
Height and Weight,"If not collected, reason:",35
Height and Weight,Collection Date,35
Height and Weight,Weigh subject without shoes or jacket. Obtain Height without subject’s shoes.,35
Height and Weight,Weight,35
Height and Weight,Weight Unit,35
Height and Weight,Height,35
Height and Weight,Height Unit,35
Height and Weight,BMI,35
Height and Weight,BMI Unit,35
Physical Exam,Was the physical examination performed?,36
Physical Exam,Planned Timepoint,36
Physical Exam,Examination Date,36
Physical Exam,Examination Time,36
Physical Exam,Evaluator,36
Physical Exam,Region/Body System,36
Physical Exam,Result,36
Physical Exam,Abnormal Findings,36
Physical Exam,Clinically Significant,36
Physical Exam,HEENT,36
Physical Exam,Normal,36
Physical Exam,Abnormal,36
Physical Exam,Not Done,36
Physical Exam,Thorax,36
Physical Exam,Abdomen,36
Physical Exam,Skin and Mucosae,37
Physical Exam,Normal,37
Physical Exam,Abnormal,37
Physical Exam,Not Done,37
Physical Exam,Neurological,37
Physical Exam,Extremities,37
Triplicate ECG Assessments,Were ECG measurements performed?,38
Triplicate ECG Assessments,"If no, Reason not done",38
Triplicate ECG Assessments,Date of ECG,38
Triplicate ECG Assessments,Timepoint,38
Triplicate ECG Assessments,4h Postdose,38
Triplicate ECG Assessments,Discharge,38
Triplicate ECG Assessments,Time subject became supine:,38
Triplicate ECG Assessments,Time of ECG assessment # 1:,38
Triplicate ECG Assessments,Time of ECG assessment # 2:,38
Triplicate ECG Assessments,Time of ECG assessment # 3:,38
Triplicate ECG Assessments,Overall ECG interpretation,39
Triplicate ECG Assessments,Normal,39
Triplicate ECG Assessments,Abnormal,39
Triplicate ECG Assessments,Not Evaluable,39
Triplicate ECG Assessments,Abnormal Findings,39
Triplicate ECG Assessments,Was the ECG abnormality clinically significant?,39
Triplicate ECG Assessments,Are additional ECG assessments required?,39
Serology,Timepoint,40
Serology,Comments,40
Serology,Sample,40
Serology,Status,40
Serology,Reason not,40
Serology,Date of Collection,40
Serology,Time of,40
Serology,Barcode,40
Serology,done,40
Serology,Collection,40
Serology,Number,40
Serology,HIV,40
Serology,HBsAg,40
Serology,Anti-HCV,40
Glycated Hemoglobin,Was Blood sample Collected for Glycated Hemoglobin?,42
Glycated Hemoglobin,Reason not done,42
Glycated Hemoglobin,Sample,42
Glycated Hemoglobin,Date of Collection,42
Glycated Hemoglobin,Time of Collection,42
Glycated Hemoglobin,Barcode Number,42
Glycated Hemoglobin,Glycated Hemoglobin,42
Clinical Laboratory Assessments,Timepoint,43
Clinical Laboratory Assessments,Comments,43
Clinical Laboratory Assessments,Was subject in fasting state?,43
Clinical Laboratory Assessments,NA,43
Clinical Laboratory Assessments,Sample,43
Clinical Laboratory Assessments,Status,43
Clinical Laboratory Assessments,Reason not,43
Clinical Laboratory Assessments,Date of Collection,43
Clinical Laboratory Assessments,Time of,43
Clinical Laboratory Assessments,Barcode,43
Clinical Laboratory Assessments,done,43
Clinical Laboratory Assessments,Collection,43
Clinical Laboratory Assessments,Number,43
Clinical Laboratory Assessments,Hematology,43
Clinical Laboratory Assessments,Chemistry,43
Clinical Laboratory Assessments,Urinalysis,44
Laboratory results review,Laboratory collection date,45
Laboratory results review,Laboratory results review date,45
Laboratory results review,Were there any clinically significant abnormal results?,45
Laboratory results review,Were there any clinically significant abnormal chemistry results?,45
Laboratory results review,"If Yes, please add to Adverse Events form",45
Laboratory results review,Chemistry clinically significant abnormal assay # 1:,46
Laboratory results review,Albumin,46
Laboratory results review,Alkaline phosphatase,46
Laboratory results review,ALT,46
Laboratory results review,AST,46
Laboratory results review,Calcium,46
Laboratory results review,Carbon dioxide,46
Laboratory results review,Chloride,46
Laboratory results review,Cholesterol (total,46
Laboratory results review,low density lipoprotein;and; high density lipoprotein),46
Laboratory results review,Creatine phosphokinase,46
Laboratory results review,Creatinine,46
Laboratory results review,Gamma glutamyl transferase,46
Laboratory results review,Glucose,46
Laboratory results review,Lactate dehydrogenase,46
Laboratory results review,Magnesium,46
Laboratory results review,Phosphorus,46
Laboratory results review,Potassium,46
Laboratory results review,Prolactin,46
Laboratory results review,Total bilirubin,46
Laboratory results review,Total protein,46
Laboratory results review,Triglycerides,46
Laboratory results review,Sodium,46
Laboratory results review,Urea nitrogen,46
Laboratory results review,Uric acid,46
Laboratory results review,Chemistry abnormal assay # 1 Investigator comment,46
Laboratory results review,Chemistry clinically significant abnormal assay # 2,47
Laboratory results review,Albumin,47
Laboratory results review,Alkaline phosphatase,47
Laboratory results review,ALT,47
Laboratory results review,AST,47
Laboratory results review,Calcium,47
Laboratory results review,Carbon dioxide,47
Laboratory results review,Chloride,47
Laboratory results review,Cholesterol (total,47
Laboratory results review,low density lipoprotein;and; high density lipoprotein),47
Laboratory results review,Creatine phosphokinase,47
Laboratory results review,Creatinine,47
Laboratory results review,Gamma glutamyl transferase,47
Laboratory results review,Glucose,47
Laboratory results review,Lactate dehydrogenase,47
Laboratory results review,Magnesium,47
Laboratory results review,Phosphorus,47
Laboratory results review,Potassium,47
Laboratory results review,Prolactin,47
Laboratory results review,Total bilirubin,47
Laboratory results review,Total protein,47
Laboratory results review,Triglycerides,47
Laboratory results review,Sodium,47
Laboratory results review,Urea nitrogen,47
Laboratory results review,Uric acid,47
Laboratory results review,Chemistry abnormal assay # 2 Investigator comment,47
Laboratory results review,Chemistry clinically significant abnormal assay # 3,48
Laboratory results review,Albumin,48
Laboratory results review,Alkaline phosphatase,48
Laboratory results review,ALT,48
Laboratory results review,AST,48
Laboratory results review,Calcium,48
Laboratory results review,Carbon dioxide,48
Laboratory results review,Chloride,48
Laboratory results review,Cholesterol (total,48
Laboratory results review,low density lipoprotein;and; high density lipoprotein),48
Laboratory results review,Creatine phosphokinase,48
Laboratory results review,Creatinine,48
Laboratory results review,Gamma glutamyl transferase,48
Laboratory results review,Glucose,48
Laboratory results review,Lactate dehydrogenase,48
Laboratory results review,Magnesium,48
Laboratory results review,Phosphorus,48
Laboratory results review,Potassium,48
Laboratory results review,Prolactin,48
Laboratory results review,Total bilirubin,48
Laboratory results review,Total protein,48
Laboratory results review,Triglycerides,48
Laboratory results review,Sodium,48
Laboratory results review,Urea nitrogen,48
Laboratory results review,Uric acid,48
Laboratory results review,Chemistry abnormal assay # 3 Investigator comment,48
Laboratory results review,Chemistry clinically significant abnormal assay # 4,49
Laboratory results review,Albumin,49
Laboratory results review,Alkaline phosphatase,49
Laboratory results review,ALT,49
Laboratory results review,AST,49
Laboratory results review,Calcium,49
Laboratory results review,Carbon dioxide,49
Laboratory results review,Chloride,49
Laboratory results review,Cholesterol (total,49
Laboratory results review,low density lipoprotein;and; high density lipoprotein),49
Laboratory results review,Creatine phosphokinase,49
Laboratory results review,Creatinine,49
Laboratory results review,Gamma glutamyl transferase,49
Laboratory results review,Glucose,49
Laboratory results review,Lactate dehydrogenase,49
Laboratory results review,Magnesium,49
Laboratory results review,Phosphorus,49
Laboratory results review,Potassium,49
Laboratory results review,Prolactin,49
Laboratory results review,Total bilirubin,49
Laboratory results review,Total protein,49
