form_name,field_name,page
Visit Date,Visit Date,19
Informed Consent,ICF Version Date,20
Informed Consent,Consent Obtained?,20
Informed Consent,Date of Consent,20
Informed Consent,Time of Consent,20
Informed Consent,Was a signed copy of the Informed Consent given to the subject for his/her records?,20
Informed Consent,Was Informed Consent signed prior to any study procedures being performed?,20
Informed Consent,ICF was reviewed and verified and the original ICF has been filed in with subject's source documents,21
Informed Consent,Signed by,21
Informed Consent,Clinician Consent Sign Date,21
Informed Consent,Clinician Consent Sign Time,21
Informed Consent,Subject Consent Sign Date UTC,21
Informed Consent,Clinician Consent Sign Date UTC,21
FBR Consent,Consent Obtained?,22
FBR Consent,Date of Consent,22
FBR Consent,Time of Consent,22
FBR Consent,Was a signed copy of the FBR consent given to the subject for his/her records?,22
FBR Consent,Signed by,22
Demography,Date of Birth,24
Demography,Age (Derived),24
Demography,Address,24
Demography,What is the sex of the subject at the time of birth?,24
Demography,"If None of the above, Specify",24
Demography,Other,25
Demography,Specify other race,25
Demography,Ethnicity,25
Demography,Specify other ethnicity,25
Demography,Was the subject re-screened?,25
Demography,Prior screened number,25
Reproductive Status - Female,Date of Last Menstrual Cycle (All Females),26
Reproductive Status - Female,Years Since Last Cycle,26
Reproductive Status - Female,"Is this subject of childbearing potential? Note: Women of non-childbearing potential are defined as women who are documented as sterile (eg, have had a bilateral oophorectomy, or hysterectomy, or who have been postmenopausal for at least 12 months confirmed by FSH).",26
Reproductive Status - Female,Post Menopausal? (for at least 12 months (1 year) prior to screening),26
Reproductive Status - Female,Surgically Sterile? (please add to Surgeries and Medical Procedures log),26
Reproductive Status - Female,Abstinence (must remain abstinent from the time of screening until at least 90 days after the last dose of study drug),26
Reproductive Status - Female,Sexually Active?,27
Reproductive Status - Female,If sexually active does the subject commit to utilizing 2 different approved methods of birth control during the trial and for 30 days after the last dose of IMP?- mark the selected methods below,27
Reproductive Status - Female,Vasectomy,27
Reproductive Status - Female,Tubal ligation,27
Reproductive Status - Female,Nonhormonal intrauterine device,27
Reproductive Status - Female,Condom with spermicide,27
Reproductive Status - Female,Sponge with spermicide,27
Reproductive Status - Female,Occlusive cap (vaginal diaphragm or cervical/vault cap) with spermicide,27
Reproductive Status - Female,Has any applicable reproductive status and/or medications been transcribed to the Medical History Page and/or Con Med Page?,27
Reproductive Status - Female,"If no, reason not transcribed to medical history",27
Reproductive Status - Male,Surgically Sterile(bilateral orchidectomy)? (please add to Surgeries and Medical Procedures log),29
Reproductive Status - Male,Abstinence (must remain abstinent from the time of screening until at least 180 days after the last dose of study drug),29
Reproductive Status - Male,Sexually Active?,29
Reproductive Status - Male,**If sexually active does the subject commit to utilizing 2 different approved methods of birth control during the trial and for 90 days after the last dose of IMP?- mark the selected methods below **,29
Reproductive Status - Male,Vasectomy,29
Reproductive Status - Male,Tubal ligation,29
Reproductive Status - Male,Intrauterine device,29
Reproductive Status - Male,Birth control pills,29
Reproductive Status - Male,Birth control implant,30
Reproductive Status - Male,Birth control depot injection,30
Reproductive Status - Male,Condom with spermicide,30
Reproductive Status - Male,Sponge with spermicide,30
Reproductive Status - Male,Occlusive cap (vaginal diaphragm or cervical/vault cap) with spermicide,30
Reproductive Status - Male,Does the subject agree to refrain from sperm donation from the screening visit through 30 days after the last dose of IMP?,30
Reproductive Status - Male,Has any applicable reproductive status and/or medications been transcribed to the Medical History Page and/or Con Med Page?,30
Reproductive Status - Male,"If no, reason not transcribed to medical history",30
Medical/Psychiatric History,Has the subject experienced any past and/or concomitant diseases?,31
Medical/Psychiatric History,Record,31
Medical/Psychiatric History,Medical or Psychiatric History Term,31
Medical/Psychiatric History,Category of Medical or Psychiatric History Term,31
Medical/Psychiatric History,Start Date,31
Medical/Psychiatric History,Is the Medical or Psychiatric History Disease/Condition or Event Still Ongoing?,31
Medical/Psychiatric History,End Date,31
Medical/Psychiatric History,Medication Taken?,31
Body Temperature and Respiratory Rate,Were Vital Signs Collected?,32
Body Temperature and Respiratory Rate,"If not collected, reason:",32
Body Temperature and Respiratory Rate,Collection Date,32
Body Temperature and Respiratory Rate,Respiratory Rate (breaths/min),32
Body Temperature and Respiratory Rate,Body Temperature (celsius),32
Triplicate Orthostatic BP and HR - Central,Were Vital Signs Collected?,33
Triplicate Orthostatic BP and HR - Central,"If not collected, reason:",33
Triplicate Orthostatic BP and HR - Central,Collection Date,33
Triplicate Orthostatic BP and HR - Central,Time Placed in Position,33
Standing,Time Placed in Position,34
Standing,Time of Vitals Measurement #3,34
Height and Weight,Were Body Measurements Collected?,35
Height and Weight,"If not collected, reason:",35
Height and Weight,Collection Date,35
Height and Weight,Weight,35
Height and Weight,Weight Unit,35
Height and Weight,Height,35
Height and Weight,Height Unit,35
Height and Weight,BMI,35
Height and Weight,BMI Unit,35
Physical Exam,Was the physical examination performed?,36
Physical Exam,Planned Timepoint,36
Physical Exam,Examination Date,36
Physical Exam,Examination Time,36
Physical Exam,Evaluator,36
Physical Exam,Clinically Significant,36
Physical Exam,Region/Body System,36
Physical Exam,Abnormal Findings,36
Physical Exam,Result,36
Physical Exam,Normal Abnormal Not Done,36
Physical Exam,Skin and Mucosae,37
Physical Exam,Neurological,37
Physical Exam,Extremities,37
Physical Exam,Abnormal,37
Triplicate ECG Assessments,Were ECG measurements performed?,38
Triplicate ECG Assessments,"If no, Reason not done",38
Triplicate ECG Assessments,Date of ECG,38
Triplicate ECG Assessments,Timepoint,38
Triplicate ECG Assessments,Time subject became supine:,38
Triplicate ECG Assessments,Time of ECG assessment # 1:,38
Triplicate ECG Assessments,Time of ECG assessment # 2:,38
Triplicate ECG Assessments,Time of ECG assessment # 3:,38
Triplicate ECG Assessments,Overall ECG interpretation,39
Triplicate ECG Assessments,Abnormal Findings,39
Triplicate ECG Assessments,Was the ECG abnormality clinically significant?,39
Triplicate ECG Assessments,Are additional ECG assessments required?,39
Serology,Timepoint,40
Serology,Comments,40
Serology,Sample,40
Serology,done,40
Serology,Date of Collection,40
Serology,Collection,40
Serology,Number,40
Serology,Status,40
Glycated Hemoglobin,Sample Glycated Hemoglobin,42
Glycated Hemoglobin,Reason not done,42
Glycated Hemoglobin,Y: site,42
Clinical Laboratory Assessments,Timepoint,43
Clinical Laboratory Assessments,Comments,43
Clinical Laboratory Assessments,Was subject in fasting state?,43
Clinical Laboratory Assessments,Sample,43
Clinical Laboratory Assessments,done,43
Clinical Laboratory Assessments,Date of Collection,43
Clinical Laboratory Assessments,Collection,43
Clinical Laboratory Assessments,Number,43
Clinical Laboratory Assessments,Status,43
Laboratory results review,Laboratory collection date,45
Laboratory results review,Laboratory results review date,45
Laboratory results review,Has the investigator reviewed all laboratory results from this visit and assessed abnormal results clinical significance?,45
Laboratory results review,Were there any clinically significant abnormal results?,45
Laboratory results review,Were there any clinically significant abnormal chemistry results?,45
Laboratory results review,Chemistry abnormal assay # 1 Investigator comment,46
Laboratory results review,Chemistry abnormal assay # 2 Investigator comment,47
Laboratory results review,Chemistry abnormal assay # 3 Investigator comment,48
Laboratory results review,Chemistry abnormal assay # 4 Investigator comment,49
Laboratory results review,Chemistry abnormal assay # 5 Investigator comment,50
Laboratory results review,Are there any additional clinically significant abnormal chemistry results to be entered?,50
Laboratory results review,Were there any clinically significant abnormal hematology results?,51
Laboratory results review,Hematology abnormal assay # 1 Investigator comment,51
Laboratory results review,Hematology abnormal assay # 2 Investigator comment,51
Laboratory results review,Hematology abnormal assay # 3 Investigator comment,52
Laboratory results review,Hematology abnormal assay # 4 Investigator comment,52
Laboratory results review,Hematology abnormal assay # 5 Investigator comment,53
Laboratory results review,Are there any clinically significant abnormal hematology results to be entered?,53
Laboratory results review,Were there any clinically significant abnormal urinalysis results?,53
Laboratory results review,Microscopic analysis if indicated,54
Laboratory results review,Urinalysis abnormal assay # 1 Investigator comment,54
Laboratory results review,Microscopic analysis if indicated,55
Laboratory results review,Urinalysis abnormal assay # 2 Investigator comment,55
Laboratory results review,Microscopic analysis if indicated,56
Laboratory results review,Urinalysis abnormal assay # 3 Investigator comment,56
Laboratory results review,Microscopic analysis if indicated,57
Laboratory results review,Urinalysis abnormal assay # 4 Investigator comment,57
Laboratory results review,Microscopic analysis if indicated,58
Laboratory results review,Urinalysis abnormal assay # 5 Investigator comment,58
Laboratory results review,Are there additional urinalysis clinically significant abnormal results to be entered?,58
Laboratory results review,Investigator`s signature for Local Laboratory Results Review,58
FSH Blood Sample,Timepoint,59
FSH Blood Sample,Comments,59
FSH Blood Sample,Sample,59
FSH Blood Sample,done,59
FSH Blood Sample,Date of Collection,59
FSH Blood Sample,Collection,59
FSH Blood Sample,Number,59
FSH Blood Sample,Status,59
Pregnancy test,Was a Pregnancy Test Performed?,60
Pregnancy test,If not done reason,60
Pregnancy test,Type of pregnancy test,60
Pregnancy test,Barcode Number,60
Pregnancy test,Kit Expiration Date,60
Pregnancy test,Kit Batch Number,60
Pregnancy test,Date of Sample,60
Pregnancy test,Time of Sample,60
Pregnancy test,Result,60
Tobacco Use,Substance Use Category,61
Tobacco Use,Substance Type,61
Tobacco Use,Usage Start Date,61
Tobacco Use,Usage Stop Date,61
Tobacco Use,Amount,61
Tobacco Use,Per Week,61
Tobacco Use,Never,61
Tobacco Use,Cartridge None,61
Alcohol Use,Substance Use Category,63
Alcohol Use,Substance Type,63
Alcohol Use,Usage Start Date,63
Alcohol Use,Usage Stop Date,63
Alcohol Use,Amount,63
Alcohol Use,Per Week,63
Alcohol Use,Never,63
Alcohol Use,Cup,63
Alcohol Screen - Urine or Breath,Was Test Performed?,64
Alcohol Screen - Urine or Breath,Sample Type,64
Alcohol Screen - Urine or Breath,"If no, Reason Not Done",64
Alcohol Screen - Urine or Breath,Date of Test,64
Alcohol Screen - Urine or Breath,Time of Test,64
Alcohol Screen - Urine or Breath,Result,64
Alcohol Screen - Urine or Breath,Was a Repeat test performed?,64
Alcohol Screen - Urine or Breath,Time of Repeat Test,64
Alcohol Screen - Urine or Breath,Result of Repeat Test,65
Urine Drug Screen,Amphetamines,66
Urine Drug Screen,Was Urine Drug Screen Performed?,66
Urine Drug Screen,If not done reason,66
Urine Drug Screen,Manufacturer,66
Urine Drug Screen,Item #,66
Urine Drug Screen,Lot,66
Urine Drug Screen,Expiration Date,66
Urine Drug Screen,Date of Sample,66
Urine Drug Screen,Time of Sample,66
Cotinine Screen,Was Cotinine Screen Performed?,68
Cotinine Screen,If not done reason,68
Cotinine Screen,Sample Type,68
Cotinine Screen,Manufacturer,68
Cotinine Screen,Item #,68
Cotinine Screen,Lot,68
Cotinine Screen,Expiration Date,68
Cotinine Screen,Date of Sample,68
Cotinine Screen,Time of Sample,68
C-SSRS - Screening/Baseline - Page 1,Have you wished you were dead or wished you could go to sleep and not wake,71
C-SSRS - Screening/Baseline - Page 1,"methods,intent or plan during the assessment period.",71
C-SSRS - Screening/Baseline - Page 1,Was the Questionnaire Administered?,71
C-SSRS - Screening/Baseline - Page 1,Date of completion,71
C-SSRS - Screening/Baseline - Page 1,Rater's initials,71
C-SSRS - Screening/Baseline - Page 1,"If Yes, describe",71
C-SSRS - Screening/Baseline - Page 1,Have you actually had any thoughts of killing yourself?,72
C-SSRS - Screening/Baseline - Page 1,3. Active suicidal ideation with any methods (not plan) without intent to act,72
C-SSRS - Screening/Baseline - Page 1,Have you been thinking about how you might do this?,72
C-SSRS - Screening/Baseline - Page 1,"4. Active suicidal ideation with some intent to act, without specific plan",72
C-SSRS - Screening/Baseline - Page 1,Have you had these thoughts and had some intention of acting on them?,72
C-SSRS - Screening/Baseline - Page 1,5. Active suicidal ideation with specific plan and intent,72
enumeration,Row 15,73
C-SSRS - Screening/Baseline - Page 2,Lifetime,74
C-SSRS - Screening/Baseline - Page 2,Past 3 Month,74
C-SSRS - Screening/Baseline - Page 2,Row 2 - Lifetime,74
C-SSRS - Screening/Baseline - Page 2,Row 2 - Past 3 Month,74
C-SSRS - Screening/Baseline - Page 2,to control thoughts,75
C-SSRS - Screening/Baseline - Page 2,(0) Does not apply,76
C-SSRS - Screening/Baseline - Page 2,(0) Does not apply,77
C-SSRS - Screening/Baseline - Page 2,with the pain or how you were feeling) (0) Does not apply,77
C-SSRS - Screening/Baseline - Page 3,act. Behaviour was in part thought of as method to kill oneself. Intent does not have to,78
C-SSRS - Screening/Baseline - Page 3,Yes No,78
C-SSRS - Screening/Baseline - Page 3,"If Yes, describe",78
C-SSRS - Screening/Baseline - Page 3,"potentially self-injurious act (if not for that, actual attempt would have occurred).",79
C-SSRS - Screening/Baseline - Page 3,themselves before they actually have engaged in any self destructive behaviour.,79
C-SSRS - Screening/Baseline - Page 3,"If Yes, Total number of aborted attempts",79
C-SSRS - Screening/Baseline - Page 3,"If Yes, describe",79
C-SSRS - Screening/Baseline - Page 3,anything beyond a verbalization or thought such as assembling a specific method,80
C-SSRS - Screening/Baseline - Page 3,Yes No,80
C-SSRS - Screening/Baseline - Page 3,"If Yes, describe",80
C-SSRS - Screening/Baseline - Page 4,Row 1 - Most Recent Attempt,81
C-SSRS - Screening/Baseline - Page 4,Row 1 - Most Lethal Attempt,81
C-SSRS - Screening/Baseline - Page 4,Row 1 - Initial/First Attempt,81
C-SSRS - Screening/Baseline - Page 4,Row 2 - Most Recent Attempt,81
C-SSRS - Screening/Baseline - Page 4,Row 2 - Most Lethal Attempt,81
C-SSRS - Screening/Baseline - Page 4,Row 2 - Initial/First Attempt,81
C-SSRS - Screening/Baseline - Page 4,Row 3 - Most Recent Attempt,81
C-SSRS - Screening/Baseline - Page 4,Row 3 - Most Lethal Attempt,81
C-SSRS - Screening/Baseline - Page 4,Row 3 - Initial/First Attempt,81
AE and CM prompt,Has the subject had any changes to their health since previous visit?,82
AE and CM prompt,Are there any changes in concomitant medications including dose changes to be reported?,82
