form_name,field_name,page
Prior and Concomitant Medications Surgeries and medical procedures,Visit Date,19
Informed Consent,ICF Version Date,20
Informed Consent,Amendment 10,20
Informed Consent,Consent Obtained?,20
Informed Consent,Was a signed copy of the Informed Consent given to the subject for his/her records?,20
Informed Consent,Was Informed Consent signed prior to any study procedures being performed?,20
ICF Verification,ICF was reviewed and verified and the original ICF has been filed in with subject's source documents,21
ICF Verification,Clinician Consent Sign Date,21
ICF Verification,Clinician Consent Sign Time,21
ICF Verification,Subject Consent Sign Date UTC,21
ICF Verification,Clinician Consent Sign Date UTC,21
FBR Consent,Amendment 10,22
FBR Consent,Consent Obtained?,22
FBR Consent,Was a signed copy of the FBR consent given to the subject for his/her records?,22
FBR Consent,Signed by,22
Demography,Date of Birth,24
Demography,What is the sex of the subject at the time of birth?,24
Demography,Prefer not to answer,24
Demography,"If None of the above, Specify",24
American Indian or Alaska Native,Other,25
American Indian or Alaska Native,Specify other race,25
American Indian or Alaska Native,Ethnicity,25
American Indian or Alaska Native,Was the subject re-screened?,25
American Indian or Alaska Native,Prior screened number,25
Reproductive Status - Female,Date of Last Menstrual Cycle (All Females),26
Reproductive Status - Female,Years Since Last Cycle,26
Reproductive Status - Female,"Is this subject of childbearing potential? Note: Women of non-childbearing potential are defined as women who are documented as sterile (eg, have had a bilateral oophorectomy, or hysterectomy, or who have been postmenopausal for at least 12 months confirmed by FSH).",26
Reproductive Status - Female,Post Menopausal? (for at least 12 months (1 year) prior to screening),26
Reproductive Status - Female,Surgically Sterile? (please add to Surgeries and Medical Procedures log),26
Reproductive Status - Female,Abstinence (must remain abstinent from the time of screening until at least 90 days after the last dose of study drug),26
Yes,Sexually Active?,27
Yes,If sexually active does the subject commit to utilizing 2 different approved methods of birth control during the trial and for 30 days after the last dose of IMP?- mark the selected methods below,27
Yes,Occlusive cap (vaginal diaphragm or cervical/vault cap) with spermicide,27
Yes,Has any applicable reproductive status and/or medications been transcribed to the Medical History Page and/or Con Med Page?,27
Yes,"If no, reason not transcribed to medical history",27
Reproductive Status - Male,Surgically Sterile(bilateral orchidectomy)? (please add to Surgeries and Medical Procedures log),29
Reproductive Status - Male,Abstinence (must remain abstinent from the time of screening until at least 180 days after the last dose of study drug),29
Reproductive Status - Male,Sexually Active?,29
Reproductive Status - Male,**If sexually active does the subject commit to utilizing 2 different approved methods of birth control during the trial and for 90 days after the last dose of IMP?- mark the selected methods below **,29
Reproductive Status - Male,Birth control pills,29
Reproductive Status - Male,Birth control implant,30
Reproductive Status - Male,Birth control depot injection,30
Reproductive Status - Male,Occlusive cap (vaginal diaphragm or cervical/vault cap) with spermicide,30
Reproductive Status - Male,Does the subject agree to refrain from sperm donation from the screening visit through 30 days after the last dose of IMP?,30
Reproductive Status - Male,Has any applicable reproductive status and/or medications been transcribed to the Medical History Page and/or Con Med Page?,30
Reproductive Status - Male,"If no, reason not transcribed to medical history",30
Medical/Psychiatric History,Has the subject experienced any past and/or concomitant diseases?,31
Medical/Psychiatric History,Record,31
Medical/Psychiatric History,Medical or Psychiatric History Term,31
Medical/Psychiatric History,Category of Medical or Psychiatric History Term,31
Medical/Psychiatric History,Is the Medical or Psychiatric History Disease/Condition or Event Still Ongoing?,31
Medical/Psychiatric History,Medication Taken?,31
Body Temperature and Respiratory Rate,Were Vital Signs Collected?,32
Body Temperature and Respiratory Rate,"If not collected, reason:",32
Body Temperature and Respiratory Rate,Collection Date,32
Body Temperature and Respiratory Rate,Body Temperature (celsius),32
Triplicate Orthostatic BP and HR - Central,Were Vital Signs Collected?,33
Triplicate Orthostatic BP and HR - Central,"If not collected, reason:",33
Triplicate Orthostatic BP and HR - Central,Collection Date,33
Triplicate Orthostatic BP and HR - Central,Time Placed in Position,33
Triplicate Orthostatic BP and HR - Central,Time Placed in Position,34
Triplicate Orthostatic BP and HR - Central,Time of Vitals Measurement #3,34
Height and Weight,Were Body Measurements Collected?,35
Height and Weight,"If not collected, reason:",35
Height and Weight,Collection Date,35
Height and Weight,Weight,35
Height and Weight,Weigh subject without shoes or jacket. Obtain Height without subject’s shoes.,35
Height and Weight,BMI Unit,35
Physical Exam,Was the physical examination performed?,36
Physical Exam,Evaluator,36
Physical Exam,Yes No,36
Physical Exam,Region/Body System,36
Physical Exam,Abnormal Findings,36
Physical Exam,Result,36
Physical Exam,Not Done,36
Triplicate ECG Assessments,Were ECG measurements performed?,38
Triplicate ECG Assessments,"If no, Reason not done",38
Triplicate ECG Assessments,Date of ECG,38
Triplicate ECG Assessments,Timepoint,38
Triplicate ECG Assessments,Time subject became supine:,38
Triplicate ECG Assessments,Time of ECG assessment # 1:,38
Triplicate ECG Assessments,Time of ECG assessment # 2:,38
Triplicate ECG Assessments,Time of ECG assessment # 3:,38
Triplicate ECG Assessments,Overall ECG interpretation,39
Triplicate ECG Assessments,Was the ECG abnormality clinically significant?,39
Triplicate ECG Assessments,Are additional ECG assessments required?,39
Serology,Timepoint,40
Serology,Comments,40
Serology,Collected,40
Serology,Not,40
Serology,Applicable,40
Clinical Laboratory Assessments,Timepoint,43
Clinical Laboratory Assessments,Comments,43
Clinical Laboratory Assessments,Was subject in fasting state?,43
Clinical Laboratory Assessments,Collected,43
Clinical Laboratory Assessments,Not,43
Clinical Laboratory Assessments,Applicable,43
Laboratory results review,Laboratory collection date,45
Laboratory results review,Laboratory results review date,45
Laboratory results review,Has the investigator reviewed all laboratory results from this visit and assessed abnormal results clinical significance?,45
Laboratory results review,Were there any clinically significant abnormal results?,45
Laboratory results review,Were there any clinically significant abnormal chemistry results?,45
Urinalysis clinically significant abnormal assay # 1,Microscopic analysis if indicated,54
Urinalysis clinically significant abnormal assay # 1,Urinalysis abnormal assay # 1 Investigator comment,54
Urinalysis clinically significant abnormal assay # 2,Microscopic analysis if indicated,55
Urinalysis clinically significant abnormal assay # 2,Urinalysis abnormal assay # 2 Investigator comment,55
Urinalysis clinically significant abnormal assay # 3,Microscopic analysis if indicated,56
Urinalysis clinically significant abnormal assay # 3,Urinalysis abnormal assay # 3 Investigator comment,56
Urinalysis clinically significant abnormal assay # 4,Microscopic analysis if indicated,57
Urinalysis clinically significant abnormal assay # 4,Urinalysis abnormal assay # 4 Investigator comment,57
Urinalysis clinically significant abnormal assay # 5,Microscopic analysis if indicated,58
Urinalysis clinically significant abnormal assay # 5,Urinalysis abnormal assay # 5 Investigator comment,58
Urinalysis clinically significant abnormal assay # 5,Are there additional urinalysis clinically significant abnormal results to be entered?,58
Urinalysis clinically significant abnormal assay # 5,Investigator`s signature for Local Laboratory Results Review,58
FSH Blood Sample,Timepoint,59
FSH Blood Sample,Comments,59
FSH Blood Sample,Collected,59
FSH Blood Sample,Not,59
FSH Blood Sample,Applicable,59
Pregnancy test,Was a Pregnancy Test Performed?,60
Pregnancy test,If not done reason,60
Pregnancy test,Type of pregnancy test,60
Pregnancy test,Result,60
Tobacco Use,Substance Use Category,61
Tobacco Use,Substance Type,61
Tobacco Use,Usage Start Date,61
Tobacco Use,Usage Stop Date,61
Tobacco Use,Amount,61
Tobacco Use,Never,61
Tobacco Use,None,61
Tobacco Use,(values:,61
Alcohol Use,Substance Use Category,63
Alcohol Use,Substance Type,63
Alcohol Use,Usage Start Date,63
Alcohol Use,Usage Stop Date,63
Alcohol Use,Amount,63
Alcohol Use,Never,63
Alcohol Use,Cup,63
Alcohol Use,Per Week,63
Alcohol Screen - Urine or Breath,Was Test Performed?,64
Alcohol Screen - Urine or Breath,Sample Type,64
Alcohol Screen - Urine or Breath,"If no, Reason Not Done",64
Alcohol Screen - Urine or Breath,Result,64
Alcohol Screen - Urine or Breath,Was a Repeat test performed?,64
Alcohol Screen - Urine or Breath,Time of Repeat Test,64
Cotinine Screen,Was Cotinine Screen Performed?,68
Cotinine Screen,If not done reason,68
Cotinine Screen,Time of Sample,68
C-SSRS - Screening/Baseline - Page 2,plan and intent,74
C-SSRS - Screening/Baseline - Page 2,specific plan and intent)],74
C-SSRS - Screening/Baseline - Page 2,day,74
C-SSRS - Screening/Baseline - Page 2,continuous,75
C-SSRS - Screening/Baseline - Page 2,to control thoughts,75
Are there things - anyone or anything - that stopped you from wanting to die or,(0) Does not apply,76
Are there things - anyone or anything - that stopped you from wanting to die or,(0) Does not apply,77
Are there things - anyone or anything - that stopped you from wanting to die or,(values: (1) Completely to,77
C-SSRS - Screening/Baseline - Page 4,Date of Attempt,81
C-SSRS - Screening/Baseline - Page 4,0) No physical damage or very minor physical damage (e.g. surface scratches),81
C-SSRS - Screening/Baseline - Page 4,"damage, had potential for very serious lethality: put gun in mouth and pulled the trigger but gun fails to fire so no",81
AE and CM prompt,Has the subject had any changes to their health since previous visit?,82
AE and CM prompt,Are there any changes in concomitant medications including dose changes to be reported?,82
\23.\ Exposure to any substances known to stimulate hepatic microsomal enzymes within 30 days prior to,Is the Subject required to be Titrated ?,88
End of Screening,Does the Subject Remain Eligible to Continue participation in the Study?,89
End of Screening,Date of Screen Failure,89
End of Screening,Other,89
End of Screening,"Specify if: Adverse Event, Physician Decision, Protocol Deviation, Other",89
End of Screening,Visit Date,90
End of Screening,Skip to next visit,90
Drug dispensation- Titration period,Was sertraline dispensed for Titration period?,91
Drug dispensation- Titration period,Date of dispensation,91
Drug dispensation- Titration period,Visit Date,92
Triplicate Orthostatic BP and HR - Central,Were Vital Signs Collected?,93
