x=  45.8 y=  51.8 sz= 7.8 #ff0000   | [SUTRT2]
x= 196.8 y=  51.8 sz= 7.8 #ff0000   | [SUSTDAT2]
x= 282.5 y=  51.8 sz= 7.8 #ff0000   | [SUENDAT2]
x= 368.8 y=  51.8 sz= 7.8 #ff0000   | [SUDOSE2]
x= 143.9 y=  65.0 sz= 9.2 black     | Current
x= 443.9 y=  65.0 sz= 9.2 black     | Per Day
x= 505.4 y=  65.0 sz= 9.2 black     | Pack
x=  45.8 y=  66.2 sz= 7.8 #ff0000   | [TYPE: text]
x= 196.8 y=  66.2 sz= 7.8 #ff0000   | [TYPE: partialdate
x= 282.5 y=  66.2 sz= 7.8 #ff0000   | [TYPE: partialdate
x= 368.8 y=  66.2 sz= 7.8 #ff0000   | [TYPE:
x= 196.8 y=  77.3 sz= 7.8 #ff0000   | (Unknown Day,
x= 282.5 y=  77.3 sz= 7.8 #ff0000   | (Unknown Day,
x= 368.8 y=  77.3 sz= 7.8 #ff0000   | integer (allow
x= 143.9 y=  78.1 sz= 9.2 black     | Former
x= 443.9 y=  78.1 sz= 9.2 black     | Per Week
x= 505.4 y=  78.1 sz= 9.2 black     | Cigar
x=  45.8 y=  80.5 sz= 7.8 #ff0000   | [Read-only field]
x= 196.8 y=  88.4 sz= 7.8 #ff0000   | Unknown Month)]
x= 282.5 y=  88.4 sz= 7.8 #ff0000   | Unknown Month)]
x= 368.8 y=  88.4 sz= 7.8 #ff0000   | zero)]
x= 143.9 y=  91.1 sz= 9.2 black     | Never
x= 505.4 y=  91.1 sz= 9.2 black     | Cartridge
x= 425.6 y=  94.3 sz= 7.8 #ff0000   | [SUDSFRQ2]
x= 505.4 y= 104.2 sz= 9.2 black     | None
x= 130.8 y= 107.3 sz= 7.8 #ff0000   | [SUCNF2]
x= 425.6 y= 108.7 sz= 7.8 #ff0000   | [TYPE:
x= 425.6 y= 119.8 sz= 7.8 #ff0000   | enumeration
x= 496.9 y= 120.4 sz= 7.8 #ff0000   | [SUDOSU2]
x= 130.8 y= 121.7 sz= 7.8 #ff0000   | [TYPE:
x= 425.6 y= 130.9 sz= 7.8 #ff0000   | (values: Per Day,
x= 130.8 y= 132.8 sz= 7.8 #ff0000   | enumeration
x= 496.9 y= 134.8 sz= 7.8 #ff0000   | [TYPE:
x= 425.6 y= 142.0 sz= 7.8 #ff0000   | Per Week)]
x= 130.8 y= 144.0 sz= 7.8 #ff0000   | (values:
x= 496.9 y= 145.9 sz= 7.8 #ff0000   | enumeration
x= 130.8 y= 155.1 sz= 7.8 #ff0000   | Current,
x= 496.9 y= 157.0 sz= 7.8 #ff0000   | (values: Pack,
x= 130.8 y= 166.2 sz= 7.8 #ff0000   | Former, Never)]
x= 496.9 y= 168.1 sz= 7.8 #ff0000   | Cigar,
x= 496.9 y= 179.3 sz= 7.8 #ff0000   | Cartridge,
x= 496.9 y= 190.4 sz= 7.8 #ff0000   | None)]
x=  46.5 y= 210.6 sz= 7.8 #454545   | Vape
x=  45.8 y= 236.8 sz= 7.8 #ff0000   | [SUTRT2]
x= 196.8 y= 236.8 sz= 7.8 #ff0000   | [SUSTDAT2]
x= 282.5 y= 236.8 sz= 7.8 #ff0000   | [SUENDAT2]
x= 368.8 y= 236.8 sz= 7.8 #ff0000   | [SUDOSE2]
x= 143.9 y= 250.0 sz= 9.2 black     | Current
x= 443.9 y= 250.0 sz= 9.2 black     | Per Day
x= 505.4 y= 250.0 sz= 9.2 black     | Pack
x=  45.8 y= 251.2 sz= 7.8 #ff0000   | [TYPE: text]
x= 196.8 y= 251.2 sz= 7.8 #ff0000   | [TYPE: partialdate
x= 282.5 y= 251.2 sz= 7.8 #ff0000   | [TYPE: partialdate
x= 368.8 y= 251.2 sz= 7.8 #ff0000   | [TYPE:
x= 196.8 y= 262.3 sz= 7.8 #ff0000   | (Unknown Day,
x= 282.5 y= 262.3 sz= 7.8 #ff0000   | (Unknown Day,
x= 368.8 y= 262.3 sz= 7.8 #ff0000   | integer (allow
x= 143.9 y= 263.1 sz= 9.2 black     | Former
x= 443.9 y= 263.1 sz= 9.2 black     | Per Week
x= 505.4 y= 263.1 sz= 9.2 black     | Cigar
x=  45.8 y= 265.6 sz= 7.8 #ff0000   | [Read-only field]
x= 196.8 y= 273.4 sz= 7.8 #ff0000   | Unknown Month)]
x= 282.5 y= 273.4 sz= 7.8 #ff0000   | Unknown Month)]
x= 368.8 y= 273.4 sz= 7.8 #ff0000   | zero)]
x= 143.9 y= 276.1 sz= 9.2 black     | Never
x= 505.4 y= 276.1 sz= 9.2 black     | Cartridge
x= 425.6 y= 279.3 sz= 7.8 #ff0000   | [SUDSFRQ2]
x= 505.4 y= 289.2 sz= 9.2 black     | None
x= 130.8 y= 292.4 sz= 7.8 #ff0000   | [SUCNF2]
x= 425.6 y= 293.7 sz= 7.8 #ff0000   | [TYPE:
x= 425.6 y= 304.8 sz= 7.8 #ff0000   | enumeration
x= 496.9 y= 305.4 sz= 7.8 #ff0000   | [SUDOSU2]
x= 130.8 y= 306.7 sz= 7.8 #ff0000   | [TYPE:
x= 425.6 y= 315.9 sz= 7.8 #ff0000   | (values: Per Day,
x= 130.8 y= 317.9 sz= 7.8 #ff0000   | enumeration
