form_name,field_name,page
Schedule of Assessments,Visit Date,9
Schedule of Assessments,Informed Consent,9
Schedule of Assessments,FBR Consent,9
Schedule of Assessments,Demography,9
Schedule of Assessments,Reproductive Status - Female,9
Schedule of Assessments,Reproductive Status - Male,9
Schedule of Assessments,Medical/Psychiatric History,9
Schedule of Assessments,Body Temperature and Respiratory Rate,9
Schedule of Assessments,Respiratory Rate,9
Schedule of Assessments,Triplicate Orthostatic BP and HR - Central,9
Schedule of Assessments,Central,9
Schedule of Assessments,Height and Weight,9
Schedule of Assessments,Physical Exam,9
Schedule of Assessments,Triplicate ECG Assessments,9
Schedule of Assessments,Serology,9
Schedule of Assessments,Glycated Hemoglobin,9
Schedule of Assessments,Clinical Laboratory Assessments,9
Schedule of Assessments,Laboratory results review,9
Schedule of Assessments,FSH Blood Sample,9
Schedule of Assessments,Pregnancy test,9
Schedule of Assessments,Tobacco Use,9
Schedule of Assessments,Alcohol Use,9
Schedule of Assessments,Alcohol Screen - Urine or Breath,9
Schedule of Assessments,Urine Drug Screen,9
Schedule of Assessments,Cotinine Screen,9
Schedule of Assessments,C-SSRS - Screening/Baseline,9
Schedule of Assessments,C-SSRS - Screening/Baseline - Page 1,9
Schedule of Assessments,Page 1,9
Schedule of Assessments,C-SSRS - Screening/Baseline - Page 2,9
Schedule of Assessments,Page 2,9
Schedule of Assessments,C-SSRS - Screening/Baseline - Page 3,10
Schedule of Assessments,Page 3,10
Schedule of Assessments,C-SSRS - Screening/Baseline - Page 4,10
Schedule of Assessments,Page 4,10
Schedule of Assessments,AE and CM prompt,10
Schedule of Assessments,Inclusion criteria,10
Schedule of Assessments,Exclusion criteria,10
Schedule of Assessments,Sertraline Titration,10
Schedule of Assessments,End of Screening,10
Schedule of Assessments,Visit Date,10
Schedule of Assessments,Drug dispensation- Titration period,10
Schedule of Assessments,period,10
Schedule of Assessments,Triplicate Orthostatic BP and HR - Central,10
Schedule of Assessments,Central,10
Schedule of Assessments,PK Blood Draw - Sertraline,10
Schedule of Assessments,Aicure Device - Distribution,10
Schedule of Assessments,Drug administration- Titration,10
Schedule of Assessments,IMP Administration - Sertraline,10
Schedule of Assessments,Physical Exam,10
Schedule of Assessments,Clinical Laboratory Assessments,10
Schedule of Assessments,Laboratory results review,10
Schedule of Assessments,Pregnancy test,10
Schedule of Assessments,Alcohol Screen - Urine or Breath,10
Schedule of Assessments,Urine Drug Screen,10
Schedule of Assessments,Cotinine Screen,10
Schedule of Assessments,PGx Blood Sample,10
Schedule of Assessments,FBR Blood Sample,11
Schedule of Assessments,C-SSRS - Since Last Visit,11
Schedule of Assessments,C-SSRS since last visit - Page 1,11
Schedule of Assessments,C-SSRS since last visit - Page 2,11
Schedule of Assessments,C-SSRS since last visit - Page 3,11
Schedule of Assessments,C-SSRS since last visit - Page 4,11
Schedule of Assessments,IMP Administration - Sertraline,11
Schedule of Assessments,AE and CM prompt,11
Schedule of Assessments,Inclusion criteria,11
Schedule of Assessments,Exclusion criteria,11
Schedule of Assessments,End of Screening,11
Schedule of Assessments,Visit Date,11
Schedule of Assessments,Body Temperature and Respiratory Rate - Predose,11
Schedule of Assessments,Respiratory Rate - Predose,11
Schedule of Assessments,Triplicate Orthostatic BP and HR - Predose,11
Schedule of Assessments,Predose,11
Schedule of Assessments,Triplicate ECG Assessments - Predose,11
Schedule of Assessments,PK Blood Draw - Sertraline,11
Schedule of Assessments,Triplicate Orthostatic BP and HR - 1h Postdose,11
Schedule of Assessments,1h Postdose,11
Schedule of Assessments,Triplicate Orthostatic BP and HR - 1.5h Postdose,11
Schedule of Assessments,1.5h Postdose,11
Schedule of Assessments,Triplicate Orthostatic BP and HR - 2h Postdose,11
Schedule of Assessments,2h Postdose,11
Schedule of Assessments,Triplicate Orthostatic BP and HR - 2.5h Postdose,11
Schedule of Assessments,2.5h Postdose,11
Schedule of Assessments,Triplicate Orthostatic BP and HR - 3h Postdose,11
Schedule of Assessments,3h Postdose,11
Schedule of Assessments,Triplicate Orthostatic BP and HR - 4h Postdose,11
Schedule of Assessments,4h Postdose,11
Schedule of Assessments,Triplicate Orthostatic BP and HR - 6h Postdose,11
Schedule of Assessments,6h Postdose,11
Schedule of Assessments,Control Period Day 2,12
Schedule of Assessments,Control Period Day 3,12
Schedule of Assessments,Treatment Period Day 20,14
Schedule of Assessments,Treatment Period Day 21,15
Schedule of Assessments,page enrols if DSAI101= Yes on Aicure Device - Distribution page,15
Schedule of Assessments,Triplicate Orthostatic BP and HR - 3h Postdose,16
Schedule of Assessments,3h Postdose,16
Schedule of Assessments,Triplicate Orthostatic BP and HR - 4h Postdose,16
Schedule of Assessments,4h Postdose,16
Schedule of Assessments,Triplicate Orthostatic BP and HR - 6h Postdose,16
Schedule of Assessments,6h Postdose,16
Schedule of Assessments,Triplicate Orthostatic BP and HR - 8h Postdose,16
Schedule of Assessments,8h Postdose,16
Schedule of Assessments,End of Study,16
Schedule of Assessments,Visit Date,16
Schedule of Assessments,Body Temperature and Respiratory Rate,16
Schedule of Assessments,Respiratory Rate,16
Schedule of Assessments,Triplicate Orthostatic BP and HR - Predose,16
Schedule of Assessments,Predose,16
Schedule of Assessments,Physical Exam,16
Schedule of Assessments,12-lead ECG,16
Schedule of Assessments,Glycated Hemoglobin,16
Schedule of Assessments,Clinical Laboratory Assessments,16
Schedule of Assessments,Laboratory results review,16
Schedule of Assessments,PK Blood Draw - Brexpiprazole/Sertraline,16
Schedule of Assessments,Brexpiprazole/Sertraline,16
Schedule of Assessments,PK Blood Draw - Propranolol,16
Schedule of Assessments,Aicure Device - Return,16
Schedule of Assessments,C-SSRS - Since Last Visit,16
Schedule of Assessments,C-SSRS since last visit - Page 1,16
Schedule of Assessments,C-SSRS since last visit - Page 2,16
Schedule of Assessments,C-SSRS since last visit - Page 3,16
Schedule of Assessments,C-SSRS since last visit - Page 4,16
Schedule of Assessments,"IMP Administration - Sertraline,Brexpiprazole and",16
Schedule of Assessments,"Sertraline,Brexpiprazole and Propranolol",16
Schedule of Assessments,Propranolol,16
Schedule of Assessments,Orthostatic BP and HR - ET,16
Schedule of Assessments,Follow-Up Phone Call,16
Schedule of Assessments,Page Label,17
Schedule of Assessments,Visit Label,17
Schedule of Assessments,Page Label,18
Visit Date,Visit Date,19
Informed Consent,ICF Version Date,20
Informed Consent,Protocol Version for Consent,20
Informed Consent,Consent Obtained?,20
Informed Consent,Date of Consent,20
Informed Consent,Time of Consent,20
Informed Consent,Was a signed copy of the Informed Consent given to the subject for his/her records?,20
Informed Consent,Was Informed Consent signed prior to any study procedures being performed?,20
Informed Consent,ICF Verification,21
Informed Consent,ICF was reviewed and verified and the original ICF has been filed in with subject's source documents,21
Informed Consent,Signed by,21
Informed Consent,Clinician Consent Sign Date,21
Informed Consent,Clinician Consent Sign Time,21
Informed Consent,Subject Consent Sign Date UTC,21
Informed Consent,Clinician Consent Sign Date UTC,21
FBR Consent,Future Biospecimen Research consent,22
FBR Consent,Protocol Version for Consent,22
FBR Consent,Consent Obtained?,22
FBR Consent,Date of Consent,22
FBR Consent,Time of Consent,22
FBR Consent,Was a signed copy of the FBR consent given to the subject for his/her records?,22
FBR Consent,Signed by,22
Demography,Date of Birth,24
Demography,Age (Derived),24
Demography,Address,24
Demography,What is the sex of the subject at the time of birth?,24
Demography,Subject currently identifies as,24
Demography,Race,25
Demography,Specify other race,25
Demography,Ethnicity,25
Demography,Specify other ethnicity,25
Demography,Was the subject re-screened?,25
Demography,Prior screened number,25
