form_name,field_name,page
Laboratory results review,Chemistry clinically significant abnormal assay # 1:,46
Laboratory results review,Chemistry abnormal assay # 1 Investigator comment,46
Laboratory results review,Chemistry abnormal assay # 2 Investigator comment,47
Laboratory results review,Chemistry abnormal assay # 3 Investigator comment,48
Laboratory results review,Chemistry abnormal assay # 4 Investigator comment,49
Laboratory results review,Chemistry abnormal assay # 5 Investigator comment,50
Laboratory results review,Are there any additional clinically significant abnormal chemistry results to be entered?,50
Laboratory results review,Please go to Add-On Forms and select Additional Local Lab Results Review form to add to this visit.,51
Laboratory results review,Were there any clinically significant abnormal hematology results?,51
Laboratory results review,Hematology abnormal assay # 1 Investigator comment,51
Laboratory results review,Hematology abnormal assay # 2 Investigator comment,51
Laboratory results review,Hematology abnormal assay # 3 Investigator comment,52
Laboratory results review,Hematology abnormal assay # 4 Investigator comment,52
Laboratory results review,Hematology abnormal assay # 5 Investigator comment,53
Laboratory results review,Are there any clinically significant abnormal hematology results to be entered?,53
Laboratory results review,Please go to Add-On Forms and select Additional Local Lab Results Review form to add to this visit.,53
Laboratory results review,Were there any clinically significant abnormal urinalysis results?,53
Alcohol Screen - Urine or Breath,Result of Repeat Test,65
Exclusion criteria,\10.\ Subjects with a primary DSM-5 diagnosis of:,85
Laboratory results review,Chemistry clinically significant abnormal assay # 1:,110
Laboratory results review,Chemistry abnormal assay # 1 Investigator comment,110
Laboratory results review,Chemistry abnormal assay # 2 Investigator comment,111
Laboratory results review,Chemistry abnormal assay # 3 Investigator comment,112
Laboratory results review,Chemistry abnormal assay # 4 Investigator comment,113
Laboratory results review,Chemistry abnormal assay # 5 Investigator comment,114
Laboratory results review,Are there any additional clinically significant abnormal chemistry results to be entered?,114
Laboratory results review,Please go to Add-On Forms and select Additional Local Lab Results Review form to add to this visit.,115
Laboratory results review,Were there any clinically significant abnormal hematology results?,115
Laboratory results review,Hematology abnormal assay # 1 Investigator comment,115
Laboratory results review,Hematology abnormal assay # 2 Investigator comment,115
Laboratory results review,Hematology abnormal assay # 3 Investigator comment,116
Laboratory results review,Hematology abnormal assay # 4 Investigator comment,116
Laboratory results review,Hematology abnormal assay # 5 Investigator comment,117
Laboratory results review,Are there any clinically significant abnormal hematology results to be entered?,117
Laboratory results review,Please go to Add-On Forms and select Additional Local Lab Results Review form to add to this visit.,117
Laboratory results review,Were there any clinically significant abnormal urinalysis results?,117
Alcohol Screen - Urine or Breath,Result of Repeat Test,125
C-SSRS since last visit - Page 3,Actual attempt:,139
C-SSRS since last visit - Page 3,Have you made a suicide attempt?,139
C-SSRS since last visit - Page 3,Have you done anything to harm yourself?,139
C-SSRS since last visit - Page 3,Have you done anything dangerous where you could have died?,139
C-SSRS since last visit - Page 3,What did you do?,139
C-SSRS since last visit - Page 3,Did you ______ as a way to end your life?,139
C-SSRS since last visit - Page 3,Did you want to die (even a little) when you ____?,139
C-SSRS since last visit - Page 3,Were trying to end your life when you ____?,139
C-SSRS since last visit - Page 3,Or did you think it was possible you could have died from ____? Or did you do it purely for other reasons/without ANY intention of killing yourself (like to,139
C-SSRS since last visit - Page 3,"If Yes, Total number of attempts",139
C-SSRS since last visit - Page 3,Has subject engaged in Non-Suicidal self-injurious behavior?,139
C-SSRS since last visit - Page 3,Interrupted attempt:,139
C-SSRS since last visit - Page 3,"If Yes, Total number of interrupted attempts",140
C-SSRS since last visit - Page 3,Aborted attempt:,140
C-SSRS since last visit - Page 3,"If Yes, Total number of aborted attempts",140
C-SSRS since last visit - Page 3,Preparatory acts or behavior:,140
C-SSRS since last visit - Page 3,Suicidal behavior:,141
C-SSRS since last visit - Page 3,Suicidal behavior was present during the assessment period?,141
Exclusion criteria,\10.\ Subjects with a primary DSM-5 diagnosis of:,148
C-SSRS since last visit - Page 3,Actual attempt:,165
C-SSRS since last visit - Page 3,Have you made a suicide attempt?,165
C-SSRS since last visit - Page 3,Have you done anything to harm yourself?,165
C-SSRS since last visit - Page 3,Have you done anything dangerous where you could have died?,165
C-SSRS since last visit - Page 3,What did you do?,165
C-SSRS since last visit - Page 3,Did you ______ as a way to end your life?,165
C-SSRS since last visit - Page 3,Did you want to die (even a little) when you ____?,165
C-SSRS since last visit - Page 3,Were trying to end your life when you ____?,165
C-SSRS since last visit - Page 3,Or did you think it was possible you could have died from ____? Or did you do it purely for other reasons/without ANY intention of killing yourself (like to,165
C-SSRS since last visit - Page 3,"If Yes, Total number of attempts",165
C-SSRS since last visit - Page 3,Has subject engaged in Non-Suicidal self-injurious behavior?,165
C-SSRS since last visit - Page 3,Interrupted attempt:,165
C-SSRS since last visit - Page 3,"If Yes, Total number of interrupted attempts",166
C-SSRS since last visit - Page 3,Aborted attempt:,166
C-SSRS since last visit - Page 3,"If Yes, Total number of aborted attempts",166
C-SSRS since last visit - Page 3,Preparatory acts or behavior:,166
C-SSRS since last visit - Page 3,Suicidal behavior:,167
C-SSRS since last visit - Page 3,Suicidal behavior was present during the assessment period?,167
C-SSRS since last visit - Page 3,Actual attempt:,200
C-SSRS since last visit - Page 3,Have you made a suicide attempt?,200
C-SSRS since last visit - Page 3,Have you done anything to harm yourself?,200
C-SSRS since last visit - Page 3,Have you done anything dangerous where you could have died?,200
C-SSRS since last visit - Page 3,What did you do?,200
C-SSRS since last visit - Page 3,Did you ______ as a way to end your life?,200
C-SSRS since last visit - Page 3,Did you want to die (even a little) when you ____?,200
C-SSRS since last visit - Page 3,Were trying to end your life when you ____?,200
C-SSRS since last visit - Page 3,Or did you think it was possible you could have died from ____? Or did you do it purely for other reasons/without ANY intention of killing yourself (like to,200
C-SSRS since last visit - Page 3,"If Yes, Total number of attempts",200
C-SSRS since last visit - Page 3,Has subject engaged in Non-Suicidal self-injurious behavior?,200
C-SSRS since last visit - Page 3,Interrupted attempt:,200
C-SSRS since last visit - Page 3,"If Yes, Total number of interrupted attempts",201
C-SSRS since last visit - Page 3,Aborted attempt:,201
C-SSRS since last visit - Page 3,"If Yes, Total number of aborted attempts",201
C-SSRS since last visit - Page 3,Preparatory acts or behavior:,201
C-SSRS since last visit - Page 3,Suicidal behavior:,202
C-SSRS since last visit - Page 3,Suicidal behavior was present during the assessment period?,202
Laboratory results review,Chemistry clinically significant abnormal assay # 1:,237
Laboratory results review,Chemistry abnormal assay # 1 Investigator comment,237
Laboratory results review,Chemistry abnormal assay # 2 Investigator comment,238
Laboratory results review,Chemistry abnormal assay # 3 Investigator comment,239
Laboratory results review,Chemistry abnormal assay # 4 Investigator comment,240
Laboratory results review,Chemistry abnormal assay # 5 Investigator comment,241
Laboratory results review,Are there any additional clinically significant abnormal chemistry results to be entered?,241
