x= 235.9 y=  39.1 sz=20.0 #4682b4 B | Annotated CRF
x=  29.9 y=  71.2 sz=11.0 black   B | Study, Site:
x= 238.7 y=  71.2 sz=11.0 black   B | Group, Visit:
x= 445.2 y=  71.2 sz=11.0 black   B | Slot:
x=  29.9 y=  93.9 sz=11.0 black   B | Schedule Category & Name:
x= 167.7 y=  93.9 sz=11.0 black     | QSC302573, 03 - Screening Draft v0.1
x=  29.9 y= 116.4 sz=10.0 #4682b4 B | Timepoint
x= 167.7 y= 116.4 sz=10.0 #4682b4 B | Activity
x= 488.4 y= 116.4 sz=10.0 #4682b4 B | Line #
x= 167.7 y= 133.4 sz=10.0 #4682b4 B | Answer(s):
x= 238.7 y= 133.4 sz=10.0 black     | O Yes
x= 238.7 y= 150.4 sz=10.0 black     | [LBFAST] SAS:[Name=LBFAST, Length=5, DataType=Char]
x= 238.7 y= 167.4 sz=10.0 black     | O No (Comment Required)
x= 238.7 y= 184.4 sz=10.0 black     | [LBFAST] SAS:[Name=LBFAST, Length=5, DataType=Char]
x=  29.9 y= 201.4 sz=10.0 #4682b4 B | Comment:
x=  29.9 y= 224.1 sz=10.0 black     | Day 0 (0), -00:00.00
x= 167.7 y= 224.1 sz=10.0 black   B | Safety: Haematology #1
x= 488.4 y= 224.1 sz=10.0 black     | 75.0
x=  29.9 y= 241.1 sz=10.0 black     | _ _ - _ _ _ - _ _ _ _
x= 116.7 y= 241.1 sz=10.0 black     | _ _ : _ _
x= 167.7 y= 241.1 sz=10.0 black   B | Haematology – Mix tube gently by inverting 8–10 times (2 mL K3EDTA)
x=  29.9 y= 253.3 sz=10.0 black     | dd - MMM - yyyy
x= 116.7 y= 253.3 sz=10.0 black     | HH:mm
x= 167.7 y= 267.5 sz=10.0 #4682b4 B | Barcode:
x= 238.7 y= 267.5 sz=10.0 black     | SMP _  _  _  _  _  _  _  _  _
x=  30.9 y= 268.5 sz=10.0 #4682b4 B | Staff Initials:
x=  29.9 y= 284.5 sz=10.0 #4682b4 B | Comment:
x=  29.9 y= 307.1 sz=10.0 black     | Day 0 (0), -00:00.00
x= 167.7 y= 307.1 sz=10.0 black   B | Safety: Haematology Medic Assessment #1
x= 488.4 y= 307.1 sz=10.0 black     | 75.1
x=  29.9 y= 324.1 sz=10.0 black     | _ _ - _ _ _ - _ _ _ _
x= 116.7 y= 324.1 sz=10.0 black     | _ _ : _ _
x= 167.7 y= 324.1 sz=10.0 black   B | Has there been a medic review of the Haematology blood results?
x=  29.9 y= 336.3 sz=10.0 black     | dd - MMM - yyyy
x= 116.7 y= 336.3 sz=10.0 black     | HH:mm
x=  30.9 y= 351.5 sz=10.0 #4682b4 B | Staff Initials:
x= 167.7 y= 367.5 sz=10.0 #4682b4 B | Answer(s):
x= 238.7 y= 367.5 sz=10.0 black     | O Yes
x= 238.7 y= 384.5 sz=10.0 black     | O No (Comment Required)
x=  29.9 y= 401.5 sz=10.0 #4682b4 B | Comment:
x=  29.9 y= 424.2 sz=10.0 black     | Day 0 (0), -00:00.00
x= 167.7 y= 424.2 sz=10.0 black   B | Safety: Chemistry and Virology #1
x= 488.4 y= 424.2 sz=10.0 black     | 76.0 (hidden)
x=  29.9 y= 441.2 sz=10.0 black     | _ _ - _ _ _ - _ _ _ _
x= 116.7 y= 441.2 sz=10.0 black     | _ _ : _ _
x= 167.7 y= 441.2 sz=10.0 black   B | Chemistry and Virology – Mix tube gently by inverting 5–6 times (5 mL SST)
x=  29.9 y= 453.4 sz=10.0 black     | dd - MMM - yyyy
x= 116.7 y= 453.4 sz=10.0 black     | HH:mm
x= 167.7 y= 467.5 sz=10.0 #4682b4 B | Barcode:
x= 238.7 y= 467.5 sz=10.0 black     | SMP _  _  _  _  _  _  _  _  _
