form_name,field_name,page
AE / CM,Were any adverse events experienced?,3
AE / CM,Start date and time,3
AE / CM,Ongoing?,3
AE / CM,End date and time,3
AE / CM,Adverse event term,3
AE / CM,Severity,4
AE / CM,Relationship to investigational product,4
AE / CM,Action taken with investigational product,4
AE / CM,Was a concomitant medication given?,4
AE / CM,event?,4
AE / CM,Other action taken,4
AE / CM,Outcome,4
AE / CM,Was the adverse event an SAE?,5
AE / CM,congenital anomaly or birth defect?,5
AE / CM,significant disability or incapacity?,5
AE / CM,Did the serious adverse event result in death?,5
AE / CM,Death date,5
AE / CM,Is the serious adverse event life threatening?,6
AE / CM,covered by other serious criteria?,6
AE / CM,Concomitant medication or therapy,6
AE / CM,Route of administration,6
AE / CM,Total dose,6
AE / CM,Dose form,7
AE / CM,Frequency,7
AE / CM,Administration start date and time,7
AE / CM,Administration ongoing?,7
AE / CM,Administration end date and time,7
Blood Collection - PGx (Predose),PGx collection date and time,9
Blood Collection - PK SEP,PK SEP collection date and time,10
Blood Collection - PK SEP/PD Creatine,PK SEP collection date and time,11
Blood Collection - PK SEP/PD Creatinine/Safety Day 1,PK SEP collection date and time,12
Blood Collection - PK SEP/PK Quinidine,PK SEP collection date and time,13
Blood Collection - PK SEP/PK Quinidine/Safety Day 7,PK SEP collection date and time,14
C-SSRS - Baseline/Screening,Date and Time of Collection,15
C-SSRS - Baseline/Screening,sleep and not wake up? (Lifetime).,15
C-SSRS - Baseline/Screening,sleep and not wake up? (Past 6 Months).,15
C-SSRS - Baseline/Screening,"If yes, describe:",15
C-SSRS - Baseline/Screening,(Lifetime).,15
3. Active Suicidal Ideation with Any Methods (Not Plan),"If yes, describe:",16
3. Active Suicidal Ideation with Any Methods (Not Plan),(Lifetime).,16
3. Active Suicidal Ideation with Any Methods (Not Plan),(Past 6 Months).,16
3. Active Suicidal Ideation with Any Methods (Not Plan),acting on them? (Lifetime).,16
5. Active Suicidal Ideation with Specific Plan and Intent,acting on them? (Past 6 Months).,17
5. Active Suicidal Ideation with Specific Plan and Intent,"If yes, describe:",17
5. Active Suicidal Ideation with Specific Plan and Intent,(Lifetime).,17
5. Active Suicidal Ideation with Specific Plan and Intent,(Past 6 Months).,17
5. Active Suicidal Ideation with Specific Plan and Intent,Most severe ideation. (Lifetime).,17
5. Active Suicidal Ideation with Specific Plan and Intent,Description of most severe ideation. (Lifetime).,17
5. Active Suicidal Ideation with Specific Plan and Intent,Most severe ideation. (Past 6 Months).,18
5. Active Suicidal Ideation with Specific Plan and Intent,Description of most severe ideation. (Past 6 Months).,18
5. Active Suicidal Ideation with Specific Plan and Intent,Frequency (Lifetime),18
5. Active Suicidal Ideation with Specific Plan and Intent,Frequency (Past 6 Months),18
5. Active Suicidal Ideation with Specific Plan and Intent,Duration (Lifetime),18
5. Active Suicidal Ideation with Specific Plan and Intent,Duration (Past 6 Months),18
5. Active Suicidal Ideation with Specific Plan and Intent,Controllability (Lifetime),18
5. Active Suicidal Ideation with Specific Plan and Intent,Controllability (Past 6 Months),18
5. Active Suicidal Ideation with Specific Plan and Intent,Deterrents (Lifetime),18
5. Active Suicidal Ideation with Specific Plan and Intent,Reasons for Ideation (Lifetime),19
5. Active Suicidal Ideation with Specific Plan and Intent,Reasons for Ideation (Past 6 Months),19
5. Active Suicidal Ideation with Specific Plan and Intent,without suicidal intent),19
5. Active Suicidal Ideation with Specific Plan and Intent,Total number of actual attempts.,19
5. Active Suicidal Ideation with Specific Plan and Intent,behavior.,20
5. Active Suicidal Ideation with Specific Plan and Intent,anything?,20
5. Active Suicidal Ideation with Specific Plan and Intent,Total number of interrupted attempts.,20
5. Active Suicidal Ideation with Specific Plan and Intent,yourself before you actually did anything?,20
5. Active Suicidal Ideation with Specific Plan and Intent,Total number of aborted attempts.,20
5. Active Suicidal Ideation with Specific Plan and Intent,valuables away or writing a suicide note)?,21
5. Active Suicidal Ideation with Specific Plan and Intent,Suicidal Behavior:,21
5. Active Suicidal Ideation with Specific Plan and Intent,Most Recent Attempt Date:,21
5. Active Suicidal Ideation with Specific Plan and Intent,Actual Lethality/Medical Damage:,21
5. Active Suicidal Ideation with Specific Plan and Intent,Potential Lethality: Only Answer if Actual Lethality=0,21
5. Active Suicidal Ideation with Specific Plan and Intent,Most Lethal Attempt Date:,22
5. Active Suicidal Ideation with Specific Plan and Intent,Initial/First attempt date,22
5. Active Suicidal Ideation with Specific Plan and Intent,Actual lethality/medical damage.,22
5. Active Suicidal Ideation with Specific Plan and Intent,Potential Lethality: Only answer if actual lethality = 0,22
C-SSRS - Since Last Visit,Date and Time of Collection,23
C-SSRS - Since Last Visit,sleep and not wake up since last visit?,23
C-SSRS - Since Last Visit,"If yes, describe:",23
C-SSRS - Since Last Visit,last visit?,23
"4. Active Suicidal Ideation with Some Intent to Act,","If yes, describe:",24
"4. Active Suicidal Ideation with Some Intent to Act,",acting on them since last visit?,24
"4. Active Suicidal Ideation with Some Intent to Act,",carry out this plan?,24
"4. Active Suicidal Ideation with Some Intent to Act,",Most Severe Ideation,24
"4. Active Suicidal Ideation with Some Intent to Act,",Description of Ideation,24
"4. Active Suicidal Ideation with Some Intent to Act,",Frequency,25
"4. Active Suicidal Ideation with Some Intent to Act,",Duration,25
"4. Active Suicidal Ideation with Some Intent to Act,",Controllability,25
