x=  61.2 y= 124.0 sz=10.5 black     | Criteria
x= 607.6 y= 124.0 sz=10.5 black     | Met/Not Met
x= 617.7 y= 154.0 sz=10.5 #999999   | Met
x= 653.4 y= 154.0 sz=10.5 #999999   | Not Met
x=  61.6 y= 158.6 sz= 9.0 black     | \17.\ Subjects who have a positive urine alcohol or drug screen that, in the judgment of the investigator with concurrence of the medical monitor,
x=  61.6 y= 171.4 sz= 9.0 black     | indicates substance abuse that could compromise the subject’s safety or ability to comply with the trial procedures that could interfere with the
x= 607.9 y= 177.7 sz= 9.0 #ff0000   | [IEORRES]
x=  61.6 y= 184.3 sz= 9.0 black     | interpretation of trial results. Legal cannabis use is permissible if the amount used has remained stable for the last 3 months, the subject agrees to
x= 607.9 y= 194.4 sz= 9.0 #ff0000   | [TYPE: enumeration (values: Met, Not Met)]
x=  61.6 y= 197.1 sz= 9.0 black     | continue using cannabis in the same amount and frequency throughout the trial, and the investigator determines that no cannabis use disorder is
x=  61.6 y= 210.0 sz= 9.0 black     | present. If these criteria are not met and the potential occasional or intermittent legal user requires washout, please refer to the list of medications
x=  61.6 y= 222.9 sz= 9.0 black     | with a required washout period.
x=  61.6 y= 255.5 sz= 9.0 black   B | Row 19
x= 617.7 y= 283.6 sz=10.5 #999999   | Met
x= 653.4 y= 283.6 sz=10.5 #999999   | Not Met
x=  61.6 y= 288.2 sz= 9.0 black     | \18.\ Urine cotinine concentrations > 200 ng/mL or serum cotinine concentrations > 20 ng/mL at the screening visit or at check-in to the trial site.
x= 607.9 y= 307.4 sz= 9.0 #ff0000   | [IEORRES]
x= 607.9 y= 324.0 sz= 9.0 #ff0000   | [TYPE: enumeration (values: Met, Not Met)]
x=  61.6 y= 346.6 sz= 9.0 black   B | Row 20
x= 617.7 y= 374.7 sz=10.5 #999999   | Met
x= 653.4 y= 374.7 sz=10.5 #999999   | Not Met
x=  61.6 y= 379.3 sz= 9.0 black     | \19.\ Subjects having taken an investigational drug within 30 days prior to the screening visit.
x= 607.9 y= 398.5 sz= 9.0 #ff0000   | [IEORRES]
x= 607.9 y= 415.1 sz= 9.0 #ff0000   | [TYPE: enumeration (values: Met, Not Met)]
x=  61.6 y= 437.7 sz= 9.0 black   B | Row 21
x= 617.7 y= 465.8 sz=10.5 #999999   | Met
x= 653.4 y= 465.8 sz=10.5 #999999   | Not Met
x=  61.6 y= 470.4 sz= 9.0 black     | \20.\ Subjects who would be likely to require prohibited concomitant therapy during the trial. The investigator with concurrence of the medical
x=  61.6 y= 483.2 sz= 9.0 black     | monitor may allow exceptions if the medication’s administration is deemed unlikely to impact the results of the trial.
x= 607.9 y= 489.5 sz= 9.0 #ff0000   | [IEORRES]
x= 607.9 y= 506.2 sz= 9.0 #ff0000   | [TYPE: enumeration (values: Met, Not Met)]
x= 373.6 y= 565.9 sz=12.0 black     | Page 159 of 1085
