form_name,field_name,page
AE / CM,Were any adverse events experienced?,3
AE / CM,Start date and time,3
AE / CM,Ongoing?,3
AE / CM,End date and time,3
AE / CM,Adverse event term,3
AE / CM,Is this a treatment emergent adverse event?,3
AE / CM,Is this an adverse event of special interest?,3
AE / CM,Relationship to investigational product,4
AE / CM,Action taken with investigational product,4
AE / CM,Was a concomitant medication given?,4
AE / CM,Were any other actions taken in response to this adverse,4
AE / CM,event?,4
AE / CM,Other action taken,4
AE / CM,Outcome,4
AE / CM,Was the adverse event an SAE?,5
AE / CM,Was the serious adverse event associated with a,5
AE / CM,congenital anomaly or birth defect?,5
AE / CM,Did the serious adverse event result in persistent,5
AE / CM,significant disability or incapacity?,5
AE / CM,Did the serious adverse event result in death?,5
AE / CM,Death date,5
AE / CM,Did the serious adverse event result in initial or prolonged,5
AE / CM,hospitalization for the volunteer?,5
CM Details,Is the serious adverse event life threatening?,6
CM Details,Was the adverse event a medically important event not,6
CM Details,covered by other serious criteria?,6
CM Details,Concomitant medication or therapy,6
CM Details,Route of administration,6
CM Details,Total dose,6
CM Details,Dose unit,6
CM Details,Dose form,7
CM Details,Frequency,7
CM Details,Administration start date and time,7
CM Details,Administration ongoing?,7
CM Details,Administration end date and time,7
Blood Collection PGx,PGx collection date and time,9
Blood Collection PGx,[PGDTC_PGx],9
Blood Collection - PK SEP,PK SEP collection date and time,10
Blood Collection - PK SEP/PD Creatinine,PK SEP collection date and time,11
Blood Collection - PK SEP/PD Creatinine/Safety Day 1,PK SEP collection date and time,12
Blood Collection - PK SEP/PK Quinidine,PK SEP collection date and time,13
Blood Collection - PK SEP/PK Quinidine/Safety Day 7,PK SEP collection date and time,14
2. Non-Specific Active Suicidal Thoughts,Help Text: The scale is intended to be used by individuals who have received training in its administration. The questions,15
2. Non-Specific Active Suicidal Thoughts,"contained in the Columbia-Suicide Severity Rating Scale are suggested probes. Ultimately, the determination of the presence",15
2. Non-Specific Active Suicidal Thoughts,of suicidal ideation or behavior depends on the judgment of the individual administering the scale.,15
2. Non-Specific Active Suicidal Thoughts,Date and Time of Collection,15
2. Non-Specific Active Suicidal Thoughts,Have you wished you were dead or wished you could go to,15
2. Non-Specific Active Suicidal Thoughts,sleep and not wake up? (Lifetime).,15
2. Non-Specific Active Suicidal Thoughts,sleep and not wake up? (Past 6 Months).,15
2. Non-Specific Active Suicidal Thoughts,"If yes, describe:",15
2. Non-Specific Active Suicidal Thoughts,Have you actually had any thoughts of killing yourself?,15
2. Non-Specific Active Suicidal Thoughts,(Lifetime).,15
2. Non-Specific Active Suicidal Thoughts,(Past 6 Months).,15
without Specific Plan,"If yes, describe:",16
without Specific Plan,Have you been thinking about how you might do this?,16
without Specific Plan,(Lifetime).,16
without Specific Plan,(Past 6 Months).,16
without Specific Plan,Have you had these thoughts and had some intention of,16
without Specific Plan,acting on them? (Lifetime).,16
INTENSITY OF IDEATION,"If yes, describe:",17
INTENSITY OF IDEATION,Have you started to work out or worked out the details of,17
INTENSITY OF IDEATION,how to kill yourself? Do you intend to carry out this plan?,17
INTENSITY OF IDEATION,(Lifetime).,17
INTENSITY OF IDEATION,(Past 6 Months).,17
INTENSITY OF IDEATION,Most severe ideation. (Lifetime).,17
INTENSITY OF IDEATION,Description of most severe ideation. (Lifetime).,17
INTENSITY OF IDEATION,Most severe ideation. (Past 6 Months).,18
INTENSITY OF IDEATION,Description of most severe ideation. (Past 6 Months).,18
INTENSITY OF IDEATION,Frequency (Lifetime),18
INTENSITY OF IDEATION,Frequency (Past 6 Months),18
INTENSITY OF IDEATION,Duration (Lifetime),18
INTENSITY OF IDEATION,Duration (Past 6 Months),18
INTENSITY OF IDEATION,Controllability (Lifetime),18
INTENSITY OF IDEATION,Controllability (Past 6 Months),18
INTENSITY OF IDEATION,Deterrents (Lifetime),18
INTENSITY OF IDEATION,Deterrents (Past 6 Months),18
SUICIDAL BEHAVIOR,Reasons for Ideation (Lifetime),19
SUICIDAL BEHAVIOR,Reasons for Ideation (Past 6 Months),19
SUICIDAL BEHAVIOR,Actual Attempt: Have you made a suicide attempt? Have,19
SUICIDAL BEHAVIOR,you done anything to harm yourself? Have you done,19
SUICIDAL BEHAVIOR,anything dangerous where you could have died? What did,19
SUICIDAL BEHAVIOR,you do? Did you ___ as a way to end your life? Did you,19
SUICIDAL BEHAVIOR,want to die (even a little) when you ___? Were you trying to,19
SUICIDAL BEHAVIOR,end your life when you ___? Or Did you think it was,19
SUICIDAL BEHAVIOR,possible you could have died from ___? Or did you do it,19
SUICIDAL BEHAVIOR,purely for other reasons / without ANY intention of killing,19
SUICIDAL BEHAVIOR,"yourself (like to relieve stress, feel better, get sympathy, or",19
SUICIDAL BEHAVIOR,get something else to happen)? (Self-Injurious Behavior,19
SUICIDAL BEHAVIOR,without suicidal intent),19
SUICIDAL BEHAVIOR,Total number of actual attempts.,19
SUICIDAL BEHAVIOR,"If yes, describe:",19
SUICIDAL BEHAVIOR,Interrupted Attempt: Has there been a time when you,20
SUICIDAL BEHAVIOR,started to do something to try to end your life but someone,20
SUICIDAL BEHAVIOR,or something stopped you before you actually did,20
SUICIDAL BEHAVIOR,anything?,20
SUICIDAL BEHAVIOR,Total number of interrupted attempts.,20
SUICIDAL BEHAVIOR,"If yes, describe:",20
SUICIDAL BEHAVIOR,Aborted Attempt: Has there been a time when you started,20
