form_name,field_name,page
02 - Group Info/Study ICF Final v1.0,Does the participant have a valid photo ID?,1
02 - Group Info/Study ICF Final v1.0,Did participant complete group information or remote information session?,1
02 - Group Info/Study ICF Final v1.0,Record who held Group Information Session (full name),1
02 - Group Info/Study ICF Final v1.0,Does the Anju study number match the study number in the participants' paper PIS/ICF?,1
02 - Group Info/Study ICF Final v1.0,Study ICF Signed and Dated by the participant?,1
02 - Group Info/Study ICF Final v1.0,Time Study ICF was signed by participant,2
02 - Group Info/Study ICF Final v1.0,Study ICF Part Number,2
02 - Group Info/Study ICF Final v1.0,Study ICF Version Number,2
02 - Group Info/Study ICF Final v1.0,Study ICF signed and dated by the physician/nurse?,3
02 - Group Info/Study ICF Final v1.0,Was a copy of the Study ICF given to the participant?,3
02 - Group Info/Study ICF Final v1.0,"Has the participant read, understood and signed the consent for the Future Use Sub Study,",3
02 - Group Info/Study ICF Final v1.0,Additional ICF Signed and Dated by the Participant?,3
02 - Group Info/Study ICF Final v1.0,Date Additional ICF was signed by participant,3
02 - Group Info/Study ICF Final v1.0,Time Additional ICF was signed by participant,4
02 - Group Info/Study ICF Final v1.0,Additional ICF signed and dated by the physician/nurse?,4
02 - Group Info/Study ICF Final v1.0,What is the status of the subject?,4
03 - Screening Final v1.0,Sponsor Specific Participation Number (allocated,5
03 - Screening Final v1.0,Has the participant consumed any alcohol within 24 hours prior to Screening visit?,5
03 - Screening Final v1.0,Screening visit?,5
03 - Screening Final v1.0,Has the participant taken part in any strenuous exercise within 72 hours prior to Screening,5
03 - Screening Final v1.0,Has the participant use of tobacco products or experience daily exposure to second-hand,5
03 - Screening Final v1.0,Age 18 to 55 years inclusive at time of signing informed consent,6
03 - Screening Final v1.0,What is the ethnicity of the participant?,6
03 - Screening Final v1.0,What is the race of the participant?,6
03 - Screening Final v1.0,What is the sex of the participant?,7
03 - Screening Final v1.0,Is participant of childbearing potential?,7
03 - Screening Final v1.0,Female participants who are not of childbearing potential do not need to use any methods of,7
03 - Screening Final v1.0,"IU/L. (If 'Yes', please exclude)",7
03 - Screening Final v1.0,Please ensure that an appropriate Medical History Quicklist is completed,8
03 - Screening Final v1.0,Provide the date of LMP,8
03 - Screening Final v1.0,"For sexually active males and their female partners of childbearing potential, there must be a",8
03 - Screening Final v1.0,External condoms must be used in addition to hormonal contraception.,8
03 - Screening Final v1.0,External condom and internal condom should not be used together.,8
03 - Screening Final v1.0,Please ensure that an appropriate Medical History Quicklist is completed,9
03 - Screening Final v1.0,Please record start date of abstinence,9
03 - Screening Final v1.0,Does the contraceptive method/procedure/status fall in line with the protocol requirements to,10
03 - Screening Final v1.0,"Amount of alcohol units consumed per week. If participant drinks no alcohol, record as ‘0’. (1",10
03 - Screening Final v1.0,"Does the participant smoke, use e-cigarettes or any nicotine replacement products? (If yes,",10
03 - Screening Final v1.0,"If previously, date of stopping (Exclude if within the last 2 months)",10
03 - Screening Final v1.0,Exclude participant if answer yes to smoking (Medic to exclude participant),11
03 - Screening Final v1.0,Does the participant have any clinically relevant medical/surgical history? (If 'Yes' complete,11
03 - Screening Final v1.0,Medical History quicklist),11
03 - Screening Final v1.0,Has the participant taken any medication in the last,11
03 - Screening Final v1.0,30 days?,11
03 - Screening Final v1.0,No medications other than the planned IMP may be taken during the trial. The use of,11
03 - Screening Final v1.0,"5 half-lives, whichever is longer, prior to dosing and antibiotics within 30 days prior to dosing is",11
03 - Screening Final v1.0,The use of orally administered breast cancer resistance protein (BCRP) substrates is prohibited.,11
03 - Screening Final v1.0,Is the participant suitable for the collection of blood volume required for this study? (Will not,11
03 - Screening Final v1.0,Record time of urine sample (For all Urine Assessments) (Collect Urine Sample),12
03 - Screening Final v1.0,Urine Cotinine test - please ensure study specific tests are used,12
03 - Screening Final v1.0,Positive result for Urine Cotinine (Medic to exclude participant),12
03 - Screening Final v1.0,"What was the bilirubin result?  If any positive result, inform medic/PI. (Perform urinalysis and",12
03 - Screening Final v1.0,"What was the urobilinogen result?  If any positive result, inform medic/PI. (Perform urinalysis",12
03 - Screening Final v1.0,"What was the ketone result?  If any positive result, inform medic/PI. (Perform urinalysis and",13
03 - Screening Final v1.0,"What was the glucose result?  If any positive result, inform medic/PI. (Perform urinalysis and",13
03 - Screening Final v1.0,What was the protein result?,14
03 - Screening Final v1.0,"If protein remains ≥ 30mg/dl on repeat, then inform PI/medic. (Perform urinalysis and read",14
03 - Screening Final v1.0,What was the blood result? (Perform urinalysis and read results),14
03 - Screening Final v1.0,What was the nitrite result? (Perform urinalysis and read results),15
03 - Screening Final v1.0,Record pH value (Perform urinalysis and read results),16
03 - Screening Final v1.0,Record specific gravity of sample (Perform urinalysis and read results),16
03 - Screening Final v1.0,What was the leukocyte result? (Perform urinalysis and read results),17
03 - Screening Final v1.0,"Is participant female and menstruating? (If 'Yes', DO NOT send sample for Microscopy. If 'No',",17
03 - Screening Final v1.0,Confirm sample sent for microscopy (Complete associated paperwork),17
03 - Screening Final v1.0,Has urinalysis been repeated as soon as possible with a clean catch specimen?,18
03 - Screening Final v1.0,Ensure events are repeated to capture this data.,18
03 - Screening Final v1.0,Urinalysis Microscopy Sample (20 mL Sterilin screw cap),18
03 - Screening Final v1.0,- Correct form used,18
03 - Screening Final v1.0,- Correct participant label applied,18
03 - Screening Final v1.0,- Correct slot number written,18
03 - Screening Final v1.0,- Correct sex and fasting status,18
03 - Screening Final v1.0,- Correct timepoint checked,18
03 - Screening Final v1.0,- Correct sample date and time written,18
03 - Screening Final v1.0,- Initials signed to confirm sample collected and form correct,18
03 - Screening Final v1.0,Has there been a medic review of the Microscopy results?,18
03 - Screening Final v1.0,Drugs of abuse - Amphetamines (AMP),18
03 - Screening Final v1.0,Drugs of abuse - Barbiturates (BAR),19
03 - Screening Final v1.0,Drugs of abuse - Benzodiazepines (BZO),19
03 - Screening Final v1.0,Drugs of abuse - Methadone (MTD),19
03 - Screening Final v1.0,Drugs of abuse - Tricyclic Antidepressants  (TCA),19
03 - Screening Final v1.0,Drugs of abuse - Cocaine (COC),20
03 - Screening Final v1.0,Drugs of abuse - Morphine/Opiates (MOP),20
03 - Screening Final v1.0,Drugs of abuse - Methamphetamine/Ecstasy (MET),20
03 - Screening Final v1.0,Drugs of abuse - Phencyclidine (PCP),20
03 - Screening Final v1.0,Drugs of abuse - Marijuana/Cannabis (THC),21
03 - Screening Final v1.0,Positive Drugs of Abuse result (Medic to exclude participant),21
03 - Screening Final v1.0,Alcohol breath test (Positive result > 0.02),21
03 - Screening Final v1.0,Positive result for Alcohol Breath Test (Medic to exclude participant),21
03 - Screening Final v1.0,BMI (kg/m²) (For inclusion 18.0 to 32.0 kg/m2 at Screening),22
03 - Screening Final v1.0,12 Lead Standard ECG,22
03 - Screening Final v1.0,Exclude if - QT interval corrected for heart rate using Fridericia’s formula (QTcF) >450 msec for,22
03 - Screening Final v1.0,>200 msec.  (Supine for a minimum 3 minutes),22
03 - Screening Final v1.0,ECG Rhythm assessment and interpretation,23
03 - Screening Final v1.0,Was the ECG clinically significant? (Medic to assess),23
03 - Screening Final v1.0,"ECG Findings, including rhythm assessment",24
03 - Screening Final v1.0,Exclude if - Systolic blood pressure [SBP] >140 mmHg or diastolic blood pressure [DBP] >90,24
03 - Screening Final v1.0,Clinical Assessment of Vital Signs (Medic or Nurse to assess vital signs),24
03 - Screening Final v1.0,Vital Sign Findings,25
03 - Screening Final v1.0,Vital Signs Standing BP and HR,25
03 - Screening Final v1.0,"Exclude if - Symptomatic hypotension or orthostatic hypotension, which is defined as a",25
03 - Screening Final v1.0,Is there a drop in SYSTOLIC BP from supine to standing?,26
03 - Screening Final v1.0,Is there a drop in DIASTOLIC BP from supine to standing?,26
03 - Screening Final v1.0,Vital Signs Difference for SYSTOLIC Drop,26
03 - Screening Final v1.0,Vital Signs Difference for DIASTOLIC Drop,26
03 - Screening Final v1.0,Clinical Assessment of Standing Vital Signs (Medic or Nurse to assess vital signs),26
03 - Screening Final v1.0,Vital Sign Findings,27
03 - Screening Final v1.0,"Has the participant fasted for 8 hours? (If no, reschedule blood sample collection)",27
03 - Screening Final v1.0,Haematology – Mix tube gently by inverting 8–10 times (2 mL K3EDTA),27
03 - Screening Final v1.0,Has there been a medic review of the Haematology blood results?,27
03 - Screening Final v1.0,Chemistry and Virology – Mix tube gently by inverting 5–6 times (5 mL SST),28
03 - Screening Final v1.0,Has there been a medic review of the Clinical Chemistry and Virology blood results?,28
03 - Screening Final v1.0,Chemistry and Virology (Including Serum Pregnancy Test) – Mix tube gently by inverting 5–6,28
03 - Screening Final v1.0,Has there been a medic review of the Clinical Chemistry and Virology (inc Serum Pregnancy),28
03 - Screening Final v1.0,Chemistry and Virology (Including FSH and Serum Pregnancy Test) – Mix tube gently by,28
03 - Screening Final v1.0,Has there been a medic review of the Clinical Chemistry and Virology (inc FSH and Serum,28
03 - Screening Final v1.0,Pregnancy) blood results?,28
03 - Screening Final v1.0,"Serum Pregnancy test (If 'Positive', inform PI/Medic and exclude)",29
03 - Screening Final v1.0,Serum follicle-stimulating hormone [FSH] concentration,29
03 - Screening Final v1.0,- Correct form used,29
03 - Screening Final v1.0,- Correct subject label applied,29
03 - Screening Final v1.0,- Correct slot number written,29
03 - Screening Final v1.0,- Correct sex and fasting status,29
03 - Screening Final v1.0,- Correct timepoint checked,29
03 - Screening Final v1.0,- Correct sample date and time written,29
03 - Screening Final v1.0,- Initials signed to confirm sample collected and form correct,29
03 - Screening Final v1.0,"Inclusion 1. Male or NCBP female participants between 18 and 55 years of age, inclusive.",30
03 - Screening Final v1.0,Inclusion 2. BMI from 18.0 to 32.0 kg/m2 (inclusive).,30
03 - Screening Final v1.0,"90 days plus 5 half-lives (ie, 92 days) after the last dose of IMP, or",31
03 - Screening Final v1.0,"92 days) after the last dose of IMP, or",31
03 - Screening Final v1.0,"Inclusion 5. Female participants who are surgically sterile (ie, have undergone bilateral",31
03 - Screening Final v1.0,"Inclusion 6. Ability to provide written, informed consent prior to initiation of any trial-related",31
03 - Screening Final v1.0,Exclusion 1. Non-English speakers and those with language or hearing impairments will not,32
03 - Screening Final v1.0,Exclusion 2. Participants who are breast-feeding and/or who have a positive pregnancy test,32
03 - Screening Final v1.0,"Exclusion 3. Clinically significant abnormality in past medical history, or at the screening",32
03 - Screening Final v1.0,Exclusion 4. History of drug and/or alcohol abuse within 2 years prior to screening.,32
03 - Screening Final v1.0,Exclusion 5. History of or current hepatitis or acquired immunodeficiency syndrome or carriers,33
03 - Screening Final v1.0,Exclusion 6. History of any significant drug allergy or known or suspected hypersensitivity to any,33
03 - Screening Final v1.0,Exclusion 7. A positive urine or breath alcohol test or urine drug screen for substances of abuse,33
03 - Screening Final v1.0,Exclusion 8. Any history of significant bleeding or hemorrhagic tendencies.,34
03 - Screening Final v1.0,Exclusion 9. A history of difficulty in donating blood.,34
03 - Screening Final v1.0,Exclusion 10. The donation of blood or plasma within 30 days prior to the first dose of IMP.,34
03 - Screening Final v1.0,Exclusion 11. Participants having taken an investigational drug within 90 days prior to first dose.,34
03 - Screening Final v1.0,"Exclusion 12. Use of prescription, over-the-counter, herbal medications, or vitamin supplements",35
03 - Screening Final v1.0,Exclusion 13. Exposure to any substances known to stimulate hepatic microsomal enzymes,35
03 - Screening Final v1.0,Exclusion 14. Use of tobacco products or daily exposure to second-hand smoke within 2 months,35
03 - Screening Final v1.0,"Exclusion 15. Participants presenting with, or having a history of, uncontrolled hypertension",35
03 - Screening Final v1.0,"Exclusion 16. Participants who have a supine heart rate, after resting for at least 3 minutes,",36
03 - Screening Final v1.0,Exclusion 17. History of unexplained syncope.,36
03 - Screening Final v1.0,Exclusion 18. Abnormal ECG findings at screening or check-in including QT interval corrected for,36
03 - Screening Final v1.0,Exclusion 19. Personal or family history of sudden death or long QT syndrome.,37
03 - Screening Final v1.0,"Exclusion 20. History of serious mental disorders that, in the opinion of the investigator, would",37
03 - Screening Final v1.0,Exclusion 21. Participants with no permanent place of residence.,37
03 - Screening Final v1.0,"Exclusion 22. Any participant who, in the opinion of the investigator, should not participate in",37
03 - Screening Final v1.0,Exclusion 23. Previous exposure to OPC-224333.,38
03 - Screening Final v1.0,Exclusion 24. Consumption of alcohol and/or food and beverages containing methylxanthines,38
03 - Screening Final v1.0,72 hours prior to dosing.,38
03 - Screening Final v1.0,Exclusion 25. Participants with active suicidal ideation or suicidal behavior within the last 6,38
03 - Screening Final v1.0,Last Visit version) or suicidal behavior is present in the C-SSRS.,38
03 - Screening Final v1.0,Exclusion 26. Not able to consume the FDA HFM (High Fat Meal) for Part 2 and Part 3 within 20,38
03 - Screening Final v1.0,Exclusion 27. Participant has any significant primary sleep disorder. Participants with known,39
03 - Screening Final v1.0,"Exclusion 28. Participants with abnormal liver function and or hepatic impairment, defined as",39
03 - Screening Final v1.0,AST level (IU/L),39
03 - Screening Final v1.0,ALP level (IU/L),40
03 - Screening Final v1.0,Total Bilirubin (umol/L),40
03 - Screening Final v1.0,Was a physical examination performed?,40
03 - Screening Final v1.0,"A complete physical examination will be performed at screening, and will include an",40
03 - Screening Final v1.0,"Head, Eyes, Ears, Nose, Throat - What was the body system assessment?",40
03 - Screening Final v1.0,"Head, Eyes, Ears, Nose, Throat  - if abnormal - clinically signifcant, please specify",41
03 - Screening Final v1.0,Thorax - What was the body system assessment?,41
03 - Screening Final v1.0,"Thorax - if abnormal - clinically signifcant, please specify",42
03 - Screening Final v1.0,Abdomen - What was the body system assessment?,42
03 - Screening Final v1.0,"Addomen - if abnormal - clinically signifcant, please specify",42
03 - Screening Final v1.0,Skin and Mucosae - What was the body system assessment?,42
03 - Screening Final v1.0,"Skin and Mucosae - if abnormal - clinically signifcant, please specify",43
03 - Screening Final v1.0,Urogenital System - What was the body system assessment? (Only required where symptoms,43
03 - Screening Final v1.0,"Urogenital System - if abnormal - clinically significant, please specify",43
03 - Screening Final v1.0,"Neurological System - if abnormal - clinically significant, please specify",44
03 - Screening Final v1.0,Extremities - What was the body system assessment?,44
03 - Screening Final v1.0,"Extremities - if abnormal - clinically signifcant, please specify",45
03 - Screening Final v1.0,Was a neurological examination performed?,45
03 - Screening Final v1.0,Station and Gait,48
03 - Screening Final v1.0,Detailed findings of Neurological Examination,48
03 - Screening Final v1.0,C-SSRS Questionnaire - Date and Time (Transcribe from C-SSRS paper source workbook),48
03 - Screening Final v1.0,1. Wish to be dead (Lifetime),48
03 - Screening Final v1.0,"Subject endorses thoughts about a wish to be dead or not alive anymore, or a wish to fall asleep",48
03 - Screening Final v1.0,1. Wish to be dead (Months),49
03 - Screening Final v1.0,"Subject endorses thoughts about a wish to be dead or not alive anymore, or a wish to fall asleep",49
03 - Screening Final v1.0,2. Non-specific Active Suicidal Thoughts (Lifetime),49
03 - Screening Final v1.0,"General non-specific thoughts of wanting to end one's life / commit suicide (e.g. ""I've thought",49
03 - Screening Final v1.0,3. Active Suicidal Ideation with Any Methods (Not Plan) Without Intent to Act (Lifetime),50
03 - Screening Final v1.0,Subject endorses thoughts of suicide and has thought of at least one method during the,50
03 - Screening Final v1.0,3. Active Suicidal Ideation with Any Methods (Not Plan) Without Intent to Act (Months),51
03 - Screening Final v1.0,Subject endorses thoughts of suicide and has thought of at least one method during the,51
03 - Screening Final v1.0,"4. Active Suicidal Ideation with Some Intent to Act, without Specific Plan (Lifetime)",51
03 - Screening Final v1.0,Active suicidal thoughts of killing oneself and subject reports having some intent to act on such,51
