doc,stage,version,severity,code,detail
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: Admission Restrictions: Photo ID #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: participant's wrist?
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: Admission Restrictions: Bag Search #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: Admission Restrictions: Bag Search Items Removed #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: Admission Restrictions: ICF Check #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: Admission Restrictions: ICF Version/Date #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p1: (Version must be checked against ICF present in the CSF – escalate any discrepancies)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p3: Admission Restrictions: Grapefruit #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p3: Admission Restrictions: Poppy seeds #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p3: Admission visit?
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p3: Admission Restrictions: Activity #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p3: visit?
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p3: Admission Restrictions: Smoking #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p3: Prompts: PD Prompt #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p3: Admission Restrictions: Adverse Event #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p122: C-SSRS Since Last Visit: 19. Most Lethal Attempt Date #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p122: C-SSRS Since Last Visit: 19. Actual Lethality Most Lethal Attempt #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p247: ECG Difference Calculation - a participant will be withdrawn where there is an increase in QTcF
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p247: Vital Signs: Vital Signs Supine Full Set #5
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p247: (Supine for at least 3 minutes)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,1,quality,audit_false_positive,p247: Vital Signs: Clinical Significance #5
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,2,quality,audit_missed,p1: Bag search performed?
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,2,quality,audit_missed,p3: Admission visit?
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,2,quality,audit_missed,p3: visit?
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,2,quality,audit_false_positive,"p3: Has participant consumed food or beverages containing pomelo, grapefruit, grapefruit juice,"
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,2,quality,audit_false_positive,"p3: Seville oranges, Seville orange juice, blueberry juice, or cranberry juice within 48 hours (72hrs prior to dosing) prior to Admission visit? (If 'Yes' exclude per exclusion criteria #24)"
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,2,quality,audit_false_positive,p3: Has the participant consumed any food containing poppy seeds within 48 hours prior to
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,2,quality,audit_false_positive,p3: Has the participant had strenuous activity (e.g. weightlifting) within 72 hours prior to Admission
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,2,quality,audit_false_positive,p3: Has the participant use of tobacco products or experience daily exposure to second-hand
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,2,quality,audit_false_positive,p3: smoke since Screening?  (If 'Yes' exclude per exclusion criteria #14)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,2,quality,audit_missed,p247: (Supine for at least 3 minutes)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,2,quality,audit_false_positive,p247: interval of >60 msec from baseline (confirmed following a repeat ECG)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,3,quality,audit_missed,p1: Bag search performed?
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,3,quality,audit_missed,p3: Admission visit?
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,3,quality,audit_missed,p3: visit?
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,3,quality,audit_false_positive,"p3: Has participant consumed food or beverages containing pomelo, grapefruit, grapefruit juice,"
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,3,quality,audit_false_positive,"p3: Seville oranges, Seville orange juice, blueberry juice, or cranberry juice within 48 hours (72hrs prior to dosing) prior to Admission visit? (If 'Yes' exclude per exclusion criteria #24)"
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,3,quality,audit_false_positive,p3: Has the participant consumed any food containing poppy seeds within 48 hours prior to
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,3,quality,audit_false_positive,p3: Has the participant had strenuous activity (e.g. weightlifting) within 72 hours prior to Admission
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,3,quality,audit_false_positive,p3: Has the participant use of tobacco products or experience daily exposure to second-hand
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,3,quality,audit_false_positive,p3: smoke since Screening?  (If 'Yes' exclude per exclusion criteria #14)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,3,quality,audit_false_positive,p247: (Supine for at least 3 minutes)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_missed,p1: Bag search performed?
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_missed,p3: Admission visit?
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_false_positive,"p3: Has participant consumed food or beverages containing pomelo, grapefruit, grapefruit juice,"
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_false_positive,"p3: Seville oranges, Seville orange juice, blueberry juice, or cranberry juice within 48 hours (72hrs prior to dosing) prior to Admission visit? (If 'Yes' exclude per exclusion criteria #24)"
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_false_positive,p3: Has the participant consumed any food containing poppy seeds within 48 hours prior to
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_false_positive,p3: Has the participant had strenuous activity (e.g. weightlifting) within 72 hours prior to Admission
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_false_positive,p3: Has the participant use of tobacco products or experience daily exposure to second-hand
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_false_positive,p3: smoke since Screening?  (If 'Yes' exclude per exclusion criteria #14)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,quality,audit_missed,p247: ECG Difference Calculation - a participant will be withdrawn where there is an increase in QTcF interval of >60 msec from baseline (confirmed following a repeat ECG)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,5,quality,audit_false_positive,p1: Has the participant's photographic and wristband ID been verified and wristband applied to
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,5,quality,audit_false_positive,p1: participant's wrist?
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,5,quality,audit_missed,"p3: Has participant consumed food or beverages containing pomelo, grapefruit, grapefruit juice, Seville oranges, Seville orange juice, blueberry juice, or cranberry juice within 48 hours (72hrs prior to dosing) prior to Admission visit? (If 'Yes' exclude per exclusion criteria #24)"
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,5,quality,audit_missed,p3: Has the participant consumed any food containing poppy seeds within 48 hours prior to Admission visit?
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,5,quality,audit_missed,p3: Has the participant had strenuous activity (e.g. weightlifting) within 72 hours prior to Admission visit?
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,5,quality,audit_missed,p3: Has the participant use of tobacco products or experience daily exposure to second-hand smoke since Screening?  (If 'Yes' exclude per exclusion criteria #14)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,5,quality,audit_false_positive,p3: prior to dosing) prior to Admission visit? (If 'Yes' exclude per exclusion criteria #24)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,5,quality,audit_false_positive,p247: ECG Difference Calculation - a participant will be withdrawn where there is an increase in QTcF
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,5,quality,audit_false_positive,p247: interval of >60 msec from baseline (confirmed following a repeat ECG)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,loop,,quality,stopped_with_open_issues,"stop=plateau, open audit issues=9"
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p1: Informed Consent: Photo ID #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p1: Group Information: Group Info Session #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p1: Group Information: Group info held by #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p1: Informed Consent: Study ICF Database Check #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p1: Informed Consent: Study ICF Participant  #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p3: Informed Consent: Study ICF Signed by Physician/Nurse #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p3: Informed Consent: Study ICF copy #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p3: Informed Consent Addition: Consented to Additional ICF #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p3: where a DNA sample will be taken and other data collected may be used for potential future research?
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p3: research?
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p3: Informed Consent Addition: Add ICF Participant #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p3: Informed Consent Addition: Add ICF Date #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p28: Safety: Haematology #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p28: Safety: Haematology Medic Assessment #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p28: Safety: Chemistry and Virology #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p28: Safety: Chemistry and Virology Medic Assessment #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p28: Safety: Chemistry and Virology (Including Serum Pregnancy Test) #1
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p28: times (5 mL SST)
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,"p59: A potentially self-injurious act committed with at least some wish to die, as a result of act."
